# CIE high-charge-pool tables for C (Z=6, pool q = 2 .. 6)
# Source: ioneq_C.txt + cool_C.txt
# x_high_frac  = sum_{q >= 2} ioneq_q(T)
# q_high_mean  = sum_{q >= 2} q * ioneq_q / x_high_frac  (0 where pool is empty)
# Lambda_high  = sum_{q >= 2} ioneq_q * L_q     [erg cm^3 / s]
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/chemistry/tables/chianti_v11/build_cie_high_pool.py
#
# log_T_K        x_high_frac    q_high_mean    Lambda_high  
         3.0000   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000  2.386056e-138   0.000000e+00  1.014161e-159
         3.1500  9.689634e-123   0.000000e+00  3.890686e-144
         3.2000  8.157578e-109   0.000000e+00  3.094620e-130
         3.2500   2.172532e-96   0.000000e+00  7.787148e-118
         3.3000   2.665180e-85   0.000000e+00  9.027095e-107
         3.3500   2.103429e-75   0.000000e+00   6.732969e-97
         3.4000   1.437258e-66   0.000000e+00   4.348346e-88
         3.4500   1.107218e-58   0.000000e+00   3.166597e-80
         3.5000   1.216544e-51   0.000000e+00   3.289452e-73
         3.5500   2.351196e-45   0.000000e+00   6.011667e-67
         3.6000   9.640441e-40   0.000000e+00   2.331330e-61
         3.6500   9.916936e-35   0.000000e+00   2.269037e-56
         3.7000   2.973949e-30   2.000000e+00   6.445178e-52
         3.7500   2.973947e-26   2.000000e+00   6.131155e-48
         3.8000   1.118422e-22   2.000000e+00   2.227960e-44
         3.8500   1.761327e-19   2.000000e+00   3.555427e-41
         3.9000   1.277947e-16   2.000000e+00   2.924634e-38
         3.9500   4.635987e-14   2.000000e+00   1.443822e-35
         4.0000   8.906710e-12   2.000000e+00   4.523579e-33
         4.0500   9.078035e-10   2.000000e+00   8.315674e-31
         4.1000   4.519769e-08   2.000000e+00   7.626251e-29
         4.1500   1.049760e-06   2.000000e+00   3.194625e-27
         4.2000   1.322794e-05   2.000000e+00   7.005447e-26
         4.2500   1.095370e-04   2.000000e+00   9.720288e-25
         4.3000   6.597577e-04   2.000000e+00   9.465465e-24
         4.3500   3.027041e-03   2.000000e+00   6.796349e-23
         4.4000   1.094815e-02   2.000000e+00   3.732955e-22
         4.4500   3.229313e-02   2.000000e+00   1.624870e-21
         4.5000   7.981006e-02   2.000002e+00   5.761640e-21
         4.5500   1.674852e-01   2.000011e+00   1.687139e-20
         4.6000   2.993595e-01   2.000059e+00   4.093984e-20
         4.6500   4.582965e-01   2.000273e+00   8.285794e-20
         4.7000   6.127706e-01   2.001086e+00   1.428114e-19
         4.7500   7.385761e-01   2.003794e+00   2.167660e-19
         4.8000   8.294661e-01   2.011825e+00   3.001488e-19
         4.8500   8.911355e-01   2.033486e+00   3.899263e-19
         4.9000   9.323573e-01   2.088817e+00   4.825931e-19
         4.9500   9.606039e-01   2.229630e+00   5.627914e-19
         5.0000   9.806146e-01   2.564358e+00   5.729880e-19
