# CIE high-charge-pool tables for N (Z=7, pool q = 2 .. 7)
# Source: ioneq_N.txt + cool_N.txt
# x_high_frac  = sum_{q >= 2} ioneq_q(T)
# q_high_mean  = sum_{q >= 2} q * ioneq_q / x_high_frac  (0 where pool is empty)
# Lambda_high  = sum_{q >= 2} ioneq_q * L_q     [erg cm^3 / s]
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/chemistry/tables/chianti_v11/build_cie_high_pool.py
#
# log_T_K        x_high_frac    q_high_mean    Lambda_high  
         3.0000   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000  1.732801e-135   0.000000e+00  6.214072e-156
         3.2500  4.116332e-120   0.000000e+00  1.426451e-140
         3.3000  2.120376e-106   0.000000e+00  7.095153e-127
         3.3500   3.596583e-94   0.000000e+00  1.161554e-114
         3.4000   2.916152e-83   0.000000e+00  9.088068e-104
         3.4500   1.575709e-73   0.000000e+00   4.738915e-94
         3.5000   7.628947e-65   0.000000e+00   2.214945e-85
         3.5500   4.308418e-57   0.000000e+00   1.208378e-77
         3.6000   3.589921e-50   0.000000e+00   9.736537e-71
         3.6500   5.441325e-44   0.000000e+00   1.429196e-64
         3.7000   1.808123e-38   0.000000e+00   4.607998e-59
         3.7500   1.555574e-33   0.000000e+00   3.854582e-54
         3.8000   4.018419e-29   2.000000e+00   9.701978e-50
         3.8500   3.556652e-25   2.000000e+00   8.385661e-46
         3.9000   1.212981e-21   2.000000e+00   2.801141e-42
         3.9500   1.769204e-18   2.000000e+00   4.023437e-39
         4.0000   1.209720e-15   2.000000e+00   2.740558e-36
         4.0500   4.191890e-13   2.000000e+00   9.693917e-34
         4.1000   7.780028e-11   2.000000e+00   1.918923e-31
         4.1500   7.769341e-09   2.000000e+00   2.181222e-29
         4.2000   3.828578e-07   2.000000e+00   1.323402e-27
         4.2500   8.466462e-06   2.000000e+00   3.889470e-26
         4.3000   9.349125e-05   2.000000e+00   6.061952e-25
         4.3500   6.384318e-04   2.000000e+00   6.065419e-24
         4.4000   3.120505e-03   2.000000e+00   4.416763e-23
         4.4500   1.185355e-02   2.000001e+00   2.501975e-22
         4.5000   3.668885e-02   2.000008e+00   1.143483e-21
         4.5500   9.449102e-02   2.000052e+00   4.275171e-21
         4.6000   2.025556e-01   2.000268e+00   1.302236e-20
         4.6500   3.594620e-01   2.001122e+00   3.207203e-20
         4.7000   5.337608e-01   2.003967e+00   6.451461e-20
         4.7500   6.866032e-01   2.012110e+00   1.098314e-19
         4.8000   8.000928e-01   2.032428e+00   1.657773e-19
         4.8500   8.770695e-01   2.076570e+00   2.308884e-19
         4.9000   9.273210e-01   2.158591e+00   3.047025e-19
         4.9500   9.593117e-01   2.285172e+00   3.863346e-19
         5.0000   9.787118e-01   2.443901e+00   4.730438e-19
