# CIE high-charge-pool tables for O (Z=8, pool q = 3 .. 8)
# Source: ioneq_O.txt + cool_O.txt
# x_high_frac  = sum_{q >= 3} ioneq_q(T)
# q_high_mean  = sum_{q >= 3} q * ioneq_q / x_high_frac  (0 where pool is empty)
# Lambda_high  = sum_{q >= 3} ioneq_q * L_q     [erg cm^3 / s]
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/chemistry/tables/chianti_v11/build_cie_high_pool.py
#
# log_T_K        x_high_frac    q_high_mean    Lambda_high  
         3.0000   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500  1.953921e-287   0.000000e+00  2.258871e-307
         3.3000  2.670520e-255   0.000000e+00  3.056391e-275
         3.3500  1.215455e-226   0.000000e+00  1.375546e-246
         3.4000  4.390286e-201   0.000000e+00  4.909890e-221
         3.4500  2.727278e-178   0.000000e+00  3.013500e-198
         3.5000  5.804130e-158   0.000000e+00  6.426902e-178
         3.5500  7.825407e-140   0.000000e+00  8.561731e-160
         3.6000  1.157521e-123   0.000000e+00  1.252153e-143
         3.6500  3.069239e-109   0.000000e+00  3.284746e-129
         3.7000   2.262922e-96   0.000000e+00  2.396799e-116
         3.7500   6.867522e-85   0.000000e+00  7.196799e-105
         3.8000   1.217476e-74   0.000000e+00   1.260710e-94
         3.8500   1.722630e-65   0.000000e+00   1.757498e-85
         3.9000   2.568774e-57   0.000000e+00   2.568342e-77
         3.9500   5.169899e-50   0.000000e+00   5.023429e-70
         4.0000   1.747988e-43   0.000000e+00   1.634994e-63
         4.0500   1.198287e-37   0.000000e+00   1.069025e-57
         4.1000   1.913511e-32   0.000000e+00   1.616561e-52
         4.1500   7.439653e-28   3.000000e+00   5.942408e-48
         4.2000   6.835060e-24   3.000000e+00   5.214578e-44
         4.2500   1.682850e-20   3.000000e+00   1.262643e-40
         4.3000   1.486263e-17   3.000000e+00   1.151113e-37
         4.3500   5.835938e-15   3.000000e+00   4.981770e-35
         4.4000   1.130899e-12   3.000000e+00   1.146704e-32
         4.4500   1.138774e-10   3.000000e+00   1.471791e-30
         4.5000   6.205647e-09   3.000000e+00   1.079013e-28
         4.5500   1.927985e-07   3.000000e+00   4.659315e-27
         4.6000   3.638007e-06   3.000000e+00   1.237649e-25
         4.6500   4.420754e-05   3.000000e+00   2.111302e-24
         4.7000   3.615884e-04   3.000001e+00   2.392375e-23
         4.7500   2.071272e-03   3.000010e+00   1.861830e-22
         4.8000   8.733871e-03   3.000057e+00   1.042760e-21
         4.8500   2.866569e-02   3.000261e+00   4.440318e-21
         4.9000   7.647566e-02   3.001016e+00   1.502112e-20
         4.9500   1.692971e-01   3.003421e+00   4.127212e-20
         5.0000   3.126105e-01   3.010154e+00   9.275317e-20
