# CIE high-charge-pool tables for S (Z=16, pool q = 3 .. 16)
# Source: ioneq_S.txt + cool_S.txt
# x_high_frac  = sum_{q >= 3} ioneq_q(T)
# q_high_mean  = sum_{q >= 3} q * ioneq_q / x_high_frac  (0 where pool is empty)
# Lambda_high  = sum_{q >= 3} ioneq_q * L_q     [erg cm^3 / s]
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/chemistry/tables/chianti_v11/build_cie_high_pool.py
#
# log_T_K        x_high_frac    q_high_mean    Lambda_high  
         3.0000   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000  -6.711352e-268   0.000000e+00  -4.483441e-287
         3.1500  -6.663049e-238   0.000000e+00  -4.730821e-257
         3.2000  -3.750104e-211   0.000000e+00  -2.793542e-230
         3.2500  -2.687170e-187   0.000000e+00  -2.076560e-206
         3.3000  -5.043334e-166   0.000000e+00  -4.002411e-185
         3.3500  -4.717811e-147   0.000000e+00  -3.810549e-166
         3.4000  -3.904987e-130   0.000000e+00  -3.184325e-149
         3.4500  -4.771155e-115   0.000000e+00  -3.899887e-134
         3.5000  -1.357601e-101   0.000000e+00  -1.105199e-120
         3.5500  -1.349511e-89   0.000000e+00  -1.088101e-108
         3.6000  -6.714503e-79   0.000000e+00  -5.333310e-98
         3.6500  -2.296729e-69   0.000000e+00  -1.788791e-88
         3.7000  -7.127844e-61   0.000000e+00  -5.420556e-80
         3.7500  -2.544285e-53   0.000000e+00  -1.882003e-72
         3.8000  -1.261153e-46   0.000000e+00  -9.041975e-66
         3.8500  -9.543601e-41   0.000000e+00  -6.610575e-60
         3.9000  -7.128125e-36   0.000000e+00  -4.755879e-55
         3.9500   1.052984e-30   3.000000e+00   6.748776e-50
         4.0000   5.514819e-26   3.000000e+00   3.387672e-45
         4.0500   4.848665e-22   3.000000e+00   2.850935e-41
         4.1000   9.876803e-19   3.000000e+00   5.562360e-38
         4.1500   6.557193e-16   3.000000e+00   3.552855e-35
         4.2000   1.915382e-13   3.000000e+00   1.009635e-32
         4.2500   2.898108e-11   3.000000e+00   1.518405e-30
         4.3000   2.466274e-09   3.000000e+00   1.329446e-28
         4.3500   1.223278e-07   3.000000e+00   7.118590e-27
         4.4000   3.517442e-06   3.000000e+00   2.338772e-25
         4.4500   5.657055e-05   3.000000e+00   4.547174e-24
         4.5000   5.048744e-04   3.000003e+00   5.141900e-23
         4.5500   2.726896e-03   3.000021e+00   3.635135e-22
         4.6000   1.020966e-02   3.000107e+00   1.813349e-21
         4.6500   2.952260e-02   3.000449e+00   7.023559e-21
         4.7000   7.043024e-02   3.001599e+00   2.235113e-20
         4.7500   1.440145e-01   3.004957e+00   6.029397e-20
         4.8000   2.547396e-01   3.013586e+00   1.384387e-19
         4.8500   3.947584e-01   3.033276e+00   2.729068e-19
         4.9000   5.450322e-01   3.073078e+00   4.681020e-19
         4.9500   6.867417e-01   3.143468e+00   7.133208e-19
