1.000E-03 0.5584  0.9999 3.110E-23 2.515E+03
1.006E-03 0.5578  0.9999 3.150E-23 2.550E+03
1.012E-03 0.5572  0.9999 3.189E-23 2.586E+03
1.017E-03 0.5565  0.9999 3.229E-23 2.622E+03
1.023E-03 0.5552  0.9999 3.265E-23 2.659E+03
1.029E-03 0.5544  0.9999 3.305E-23 2.697E+03
1.035E-03 0.5535  0.9999 3.343E-23 2.734E+03
1.041E-03 0.5521  0.9999 3.377E-23 2.769E+03
1.047E-03 0.5512  0.9999 3.415E-23 2.806E+03
1.053E-03 0.5502  0.9999 3.453E-23 2.844E+03
1.059E-03 0.5486  0.9999 3.487E-23 2.882E+03
1.065E-03 0.5475  0.9999 3.525E-23 2.920E+03
1.072E-03 0.5463  0.9999 3.563E-23 2.960E+03
1.078E-03 0.5452  0.9999 3.602E-23 3.000E+03
1.084E-03 0.5433  0.9999 3.636E-23 3.040E+03
1.090E-03 0.5421  0.9999 3.674E-23 3.081E+03
1.096E-03 0.5408  0.9999 3.713E-23 3.122E+03
1.103E-03 0.5389  0.9999 3.747E-23 3.163E+03
1.109E-03 0.5375  0.9999 3.785E-23 3.205E+03
1.116E-03 0.5362  0.9999 3.824E-23 3.248E+03
1.122E-03 0.5348  0.9999 3.862E-23 3.290E+03
1.128E-03 0.5327  0.9999 3.896E-23 3.333E+03
1.135E-03 0.5313  0.9999 3.936E-23 3.378E+03
1.142E-03 0.5298  0.9999 3.976E-23 3.423E+03
1.148E-03 0.5277  0.9999 4.011E-23 3.468E+03
1.155E-03 0.5262  0.9999 4.051E-23 3.514E+03
1.161E-03 0.5247  0.9999 4.091E-23 3.560E+03
1.168E-03 0.5232  0.9999 4.132E-23 3.607E+03
1.175E-03 0.5209  0.9999 4.166E-23 3.654E+03
1.182E-03 0.5194  0.9999 4.206E-23 3.701E+03
1.189E-03 0.5179  0.9999 4.246E-23 3.748E+03
1.195E-03 0.5156  0.9999 4.280E-23 3.796E+03
1.202E-03 0.5141  0.9999 4.320E-23 3.844E+03
1.209E-03 0.5125  0.9999 4.360E-23 3.891E+03
1.216E-03 0.5110  0.9999 4.399E-23 3.939E+03
1.223E-03 0.5087  0.9999 4.432E-23 3.987E+03
1.230E-03 0.5071  0.9999 4.471E-23 4.035E+03
1.237E-03 0.5056  0.9999 4.510E-23 4.083E+03
1.245E-03 0.5031  0.9998 4.543E-23 4.133E+03
1.252E-03 0.5014  0.9998 4.584E-23 4.185E+03
1.259E-03 0.4996  0.9998 4.626E-23 4.238E+03
1.266E-03 0.4979  0.9998 4.667E-23 4.290E+03
1.274E-03 0.4953  0.9998 4.699E-23 4.343E+03
1.281E-03 0.4935  0.9998 4.740E-23 4.396E+03
1.288E-03 0.4917  0.9998 4.781E-23 4.450E+03
1.296E-03 0.4891  0.9998 4.814E-23 4.503E+03
1.303E-03 0.4873  0.9998 4.854E-23 4.556E+03
1.311E-03 0.4856  0.9998 4.896E-23 4.611E+03
1.318E-03 0.4829  0.9998 4.928E-23 4.667E+03
1.326E-03 0.4810  0.9998 4.970E-23 4.723E+03
1.334E-03 0.4791  0.9998 5.011E-23 4.779E+03
