1.000E-03 0.4859  0.9999 1.814E-23 2.659E+03
1.006E-03 0.4854  0.9999 1.838E-23 2.697E+03
1.012E-03 0.4848  0.9999 1.862E-23 2.736E+03
1.017E-03 0.4841  0.9999 1.886E-23 2.775E+03
1.023E-03 0.4829  0.9999 1.908E-23 2.815E+03
1.029E-03 0.4820  0.9999 1.932E-23 2.855E+03
1.035E-03 0.4811  0.9999 1.956E-23 2.895E+03
1.041E-03 0.4799  0.9999 1.977E-23 2.933E+03
1.047E-03 0.4789  0.9999 2.000E-23 2.973E+03
1.053E-03 0.4780  0.9999 2.023E-23 3.013E+03
1.059E-03 0.4764  0.9999 2.045E-23 3.054E+03
1.065E-03 0.4753  0.9999 2.069E-23 3.096E+03
1.072E-03 0.4742  0.9999 2.092E-23 3.138E+03
1.078E-03 0.4731  0.9999 2.116E-23 3.181E+03
1.084E-03 0.4713  0.9999 2.138E-23 3.224E+03
1.090E-03 0.4701  0.9999 2.162E-23 3.268E+03
1.096E-03 0.4689  0.9999 2.187E-23 3.313E+03
1.103E-03 0.4671  0.9999 2.209E-23 3.358E+03
1.109E-03 0.4658  0.9999 2.233E-23 3.403E+03
1.116E-03 0.4645  0.9999 2.257E-23 3.448E+03
1.122E-03 0.4631  0.9999 2.282E-23 3.494E+03
1.128E-03 0.4612  0.9999 2.304E-23 3.541E+03
1.135E-03 0.4599  0.9999 2.329E-23 3.589E+03
1.142E-03 0.4585  0.9999 2.355E-23 3.638E+03
1.148E-03 0.4565  0.9999 2.378E-23 3.687E+03
1.155E-03 0.4551  0.9999 2.404E-23 3.737E+03
1.161E-03 0.4537  0.9999 2.430E-23 3.787E+03
1.168E-03 0.4522  0.9999 2.456E-23 3.837E+03
1.175E-03 0.4501  0.9999 2.479E-23 3.888E+03
1.182E-03 0.4487  0.9999 2.505E-23 3.939E+03
1.189E-03 0.4473  0.9999 2.531E-23 3.991E+03
1.195E-03 0.4452  0.9999 2.554E-23 4.042E+03
1.202E-03 0.4438  0.9999 2.581E-23 4.094E+03
1.209E-03 0.4423  0.9999 2.606E-23 4.146E+03
1.216E-03 0.4409  0.9999 2.632E-23 4.198E+03
1.223E-03 0.4389  0.9999 2.655E-23 4.250E+03
1.230E-03 0.4374  0.9999 2.681E-23 4.302E+03
1.237E-03 0.4360  0.9999 2.707E-23 4.354E+03
1.245E-03 0.4338  0.9999 2.730E-23 4.409E+03
1.252E-03 0.4322  0.9999 2.758E-23 4.466E+03
1.259E-03 0.4306  0.9999 2.785E-23 4.523E+03
1.266E-03 0.4290  0.9999 2.812E-23 4.581E+03
1.274E-03 0.4267  0.9999 2.836E-23 4.638E+03
1.281E-03 0.4251  0.9999 2.864E-23 4.696E+03
1.288E-03 0.4235  0.9999 2.891E-23 4.755E+03
1.296E-03 0.4212  0.9999 2.915E-23 4.813E+03
1.303E-03 0.4196  0.9999 2.943E-23 4.872E+03
1.311E-03 0.4180  0.9999 2.971E-23 4.932E+03
1.318E-03 0.4157  0.9999 2.995E-23 4.992E+03
1.326E-03 0.4140  0.9998 3.024E-23 5.054E+03
1.334E-03 0.4123  0.9998 3.052E-23 5.116E+03
1.341E-03 0.4104  0.9998 3.080E-23 5.179E+03
1.349E-03 0.4080  0.9998 3.104E-23 5.242E+03
1.357E-03 0.4061  0.9998 3.132E-23 5.305E+03
1.365E-03 0.4042  0.9998 3.159E-23 5.369E+03
1.372E-03 0.4016  0.9998 3.184E-23 5.434E+03
1.380E-03 0.3995  0.9998 3.210E-23 5.499E+03
1.388E-03 0.3971  0.9998 3.236E-23 5.565E+03
1.396E-03 0.3947  0.9998 3.262E-23 5.632E+03
1.404E-03 0.3916  0.9998 3.284E-23 5.699E+03
1.413E-03 0.3891  0.9998 3.310E-23 5.767E+03
1.421E-03 0.3864  0.9998 3.334E-23 5.835E+03
1.429E-03 0.3832  0.9998 3.355E-23 5.903E+03
1.437E-03 0.3805  0.9998 3.380E-23 5.972E+03
1.445E-03 0.3741  0.9998 3.384E-23 6.041E+03
1.454E-03 0.3908  0.9998 3.302E-23 5.738E+03
1.462E-03 0.3898  0.9998 3.336E-23 5.806E+03
1.471E-03 0.3891  0.9998 3.372E-23 5.876E+03
1.479E-03 0.3883  0.9998 3.408E-23 5.946E+03
1.488E-03 0.3866  0.9998 3.439E-23 6.017E+03
1.496E-03 0.3852  0.9998 3.471E-23 6.088E+03
1.505E-03 0.3837  0.9998 3.503E-23 6.159E+03
1.514E-03 0.3820  0.9998 3.535E-23 6.231E+03
1.522E-03 0.3796  0.9998 3.562E-23 6.304E+03
1.531E-03 0.3775  0.9998 3.592E-23 6.378E+03
1.540E-03 0.3753  0.9998 3.621E-23 6.452E+03
1.549E-03 0.3725  0.9998 3.647E-23 6.527E+03
1.558E-03 0.3702  0.9998 3.675E-23 6.603E+03
1.567E-03 0.3677  0.9998 3.703E-23 6.679E+03
1.576E-03 0.3651  0.9998 3.730E-23 6.755E+03
