Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Helium
================================================================================
Byte-by-byte Description of file: datafile1B.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     He{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     He{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     He{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     He{CIE}       CIE Cooling efficiency (column 5)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
1.00e+04 2.83e-29 1.66e-24 3.16e-24 2.83e-29
1.05e+04 8.18e-29 1.46e-24 3.21e-24 8.18e-29
1.10e+04 2.24e-28 1.31e-24 3.27e-24 2.24e-28
1.16e+04 5.99e-28 1.19e-24 3.32e-24 5.99e-28
1.22e+04 1.52e-27 1.10e-24 3.38e-24 1.52e-27
1.28e+04 3.68e-27 1.04e-24 3.44e-24 3.69e-27
1.34e+04 8.60e-27 9.85e-25 3.50e-24 8.61e-27
1.41e+04 1.95e-26 9.48e-25 3.55e-24 1.95e-26
1.48e+04 4.29e-26 9.20e-25 3.61e-24 4.29e-26
1.55e+04 9.03e-26 9.00e-25 3.68e-24 9.04e-26
1.63e+04 1.84e-25 8.87e-25 3.74e-24 1.84e-25
1.71e+04 3.67e-25 8.79e-25 3.80e-24 3.67e-25
1.80e+04 7.05e-25 8.76e-25 3.86e-24 7.05e-25
1.89e+04 1.32e-24 8.76e-25 3.93e-24 1.32e-24
1.99e+04 2.41e-24 8.78e-25 3.99e-24 2.40e-24
2.09e+04 4.29e-24 8.83e-25 4.06e-24 4.24e-24
2.20e+04 7.42e-24 8.90e-25 4.13e-24 7.23e-24
2.31e+04 1.25e-23 8.99e-25 4.20e-24 1.18e-23
2.43e+04 2.06e-23 9.10e-25 4.27e-24 1.85e-23
2.56e+04 3.31e-23 9.25e-25 4.34e-24 2.72e-23
2.69e+04 5.22e-23 9.49e-25 4.41e-24 3.72e-23
2.83e+04 8.06e-23 9.89e-25 4.48e-24 4.65e-23
2.98e+04 1.22e-22 1.06e-24 4.55e-24 5.32e-23
3.14e+04 1.81e-22 1.20e-24 4.63e-24 5.63e-23
3.30e+04 2.65e-22 1.48e-24 4.70e-24 5.63e-23
3.47e+04 3.81e-22 1.98e-24 4.79e-24 5.44e-23
3.65e+04 5.40e-22 2.92e-24 4.87e-24 5.16e-23
3.84e+04 7.52e-22 4.59e-24 4.95e-24 4.92e-23
4.04e+04 1.03e-21 7.49e-24 5.04e-24 4.80e-23
4.26e+04 1.40e-21 1.24e-23 5.12e-24 4.90e-23
4.48e+04 1.86e-21 2.04e-23 5.21e-24 5.35e-23
4.71e+04 2.45e-21 3.32e-23 5.29e-24 6.32e-23
4.96e+04 3.19e-21 5.31e-23 5.38e-24 8.02e-23
5.22e+04 4.10e-21 8.31e-23 5.47e-24 1.07e-22
5.49e+04 5.22e-21 1.28e-22 5.56e-24 1.48e-22
5.78e+04 6.58e-21 1.93e-22 5.65e-24 2.07e-22
6.08e+04 8.24e-21 2.84e-22 5.74e-24 2.85e-22
6.40e+04 1.02e-20 4.12e-22 5.83e-24 3.83e-22
6.74e+04 1.25e-20 5.86e-22 5.92e-24 4.95e-22
7.09e+04 1.53e-20 8.18e-22 6.02e-24 6.09e-22
7.46e+04 1.84e-20 1.12e-21 6.11e-24 7.06e-22
7.86e+04 2.20e-20 1.52e-21 6.21e-24 7.69e-22
8.27e+04 2.61e-20 2.03e-21 6.30e-24 7.92e-22
8.70e+04 3.08e-20 2.66e-21 6.40e-24 7.77e-22
9.16e+04 3.60e-20 3.45e-21 6.49e-24 7.35e-22
9.64e+04 4.18e-20 4.42e-21 6.59e-24 6.77e-22
1.02e+05 4.84e-20 5.60e-21 6.69e-24 6.12e-22
1.07e+05 5.59e-20 6.99e-21 6.80e-24 5.49e-22
1.12e+05 6.41e-20 8.63e-21 6.92e-24 4.89e-22
1.18e+05 7.31e-20 1.06e-20 7.03e-24 4.34e-22
1.24e+05 8.29e-20 1.28e-20 7.14e-24 3.86e-22
1.31e+05 9.36e-20 1.54e-20 7.26e-24 3.42e-22
1.38e+05 1.05e-19 1.83e-20 7.37e-24 3.05e-22
1.45e+05 1.17e-19 2.15e-20 7.49e-24 2.72e-22
1.53e+05 1.30e-19 2.52e-20 7.60e-24 2.44e-22
1.61e+05 1.44e-19 2.93e-20 7.72e-24 2.18e-22
1.69e+05 1.59e-19 3.38e-20 7.84e-24 1.96e-22
1.78e+05 1.74e-19 3.88e-20 7.96e-24 1.77e-22
1.88e+05 1.91e-19 4.41e-20 8.08e-24 1.61e-22
1.98e+05 2.09e-19 4.99e-20 8.20e-24 1.46e-22
2.08e+05 2.28e-19 5.62e-20 8.32e-24 1.33e-22
2.19e+05 2.48e-19 6.29e-20 8.44e-24 1.21e-22
2.30e+05 2.74e-19 7.01e-20 8.56e-24 1.11e-22
2.42e+05 2.96e-19 7.76e-20 8.68e-24 1.02e-22
2.55e+05 3.18e-19 8.56e-20 8.80e-24 9.39e-23
2.69e+05 3.42e-19 9.41e-20 8.93e-24 8.67e-23
2.83e+05 3.66e-19 1.03e-19 9.05e-24 8.03e-23
2.98e+05 3.90e-19 1.12e-19 9.17e-24 7.45e-23
3.13e+05 4.15e-19 1.22e-19 9.30e-24 6.94e-23
3.30e+05 4.42e-19 1.32e-19 9.44e-24 6.47e-23
3.47e+05 4.70e-19 1.42e-19 9.58e-24 6.06e-23
3.66e+05 4.98e-19 1.52e-19 9.73e-24 5.68e-23
3.85e+05 5.27e-19 1.63e-19 9.88e-24 5.34e-23
4.05e+05 5.56e-19 1.74e-19 1.00e-23 5.04e-23
4.26e+05 5.85e-19 1.86e-19 1.02e-23 4.76e-23
4.49e+05 6.14e-19 1.97e-19 1.03e-23 4.50e-23
4.72e+05 6.44e-19 2.09e-19 1.05e-23 4.27e-23
4.97e+05 6.73e-19 2.30e-19 1.06e-23 4.18e-23
5.23e+05 7.03e-19 2.43e-19 1.08e-23 3.99e-23
5.51e+05 7.32e-19 2.55e-19 1.09e-23 3.80e-23
5.80e+05 7.57e-19 2.66e-19 1.11e-23 3.62e-23
6.10e+05 7.80e-19 2.78e-19 1.12e-23 3.46e-23
6.43e+05 8.03e-19 2.89e-19 1.14e-23 3.31e-23
6.76e+05 8.25e-19 3.01e-19 1.16e-23 3.18e-23
7.12e+05 8.47e-19 3.12e-19 1.17e-23 3.05e-23
7.49e+05 8.69e-19 3.24e-19 1.19e-23 2.94e-23
7.89e+05 8.90e-19 3.35e-19 1.20e-23 2.84e-23
8.30e+05 9.11e-19 3.46e-19 1.22e-23 2.75e-23
8.74e+05 9.32e-19 3.57e-19 1.23e-23 2.67e-23
9.20e+05 9.52e-19 3.68e-19 1.25e-23 2.59e-23
9.69e+05 9.72e-19 3.79e-19 1.27e-23 2.52e-23
1.02e+06 9.91e-19 3.89e-19 1.28e-23 2.46e-23
1.07e+06 1.01e-18 4.00e-19 1.30e-23 2.40e-23
1.13e+06 1.03e-18 4.10e-19 1.32e-23 2.35e-23
1.19e+06 1.05e-18 4.20e-19 1.34e-23 2.31e-23
1.25e+06 1.06e-18 4.30e-19 1.36e-23 2.27e-23
1.32e+06 1.08e-18 4.39e-19 1.38e-23 2.23e-23
1.39e+06 1.09e-18 4.48e-19 1.40e-23 2.20e-23
1.46e+06 1.11e-18 4.57e-19 1.42e-23 2.17e-23
1.54e+06 1.12e-18 4.66e-19 1.45e-23 2.15e-23
1.62e+06 1.14e-18 4.74e-19 1.47e-23 2.13e-23
1.70e+06 1.15e-18 4.82e-19 1.49e-23 2.11e-23
1.79e+06 1.16e-18 4.89e-19 1.51e-23 2.10e-23
