Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Hydrogen
================================================================================
Byte-by-byte Description of file: datafile1A.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     H{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     H{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     H{CIE}       CIE Cooling efficiency (column 4)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
1.00e+04 4.59e-24 6.26e-25 4.58e-24
1.05e+04 7.93e-24 6.37e-25 7.90e-24
1.10e+04 1.33e-23 6.47e-25 1.32e-23
1.16e+04 2.22e-23 6.57e-25 2.18e-23
1.22e+04 3.57e-23 6.68e-25 3.44e-23
1.28e+04 5.63e-23 6.78e-25 5.24e-23
1.34e+04 8.71e-23 6.89e-25 7.62e-23
1.41e+04 1.33e-22 7.00e-25 1.05e-22
1.48e+04 1.99e-22 7.11e-25 1.34e-22
1.55e+04 2.93e-22 7.22e-25 1.57e-22
1.63e+04 4.24e-22 7.33e-25 1.69e-22
1.71e+04 6.07e-22 7.45e-25 1.69e-22
1.80e+04 8.53e-22 7.56e-25 1.61e-22
1.89e+04 1.18e-21 7.68e-25 1.47e-22
1.99e+04 1.62e-21 7.80e-25 1.31e-22
2.09e+04 2.19e-21 7.92e-25 1.16e-22
2.20e+04 2.92e-21 8.04e-25 1.02e-22
2.31e+04 3.84e-21 8.16e-25 8.96e-23
2.43e+04 5.00e-21 8.29e-25 7.86e-23
2.56e+04 6.43e-21 8.41e-25 6.91e-23
2.69e+04 8.19e-21 8.53e-25 6.10e-23
2.83e+04 1.03e-20 8.66e-25 5.39e-23
2.98e+04 1.29e-20 8.79e-25 4.79e-23
3.14e+04 1.59e-20 8.91e-25 4.27e-23
3.30e+04 1.95e-20 9.06e-25 3.82e-23
3.47e+04 2.36e-20 9.20e-25 3.43e-23
3.65e+04 2.84e-20 9.35e-25 3.08e-23
3.84e+04 3.38e-20 9.50e-25 2.78e-23
4.04e+04 4.00e-20 9.65e-25 2.51e-23
4.26e+04 4.70e-20 9.80e-25 2.28e-23
4.48e+04 5.48e-20 9.96e-25 2.08e-23
4.71e+04 6.36e-20 1.01e-24 1.90e-23
4.96e+04 7.32e-20 1.03e-24 1.74e-23
5.22e+04 8.38e-20 1.04e-24 1.60e-23
5.49e+04 9.54e-20 1.06e-24 1.47e-23
5.78e+04 1.08e-19 1.07e-24 1.36e-23
6.08e+04 1.22e-19 1.09e-24 1.25e-23
6.40e+04 1.36e-19 1.10e-24 1.16e-23
6.74e+04 1.51e-19 1.12e-24 1.08e-23
7.09e+04 1.68e-19 1.14e-24 1.00e-23
7.46e+04 1.85e-19 1.15e-24 9.37e-24
7.86e+04 2.04e-19 1.17e-24 8.76e-24
8.27e+04 2.24e-19 1.18e-24 8.21e-24
8.70e+04 2.44e-19 1.20e-24 7.72e-24
9.16e+04 2.66e-19 1.22e-24 7.26e-24
9.64e+04 2.88e-19 1.23e-24 6.85e-24
1.02e+05 3.12e-19 1.25e-24 6.48e-24
1.07e+05 3.36e-19 1.27e-24 6.14e-24
1.12e+05 3.62e-19 1.29e-24 5.84e-24
1.18e+05 3.88e-19 1.31e-24 5.55e-24
1.24e+05 4.13e-19 1.33e-24 5.28e-24
1.31e+05 4.40e-19 1.35e-24 5.03e-24
1.38e+05 4.67e-19 1.37e-24 4.81e-24
1.45e+05 4.94e-19 1.39e-24 4.60e-24
1.53e+05 5.23e-19 1.41e-24 4.42e-24
1.61e+05 5.52e-19 1.43e-24 4.25e-24
1.69e+05 5.81e-19 1.45e-24 4.09e-24
1.78e+05 6.10e-19 1.47e-24 3.94e-24
1.88e+05 6.39e-19 1.49e-24 3.81e-24
1.98e+05 6.68e-19 1.51e-24 3.68e-24
2.08e+05 6.97e-19 1.53e-24 3.57e-24
2.19e+05 7.27e-19 1.55e-24 3.46e-24
2.30e+05 7.57e-19 1.57e-24 3.37e-24
2.42e+05 7.85e-19 1.59e-24 3.28e-24
2.55e+05 8.13e-19 1.61e-24 3.19e-24
2.69e+05 8.42e-19 1.63e-24 3.12e-24
2.83e+05 8.70e-19 1.65e-24 3.05e-24
2.98e+05 8.92e-19 1.67e-24 2.98e-24
3.13e+05 9.08e-19 1.70e-24 2.91e-24
3.30e+05 9.24e-19 1.72e-24 2.85e-24
3.47e+05 9.39e-19 1.75e-24 2.80e-24
3.66e+05 9.53e-19 1.77e-24 2.75e-24
3.85e+05 9.67e-19 1.80e-24 2.71e-24
4.05e+05 9.80e-19 1.83e-24 2.68e-24
