Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Lithium
================================================================================
Byte-by-byte Description of file: datafile1C.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     Li{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     Li{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     Li{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     Li{3+}        Ionic Cooling efficiency (column 5)
  46- 53 A8     ---     Li{CIE}       CIE Cooling efficiency (column 6)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
1.00e+04 1.53e-19 1.77e-25 3.39e-24 8.50e-24 4.31e-22
1.05e+04 1.73e-19 1.83e-25 3.44e-24 8.63e-24 3.42e-22
1.10e+04 1.95e-19 1.88e-25 3.49e-24 8.77e-24 2.75e-22
1.16e+04 2.19e-19 1.93e-25 3.55e-24 8.92e-24 2.21e-22
1.22e+04 2.44e-19 1.99e-25 3.60e-24 9.06e-24 1.80e-22
1.28e+04 2.72e-19 2.05e-25 3.66e-24 9.21e-24 1.48e-22
1.34e+04 3.01e-19 2.10e-25 3.71e-24 9.36e-24 1.22e-22
1.41e+04 3.33e-19 2.16e-25 3.77e-24 9.51e-24 1.01e-22
1.48e+04 3.66e-19 2.23e-25 3.83e-24 9.67e-24 8.43e-23
1.55e+04 4.02e-19 2.29e-25 3.88e-24 9.82e-24 7.09e-23
1.63e+04 4.40e-19 2.35e-25 3.94e-24 9.98e-24 6.00e-23
1.71e+04 4.80e-19 2.42e-25 4.00e-24 1.01e-23 5.10e-23
1.80e+04 5.22e-19 2.49e-25 4.06e-24 1.03e-23 4.36e-23
1.89e+04 5.66e-19 2.55e-25 4.13e-24 1.05e-23 3.75e-23
1.99e+04 6.13e-19 2.62e-25 4.19e-24 1.06e-23 3.24e-23
2.09e+04 6.61e-19 2.70e-25 4.25e-24 1.08e-23 2.81e-23
2.20e+04 7.12e-19 2.77e-25 4.31e-24 1.10e-23 2.45e-23
2.31e+04 7.64e-19 2.85e-25 4.38e-24 1.12e-23 2.15e-23
2.43e+04 8.18e-19 2.92e-25 4.44e-24 1.14e-23 1.89e-23
2.56e+04 8.74e-19 3.00e-25 4.51e-24 1.15e-23 1.67e-23
2.69e+04 9.32e-19 3.08e-25 4.57e-24 1.17e-23 1.49e-23
2.83e+04 9.91e-19 3.16e-25 4.64e-24 1.19e-23 1.33e-23
2.98e+04 1.05e-18 3.25e-25 4.83e-24 1.21e-23 1.19e-23
3.14e+04 1.11e-18 3.34e-25 4.87e-24 1.23e-23 1.07e-23
3.30e+04 1.18e-18 3.44e-25 4.91e-24 1.25e-23 9.63e-24
3.47e+04 1.24e-18 3.56e-25 4.97e-24 1.27e-23 8.73e-24
3.65e+04 1.31e-18 3.71e-25 5.04e-24 1.29e-23 7.93e-24
3.84e+04 1.38e-18 3.91e-25 5.11e-24 1.31e-23 7.25e-24
4.04e+04 1.44e-18 4.23e-25 5.18e-24 1.34e-23 6.66e-24
4.26e+04 1.51e-18 4.82e-25 5.26e-24 1.36e-23 6.16e-24
4.48e+04 1.58e-18 5.95e-25 5.33e-24 1.38e-23 5.78e-24
4.71e+04 1.65e-18 8.19e-25 5.41e-24 1.40e-23 5.57e-24
4.96e+04 1.72e-18 1.25e-24 5.49e-24 1.43e-23 5.61e-24
5.22e+04 1.79e-18 2.07e-24 5.57e-24 1.45e-23 6.09e-24
5.49e+04 1.86e-18 3.59e-24 5.66e-24 1.47e-23 7.29e-24
5.78e+04 1.92e-18 6.30e-24 5.75e-24 1.50e-23 9.71e-24
6.08e+04 1.99e-18 1.10e-23 5.85e-24 1.52e-23 1.41e-23
6.40e+04 2.06e-18 1.88e-23 5.96e-24 1.54e-23 2.17e-23
6.74e+04 2.13e-18 3.17e-23 6.11e-24 1.57e-23 3.42e-23
7.09e+04 2.19e-18 5.20e-23 6.33e-24 1.59e-23 5.41e-23
7.46e+04 2.26e-18 8.34e-23 6.68e-24 1.62e-23 8.43e-23
7.86e+04 2.32e-18 1.31e-22 7.28e-24 1.64e-23 1.29e-22
8.27e+04 2.39e-18 2.01e-22 8.30e-24 1.67e-23 1.90e-22
8.70e+04 2.45e-18 3.01e-22 1.01e-23 1.69e-23 2.71e-22
9.16e+04 2.51e-18 4.43e-22 1.31e-23 1.72e-23 3.69e-22
9.64e+04 2.57e-18 6.38e-22 1.80e-23 1.74e-23 4.74e-22
1.02e+05 2.62e-18 9.05e-22 2.62e-23 1.77e-23 5.73e-22
1.07e+05 2.68e-18 1.26e-21 3.89e-23 1.80e-23 6.52e-22
1.12e+05 2.73e-18 1.71e-21 5.85e-23 1.83e-23 7.06e-22
1.18e+05 2.78e-18 2.31e-21 8.80e-23 1.86e-23 7.38e-22
