T cool_rate
1.00152E+01 2.26759E-30
1.09865E+01 2.87398E-30
1.20521E+01 3.58999E-30
1.32209E+01 4.42974E-30
1.45032E+01 5.40765E-30
1.59098E+01 6.53914E-30
1.74528E+01 7.82488E-30
1.91455E+01 9.28827E-30
2.10023E+01 1.09448E-29
2.30393E+01 1.28053E-29
2.52737E+01 1.48784E-29
2.77249E+01 1.71434E-29
3.04138E+01 1.96118E-29
3.33636E+01 2.22923E-29
3.65994E+01 2.51831E-29
4.01490E+01 2.82815E-29
4.40429E+01 3.15543E-29
4.83160E+01 3.50189E-29
5.30034E+01 3.87026E-29
5.81436E+01 4.22964E-29
6.37801E+01 4.55439E-29
6.99654E+01 4.95437E-29
7.67510E+01 5.38343E-29
8.41947E+01 5.84928E-29
9.23604E+01 6.35939E-29
1.01318E+02 6.92258E-29
1.11144E+02 7.55156E-29
1.21924E+02 8.26056E-29
1.33749E+02 9.05858E-29
1.46721E+02 9.96746E-29
1.60950E+02 1.10257E-28
1.76560E+02 1.23224E-28
1.93684E+02 1.37946E-28
2.12469E+02 1.54442E-28
2.33076E+02 1.72678E-28
2.55681E+02 1.92550E-28
2.80478E+02 2.13920E-28
3.07681E+02 2.36755E-28
3.37521E+02 2.61307E-28
3.70256E+02 2.87583E-28
4.06166E+02 3.15621E-28
4.45558E+02 3.45500E-28
4.88772E+02 3.76989E-28
5.36176E+02 4.10295E-28
5.88177E+02 4.45395E-28
6.45222E+02 4.82260E-28
7.07800E+02 5.20850E-28
7.76447E+02 5.60717E-28
8.51751E+02 6.02238E-28
9.34360E+02 6.45399E-28
1.02498E+03 6.90189E-28
1.12439E+03 7.36602E-28
1.23344E+03 7.84247E-28
1.35307E+03 8.33200E-28
1.48429E+03 8.83943E-28
1.62825E+03 9.36598E-28
1.78617E+03 9.91008E-28
1.95940E+03 1.04692E-27
2.14944E+03 1.10621E-27
2.35790E+03 1.16806E-27
2.58659E+03 1.23223E-27
2.83746E+03 1.29873E-27
3.11265E+03 1.36649E-27
3.41454E+03 1.43568E-27
3.74570E+03 1.50746E-27
4.10898E+03 1.58227E-27
4.50750E+03 1.66035E-27
4.94467E+03 1.74190E-27
5.42424E+03 1.82647E-27
5.95040E+03 1.91147E-27
6.52807E+03 1.99540E-27
7.16309E+03 2.07962E-27
7.86158E+03 2.19384E-27
8.66507E+03 2.51177E-27
9.66766E+03 5.22702E-27
1.08058E+04 4.60457E-26
1.20720E+04 6.16075E-25
1.31302E+04 3.56699E-24
1.40172E+04 1.20643E-23
1.48330E+04 2.40512E-23
1.56196E+04 4.28613E-23
1.67074E+04 6.09117E-23
1.78004E+04 7.60857E-23
1.95127E+04 7.21495E-23
2.18567E+04 5.98243E-23
2.42033E+04 4.89980E-23
2.69761E+04 4.08462E-23
2.98513E+04 3.54834E-23
3.30990E+04 3.10956E-23
3.68622E+04 2.73587E-23
4.08574E+04 2.49781E-23
4.51503E+04 2.42011E-23
4.97111E+04 2.55835E-23
5.45801E+04 3.02546E-23
5.98335E+04 3.86383E-23
6.53617E+04 5.06853E-23
7.12717E+04 6.58862E-23
7.76201E+04 7.72973E-23
8.46661E+04 8.21192E-23
9.26715E+04 8.09969E-23
1.01858E+05 7.53034E-23
1.12311E+05 6.74145E-23
1.24057E+05 5.92420E-23
1.36945E+05 5.31209E-23
1.50864E+05 4.89916E-23
1.65953E+05 4.61335E-23
1.82336E+05 4.39530E-23
2.00179E+05 4.21193E-23
2.19696E+05 4.08030E-23
2.41034E+05 3.89706E-23
2.64432E+05 3.53035E-23
2.90096E+05 2.98791E-23
3.18261E+05 2.38931E-23
3.49120E+05 1.96859E-23
3.83030E+05 1.74124E-23
4.20204E+05 1.61387E-23
4.60950E+05 1.53973E-23
5.05651E+05 1.48433E-23
5.54687E+05 1.41301E-23
6.08481E+05 1.32684E-23
6.67493E+05 1.25693E-23
7.32228E+05 1.21433E-23
8.03241E+05 1.20147E-23
8.81144E+05 1.20565E-23
9.66601E+05 1.19933E-23
1.06035E+06 1.17751E-23
1.16318E+06 1.14351E-23
1.27600E+06 1.10190E-23
1.39975E+06 1.05257E-23
1.53550E+06 9.93853E-24
1.68442E+06 9.21584E-24
1.84779E+06 8.42327E-24
2.02700E+06 7.65636E-24
2.22359E+06 7.01073E-24
2.43925E+06 6.55324E-24
2.67582E+06 6.21168E-24
2.93534E+06 5.94823E-24
3.22002E+06 5.74997E-24
3.53232E+06 5.63039E-24
3.87490E+06 5.57857E-24
4.25071E+06 5.58286E-24
4.66297E+06 5.62766E-24
5.11521E+06 5.70232E-24
5.61131E+06 5.80114E-24
6.15553E+06 5.92197E-24
6.75253E+06 6.06086E-24
7.40743E+06 6.21827E-24
8.12584E+06 6.39581E-24
8.91393E+06 6.59623E-24
9.77846E+06 6.77738E-24
1.07268E+07 6.97946E-24
1.17672E+07 7.17989E-24
1.29084E+07 7.37373E-24
1.41604E+07 7.56993E-24
1.55337E+07 7.75270E-24
1.70403E+07 7.94073E-24
1.86929E+07 8.16427E-24
2.05059E+07 8.42598E-24
2.24947E+07 8.71096E-24
2.46763E+07 9.01849E-24
2.70696E+07 9.34683E-24
2.96949E+07 9.69404E-24
3.25749E+07 1.00717E-23
3.57342E+07 1.04957E-23
3.91999E+07 1.09389E-23
4.30018E+07 1.14007E-23
4.71724E+07 1.18808E-23
5.17474E+07 1.23787E-23
5.67662E+07 1.28992E-23
6.22717E+07 1.34835E-23
6.83111E+07 1.40887E-23
7.49364E+07 1.47153E-23
8.22041E+07 1.53632E-23
9.01767E+07 1.60321E-23
9.89226E+07 1.67204E-23
1.08517E+08 1.74877E-23
1.19041E+08 1.82907E-23
1.30587E+08 1.91228E-23
1.43252E+08 1.99846E-23
1.57145E+08 2.08754E-23
1.72386E+08 2.18323E-23
1.89105E+08 2.28278E-23
2.07445E+08 2.38791E-23
2.27565E+08 2.49984E-23
2.49635E+08 2.61607E-23
2.73846E+08 2.73654E-23
3.00405E+08 2.86158E-23
3.29540E+08 2.99630E-23
3.61501E+08 3.14290E-23
3.96562E+08 3.29588E-23
4.35022E+08 3.45533E-23
4.77213E+08 3.62179E-23
5.23496E+08 3.79559E-23
5.74268E+08 3.98039E-23
6.29964E+08 4.18539E-23
6.91061E+08 4.40108E-23
7.58085E+08 4.62828E-23
8.31608E+08 4.86789E-23
9.12262E+08 5.12094E-23
1.00074E+09 5.38638E-23
