# CIE bound-bound cooling efficiency for H (Z=1)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_H0           L_H1         
         3.0000   1.999554e-70   0.000000e+00
         3.0500   7.387929e-65   0.000000e+00
         3.1000   6.737829e-60   0.000000e+00
         3.1500   1.766231e-55   0.000000e+00
         3.2000   1.524185e-51   0.000000e+00
         3.2500   4.886682e-48   0.000000e+00
         3.3000   6.483170e-45   0.000000e+00
         3.3500   3.918105e-42   0.000000e+00
         3.4000   1.175056e-39   0.000000e+00
         3.4500   1.887413e-37   0.000000e+00
         3.5000   1.737901e-35   0.000000e+00
         3.5500   9.746332e-34   0.000000e+00
         3.6000   3.513630e-32   0.000000e+00
         3.6500   8.543864e-31   0.000000e+00
         3.7000   1.462653e-29   0.000000e+00
         3.7500   1.831425e-28   0.000000e+00
         3.8000   1.735230e-27   0.000000e+00
         3.8500   1.282291e-26   0.000000e+00
         3.9000   7.592357e-26   0.000000e+00
         3.9500   3.689270e-25   0.000000e+00
         4.0000   1.502955e-24   0.000000e+00
         4.0500   5.231700e-24   0.000000e+00
         4.1000   1.582622e-23   0.000000e+00
         4.1500   4.223718e-23   0.000000e+00
         4.2000   1.007944e-22   0.000000e+00
         4.2500   2.176805e-22   0.000000e+00
         4.3000   4.300477e-22   0.000000e+00
         4.3500   7.847301e-22   0.000000e+00
         4.4000   1.334145e-21   0.000000e+00
         4.4500   2.129937e-21   0.000000e+00
         4.5000   3.215774e-21   0.000000e+00
         4.5500   4.621028e-21   0.000000e+00
         4.6000   6.356773e-21   0.000000e+00
         4.6500   8.414758e-21   0.000000e+00
         4.7000   1.076911e-20   0.000000e+00
         4.7500   1.337957e-20   0.000000e+00
         4.8000   1.619551e-20   0.000000e+00
         4.8500   1.916029e-20   0.000000e+00
         4.9000   2.221471e-20   0.000000e+00
         4.9500   2.529966e-20   0.000000e+00
         5.0000   2.835792e-20   0.000000e+00
         5.0500   3.133555e-20   0.000000e+00
         5.1000   3.418289e-20   0.000000e+00
         5.1500   3.685559e-20   0.000000e+00
         5.2000   3.931618e-20   0.000000e+00
         5.2500   4.153523e-20   0.000000e+00
         5.3000   4.349092e-20   0.000000e+00
         5.3500   4.516895e-20   0.000000e+00
         5.4000   4.656227e-20   0.000000e+00
         5.4500   4.767060e-20   0.000000e+00
         5.5000   4.849970e-20   0.000000e+00
         5.5500   4.906041e-20   0.000000e+00
         5.6000   4.936770e-20   0.000000e+00
         5.6500   4.943962e-20   0.000000e+00
         5.7000   4.929635e-20   0.000000e+00
         5.7500   4.895926e-20   0.000000e+00
         5.8000   4.845014e-20   0.000000e+00
         5.8500   4.779061e-20   0.000000e+00
         5.9000   4.700152e-20   0.000000e+00
         5.9500   4.610268e-20   0.000000e+00
         6.0000   4.511251e-20   0.000000e+00
         6.0500   4.404796e-20   0.000000e+00
         6.1000   4.292438e-20   0.000000e+00
         6.1500   4.175556e-20   0.000000e+00
         6.2000   4.055372e-20   0.000000e+00
         6.2500   3.932962e-20   0.000000e+00
         6.3000   3.809265e-20   0.000000e+00
         6.3500   3.685091e-20   0.000000e+00
         6.4000   3.561137e-20   0.000000e+00
         6.4500   3.437994e-20   0.000000e+00
         6.5000   3.316162e-20   0.000000e+00
         6.5500   3.196057e-20   0.000000e+00
         6.6000   3.078024e-20   0.000000e+00
         6.6500   2.962342e-20   0.000000e+00
         6.7000   2.849237e-20   0.000000e+00
         6.7500   2.738885e-20   0.000000e+00
         6.8000   2.631422e-20   0.000000e+00
         6.8500   2.526948e-20   0.000000e+00
         6.9000   2.425530e-20   0.000000e+00
         6.9500   2.327211e-20   0.000000e+00
         7.0000   2.232011e-20   0.000000e+00
         7.0500   2.139932e-20   0.000000e+00
         7.1000   2.050958e-20   0.000000e+00
         7.1500   1.965062e-20   0.000000e+00
         7.2000   1.882204e-20   0.000000e+00
         7.2500   1.802337e-20   0.000000e+00
         7.3000   1.725404e-20   0.000000e+00
         7.3500   1.651344e-20   0.000000e+00
         7.4000   1.580090e-20   0.000000e+00
         7.4500   1.511573e-20   0.000000e+00
         7.5000   1.445720e-20   0.000000e+00
         7.5500   1.382456e-20   0.000000e+00
         7.6000   1.321704e-20   0.000000e+00
         7.6500   1.263389e-20   0.000000e+00
         7.7000   1.207433e-20   0.000000e+00
         7.7500   1.153760e-20   0.000000e+00
         7.8000   1.102292e-20   0.000000e+00
         7.8500   1.052955e-20   0.000000e+00
         7.9000   1.005673e-20   0.000000e+00
         7.9500   9.603751e-21   0.000000e+00
         8.0000   9.169875e-21   0.000000e+00
         8.0500   8.754406e-21   0.000000e+00
         8.1000   8.356654e-21   0.000000e+00
         8.1500   7.975951e-21   0.000000e+00
         8.2000   7.611643e-21   0.000000e+00
         8.2500   7.263097e-21   0.000000e+00
         8.3000   6.929695e-21   0.000000e+00
         8.3500   6.610840e-21   0.000000e+00
         8.4000   6.305954e-21   0.000000e+00
         8.4500   6.014474e-21   0.000000e+00
         8.5000   5.735859e-21   0.000000e+00
         8.5500   5.469585e-21   0.000000e+00
         8.6000   5.215144e-21   0.000000e+00
         8.6500   4.972048e-21   0.000000e+00
         8.7000   4.739826e-21   0.000000e+00
         8.7500   4.518023e-21   0.000000e+00
         8.8000   4.306200e-21   0.000000e+00
         8.8500   4.103938e-21   0.000000e+00
         8.9000   3.910828e-21   0.000000e+00
         8.9500   3.726482e-21   0.000000e+00
         9.0000   3.550522e-21   0.000000e+00
