# CIE bound-bound cooling efficiency for He (Z=2)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_He0          L_He1          L_He2        
         3.0000  1.991641e-123  2.848695e-224   0.000000e+00
         3.0500  3.899377e-112  6.280042e-202   0.000000e+00
         3.1000  4.513157e-102  5.113464e-182   0.000000e+00
         3.1500   4.199382e-93  2.827739e-164   0.000000e+00
         3.2000   4.131299e-85  1.827687e-148   0.000000e+00
         3.2500   5.485304e-78  2.239908e-134   0.000000e+00
         3.3000   1.221785e-71  8.011234e-122   0.000000e+00
         3.3500   5.541725e-66  1.228057e-110   0.000000e+00
         3.4000   6.083565e-61  1.136434e-100   0.000000e+00
         3.4500   1.885268e-56   8.615020e-92   0.000000e+00
         3.5000   1.891702e-52   7.022870e-84   0.000000e+00
         3.5500   6.945129e-49   7.845654e-77   0.000000e+00
         3.6000   1.040327e-45   1.490927e-70   0.000000e+00
         3.6500   7.006483e-43   5.843122e-65   0.000000e+00
         3.7000   2.313539e-40   5.607196e-60   0.000000e+00
         3.7500   4.046117e-38   1.535327e-55   0.000000e+00
         3.8000   4.015152e-36   1.374758e-51   0.000000e+00
         3.8500   2.404149e-34   4.545647e-48   0.000000e+00
         3.9000   9.175735e-33   6.185055e-45   0.000000e+00
         3.9500   2.344269e-31   3.814059e-42   0.000000e+00
         4.0000   4.188395e-30   1.161677e-39   0.000000e+00
         4.0500   5.441410e-29   1.886828e-37   0.000000e+00
         4.1000   5.322654e-28   1.749857e-35   0.000000e+00
         4.1500   4.043925e-27   9.847925e-34   0.000000e+00
         4.2000   2.453494e-26   3.550861e-32   0.000000e+00
         4.2500   1.218454e-25   8.609630e-31   0.000000e+00
         4.3000   5.063260e-25   1.465655e-29   0.000000e+00
         4.3500   1.795329e-24   1.820447e-28   0.000000e+00
