# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         3.0000   0.000000e+00   4.700216e-26   1.027031e-20   4.230195e-25   6.819648e-20   1.443695e-20   1.692078e-24   5.126574e-21   8.069144e-21   1.239611e-20   2.873564e-21   1.226520e-22   4.950695e-21   5.769534e-22   9.001388e-21   5.709332e-20   2.955759e-19   3.109321e-19   7.633062e-19
         3.0500   0.000000e+00   4.978722e-26   1.151068e-20   4.480858e-25   7.450980e-20   1.930080e-20   1.792340e-24   4.840439e-21   7.618609e-21   1.170370e-20   2.713416e-21   1.164400e-22   4.674740e-21   5.456073e-22   8.499018e-21   5.390133e-20   2.790486e-19   2.935406e-19   7.206888e-19
         3.1000   0.000000e+00   5.273729e-26   1.264930e-20   4.746513e-25   8.049191e-20   2.485854e-20   1.898543e-24   4.570348e-21   7.193326e-21   1.105008e-20   2.562265e-21   1.106140e-22   4.414618e-21   5.160696e-22   8.024819e-21   5.088801e-20   2.634462e-19   3.921822e-19   6.803617e-19
         3.1500   0.000000e+00   5.586217e-26   1.365915e-20   5.029639e-25   8.604938e-20   3.097131e-20   2.011038e-24   4.315405e-21   6.791886e-21   1.043309e-20   2.452390e-21   1.051546e-22   4.170081e-21   4.882425e-22   7.577230e-21   4.804337e-20   2.487170e-19   3.702461e-19   6.423084e-19
         3.2000   0.000000e+00   5.917222e-26   1.452265e-20   5.345579e-25   9.110109e-20   3.746432e-20   2.130200e-24   4.074767e-21   6.412959e-21   9.850697e-21   2.316028e-21   1.000438e-22   3.941681e-21   4.620343e-22   7.154745e-21   4.535796e-20   2.348122e-19   3.495371e-19   6.068767e-19
         3.2500   0.000000e+00   6.267839e-26   1.523206e-20   5.793984e-25   9.558097e-20   4.414378e-20   2.256422e-24   3.847634e-21   6.055287e-21   9.301025e-21   2.187645e-21   9.526459e-23   3.731282e-21   4.373620e-22   6.756433e-21   4.282291e-20   2.216857e-19   3.299868e-19   5.737020e-19
         3.3000   0.000000e+00   6.639232e-26   1.578982e-20   6.903247e-25   9.943896e-20   5.081361e-20   2.390123e-24   3.633254e-21   5.717686e-21   8.782479e-21   2.275420e-21   9.080113e-23   3.542582e-21   4.141687e-22   6.380031e-21   4.042979e-20   2.092940e-19   3.115302e-19   5.416294e-19
         3.3500   0.000000e+00   7.032631e-26   1.620933e-20   1.092766e-24   1.026400e-19   5.728987e-20   2.531747e-24   3.430917e-21   5.399036e-21   8.294074e-21   2.152747e-21   8.663865e-23   3.381461e-21   3.924975e-22   6.024776e-21   3.817068e-20   1.975960e-19   2.941063e-19   5.113357e-19
         3.4000   0.000000e+00   7.449341e-26   1.651625e-20   2.572952e-24   1.051619e-19   6.341161e-20   2.681763e-24   3.239951e-21   5.098282e-21   7.836176e-21   2.042425e-21   8.276334e-23   3.255934e-21   3.727479e-22   5.698854e-21   3.603809e-20   1.865530e-19   2.776572e-19   4.831346e-19
         3.4500   0.000000e+00   7.890742e-26   1.674994e-20   7.413813e-24   1.069920e-19   6.904760e-20   2.840667e-24   3.059724e-21   4.814425e-21   7.411836e-21   1.949244e-21   7.916238e-23   3.175621e-21   3.563758e-22   5.381904e-21   3.402495e-20   1.761284e-19   2.621284e-19   4.560798e-19
         3.5000   0.000000e+00   8.358298e-26   1.696368e-20   2.122892e-23   1.081238e-19   7.409936e-20   3.008987e-24   2.889638e-21   4.546526e-21   7.028696e-21   2.624393e-21   7.582380e-23   3.150834e-21   3.474394e-22   5.082792e-21   3.403719e-20   1.662875e-19   3.598265e-19   4.302562e-19
         3.5500   0.000000e+00   8.868435e-26   1.722249e-20   5.589018e-23   1.085539e-19   7.850085e-20   3.187281e-24   2.729129e-21   4.293696e-21   6.701067e-21   2.550612e-21   7.273885e-23   3.191561e-21   3.553604e-22   4.903793e-21   3.213633e-20   1.569978e-19   3.397018e-19   4.067724e-19
         3.6000   0.000000e+00   9.427428e-26   1.759803e-20   1.332956e-22   1.082994e-19   8.221592e-20   3.376139e-24   2.577665e-21   4.055097e-21   6.451366e-21   2.528983e-21   6.989257e-23   3.306639e-21   3.988795e-22   4.631669e-21   3.034199e-20   1.482285e-19   3.207031e-19   3.844406e-19
         3.6500   0.000000e+00   1.002449e-25   1.816539e-20   2.891154e-22   1.074254e-19   8.523410e-20   3.576188e-24   2.434744e-21   3.875203e-21   6.309932e-21   2.574677e-21   6.738075e-23   3.503322e-21   5.104157e-22   4.374897e-21   2.864822e-20   1.399505e-19   3.027674e-19   3.636299e-19
         3.7000   0.000000e+00   1.066254e-25   1.899361e-20   5.752242e-22   1.060199e-19   8.756571e-20   3.788090e-24   2.299892e-21   3.660207e-21   7.052787e-21   2.702289e-21   6.498345e-23   3.787151e-21   7.391724e-22   4.788257e-21   2.704941e-20   1.321364e-19   2.858353e-19   3.437694e-19
         3.7500   0.000000e+00   1.134473e-25   2.013312e-20   1.059604e-21   1.041804e-19   8.923675e-20   4.012549e-24   2.172662e-21   3.457342e-21   7.194300e-21   2.923474e-21   6.280155e-23   4.161929e-21   1.151271e-21   4.523037e-21   2.554026e-20   1.247602e-19   2.698506e-19   3.239131e-19
         3.8000   0.000000e+00   1.207451e-25   2.160914e-20   1.823144e-21   1.020064e-19   9.028399e-20   4.250319e-24   2.052631e-21   3.265935e-21   7.548993e-21   4.665065e-21   6.292942e-23   4.629505e-21   1.824177e-21   4.272809e-21   2.411576e-20   1.177976e-19   2.547603e-19   3.059092e-19
