# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         3.0000   0.000000e+00   0.000000e+00   1.027012e-20   3.348710e-32   6.819573e-20   1.443578e-20   3.540773e-89  3.184826e-105   0.000000e+00   1.647488e-30   8.127375e-29   8.305429e-79   3.925447e-26   4.945577e-33  4.868099e-166  6.420264e-179   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   0.000000e+00   0.000000e+00   1.151048e-20   8.657816e-31   7.450900e-20   1.929955e-20   1.776457e-81   1.016281e-95   0.000000e+00   2.622424e-29   7.369315e-28   2.193385e-72   1.730630e-25   1.616393e-31  4.886398e-150  1.769980e-161   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   0.000000e+00   0.000000e+00   1.264909e-20   1.561506e-29   8.049107e-20   2.485722e-20   1.296209e-74   3.008858e-87   0.000000e+00   3.069062e-28   5.227786e-27   1.157714e-66   6.451793e-25   3.592761e-30  8.853053e-136  6.152167e-146   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   0.000000e+00   0.000000e+00   1.365892e-20   2.043041e-28   8.604848e-20   3.096991e-20   1.696197e-68   1.071267e-79   0.000000e+00   2.730476e-27   2.980625e-26   1.456434e-61   2.071266e-24   5.663236e-29  4.473077e-123  4.337948e-132   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   0.000000e+00   0.000000e+00   1.452241e-20   2.007970e-27   9.110014e-20   3.746284e-20   4.796996e-63   5.777006e-73   0.000000e+00   1.902518e-26   1.398991e-25   5.108346e-57   5.820126e-24   6.571726e-28  9.278211e-112  9.480397e-120   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   0.000000e+00   0.000000e+00   1.523181e-20   1.529289e-26   9.557997e-20   4.414222e-20   3.461639e-58   5.793227e-67   0.000000e+00   1.066096e-25   5.522346e-25   5.743333e-53   1.452360e-23   5.804047e-27  1.113839e-101  9.369680e-109   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   0.000000e+00   0.000000e+00   1.578956e-20   9.279382e-26   9.943790e-20   5.081195e-20   7.390175e-54   1.296552e-61   0.000000e+00   4.919315e-25   1.868506e-24   2.343275e-49   3.260653e-23   4.018870e-26   1.050050e-92   5.864167e-99   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   0.000000e+00   0.000000e+00   1.620905e-20   4.598289e-25   1.026389e-19   5.728811e-20   5.325067e-50   7.617375e-57   0.000000e+00   1.908969e-24   5.511519e-24   3.873913e-46   6.663405e-23   2.240169e-25   1.020257e-84   3.137591e-90   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   0.000000e+00   0.000000e+00   1.651596e-20   1.902511e-24   1.051607e-19   6.340974e-20   1.456486e-46   1.357437e-52   0.000000e+00   6.347832e-24   1.438718e-23   2.862252e-43   1.252681e-22   1.029187e-24   1.303493e-77   1.875198e-82   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   0.000000e+00   0.000000e+00   1.674963e-20   6.703646e-24   1.069907e-19   6.904563e-20   1.679103e-43   8.345168e-49   0.000000e+00   1.839253e-23   3.368176e-23   1.031190e-40   2.187394e-22   3.979806e-24   2.727649e-71   1.588840e-75   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   0.000000e+00   0.000000e+00   1.696334e-20   2.047667e-23   1.081225e-19   7.409727e-20   8.957597e-41   1.985106e-45   0.000000e+00   4.713146e-23   7.155854e-23   1.957511e-38   3.579369e-22   1.319802e-23   1.140418e-65   2.360266e-69   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   0.000000e+00   0.000000e+00   1.722214e-20   5.509336e-23   1.085525e-19   7.849864e-20   2.403336e-38   2.024012e-42   0.000000e+00   1.082404e-22   1.394215e-22   2.097841e-36   5.533896e-22   3.816577e-23   1.139984e-60   7.428954e-64   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   0.000000e+00   0.000000e+00   1.759765e-20   1.324516e-22   1.082979e-19   8.221358e-20   3.493016e-36   9.691332e-40   0.000000e+00   2.254249e-22   2.514441e-22   1.349728e-34   8.144499e-22   9.768033e-23   3.200727e-56   5.865297e-59   0.000000e+00   0.000000e+00   0.000000e+00
