# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         3.0000   8.655100e-23   2.224002e-21   4.206282e-51   6.829986e-58   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   1.009593e-22   2.140511e-21   1.445993e-47   1.570174e-53   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   1.161359e-22   2.058626e-21   2.036095e-44   1.203617e-49   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   1.320326e-22   1.978947e-21   1.293746e-41   3.466652e-46   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   1.489029e-22   1.902103e-21   4.043731e-39   4.172956e-43   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   1.677147e-22   1.828795e-21   6.713841e-37   2.308301e-40   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   1.908165e-22   1.759847e-21   6.340786e-35   6.385282e-38   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   2.228291e-22   1.696107e-21   3.620618e-33   9.524401e-36   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   2.715991e-22   1.637837e-21   1.319754e-31   8.192903e-34   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   3.491049e-22   1.584934e-21   3.223506e-30   4.315005e-32   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   4.722323e-22   1.537013e-21   5.509369e-29   1.467717e-30   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   6.619299e-22   1.493319e-21   6.849847e-28   3.381241e-29   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   9.419331e-22   1.452652e-21   6.416240e-27   5.504171e-28   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   1.337111e-21   1.413669e-21   4.674852e-26   6.575043e-27   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   1.871745e-21   1.376463e-21   2.727988e-25   5.961032e-26  6.386787e-319   0.000000e+00   0.000000e+00
         3.7500   2.568202e-21   1.343007e-21   1.307983e-24   4.226652e-25  3.027268e-286   0.000000e+00   0.000000e+00
         3.8000   3.446171e-21   1.318921e-21   5.270174e-24   2.407373e-24  4.009227e-257  6.645262e-316   0.000000e+00
         3.8500   4.523688e-21   1.317013e-21   1.820534e-23   1.128027e-23  3.607065e-231  5.053913e-280   0.000000e+00
         3.9000   5.819596e-21   1.362349e-21   5.487545e-23   4.441787e-23  4.872616e-208  1.350597e-251   0.000000e+00
         3.9500   7.357216e-21   1.498765e-21   1.465650e-22   1.497919e-22  2.003271e-187  2.906456e-226   0.000000e+00
         4.0000   9.169093e-21   1.796415e-21   3.515777e-22   4.399959e-22  4.703297e-169  1.093002e-203   0.000000e+00
         4.0500   1.130266e-20   2.359793e-21   7.677705e-22   1.142825e-21  1.104345e-152  1.432804e-183   0.000000e+00
         4.1000   1.382643e-20   3.337821e-21   1.546632e-21   2.660198e-21  4.269648e-138  1.211541e-165   0.000000e+00
