# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         3.0000   0.000000e+00   1.304553e-26   0.000000e+00   0.000000e+00   2.418717e-21   7.566584e-36   1.027919e-21   1.611883e-21  1.686545e-108  1.631575e-126   0.000000e+00   5.697980e-39   4.454786e-35   2.091669e-85   1.772730e-30   1.521932e-42  6.696503e-187  1.194326e-199   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   0.000000e+00   1.042140e-25   0.000000e+00   0.000000e+00   3.289338e-21   4.905707e-34   1.326344e-21   2.984201e-21   9.331756e-99  1.062599e-114   0.000000e+00   5.928274e-37   1.933666e-33   3.140867e-78   2.610208e-29   4.359373e-40  1.301483e-168  5.782204e-180   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   0.000000e+00   6.593230e-25   0.000000e+00   0.000000e+00   4.293006e-21   2.010041e-32   1.684155e-21   5.134216e-21   4.486697e-90  3.575158e-104   0.000000e+00   3.699956e-35   5.536917e-32   7.771159e-72   2.850594e-28   6.708597e-38  2.578682e-152  2.011973e-162   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   0.000000e+00   3.388236e-24   0.000000e+00   0.000000e+00   5.402650e-21   5.470349e-31   2.107058e-21   8.274281e-21   2.450223e-82   8.584166e-95   0.000000e+00   1.464465e-33   1.094465e-30   3.854817e-66   2.385243e-27   5.934348e-36  8.574517e-138  8.606089e-147   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   0.000000e+00   1.446639e-23   0.000000e+00   0.000000e+00   6.584890e-21   1.033721e-29   2.597920e-21   1.257994e-20   1.928185e-75   1.962148e-86   0.000000e+00   3.862817e-32   1.555129e-29   4.566364e-61   1.574133e-26   3.204881e-34  7.457935e-125  7.301174e-133   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   0.000000e+00   5.236195e-23   0.000000e+00   0.000000e+00   7.804563e-21   1.411106e-28   3.155438e-21   1.815789e-20   2.701658e-69   5.520892e-79   0.000000e+00   7.096777e-31   1.646789e-28   1.509855e-56   8.407530e-26   1.114984e-32  2.517473e-113  1.881648e-120   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   0.000000e+00   1.635987e-22   0.000000e+00   0.000000e+00   9.028869e-21   1.441503e-27   3.773388e-21   2.502290e-20   8.134814e-64   2.404497e-72   0.000000e+00   9.446154e-30   1.342109e-27   1.601520e-52   3.718788e-25   2.621378e-31  4.678565e-103  2.154085e-109   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   0.000000e+00   4.484370e-22   0.000000e+00   0.000000e+00   1.023040e-20   1.137227e-26   4.440612e-21   3.308836e-20   6.222383e-59   1.987952e-66   0.000000e+00   9.434808e-29   8.662820e-27   6.169921e-49   1.390409e-24   4.346331e-30   6.517589e-94   1.536882e-99   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   0.000000e+00   1.094361e-21   0.000000e+00   0.000000e+00   1.138867e-20   7.126184e-26   5.141771e-21   4.217164e-20   1.403083e-54   3.741434e-61   0.000000e+00   7.296040e-28   4.542849e-26   9.644525e-46   4.475350e-24   5.279143e-29   8.927622e-86   9.241692e-91   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   0.000000e+00   2.409812e-21   0.000000e+00   0.000000e+00   1.249038e-20   3.636969e-25   5.858677e-21   5.201199e-20   1.064692e-50   1.883963e-56   0.000000e+00   4.491945e-27   1.979918e-25   6.752105e-43   1.260469e-23   4.859300e-28   1.527394e-78   6.129440e-83   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   0.000000e+00   4.847667e-21   0.000000e+00   0.000000e+00   1.352869e-20   1.546095e-24   6.571993e-21   6.229671e-20   3.058807e-47   2.929923e-52   0.000000e+00   2.257237e-26   7.317719e-25   2.312049e-40   3.151916e-23   3.493638e-27   4.043953e-72   5.698612e-76   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   0.000000e+00   9.011044e-21   0.000000e+00   0.000000e+00   1.450210e-20   5.585683e-24   7.263045e-21   7.269050e-20   3.695199e-44   1.598786e-48   0.000000e+00   9.465563e-26   2.335072e-24   4.188044e-38   7.089264e-23   2.015470e-26   2.018344e-66   9.195890e-70   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   0.000000e+00   1.564228e-20   0.000000e+00   0.000000e+00   1.541692e-20   1.746245e-23   7.915515e-21   8.286343e-20   2.061047e-41   3.428562e-45   0.000000e+00   3.378547e-25   6.536445e-24   4.303089e-36   1.451010e-22   9.556547e-26   2.285243e-61   3.116025e-64   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   0.000000e+00   2.560362e-20   0.000000e+00   0.000000e+00   1.629962e-20   4.801700e-23   8.516789e-21   9.251424e-20   5.769124e-39   3.196015e-42   0.000000e+00   1.044685e-24   1.627993e-23   2.668278e-34   2.731025e-22   3.804994e-25   6.975069e-57   2.627260e-59   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   0.000000e+00   3.985886e-20   0.000000e+00   0.000000e+00   1.719078e-20   1.178508e-22   9.058805e-21   1.013871e-19   8.729915e-37   1.416624e-39   0.000000e+00   2.842769e-24   3.653468e-23   1.055054e-32   4.771534e-22   1.296673e-24   6.711518e-53   6.412084e-55   0.000000e+00   0.000000e+00   0.000000e+00
         3.7500   0.000000e+00   5.945727e-20   0.000000e+00   0.000000e+00   1.813842e-20   2.616246e-22   9.538246e-21   1.092815e-19   7.631876e-35   3.234226e-37   0.000000e+00   6.903820e-24   7.470851e-23   2.793417e-31   7.804671e-22   3.847068e-24   2.337459e-49   5.183828e-51   0.000000e+00   0.000000e+00   0.000000e+00
         3.8000   0.000000e+00   8.551089e-20   0.000000e+00   0.000000e+00   1.919224e-20   5.316227e-22   9.956092e-21   1.160556e-19   4.090156e-33   4.084281e-35  2.442452e-295   1.515171e-23   1.405996e-22   5.171959e-30   1.204304e-21   1.008910e-23   3.322100e-46   1.565551e-47   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   0.000000e+00   1.191519e-19   0.000000e+00   0.000000e+00   2.039881e-20   9.993136e-22   1.031661e-20   1.216248e-19   1.416995e-31   3.040287e-33  3.617674e-265   3.038818e-23   2.457046e-22   6.959297e-29   1.765151e-21   2.370763e-23   2.137398e-43   1.966144e-44   0.000000e+00   0.000000e+00   0.000000e+00
         3.9000   0.000000e+00   1.614634e-19   0.000000e+00   0.000000e+00   2.180453e-20   1.753883e-21   1.062603e-20   1.259564e-19   3.327553e-30   1.411980e-31  2.797249e-238   5.625258e-23   4.018899e-22   7.042703e-28   2.472562e-21   5.052364e-23   6.812454e-41   1.129946e-41   0.000000e+00   0.000000e+00   0.000000e+00
