# CIE bound-bound cooling efficiency for He (Z=2)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_He0          L_He1          L_He2        
         3.0000  4.564749e-119  5.949922e-224   0.000000e+00
         3.0500  3.255952e-108  1.313920e-201   0.000000e+00
         3.1000   1.531119e-98  1.071759e-181   0.000000e+00
         3.1500   6.379160e-90  5.938023e-164   0.000000e+00
         3.2000   3.064174e-82  3.845737e-148   0.000000e+00
         3.2500   2.145719e-75  4.723327e-134   0.000000e+00
         3.3000   2.699966e-69  1.693300e-121   0.000000e+00
         3.3500   7.355339e-64  2.602304e-110   0.000000e+00
         3.4000   5.122001e-59  2.414850e-100   0.000000e+00
         3.4500   1.057231e-54   1.836212e-91   0.000000e+00
         3.5000   7.381112e-51   1.501866e-83   0.000000e+00
         3.5500   1.960737e-47   1.683995e-76   0.000000e+00
         3.6000   2.201219e-44   3.213101e-70   0.000000e+00
         3.6500   1.146935e-41   1.264878e-64   0.000000e+00
         3.7000   3.015497e-39   1.219785e-59   0.000000e+00
         3.7500   4.310690e-37   3.358077e-55   0.000000e+00
         3.8000   3.581509e-35   3.024873e-51   0.000000e+00
         3.8500   1.835688e-33   1.006769e-47   0.000000e+00
         3.9000   6.121791e-32   1.379801e-44   0.000000e+00
         3.9500   1.393078e-30   8.576529e-42   0.000000e+00
         4.0000   2.257074e-29   2.635145e-39   0.000000e+00
         4.0500   2.704237e-28   4.321448e-37   0.000000e+00
         4.1000   2.478082e-27   4.050530e-35   0.000000e+00
         4.1500   1.789620e-26   2.306582e-33   0.000000e+00
         4.2000   1.045810e-25   8.426826e-32   0.000000e+00
         4.2500   5.061027e-25   2.073585e-30   0.000000e+00
         4.3000   2.070190e-24   3.589248e-29   0.000000e+00
         4.3500   7.289028e-24   4.543022e-28   0.000000e+00
         4.4000   2.245170e-23   4.352762e-27   0.000000e+00
         4.4500   6.137835e-23   3.255699e-26   0.000000e+00
         4.5000   1.508524e-22   1.953816e-25   0.000000e+00
         4.5500   3.372026e-22   9.639349e-25   0.000000e+00
         4.6000   6.927524e-22   3.994822e-24   0.000000e+00
         4.6500   1.320288e-21   1.417481e-23   0.000000e+00
         4.7000   2.353698e-21   4.379630e-23   0.000000e+00
         4.7500   3.953451e-21   1.196122e-22   0.000000e+00
         4.8000   6.296733e-21   2.926586e-22   0.000000e+00
         4.8500   9.568616e-21   6.492367e-22   0.000000e+00
         4.9000   1.395345e-20   1.319933e-21   0.000000e+00
         4.9500   1.962031e-20   2.482906e-21   0.000000e+00
         5.0000   2.670826e-20   4.358376e-21   0.000000e+00
         5.0500   3.531167e-20   7.192799e-21   0.000000e+00
         5.1000   4.546739e-20   1.123473e-20   0.000000e+00
         5.1500   5.714605e-20   1.670652e-20   0.000000e+00
         5.2000   7.024973e-20   2.377734e-20   0.000000e+00
         5.2500   8.461630e-20   3.254273e-20   0.000000e+00
         5.3000   1.000300e-19   4.301385e-20   0.000000e+00
         5.3500   1.162366e-19   5.511417e-20   0.000000e+00
         5.4000   1.329607e-19   6.868669e-20   0.000000e+00
         5.4500   1.499230e-19   8.350931e-20   0.000000e+00
         5.5000   1.668552e-19   9.931274e-20   0.000000e+00
         5.5500   1.835118e-19   1.158003e-19   0.000000e+00
         5.6000   1.996779e-19   1.326702e-19   0.000000e+00
         5.6500   2.151732e-19   1.496305e-19   0.000000e+00
         5.7000   2.298529e-19   1.664086e-19   0.000000e+00
         5.7500   2.436058e-19   1.827623e-19   0.000000e+00
         5.8000   2.563516e-19   1.984885e-19   0.000000e+00
         5.8500   2.680362e-19   2.134411e-19   0.000000e+00
         5.9000   2.786277e-19   2.275286e-19   0.000000e+00
         5.9500   2.881124e-19   2.406955e-19   0.000000e+00
         6.0000   2.964909e-19   2.529089e-19   0.000000e+00
         6.0500   3.037752e-19   2.641552e-19   0.000000e+00
         6.1000   3.099862e-19   2.744283e-19   0.000000e+00
         6.1500   3.151516e-19   2.837261e-19   0.000000e+00
         6.2000   3.193048e-19   2.920502e-19   0.000000e+00
         6.2500   3.224834e-19   2.994058e-19   0.000000e+00
         6.3000   3.247287e-19   3.058017e-19   0.000000e+00
         6.3500   3.260847e-19   3.112507e-19   0.000000e+00
         6.4000   3.265976e-19   3.157696e-19   0.000000e+00
         6.4500   3.263157e-19   3.193796e-19   0.000000e+00
         6.5000   3.252882e-19   3.221061e-19   0.000000e+00
         6.5500   3.235656e-19   3.239783e-19   0.000000e+00
         6.6000   3.211985e-19   3.250295e-19   0.000000e+00
         6.6500   3.182377e-19   3.252962e-19   0.000000e+00
         6.7000   3.147334e-19   3.248179e-19   0.000000e+00
         6.7500   3.107352e-19   3.236365e-19   0.000000e+00
         6.8000   3.062917e-19   3.217959e-19   0.000000e+00
         6.8500   3.014498e-19   3.193411e-19   0.000000e+00
         6.9000   2.962550e-19   3.163183e-19   0.000000e+00
         6.9500   2.907508e-19   3.127736e-19   0.000000e+00
         7.0000   2.849787e-19   3.087532e-19   0.000000e+00
         7.0500   2.789780e-19   3.043028e-19   0.000000e+00
         7.1000   2.727857e-19   2.994667e-19   0.000000e+00
         7.1500   2.664366e-19   2.942884e-19   0.000000e+00
         7.2000   2.599630e-19   2.888096e-19   0.000000e+00
         7.2500   2.533949e-19   2.830700e-19   0.000000e+00
         7.3000   2.467602e-19   2.771078e-19   0.000000e+00
         7.3500   2.400843e-19   2.709588e-19   0.000000e+00
         7.4000   2.333906e-19   2.646568e-19   0.000000e+00
         7.4500   2.267002e-19   2.582332e-19   0.000000e+00
         7.5000   2.200326e-19   2.517175e-19   0.000000e+00
         7.5500   2.134049e-19   2.451367e-19   0.000000e+00
         7.6000   2.068328e-19   2.385157e-19   0.000000e+00
         7.6500   2.003301e-19   2.318776e-19   0.000000e+00
         7.7000   1.939091e-19   2.252430e-19   0.000000e+00
         7.7500   1.875806e-19   2.186310e-19   0.000000e+00
         7.8000   1.813541e-19   2.120587e-19   0.000000e+00
         7.8500   1.752377e-19   2.055412e-19   0.000000e+00
         7.9000   1.692384e-19   1.990923e-19   0.000000e+00
         7.9500   1.633620e-19   1.927242e-19   0.000000e+00
         8.0000   1.576137e-19   1.864474e-19   0.000000e+00
         8.0500   1.519972e-19   1.802713e-19   0.000000e+00
         8.1000   1.465159e-19   1.742040e-19   0.000000e+00
         8.1500   1.411721e-19   1.682523e-19   0.000000e+00
         8.2000   1.359676e-19   1.624222e-19   0.000000e+00
         8.2500   1.309035e-19   1.567186e-19   0.000000e+00
         8.3000   1.259804e-19   1.511453e-19   0.000000e+00
         8.3500   1.211984e-19   1.457056e-19   0.000000e+00
         8.4000   1.165571e-19   1.404020e-19   0.000000e+00
         8.4500   1.120557e-19   1.352361e-19   0.000000e+00
         8.5000   1.076931e-19   1.302090e-19   0.000000e+00
         8.5500   1.034679e-19   1.253215e-19   0.000000e+00
         8.6000   9.937836e-20   1.205736e-19   0.000000e+00
         8.6500   9.542253e-20   1.159649e-19   0.000000e+00
         8.7000   9.159826e-20   1.114947e-19   0.000000e+00
         8.7500   8.790321e-20   1.071619e-19   0.000000e+00
         8.8000   8.433491e-20   1.029652e-19   0.000000e+00
         8.8500   8.089074e-20   9.890281e-20   0.000000e+00
         8.9000   7.756799e-20   9.497286e-20   0.000000e+00
