# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         3.0000   0.000000e+00   7.309613e-40  2.066352e-284   3.311724e-22   8.822215e-22   1.624241e-53   4.685237e-21   1.884290e-21  1.723008e-107  3.388986e-118   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   0.000000e+00   1.851592e-37  1.631519e-255   4.435125e-22   1.131935e-21   8.864494e-50   5.610304e-21   2.978084e-21   6.478647e-98  2.403550e-107   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   0.000000e+00   2.554383e-35  9.211504e-230   5.719439e-22   1.410684e-21   1.885928e-46   6.628749e-21   4.448859e-21   2.219848e-89   1.123568e-97   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   0.000000e+00   2.050360e-33  8.172655e-207   7.131737e-22   1.713145e-21   1.732825e-43   7.727916e-21   6.320129e-21   9.001282e-82   4.659537e-89   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   0.000000e+00   1.015709e-31  2.298522e-186   8.630510e-22   2.033077e-21   7.533462e-41   8.887860e-21   8.584631e-21   5.449473e-75   2.234057e-81   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   0.000000e+00   3.272753e-30  3.830189e-168   1.016972e-21   2.363803e-21   1.681065e-38   1.008249e-20   1.120287e-20   6.056561e-69   1.567804e-74   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   0.000000e+00   7.187719e-29  6.604013e-152   1.170287e-21   2.698640e-21   2.070240e-36   1.128165e-20   1.410626e-20   1.485093e-63   1.986560e-68   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   0.000000e+00   1.121820e-27  1.936743e-137   1.318645e-21   3.031239e-21   1.500976e-34   1.245373e-20   1.720381e-20   9.461893e-59   5.477671e-63   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   0.000000e+00   1.291428e-26  1.504847e-124   1.458263e-21   3.355818e-21   6.786747e-33   1.356833e-20   2.039097e-20   1.811973e-54   3.880027e-58   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   0.000000e+00   1.133562e-25  4.599981e-113   1.586090e-21   3.667301e-21   2.014563e-31   1.459860e-20   2.355899e-20   1.187482e-50   8.182051e-54   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   0.000000e+00   7.814551e-25  7.871896e-103   1.699877e-21   3.961359e-21   4.109638e-30   1.552305e-20   2.660338e-20   2.989790e-47   5.856206e-50   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   0.000000e+00   4.344275e-24   1.033480e-93   1.798171e-21   4.234412e-21   6.001231e-29   1.632666e-20   2.943070e-20   3.206279e-44   1.598644e-46   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   0.000000e+00   1.993995e-23   1.379675e-85   1.880248e-21   4.483644e-21   6.505455e-28   1.700136e-20   3.196313e-20   1.605811e-41   1.846592e-43   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   0.000000e+00   7.717180e-23   2.410332e-78   1.946006e-21   4.707136e-21   5.407401e-27   1.754597e-20   3.414096e-20   4.077684e-39   9.900760e-41   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   0.000000e+00   2.565820e-22   6.906824e-72   1.995831e-21   4.904277e-21   3.547506e-26   1.796578e-20   3.592301e-20   5.649755e-37   2.676034e-38   0.000000e+00   0.000000e+00   0.000000e+00
         3.7500   0.000000e+00   7.451308e-22   3.963442e-66   2.030461e-21   5.076584e-21   1.884864e-25   1.827209e-20   3.728577e-20   4.560430e-35   3.924911e-36   0.000000e+00   0.000000e+00   0.000000e+00
         3.8000   0.000000e+00   1.918198e-21   5.432917e-61   2.050840e-21   5.228943e-21   8.299656e-25   1.848167e-20   3.822135e-20   2.273876e-33   3.336119e-34   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   0.000000e+00   4.435326e-21   2.078528e-56   2.057989e-21   5.371039e-21   3.091748e-24   1.861664e-20   3.873497e-20   7.379507e-32   1.742720e-32   0.000000e+00   0.000000e+00   0.000000e+00
         3.9000   0.000000e+00   9.320260e-21   2.545059e-52   2.052870e-21   5.518450e-21   9.924552e-24   1.870433e-20   3.884229e-20   1.633375e-30   5.896053e-31   0.000000e+00   0.000000e+00   0.000000e+00
         3.9500   0.000000e+00   1.798754e-20   1.124522e-48   2.036369e-21   5.692781e-21   2.790879e-23   1.877705e-20   3.856672e-20   2.570905e-29   1.353878e-29   0.000000e+00   0.000000e+00   0.000000e+00
         4.0000   0.000000e+00   3.219026e-20   1.992662e-45   2.009713e-21   5.920377e-21   6.977514e-23   1.887113e-20   3.793718e-20   2.987100e-28   2.200094e-28   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   0.000000e+00   5.388461e-20   1.560812e-42   1.974341e-21   6.229550e-21   1.571497e-22   1.902506e-20   3.698621e-20   2.649020e-27   2.626398e-27   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   0.000000e+00   8.503581e-20   5.902458e-40   1.931834e-21   6.646832e-21   3.226115e-22   1.927625e-20   3.574862e-20   1.847444e-26   2.381282e-26   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   0.000000e+00   1.274105e-19   1.166225e-37   1.883983e-21   7.193049e-21   6.099968e-22   1.965695e-20   3.426081e-20   1.040692e-25   1.689318e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   0.000000e+00   1.824011e-19   1.292307e-35   1.832889e-21   7.880125e-21   1.072166e-21   2.018948e-20   3.256082e-20   4.850010e-25   9.629228e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   0.000000e+00   2.509112e-19   8.559396e-34   1.780835e-21   8.709220e-21   1.766087e-21   2.088116e-20   3.068941e-20   1.910657e-24   4.515849e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   0.000000e+00   3.333103e-19   3.588065e-32   1.729097e-21   9.670443e-21   2.745880e-21   2.171897e-20   2.869235e-20   6.487989e-24   1.779650e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   0.000000e+00   4.294482e-19   1.001129e-30   1.678378e-21   1.074397e-20   4.055108e-21   2.266299e-20   2.662442e-20   1.933308e-23   6.005733e-23  4.116308e-318   0.000000e+00   0.000000e+00
         4.4000   0.000000e+00   5.387168e-19   1.944089e-29   1.629130e-21   1.190218e-20   5.720081e-21   2.363873e-20   2.455495e-20   5.140828e-23   1.764979e-22  1.330420e-285  1.064032e-316   0.000000e+00
         4.4500   0.000000e+00   6.601121e-19   2.734280e-28   1.581557e-21   1.311255e-20   7.746207e-21   2.457064e-20   2.257529e-20   1.239403e-22   4.585349e-22  1.403227e-256  7.061737e-282   0.000000e+00
         4.5000   0.000000e+00   7.922967e-19   2.886213e-27   1.535728e-21   1.434127e-20   1.011974e-20   2.545621e-20   2.080864e-20   2.750119e-22   1.067282e-21  1.029682e-230  2.840785e-253   0.000000e+00
         4.5500   0.000000e+00   9.336684e-19   2.360439e-26   1.492129e-21   1.555830e-20   1.281719e-20   2.633299e-20   1.941205e-20   5.692737e-22   2.252415e-21  1.159451e-207  8.803966e-228   0.000000e+00
         4.6000   0.000000e+00   1.082487e-18   1.538869e-25   1.453489e-21   1.674441e-20   1.582380e-20   2.729263e-20   1.853133e-20   1.111514e-21   4.356237e-21  4.053878e-187  4.583147e-205   0.000000e+00
         4.6500   0.000000e+00   1.237139e-18   8.203980e-25   1.427196e-21   1.790172e-20   1.915960e-20   2.850709e-20   1.833082e-20   2.063386e-21   7.794811e-21  8.245579e-169  8.028210e-185   0.000000e+00
         4.7000   0.000000e+00   1.396154e-18   3.659075e-24   1.429864e-21   1.907224e-20   2.290768e-20   3.024673e-20   1.902204e-20   3.666280e-21   1.301456e-20  1.706459e-152  8.789426e-167   0.000000e+00
         4.7500   0.000000e+00   1.557580e-18   1.393528e-23   1.494362e-21   2.035537e-20   2.723542e-20   3.283816e-20   2.087367e-20   6.262467e-21   2.043107e-20  5.909838e-138  1.044399e-150   0.000000e+00
         4.8000   0.000000e+00   1.719446e-18   4.615143e-23   1.678607e-21   2.191799e-20   3.239855e-20   3.659835e-20   2.421143e-20   1.030277e-20   3.036199e-20  5.331338e-125  2.202684e-136   0.000000e+00
         4.8500   0.000000e+00   1.879913e-18   1.350887e-22   2.075315e-21   2.400096e-20   3.872167e-20   4.189655e-20   2.941820e-20   1.633459e-20   4.297002e-20  1.858644e-113  1.278221e-123   0.000000e+00
         4.9000   0.000000e+00   2.037146e-18   3.544974e-22   2.822489e-21   2.690775e-20   4.655584e-20   4.913825e-20   3.699529e-20   2.496972e-20   5.822760e-20  3.563990e-103  3.016570e-112   0.000000e+00
