# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         3.0000  1.556974e-103   9.152627e-22   2.470794e-21   1.508766e-44   3.273250e-20   1.281690e-20   1.032834e-88   3.778858e-98   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   2.080809e-94   9.859418e-22   2.609696e-21   9.039571e-42   3.452871e-20   1.485131e-20   3.867743e-81   1.903161e-89   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   2.838540e-86   1.049388e-21   2.724985e-21   2.683701e-39   3.606534e-20   1.682981e-20   2.172176e-74   1.087275e-81   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   5.059044e-79   1.105000e-21   2.816386e-21   4.261119e-37   3.731869e-20   1.869680e-20   2.246810e-68   8.920652e-75   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   1.467462e-72   1.152270e-21   2.884382e-21   3.873051e-35   3.827497e-20   2.040577e-20   5.140864e-63   1.296846e-68   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   8.423037e-67   1.190657e-21   2.930048e-21   2.141146e-33   3.892959e-20   2.192072e-20   3.063835e-58   4.028254e-63   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   1.138163e-61   1.219437e-21   2.954888e-21   7.599105e-32   3.928594e-20   2.321647e-20   5.502378e-54   3.159054e-58   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   4.225521e-57   1.237829e-21   2.960694e-21   1.816804e-30   3.935381e-20   2.427805e-20   3.391216e-50   7.258362e-54   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   4.953048e-53   1.245969e-21   2.949431e-21   3.054325e-29   3.914783e-20   2.509953e-20   8.054768e-47   5.579670e-50   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   2.076420e-49   1.244546e-21   2.923187e-21   3.751366e-28   3.868587e-20   2.568248e-20   8.176820e-44   1.615452e-46   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   3.481189e-46   1.234601e-21   2.884244e-21   3.482824e-27   3.798775e-20   2.603429e-20   3.890885e-41   1.957837e-43   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   2.580994e-43   1.217528e-21   2.835377e-21   2.519633e-26   3.707420e-20   2.616660e-20   9.423824e-39   1.091417e-40   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   9.269953e-41   1.195078e-21   2.780471e-21   1.459408e-25   3.596640e-20   2.609374e-20   1.250418e-36   3.044083e-38   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   1.751598e-38   1.169095e-21   2.725494e-21   6.933555e-25   3.468619e-20   2.583156e-20   9.705978e-35   4.578814e-36   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   1.870286e-36   1.140504e-21   2.679669e-21   2.760968e-24   3.325710e-20   2.539643e-20   4.673393e-33   3.971391e-34   0.000000e+00   0.000000e+00   0.000000e+00
         3.7500   1.201595e-34   1.109850e-21   2.656450e-21   9.394825e-24   3.170629e-20   2.480450e-20   1.470845e-31   2.108376e-32   0.000000e+00   0.000000e+00   0.000000e+00
         3.8000   4.910643e-33   1.077573e-21   2.673827e-21   2.779419e-23   3.006703e-20   2.407131e-20   3.170678e-30   7.225869e-31   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   1.340797e-31   1.044023e-21   2.753517e-21   7.260877e-23   2.838131e-20   2.321162e-20   4.881302e-29   1.676442e-29   0.000000e+00   0.000000e+00   0.000000e+00
         3.9000   2.554969e-30   1.009466e-21   2.918928e-21   1.698325e-22   2.670188e-20   2.223957e-20   5.571011e-28   2.746830e-28   0.000000e+00   0.000000e+00   0.000000e+00
         3.9500   3.536647e-29   9.741608e-22   3.192219e-21   3.601113e-22   2.509345e-20   2.116919e-20   4.873416e-27   3.300786e-27   0.000000e+00   0.000000e+00   0.000000e+00
         4.0000   3.686348e-28   9.385601e-22   3.591048e-21   6.999094e-22   2.363262e-20   2.001517e-20   3.366371e-26   3.008618e-26   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   2.987190e-27   9.031108e-22   4.125781e-21   1.259235e-21   2.240700e-20   1.879438e-20   1.885546e-25   2.143470e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   1.935071e-26   8.681095e-22   4.797707e-21   2.115506e-21   2.151350e-20   1.752809e-20   8.767894e-25   1.226007e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   1.026938e-25   8.337744e-22   5.598607e-21   3.344300e-21   2.104083e-20   1.624565e-20   3.456305e-24   5.765767e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   4.562484e-25   8.002715e-22   6.511613e-21   5.008730e-21   2.102260e-20   1.498995e-20   1.176589e-23   2.277457e-23  1.731643e-306   0.000000e+00   0.000000e+00
         4.2500   1.729667e-24   7.677264e-22   7.513180e-21   7.149801e-21   2.146153e-20   1.382503e-20   3.516096e-23   7.700355e-23  3.322173e-275  3.771922e-308   0.000000e+00
         4.3000   5.690589e-24   7.362688e-22   8.575920e-21   9.780279e-21   2.233752e-20   1.283755e-20   9.359556e-23   2.266646e-22  2.524203e-247  1.102615e-276   0.000000e+00
         4.3500   1.649488e-23   7.062207e-22   9.672582e-21   1.288468e-20   2.360968e-20   1.210149e-20   2.248175e-22   5.896820e-22  1.781687e-222  1.214554e-248   0.000000e+00
         4.4000   4.272366e-23   6.787118e-22   1.078559e-20   1.642696e-20   2.522545e-20   1.169805e-20   4.928177e-22   1.374208e-21  2.497476e-200  1.186550e-223   0.000000e+00
         4.4500   1.001356e-22   6.572529e-22   1.191659e-20   2.036681e-20   2.715198e-20   1.173501e-20   9.967088e-22   2.903317e-21  1.368076e-180  2.207697e-201   0.000000e+00
         4.5000   2.147294e-22   6.514849e-22   1.309511e-20   2.468572e-20   2.942672e-20   1.235625e-20   1.883688e-21   5.620654e-21  5.351712e-163  1.545945e-181   0.000000e+00
         4.5500   4.253355e-22   6.845139e-22   1.439329e-20   2.941966e-20   3.216010e-20   1.375364e-20   3.366647e-21   1.006631e-20  2.557146e-147  7.476527e-164   0.000000e+00
         4.6000   7.847031e-22   8.050188e-22   1.594106e-20   3.468845e-20   3.555596e-20   1.618577e-20   5.748267e-21   1.682049e-20  2.406080e-133  4.289821e-148   0.000000e+00
         4.6500   1.358456e-21   1.104350e-21   1.794654e-20   4.071182e-20   3.992853e-20   2.003531e-20   9.450182e-21   2.642326e-20  6.818705e-121  4.729789e-134   0.000000e+00
         4.7000   2.223313e-21   1.737339e-21   2.070660e-20   4.780507e-20   4.569993e-20   2.579357e-20   1.504250e-20   3.928739e-20  8.508483e-110  1.540156e-121   0.000000e+00
         4.7500   3.462117e-21   2.941916e-21   2.460475e-20   5.634433e-20   5.337112e-20   3.402616e-20   2.324279e-20   5.562401e-20  6.561886e-100  2.172544e-110   0.000000e+00
         4.8000   5.155835e-21   5.052725e-21   3.009912e-20   6.671398e-20   6.346575e-20   4.533141e-20   3.482463e-20   7.539715e-20   4.232512e-91  1.867772e-100   0.000000e+00
         4.8500   7.373677e-21   8.501419e-21   3.769897e-20   7.924347e-20   7.647172e-20   6.028121e-20   5.052681e-20   9.831523e-20   2.991289e-83   1.326719e-91   0.000000e+00
