# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         3.0000   7.251448e-24   8.431890e-36   5.155440e-21   1.040199e-20   1.712729e-69   5.063901e-78   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   7.435153e-24   5.290452e-34   5.029464e-21   1.053158e-20   6.235436e-64   1.761848e-71   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   7.614672e-24   2.103352e-32   4.892642e-21   1.060660e-20   5.607411e-59   1.185761e-65   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   7.788225e-24   5.568519e-31   4.747146e-21   1.063525e-20   1.449895e-54   1.845136e-60   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   7.953563e-24   1.026102e-29   4.593656e-21   1.062580e-20   1.234185e-50   7.782571e-56   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   8.111401e-24   1.368958e-28   4.432545e-21   1.058640e-20   3.902021e-47   1.025304e-51   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   8.275319e-24   1.369632e-27   4.266542e-21   1.052476e-20   5.102194e-44   4.787521e-48   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   8.497109e-24   1.060329e-26   4.099086e-21   1.044804e-20   3.036604e-41   8.868176e-45   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   8.922402e-24   6.531833e-26   3.932998e-21   1.036265e-20   8.958816e-39   7.205274e-42   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   9.895033e-24   3.282559e-25   3.771606e-21   1.027409e-20   1.413719e-36   2.808346e-39   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   1.212448e-23   1.376045e-24   3.620235e-21   1.018677e-20   1.276824e-34   5.687273e-37   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   1.691530e-23   4.908148e-24   3.486959e-21   1.010382e-20   7.010269e-33   6.425624e-35   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   2.643226e-23   1.516212e-23   3.382696e-21   1.002674e-20   2.468740e-31   4.315516e-33   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   4.395738e-23   4.121232e-23   3.325951e-21   9.955046e-21   5.849031e-30   1.823110e-31   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   7.408701e-23   9.997830e-23   3.346558e-21   9.885719e-21   9.727417e-29   5.094999e-30   0.000000e+00   0.000000e+00   0.000000e+00
         3.7500   1.228065e-22   2.192599e-22   3.479467e-21   9.812468e-21   1.179257e-27   9.852301e-29   0.000000e+00   0.000000e+00   0.000000e+00
         3.8000   1.974085e-22   4.397272e-22   3.760959e-21   9.724775e-21   1.077684e-26   1.372097e-27   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   3.062400e-22   8.146827e-22   4.230645e-21   9.606662e-21   7.649173e-26   1.426222e-26   0.000000e+00   0.000000e+00   0.000000e+00
