# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         3.0000   6.790586e-23   7.754747e-28   3.527006e-20   5.615103e-20   3.696243e-70   1.012764e-83   0.000000e+00   1.110411e-26   2.505474e-25   5.772672e-71   2.610474e-23   1.705418e-28  2.424047e-145  1.684858e-158   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   8.105454e-23   7.480104e-27   3.600210e-20   6.155581e-20   1.643502e-64   1.575831e-76   0.000000e+00   5.084706e-26   8.277671e-25   2.278468e-65   5.564095e-23   1.266375e-27  1.407340e-131  2.803386e-143   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   9.550925e-23   5.598410e-26   3.647440e-20   6.640036e-20   1.771043e-59   4.051042e-70   0.000000e+00   1.961534e-25   2.389395e-24   2.212465e-60   1.085664e-22   7.526541e-27  2.461109e-119  1.025174e-129   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   1.111687e-22   3.341556e-25   3.670129e-20   7.060358e-20   5.393323e-55   2.090677e-64   0.000000e+00   6.495090e-25   6.116142e-24   6.151457e-56   1.958672e-22   3.668828e-26  1.894634e-108  1.247996e-117   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   1.279487e-22   1.629953e-24   3.670838e-20   7.411715e-20   5.322767e-51   2.576920e-59   0.000000e+00   1.877001e-24   1.406727e-23   5.606639e-52   3.297495e-22   1.499030e-25   9.087741e-99  7.321977e-107   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   1.458828e-22   6.640664e-24   3.653360e-20   7.692236e-20   1.923584e-47   8.856782e-55   0.000000e+00   4.804856e-24   2.941560e-23   1.889934e-48   5.224914e-22   5.234531e-25   3.722600e-90   2.879169e-97   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   1.652582e-22   2.304162e-23   3.622589e-20   7.902555e-20   2.838364e-44   9.745672e-51   0.000000e+00   1.104028e-23   5.650694e-23   2.623879e-45   7.854798e-22   1.589484e-24   1.725743e-82   1.018082e-88   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   1.867155e-22   6.928575e-23   3.584829e-20   8.045306e-20   1.884401e-41   3.883575e-47   0.000000e+00   2.304029e-23   1.006455e-22   1.651514e-42   1.128801e-21   4.262487e-24   1.160414e-75   4.206849e-81   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   2.111628e-22   1.833951e-22   3.547943e-20   8.124617e-20   6.137890e-39   6.255813e-44   0.000000e+00   4.413405e-23   1.675775e-22   5.133930e-40   1.561455e-21   1.023522e-23   1.406636e-69   2.565800e-74   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   2.409313e-22   4.333543e-22   3.520940e-20   8.145638e-20   1.059543e-36   4.493286e-41   0.000000e+00   7.832719e-23   2.627407e-22   8.507887e-38   2.091895e-21   2.228004e-23   3.719219e-64   2.844633e-68   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   2.865238e-22   9.257797e-22   3.512388e-20   8.114128e-20   1.038355e-34   1.570619e-38  2.056325e-288   1.298790e-22   3.904253e-22   8.046197e-36   2.728324e-21   4.445355e-23   2.536573e-59   6.903155e-63   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   3.635646e-22   1.808617e-21   3.529891e-20   8.036116e-20   6.142251e-33   2.888678e-36  5.890348e-259   2.027196e-22   5.530255e-22   4.614811e-34   3.478278e-21   8.210083e-23   5.175243e-55   4.328034e-58   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   4.727664e-22   3.264750e-21   3.579219e-20   7.917624e-20   2.316293e-31   2.996965e-34  1.051437e-232   2.998305e-22   7.505363e-22   1.694559e-32   4.347303e-21   1.416007e-22   3.602419e-51   8.129145e-54   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   6.041822e-22   5.496408e-21   3.664083e-20   7.764466e-20   5.846446e-30   1.866305e-32  2.608968e-209   4.227278e-22   9.803867e-22   4.181177e-31   5.336995e-21   2.298702e-22   9.616107e-48   5.220683e-50   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   7.651619e-22   8.703681e-21   3.787639e-20   7.582102e-20   1.031507e-28   7.373087e-31  1.839641e-188   5.711567e-22   1.237620e-21   7.237830e-30   6.442977e-21   3.537223e-22   1.092254e-44   1.290048e-46   0.000000e+00   0.000000e+00   0.000000e+00
         3.7500   9.748241e-22   1.306259e-20   3.951213e-20   7.375548e-20   1.322353e-27   1.941453e-29  6.971495e-170   7.430479e-22   1.515365e-21   9.134584e-29   7.653470e-21   5.192143e-22   5.791328e-42   1.362758e-43   0.000000e+00   0.000000e+00   0.000000e+00
         3.8000   1.241800e-21   1.870798e-20   4.154245e-20   7.149335e-20   1.275095e-26   3.560724e-28  2.505473e-153   9.347232e-22   1.805506e-21   8.698339e-28   8.948961e-21   7.311221e-22   1.556479e-39   6.759345e-41   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   1.566601e-21   2.572450e-20   4.394969e-20   6.907523e-20   9.539879e-26   4.730810e-27  1.416557e-138   1.141288e-21   2.099469e-21   6.443758e-27   1.030314e-20   9.926354e-22   2.281632e-37   1.711087e-38   0.000000e+00   0.000000e+00   0.000000e+00
         3.9000   1.942777e-21   3.412809e-20   4.670628e-20   6.653833e-20   5.695776e-25   4.715453e-26  1.978123e-125   1.357128e-21   2.389072e-21   3.816419e-26   1.168499e-20   1.305307e-21   1.947137e-35   2.380284e-36   0.000000e+00   0.000000e+00   0.000000e+00
         3.9500   2.362597e-21   4.379901e-20   4.977702e-20   6.391998e-20   2.784610e-24   3.637980e-25  1.019828e-113   1.576414e-21   2.667437e-21   1.851729e-25   1.306179e-20   1.669232e-21   1.025153e-33   1.942639e-34   0.000000e+00   0.000000e+00   0.000000e+00
         4.0000   2.846717e-21   5.447016e-20   5.312480e-20   6.126567e-20   1.141885e-23   2.233763e-24  2.777396e-103   1.793559e-21   2.929928e-21   7.522661e-25   1.440246e-20   2.083395e-21   3.506372e-32   9.855774e-33   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   3.425385e-21   6.577375e-20   5.672053e-20   5.864405e-20   4.018352e-23   1.119017e-23   5.498450e-94   2.003569e-21   3.175060e-21   2.609241e-24   1.568111e-20   2.546099e-21   8.158341e-31   3.271523e-31   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   4.094629e-21   7.744568e-20   6.056192e-20   5.617114e-20   1.240389e-22   4.676050e-23   1.051737e-85   2.202281e-21   3.405206e-21   7.863214e-24   1.688010e-20   3.055400e-21   1.345439e-29   7.434568e-30   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   4.832941e-21   8.939472e-20   6.469913e-20   5.404385e-20   3.427633e-22   1.662450e-22   2.504853e-78   2.386474e-21   3.626859e-21   2.091402e-23   1.799229e-20   3.609485e-21   1.631474e-28   1.204156e-28   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   5.610807e-21   1.017539e-19   6.927049e-20   5.258032e-20   8.622139e-22   5.118119e-22   9.312326e-72   2.553894e-21   3.850276e-21   4.978803e-23   1.902206e-20   4.206945e-21   1.503119e-27   1.440730e-27   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   6.393369e-21   1.146491e-19   7.455161e-20   5.226304e-20   2.000239e-21   1.386165e-21   6.611642e-66   2.703187e-21   4.088457e-21   1.074269e-22   1.998460e-20   4.846924e-21   1.083537e-26   1.314698e-26   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   7.143779e-21   1.281391e-19   8.102098e-20   5.378163e-20   4.319607e-21   3.349554e-21   1.073234e-60   2.833788e-21   4.355650e-21   2.124488e-22   2.090359e-20   5.529144e-21   6.273859e-26   9.414809e-26   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   7.853977e-21   1.428475e-19   8.943063e-20   5.807543e-20   8.735697e-21   7.312629e-21   4.677949e-56   2.945782e-21   4.665704e-21   3.889101e-22   2.180760e-20   6.253860e-21   2.987406e-25   5.427939e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   8.623089e-21   1.608696e-19   1.008664e-19   6.637911e-20   1.660263e-20   1.458564e-20   6.323137e-52   3.039748e-21   5.030682e-21   6.647939e-22   2.272592e-20   7.021807e-21   1.194909e-24   2.577721e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   9.558581e-21   1.846835e-19   1.167757e-19   8.027435e-20   2.973227e-20   2.684541e-20   3.014496e-48   3.116613e-21   5.460027e-21   1.069279e-21   2.368448e-20   7.834321e-21   4.092980e-24   1.029251e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   1.073621e-20   2.160753e-19   1.389283e-19   1.017441e-19   5.036251e-20   4.600092e-20   5.680795e-45   3.177513e-21   5.960396e-21   1.629182e-21   2.470264e-20   8.693742e-21   1.222321e-23   3.519443e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   1.213685e-20   2.568836e-19   1.693258e-19   1.332112e-19   8.101091e-20   7.396984e-20   4.683768e-42   3.223685e-21   6.536079e-21   2.365245e-21   2.579082e-20   9.604212e-21   3.237390e-23   1.047723e-22   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   1.351498e-20   3.089430e-19   2.100248e-19   1.775245e-19   1.242347e-19   1.124090e-19   1.849344e-39   3.256367e-21   7.189718e-21   3.289221e-21   2.694896e-20   1.057289e-20   7.733493e-23   2.755795e-22   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   1.466050e-20   3.737820e-19   2.628795e-19   2.378411e-19   1.823527e-19   1.624724e-19   3.788779e-37   3.276753e-21   7.922024e-21   4.402994e-21   2.816561e-20   1.161169e-20   1.694460e-22   6.489528e-22  4.483278e-293  1.729098e-316   0.000000e+00
         4.7000   1.550504e-20   4.524096e-19   3.292443e-19   3.173628e-19   2.571888e-19   2.246381e-19   4.322298e-35   3.286051e-21   8.725970e-21   5.701353e-21   2.941815e-20   1.273998e-20   3.461903e-22   1.384467e-21  2.802178e-263  2.592362e-282   0.000000e+00
         4.7500   1.609323e-20   5.451804e-19   4.097786e-19   4.189266e-19   3.498555e-19   2.986294e-19   2.923138e-33   3.285822e-21   9.589467e-21   7.180098e-21   3.067537e-20   1.398901e-20   6.694694e-22   2.704290e-21  1.004530e-236  1.129286e-253   0.000000e+00
         4.8000   1.667531e-20   6.517481e-19   5.042977e-19   5.445133e-19   4.605045e-19   3.834381e-19   1.241221e-31   3.278973e-21   1.050104e-20   8.850321e-21   3.190430e-20   1.540855e-20   1.239949e-21   4.882489e-21  4.655585e-213  3.760267e-228   0.000000e+00
         4.8500   1.737115e-20   7.711000e-19   6.117031e-19   6.947897e-19   5.883270e-19   4.774347e-19   3.483995e-30   3.271993e-21   1.145733e-20   1.075743e-20   3.313118e-20   1.707499e-20   2.215564e-21   8.217330e-21  5.755425e-192  2.088175e-205   0.000000e+00
         4.9000   1.800526e-20   9.016508e-19   7.299959e-19   8.687927e-19   7.316663e-19   5.785524e-19   6.767858e-29   3.278935e-21   1.247466e-20   1.300030e-20   3.450505e-20   1.910671e-20   3.828978e-21   1.299039e-20  3.618389e-173  3.876592e-185   0.000000e+00
         4.9500   1.842680e-20   1.041374e-18   8.564867e-19   1.063819e-18   8.881906e-19   6.845257e-19   9.477467e-28   3.327155e-21   1.360450e-20   1.574340e-20   3.626507e-20   2.172430e-20   6.394628e-21   1.942114e-20  2.055475e-156  4.471417e-167   0.000000e+00
         5.0000   1.856642e-20   1.187952e-18   9.880491e-19   1.275582e-18   1.055103e-18   7.930768e-19   9.921384e-27   3.463713e-21   1.495803e-20   1.921450e-20   3.873720e-20   2.524000e-20   1.029923e-20   2.762785e-20  1.760257e-141  5.567630e-151   0.000000e+00
         5.0500   1.842144e-20   1.338923e-18   1.121395e-18   1.498607e-18   1.229354e-18   9.020612e-19   8.020152e-26   3.760195e-21   1.670462e-20   2.368418e-20   4.231759e-20   3.002855e-20   1.597254e-20   3.760295e-20  3.584799e-128  1.224515e-136   0.000000e+00
         5.1000   1.805278e-20   1.494894e-18   1.253382e-18   1.726736e-18   1.407820e-18   1.009564e-18   5.154379e-25   4.313228e-21   1.905644e-20   2.942861e-20   4.743501e-20   3.650045e-20   2.383453e-20   4.920528e-20  2.605526e-116  7.377670e-124   0.000000e+00
         5.1500   1.752251e-20   1.651990e-18   1.381224e-18   1.953695e-18   1.587416e-18   1.113941e-18   2.702995e-24   5.238757e-21   2.224588e-20   3.668301e-20   5.444964e-20   4.506700e-20   3.423383e-20   6.217289e-20  9.706660e-106  1.800563e-112   0.000000e+00
         5.2000   1.688075e-20   1.807679e-18   1.502606e-18   2.173578e-18   1.765086e-18   1.213803e-18   1.183651e-23   6.660289e-21   2.649581e-20   4.559625e-20   6.357067e-20   5.608991e-20   4.739208e-20   7.615030e-20   2.559363e-96  2.522529e-102   0.000000e+00
         5.2500   1.616725e-20   1.959657e-18   1.615802e-18   2.381252e-18   1.937953e-18   1.307963e-18   4.417497e-23   8.694316e-21   3.198808e-20   5.619695e-20   7.488204e-20   6.973327e-20   6.336854e-20   9.072404e-20   6.368675e-88   2.767876e-93   0.000000e+00
         5.3000   1.541285e-20   2.105628e-18   1.719849e-18   2.572668e-18   2.103411e-18   1.395411e-18   1.430424e-22   1.143918e-20   3.882095e-20   6.837805e-20   8.833068e-20   8.595619e-20   8.202870e-20   1.054598e-19   1.933392e-80   3.137704e-85   0.000000e+00
         5.3500   1.462130e-20   2.246825e-18   1.814311e-18   2.744929e-18   2.259184e-18   1.475505e-18   4.081315e-22   1.497569e-20   4.699923e-20   8.190213e-20   1.037286e-19   1.045418e-19   1.030309e-19   1.199378e-19   9.005214e-74   4.703573e-78   0.000000e+00
