# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         3.0000   0.000000e+00   3.286493e-20   2.365266e-50   5.930806e-62   0.000000e+00   8.432863e-24   5.328483e-23   4.253529e-62   4.348305e-21   1.224839e-23  2.159297e-126  2.743836e-138   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   0.000000e+00   3.240401e-20   8.818807e-47   4.058567e-57   0.000000e+00   1.775660e-23   9.544517e-23   2.052311e-57   6.121511e-21   3.451515e-23  9.471147e-115  2.913392e-125   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   0.000000e+00   3.178944e-20   1.333746e-43   8.232455e-53   0.000000e+00   3.430438e-23   1.598300e-22   3.046512e-53   8.258006e-21   8.635141e-23  2.209567e-104  1.178125e-113   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   0.000000e+00   3.104653e-20   9.020804e-41   5.648213e-49   0.000000e+00   6.138519e-23   2.520439e-22   1.581492e-49   1.072753e-20   1.943008e-22   3.787639e-95  2.589002e-103   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   0.000000e+00   3.019903e-20   2.976200e-38   1.474454e-45   0.000000e+00   1.026072e-22   3.767094e-22   3.218318e-46   1.347831e-20   3.977689e-22   6.363761e-87   4.245026e-94   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   0.000000e+00   2.926883e-20   5.175094e-36   1.626522e-42  1.401120e-312   1.614259e-22   5.367020e-22   2.842449e-43   1.644267e-20   7.485124e-22   1.354227e-79   6.889764e-86   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   0.000000e+00   2.827573e-20   5.080576e-34   8.325783e-40  1.508612e-280   2.406464e-22   7.326014e-22   1.193048e-40   1.954337e-20   1.306636e-21   4.584278e-73   1.424388e-78   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   0.000000e+00   2.723744e-20   2.994002e-32   2.149541e-37  5.006250e-252   3.419890e-22   9.624627e-22   2.580129e-38   2.269960e-20   2.133245e-21   3.022495e-67   4.697714e-72   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   0.000000e+00   2.616955e-20   1.118436e-30   3.015158e-35  1.310087e-226   4.658091e-22   1.221940e-21   3.089891e-36   2.583192e-20   3.281062e-21   4.645600e-62   3.021352e-66   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   0.000000e+00   2.508564e-20   2.780176e-29   2.455281e-33  5.880984e-204   6.110187e-22   1.504716e-21   2.185037e-34   2.886596e-20   4.785081e-21   1.952559e-57   4.533070e-61   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   0.000000e+00   2.399740e-20   4.802258e-28   1.231338e-31  9.053052e-184   7.752054e-22   1.803149e-21   9.661635e-33   3.173506e-20   6.655376e-21   2.585635e-53   1.861405e-56   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   0.000000e+00   2.291477e-20   5.992299e-27   4.008766e-30  8.860867e-166   9.549084e-22   2.109014e-21   2.811100e-31   3.438191e-20   8.873575e-21   1.223291e-49   2.411750e-52   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   0.000000e+00   2.184619e-20   5.594869e-26   8.879530e-29  9.560514e-150   1.145984e-21   2.414232e-21   5.632256e-30   3.675954e-20   1.139353e-20   2.311885e-46   1.118940e-48   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   0.000000e+00   2.079906e-20   4.037861e-25   1.395375e-27  1.856918e-135   1.343995e-21   2.711502e-21   8.092206e-29   3.883174e-20   1.414575e-20   1.927259e-43   2.079932e-45   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   0.000000e+00   1.978108e-20   2.322348e-24   1.614795e-26  1.005064e-122   1.544568e-21   2.994816e-21   8.643954e-28   4.057304e-20   1.704441e-20   7.740068e-41   1.711323e-42   0.000000e+00   0.000000e+00   0.000000e+00
         3.7500   0.000000e+00   1.880360e-20   1.093110e-23   1.422712e-25  2.237551e-111   1.743675e-21   3.259864e-21   7.089179e-27   4.196833e-20   1.999566e-20   1.619831e-38   6.808121e-40   0.000000e+00   0.000000e+00   0.000000e+00
         3.8000   0.000000e+00   1.788929e-20   4.310818e-23   9.830457e-25  2.898480e-101   1.937837e-21   3.504438e-21   4.593845e-26   4.301208e-20   2.290561e-20   1.894505e-36   1.416368e-37   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   0.000000e+00   1.708745e-20   1.454588e-22   5.469914e-24   2.975680e-92   2.124223e-21   3.728932e-21   2.413037e-25   4.370754e-20   2.568736e-20   1.318035e-34   1.652003e-35   0.000000e+00   0.000000e+00   0.000000e+00
         3.9000   0.000000e+00   1.650031e-20   4.277272e-22   2.509543e-23   3.188500e-84   2.300683e-21   3.937003e-21   1.051167e-24   4.406578e-20   2.826606e-20   5.767187e-33   1.149275e-33   0.000000e+00   0.000000e+00   0.000000e+00
         3.9500   0.000000e+00   1.632271e-20   1.112796e-21   9.695524e-23   4.557435e-77   2.465713e-21   4.136310e-21   3.875704e-24   4.410494e-20   3.058211e-20   1.668130e-31   5.039324e-32   0.000000e+00   0.000000e+00   0.000000e+00
