# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         3.0000   8.655100e-23   2.226245e-21   1.423237e-22   4.765904e-22   1.780919e-21   5.618546e-21   1.040762e-20
         3.0500   1.009593e-22   2.142685e-21   1.344667e-22   4.501994e-22   1.682086e-21   5.304454e-21   9.830826e-21
         3.1000   1.161359e-22   2.060692e-21   1.270553e-22   4.253002e-22   1.588828e-21   5.007944e-21   9.268697e-21
         3.1500   1.320326e-22   1.980912e-21   1.200648e-22   4.018101e-22   1.500834e-21   5.841885e-21   8.743753e-21
         3.2000   1.489029e-22   1.904257e-21   1.134720e-22   3.796512e-22   1.417813e-21   5.515340e-21   8.255621e-21
         3.2500   1.677147e-22   1.830845e-21   1.072551e-22   3.587499e-22   1.339490e-21   5.207077e-21   7.794857e-21
         3.3000   1.908165e-22   1.761800e-21   1.013934e-22   3.390368e-22   1.265604e-21   4.916079e-21   7.356180e-21
         3.3500   2.228291e-22   1.697969e-21   9.586748e-23   3.204465e-22   1.195910e-21   4.641370e-21   6.945865e-21
         3.4000   2.715991e-22   1.640629e-21   9.065889e-23   3.029171e-22   1.130176e-21   4.382049e-21   6.558578e-21
         3.4500   3.491049e-22   1.587595e-21   8.575032e-23   2.863903e-22   1.068185e-21   4.137317e-21   6.193033e-21
         3.5000   4.722323e-22   1.539553e-21   8.112548e-23   2.708111e-22   1.009729e-21   3.906230e-21   5.848017e-21
         3.5500   6.619299e-22   1.495746e-21   7.676948e-23   2.561276e-22   9.546148e-22   3.688132e-21   5.522386e-21
         3.6000   9.419331e-22   1.454976e-21   7.267229e-23   2.422912e-22   9.026582e-22   3.482249e-21   5.215057e-21
         3.6500   1.337111e-21   1.415897e-21   6.884970e-23   2.292607e-22   8.536860e-22   3.288280e-21   4.925013e-21
         3.7000   1.871745e-21   1.380547e-21   6.543988e-23   2.170341e-22   8.075346e-22   3.105263e-21   4.651288e-21
         3.7500   2.568202e-21   1.346912e-21   6.305511e-23   2.058331e-22   7.640497e-22   2.931870e-21   4.392968e-21
         3.8000   3.446171e-21   1.322662e-21   6.380139e-23   1.969304e-22   7.230854e-22   2.768614e-21   4.149195e-21
         3.8500   4.523688e-21   1.320606e-21   7.371345e-23   1.955559e-22   6.845043e-22   2.615774e-21   3.919162e-21
         3.9000   5.819596e-21   1.365808e-21   1.075431e-22   2.190514e-22   6.481761e-22   2.470419e-21   3.702105e-21
         3.9500   7.357216e-21   1.502105e-21   1.965651e-22   3.153558e-22   6.139783e-22   2.333618e-21   3.497302e-21
         4.0000   9.169093e-21   1.799649e-21   3.990741e-22   5.970316e-22   5.817946e-22   2.204668e-21   3.304071e-21
         4.0500   1.130266e-20   2.362936e-21   8.129187e-22   1.291849e-21   5.515154e-22   2.082346e-21   3.121766e-21
         4.1000   1.382643e-20   3.342785e-21   1.589579e-21   2.801696e-21   5.230369e-22   1.970618e-21   2.949784e-21
         4.1500   1.683560e-20   4.942299e-21   2.950521e-21   5.750745e-21   4.962633e-22   1.860904e-21   2.787558e-21
         4.2000   2.045677e-20   7.446919e-21   5.208028e-21   1.099778e-20   4.711075e-22   1.761052e-21   2.634558e-21
         4.2500   2.485006e-20   1.123925e-20   8.790533e-21   1.959229e-20   4.474752e-22   1.662840e-21   2.490293e-21
         4.3000   3.020629e-20   1.682504e-20   1.426765e-20   3.266928e-20   4.252833e-22   1.572926e-21   2.354281e-21
         4.3500   3.673591e-20   2.485425e-20   2.237684e-20   5.129813e-20   4.044530e-22   1.487213e-21   2.226052e-21
         4.4000   4.465258e-20   3.613996e-20   3.402511e-20   7.631691e-20   3.849094e-22   1.405484e-21   2.105159e-21
         4.4500   5.416456e-20   5.165390e-20   5.024820e-20   1.081891e-19   3.665815e-22   1.328816e-21   1.991190e-21
         4.5000   6.545607e-20   7.249517e-20   7.212700e-20   1.469131e-19   3.494020e-22   1.259687e-21   1.883763e-21
         4.5500   7.869764e-20   9.983313e-20   1.006709e-19   1.920014e-19   3.333069e-22   1.191747e-21   1.782520e-21
         4.6000   9.403881e-20   1.348270e-19   1.366930e-19   2.425281e-19   3.182354e-22   1.129489e-21   1.687124e-21
         4.6500   1.115463e-19   1.785306e-19   1.807076e-19   2.972331e-19   3.041295e-22   1.069984e-21   1.597272e-21
         4.7000   1.311714e-19   2.317980e-19   2.328728e-19   3.546607e-19   2.909343e-22   1.012859e-21   1.512672e-21
         4.7500   1.528266e-19   2.951980e-19   2.929853e-19   4.133124e-19   2.785976e-22   9.597815e-22   1.433039e-21
         4.8000   1.764698e-19   3.689376e-19   3.605193e-19   4.717892e-19   2.670698e-22   9.097117e-22   1.358102e-21
         4.8500   2.019816e-19   4.528003e-19   4.346961e-19   5.289107e-19   2.563040e-22   8.625064e-22   1.287606e-21
         4.9000   2.291296e-19   5.461170e-19   5.145624e-19   5.838031e-19   2.462552e-22   8.184379e-22   1.221309e-21
         4.9500   2.575786e-19   6.477995e-19   5.990568e-19   6.359266e-19   2.368807e-22   7.762576e-22   1.158974e-21
         5.0000   2.869145e-19   7.565369e-19   6.870638e-19   6.850546e-19   2.281399e-22   7.377217e-22   1.100368e-21
         5.0500   3.167485e-19   8.707590e-19   7.774719e-19   7.312192e-19   2.199944e-22   6.999434e-22   1.045314e-21
         5.1000   3.469479e-19   9.886471e-19   8.691663e-19   7.746318e-19   2.124078e-22   6.653394e-22   9.936047e-22
         5.1500   3.773916e-19   1.108210e-18   9.610206e-19   8.155864e-19   2.053463e-22   6.331712e-22   9.450364e-22
         5.2000   4.078897e-19   1.227375e-18   1.051904e-18   8.543731e-19   1.987784e-22   6.029742e-22   8.994387e-22
         5.2500   4.381958e-19   1.344084e-18   1.140696e-18   8.912116e-19   1.926752e-22   5.754775e-22   8.566562e-22
         5.3000   4.680280e-19   1.456391e-18   1.226305e-18   9.262212e-19   1.870205e-22   5.498760e-22   8.165498e-22
         5.3500   4.970250e-19   1.562508e-18   1.307692e-18   9.594001e-19   1.818695e-22   5.241047e-22   7.789897e-22
         5.4000   5.246011e-19   1.660790e-18   1.383969e-18   9.906192e-19   1.775741e-22   5.013873e-22   7.438493e-22
         5.4500   5.502510e-19   1.749934e-18   1.454421e-18   1.019565e-18   1.755024e-22   4.799126e-22   7.110027e-22
         5.5000   5.736232e-19   1.829029e-18   1.518505e-18   1.045727e-18   1.799319e-22   4.608219e-22   6.803298e-22
         5.5500   5.944952e-19   1.897541e-18   1.575831e-18   1.068780e-18   2.021276e-22   4.435268e-22   6.517167e-22
         5.6000   6.127491e-19   1.955279e-18   1.626151e-18   1.088917e-18   2.675910e-22   4.329321e-22   6.250555e-22
         5.6500   6.283485e-19   2.002303e-18   1.669338e-18   1.106449e-18   4.266916e-22   4.364267e-22   6.002465e-22
         5.7000   6.413185e-19   2.038805e-18   1.705393e-18   1.121464e-18   7.673499e-22   4.717120e-22   5.771957e-22
         5.7500   6.517291e-19   2.065203e-18   1.734482e-18   1.133929e-18   1.426520e-21   5.721770e-22   5.558135e-22
         5.8000   6.596822e-19   2.082120e-18   1.756859e-18   1.143804e-18   2.595996e-21   7.923621e-22   5.360215e-22
         5.8500   6.653011e-19   2.090300e-18   1.772824e-18   1.151096e-18   4.518863e-21   1.215200e-21   5.177481e-22
         5.9000   6.687229e-19   2.090548e-18   1.782700e-18   1.155859e-18   7.475204e-21   1.948661e-21   5.009279e-22
         5.9500   6.700925e-19   2.083635e-18   1.786829e-18   1.158199e-18   1.175862e-20   3.121571e-21   4.855015e-22
         6.0000   6.695585e-19   2.070147e-18   1.785551e-18   1.158252e-18   1.764789e-20   4.870649e-21   4.714161e-22
         6.0500   6.672700e-19   2.050757e-18   1.779143e-18   1.156122e-18   2.537901e-20   7.323913e-21   4.586273e-22
         6.1000   6.633742e-19   2.026225e-18   1.767900e-18   1.151916e-18   3.512279e-20   1.058315e-20   4.470946e-22
         6.1500   6.580151e-19   1.997315e-18   1.752163e-18   1.145858e-18   4.696981e-20   1.470957e-20   4.367798e-22
         6.2000   6.513320e-19   1.964753e-18   1.732297e-18   1.137930e-18   6.092284e-20   1.971333e-20   4.276519e-22
         6.2500   6.434590e-19   1.929200e-18   1.708684e-18   1.128218e-18   7.690231e-20   2.555158e-20   4.196803e-22
         6.3000   6.345241e-19   1.891238e-18   1.681770e-18   1.116807e-18   9.475796e-20   3.213292e-20   4.128298e-22
         6.3500   6.246490e-19   1.851378e-18   1.652219e-18   1.104036e-18   1.142831e-19   3.932773e-20   4.070694e-22
         6.4000   6.139488e-19   1.810088e-18   1.620617e-18   1.089805e-18   1.352311e-19   4.698256e-20   4.023815e-22
         6.4500   6.025318e-19   1.767773e-18   1.587400e-18   1.074169e-18   1.573265e-19   5.493417e-20   3.987443e-22
         6.5000   5.904995e-19   1.724764e-18   1.552903e-18   1.057223e-18   1.802628e-19   6.301075e-20   3.961070e-22
         6.5500   5.779467e-19   1.681336e-18   1.517391e-18   1.039070e-18   2.037215e-19   7.103882e-20   3.944143e-22
         6.6000   5.649615e-19   1.637707e-18   1.481087e-18   1.020010e-18   2.273883e-19   7.885319e-20   3.936218e-22
         6.6500   5.516254e-19   1.594028e-18   1.444181e-18   1.000204e-18   2.509639e-19   8.630651e-20   3.936868e-22
         6.7000   5.380135e-19   1.550334e-18   1.406832e-18   9.795503e-19   2.741715e-19   9.327526e-20   3.945460e-22
         6.7500   5.241949e-19   1.506694e-18   1.369140e-18   9.581560e-19   2.967578e-19   9.967308e-20   3.960864e-22
         6.8000   5.102325e-19   1.463216e-18   1.331190e-18   9.361303e-19   3.184804e-19   1.054729e-19   3.981697e-22
         6.8500   4.961839e-19   1.420016e-18   1.293073e-18   9.135833e-19   3.391261e-19   1.106812e-19   4.007057e-22
         6.9000   4.821011e-19   1.377206e-18   1.254885e-18   8.906190e-19   3.585146e-19   1.153229e-19   4.036359e-22
         6.9500   4.680311e-19   1.334887e-18   1.216728e-18   8.673385e-19   3.764992e-19   1.194303e-19   4.069050e-22
         7.0000   4.540162e-19   1.293142e-18   1.178713e-18   8.440511e-19   3.929672e-19   1.230383e-19   4.104544e-22
         7.0500   4.400943e-19   1.252043e-18   1.140992e-18   8.207675e-19   4.078369e-19   1.261809e-19   4.142680e-22
         7.1000   4.262987e-19   1.211647e-18   1.103693e-18   7.974533e-19   4.210522e-19   1.288891e-19   4.183727e-22
         7.1500   4.126594e-19   1.171999e-18   1.066907e-18   7.741822e-19   4.325741e-19   1.311820e-19   4.227924e-22
         7.2000   3.992024e-19   1.133135e-18   1.030706e-18   7.510200e-19   4.423618e-19   1.330715e-19   4.275669e-22
         7.2500   3.859504e-19   1.095083e-18   9.951455e-19   7.280238e-19   4.504010e-19   1.345691e-19   4.327992e-22
         7.3000   3.729233e-19   1.057864e-18   9.602719e-19   7.052426e-19   4.567070e-19   1.356880e-19   4.386245e-22
         7.3500   3.601378e-19   1.021494e-18   9.261234e-19   6.827204e-19   4.613201e-19   1.364435e-19   4.451669e-22
         7.4000   3.476083e-19   9.859837e-19   8.927318e-19   6.604948e-19   4.643010e-19   1.368519e-19   4.525361e-22
         7.4500   3.353467e-19   9.513417e-19   8.601237e-19   6.385985e-19   4.657304e-19   1.369308e-19   4.608455e-22
         7.5000   3.233628e-19   9.175722e-19   8.283204e-19   6.170610e-19   4.657161e-19   1.366987e-19   4.702199e-22
         7.5500   3.116644e-19   8.846771e-19   7.973387e-19   5.959091e-19   4.643722e-19   1.361744e-19   4.807704e-22
         7.6000   3.002577e-19   8.526563e-19   7.671909e-19   5.751658e-19   4.618113e-19   1.353772e-19   4.926084e-22
         7.6500   2.891469e-19   8.215073e-19   7.378855e-19   5.548513e-19   4.581440e-19   1.343266e-19   5.058492e-22
         7.7000   2.783353e-19   7.912263e-19   7.094272e-19   5.350010e-19   4.534781e-19   1.330420e-19   5.205978e-22
         7.7500   2.678244e-19   7.618076e-19   6.818172e-19   5.156865e-19   4.479192e-19   1.315429e-19   5.369493e-22
         7.8000   2.576148e-19   7.332440e-19   6.550536e-19   4.968476e-19   4.415676e-19   1.298484e-19   5.550046e-22
         7.8500   2.477062e-19   7.055274e-19   6.291316e-19   4.784925e-19   4.345185e-19   1.279773e-19   5.748596e-22
         7.9000   2.380969e-19   6.786480e-19   6.040443e-19   4.606270e-19   4.268598e-19   1.259479e-19   5.965986e-22
         7.9500   2.287850e-19   6.525954e-19   5.797821e-19   4.432545e-19   4.186724e-19   1.237780e-19   6.203132e-22
         8.0000   2.197673e-19   6.273579e-19   5.563338e-19   4.263756e-19   4.100318e-19   1.214849e-19   6.461099e-22
         8.0500   2.110405e-19   6.029229e-19   5.336865e-19   4.099892e-19   4.010086e-19   1.190850e-19   6.740961e-22
         8.1000   2.026003e-19   5.792772e-19   5.118258e-19   3.940931e-19   3.916682e-19   1.165941e-19   7.043742e-22
         8.1500   1.944423e-19   5.564068e-19   4.907363e-19   3.786832e-19   3.820711e-19   1.140270e-19   7.370504e-22
         8.2000   1.865613e-19   5.342971e-19   4.704015e-19   3.637551e-19   3.722723e-19   1.113977e-19   7.722382e-22
         8.2500   1.789522e-19   5.129327e-19   4.508041e-19   3.493033e-19   3.623224e-19   1.087196e-19   8.100611e-22
         8.3000   1.716094e-19   4.922982e-19   4.319263e-19   3.353218e-19   3.522678e-19   1.060048e-19   8.506491e-22
         8.3500   1.645268e-19   4.723774e-19   4.137497e-19   3.218039e-19   3.421517e-19   1.032649e-19   8.941393e-22
         8.4000   1.576987e-19   4.531539e-19   3.962556e-19   3.087421e-19   3.320137e-19   1.005105e-19   9.406781e-22
         8.4500   1.511186e-19   4.346112e-19   3.794252e-19   2.961362e-19   3.218897e-19   9.775205e-20   9.904217e-22
         8.5000   1.447804e-19   4.167322e-19   3.632394e-19   2.839735e-19   3.118125e-19   9.499760e-20   1.043762e-21
         8.5500   1.386777e-19   3.995002e-19   3.476792e-19   2.722402e-19   3.018112e-19   9.225529e-20   1.101836e-21
         8.6000   1.328040e-19   3.828979e-19   3.327255e-19   2.609274e-19   2.919119e-19   8.953247e-20   1.163623e-21
         8.6500   1.271528e-19   3.669083e-19   3.183595e-19   2.500255e-19   2.821380e-19   8.683576e-20   1.229327e-21
         8.7000   1.217178e-19   3.515143e-19   3.045625e-19   2.395250e-19   2.725100e-19   8.417111e-20   1.299166e-21
         8.7500   1.164925e-19   3.366989e-19   2.913159e-19   2.294159e-19   2.630460e-19   8.154380e-20   1.373372e-21
         8.8000   1.114704e-19   3.224451e-19   2.786015e-19   2.196881e-19   2.537615e-19   7.895853e-20   1.452188e-21
         8.8500   1.066452e-19   3.087361e-19   2.664013e-19   2.103313e-19   2.446697e-19   7.641945e-20   1.535875e-21
         8.9000   1.020107e-19   2.955553e-19   2.546977e-19   2.013352e-19   2.357817e-19   7.393015e-20   1.624709e-21
         8.9500   9.756061e-20   2.828862e-19   2.434735e-19   1.926895e-19   2.271066e-19   7.149377e-20   1.718982e-21
         9.0000   9.328889e-20   2.707126e-19   2.327118e-19   1.843836e-19   2.186515e-19   6.911301e-20   1.819005e-21
