# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         4.0000   0.000000e+00   2.756463e-19   6.328244e-25   1.337705e-24   2.535445e-20   4.538631e-21   1.112364e-20   1.309953e-19   9.513244e-24   4.237958e-21   6.210695e-21   5.984838e-21   3.842001e-21   2.080911e-22   4.353516e-21   2.180035e-22   5.845772e-21   3.130097e-20   1.495191e-19   3.131686e-19   2.935786e-19
         4.0500   0.000000e+00   3.486723e-19   6.755544e-25   1.418454e-24   2.753111e-20   6.768901e-21   1.131790e-20   1.318168e-19   1.008249e-23   4.004216e-21   5.867445e-21   5.744998e-21   4.039228e-21   2.348220e-22   5.477956e-21   3.425891e-22   5.523591e-21   2.955721e-20   1.411827e-19   2.956652e-19   2.772674e-19
         4.1000   0.000000e+00   4.326264e-19   7.215103e-25   1.507785e-24   2.997851e-20   9.667677e-21   1.148217e-20   1.316262e-19   1.071900e-23   3.783753e-21   5.543638e-21   5.549513e-21   4.315395e-21   2.253906e-22   6.707620e-21   5.219070e-22   8.256306e-21   2.791142e-20   1.333143e-19   2.791348e-19   2.619714e-19
         4.1500   0.000000e+00   5.273855e-19   7.709673e-25   1.603192e-24   3.268541e-20   1.327597e-20   1.161793e-20   1.305283e-19   1.157581e-23   3.575924e-21   5.238199e-21   5.398923e-21   4.663208e-21   2.180931e-22   8.016063e-21   8.298285e-22   7.799970e-21   2.635814e-20   1.258878e-19   2.635366e-19   3.127495e-19
         4.2000   0.000000e+00   6.325646e-19   8.242240e-25   1.705137e-24   3.562876e-20   1.758875e-20   1.172555e-20   1.286351e-19   1.330414e-23   3.380553e-21   4.950115e-21   5.292185e-21   5.071962e-21   4.393672e-22   9.374824e-21   1.142169e-21   7.369487e-21   2.489223e-20   1.188785e-19   2.488084e-19   2.952742e-19
         4.2500   0.000000e+00   7.475537e-19   8.816049e-25   1.814124e-24   3.877270e-20   2.254909e-20   1.180537e-20   1.260638e-19   1.827251e-23   3.199416e-21   4.678429e-21   5.226665e-21   5.529366e-21   4.338879e-22   1.075881e-20   1.530030e-21   6.963431e-21   2.350883e-20   1.122632e-19   2.349399e-19   2.796874e-19
         4.3000   0.000000e+00   8.715463e-19   9.434626e-25   1.930704e-24   4.206617e-20   2.804899e-20   1.186009e-20   1.229389e-19   3.401532e-23   3.041174e-21   4.422241e-21   5.198338e-21   6.023500e-21   4.487191e-22   1.213684e-20   1.992826e-21   6.580454e-21   2.220335e-20   1.060200e-19   2.218530e-19   2.631034e-19
         4.3500   0.000000e+00   1.003549e-18   1.010177e-24   2.055476e-24   4.543129e-20   3.393688e-20   1.189953e-20   1.194013e-19   8.194172e-23   2.934511e-21   4.180697e-21   5.202125e-21   6.544468e-21   5.000290e-22   1.349423e-20   2.909263e-21   6.219290e-21   2.097146e-20   1.001282e-19   2.094597e-19   2.482866e-19
         4.4000   0.000000e+00   1.142368e-18   1.082158e-24   2.189096e-24   4.875948e-20   4.003060e-20   1.194977e-20   1.156274e-19   2.170434e-22   2.956457e-21   3.952996e-21   5.232293e-21   9.027751e-21   1.411914e-21   1.485688e-20   3.484646e-21   1.168004e-20   1.980911e-20   9.456821e-20   1.977782e-19   2.345503e-19
         4.4500   0.000000e+00   1.286593e-18   1.159845e-24   2.332282e-24   5.193326e-20   4.613361e-20   1.206914e-20   1.118594e-19   5.672862e-22   3.281925e-21   3.738380e-21   5.282862e-21   9.476747e-21   1.568281e-21   1.615379e-20   4.115303e-21   1.103469e-20   1.871254e-20   8.932164e-20   2.275495e-19   2.217681e-19
         4.5000   0.000000e+00   1.434573e-18   1.243704e-24   2.485814e-24   5.483797e-20   5.205150e-20   1.237438e-20   1.084507e-19   1.401423e-21   4.253330e-21   3.536136e-21   5.347954e-21   9.947853e-21   1.850181e-21   1.743164e-20   4.791200e-21   1.042605e-20   1.767860e-20   8.437107e-20   2.148424e-19   2.089431e-19
         4.5500   0.000000e+00   1.584426e-18   1.334227e-24   2.650546e-24   5.736789e-20   5.760635e-20   1.308044e-20   1.059253e-19   3.226054e-21   6.455993e-21   3.345588e-21   5.422051e-21   1.044257e-20   2.289233e-21   1.892810e-20   6.871651e-21   9.852403e-21   1.670550e-20   7.970009e-20   2.030084e-19   1.975071e-19
         4.6000   0.000000e+00   1.734079e-18   1.431923e-24   2.827412e-24   5.941631e-20   6.264702e-20   1.455849e-20   1.050486e-19   6.893324e-21   1.077161e-20   3.166102e-21   5.500174e-21   1.096383e-20   2.909372e-21   2.020641e-20   7.534717e-21   9.312695e-21   1.579502e-20   7.529320e-20   1.917503e-19   1.864948e-19
         4.6500   0.000000e+00   1.881420e-18   1.537310e-24   3.017429e-24   6.089308e-20   6.705460e-20   1.741400e-20   1.068977e-19   1.367816e-20   1.837773e-20   2.997078e-21   5.577956e-21   1.151499e-20   3.720891e-21   2.151911e-20   8.224744e-21   8.807134e-21   1.495691e-20   7.113577e-20   1.810268e-19   1.761009e-19
         4.7000   0.000000e+00   2.024397e-18   1.650895e-24   3.221707e-24   6.175199e-20   7.074287e-20   2.257944e-20   1.129124e-19   2.529708e-20   3.067144e-20   2.838059e-21   5.651654e-21   1.209869e-20   6.246104e-21   2.288016e-20   8.940609e-21   8.338305e-21   1.421643e-20   6.721402e-20   1.712315e-19   1.660762e-19
         4.7500   0.000000e+00   2.161063e-18   1.773154e-24   3.441457e-24   6.198894e-20   7.365484e-20   3.140115e-20   1.248999e-19   4.382732e-20   4.911933e-20   2.688432e-21   5.718102e-21   1.271558e-20   7.313551e-21   2.508980e-20   9.686921e-21   7.913129e-21   1.362488e-20   6.351492e-20   1.616917e-19   1.567067e-19
         4.8000   0.000000e+00   2.289664e-18   1.904480e-24   3.677999e-24   6.163469e-20   7.575635e-20   4.568497e-20   1.449665e-19   7.151416e-20   7.505688e-20   2.547691e-21   5.774656e-21   1.336250e-20   8.501103e-21   2.652186e-20   1.324591e-20   1.321150e-20   1.327069e-20   6.002619e-20   1.530237e-19   1.481923e-19
         4.8500   0.000000e+00   2.408715e-18   2.045155e-24   3.932766e-24   6.074588e-20   7.703225e-20   6.765922e-20   1.753629e-19   1.105123e-19   1.094832e-19   2.415366e-21   5.819187e-21   1.403064e-20   9.760613e-21   2.801213e-20   1.394717e-20   1.261565e-20   1.328711e-20   5.673623e-20   1.444200e-19   1.399499e-19
         4.9000   0.000000e+00   2.517048e-18   2.195271e-24   4.207317e-24   5.939586e-20   7.749039e-20   9.982637e-20   2.182512e-19   1.626329e-19   1.528945e-19   2.291014e-21   5.850301e-21   1.470359e-20   1.105451e-20   2.955745e-20   1.476350e-20   1.217913e-20   1.385159e-20   5.363410e-20   1.365282e-19   1.321713e-19
         4.9500   0.000000e+00   2.613828e-18   2.354695e-24   4.503338e-24   5.766633e-20   7.715236e-20   1.447047e-19   2.754285e-19   2.291517e-19   2.051848e-19   2.174216e-21   5.868081e-21   1.535673e-20   1.237950e-20   3.116187e-20   1.575901e-20   1.199488e-20   1.517322e-20   5.070949e-20   1.288310e-19   1.251146e-19
         5.0000   0.000000e+00   2.698554e-18   2.523010e-24   4.822649e-24   5.564044e-20   7.605362e-20   2.044981e-19   3.480568e-19   3.104994e-19   2.656257e-19   2.064579e-21   5.875832e-21   1.597343e-20   1.379583e-20   3.284683e-20   1.703204e-20   1.221250e-20   1.746856e-20   4.795265e-20   1.218454e-19   1.181889e-19
         5.0500   0.000000e+00   2.771028e-18   2.699506e-24   5.167208e-24   5.339761e-20   7.423903e-20   2.807592e-19   4.364512e-19   4.061462e-19   3.329344e-19   1.961732e-21   5.883233e-21   1.656777e-20   1.544118e-20   3.617595e-20   1.872308e-20   1.305023e-20   2.092955e-20   4.535440e-20   1.150700e-19   1.114008e-19
