# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         3.0000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   5.124271e-21   8.066136e-21   1.239230e-20   2.868864e-21   1.169648e-22   4.943887e-21   5.690101e-22   8.992175e-21   5.708274e-20   2.955639e-19   3.109185e-19   7.632910e-19   0.000000e+00
         3.0500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.837999e-21   7.615423e-21   1.169967e-20   2.708436e-21   1.104158e-22   4.667398e-21   5.371932e-22   8.489260e-21   5.389013e-20   2.790358e-19   2.935262e-19   7.206727e-19   0.000000e+00
         3.1000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.567764e-21   7.189951e-21   1.104581e-20   2.556986e-21   1.042328e-22   4.406379e-21   5.071570e-22   8.014483e-21   5.087615e-20   2.634327e-19   3.921669e-19   6.803446e-19   0.000000e+00
         3.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.312668e-21   6.788311e-21   1.042856e-20   2.446774e-21   9.839532e-23   4.159965e-21   4.788017e-22   7.566281e-21   4.803080e-20   2.487027e-19   3.702299e-19   6.422903e-19   0.000000e+00
         3.2000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.071867e-21   6.409172e-21   9.845885e-21   2.309971e-21   9.288397e-23   3.927340e-21   4.520335e-22   7.143147e-21   4.534465e-20   2.347970e-19   3.495200e-19   6.068576e-19   0.000000e+00
         3.2500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.844563e-21   6.051275e-21   9.295841e-21   2.180825e-21   8.768050e-23   3.707733e-21   4.267636e-22   6.744148e-21   4.280880e-20   2.216696e-19   3.299687e-19   5.736817e-19   0.000000e+00
         3.3000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.630001e-21   5.713437e-21   8.776610e-21   2.266912e-21   8.276766e-23   3.500415e-21   4.029082e-22   6.367018e-21   4.041485e-20   2.092770e-19   3.115111e-19   5.416078e-19   0.000000e+00
         3.3500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.427471e-21   5.394535e-21   8.286469e-21   2.140203e-21   7.812916e-23   3.304700e-21   3.803884e-22   6.010992e-21   3.815485e-20   1.975780e-19   2.940860e-19   5.113129e-19   0.000000e+00
         3.4000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.236301e-21   5.093514e-21   7.823794e-21   2.020589e-21   7.374964e-23   3.119939e-21   3.591293e-22   5.684253e-21   3.602133e-20   1.865340e-19   2.776356e-19   4.831104e-19   0.000000e+00
         3.4500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.055858e-21   4.809375e-21   7.387052e-21   1.907671e-21   6.961458e-23   2.945519e-21   3.390606e-22   5.366438e-21   3.400720e-20   1.761082e-19   2.621056e-19   4.560542e-19   0.000000e+00
         3.5000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.885542e-21   4.541177e-21   6.974795e-21   2.544476e-21   6.571026e-23   2.780862e-21   3.201159e-22   5.066410e-21   3.401838e-20   1.662661e-19   3.598023e-19   4.302291e-19   0.000000e+00
         3.5500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.724791e-21   4.288030e-21   6.585656e-21   2.402337e-21   6.202604e-23   2.625422e-21   3.022321e-22   4.886440e-21   3.211641e-20   1.569751e-19   3.396762e-19   4.067437e-19   0.000000e+00
         3.6000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.573070e-21   4.049095e-21   6.218345e-21   2.268161e-21   5.854499e-23   2.478685e-21   2.853501e-22   4.613288e-21   3.032089e-20   1.482045e-19   3.206760e-19   3.844102e-19   0.000000e+00
         3.6500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.429877e-21   3.868845e-21   5.871645e-21   2.141503e-21   5.536079e-23   2.340163e-21   2.694183e-22   4.355427e-21   2.862587e-20   1.399250e-19   3.027387e-19   3.635977e-19   0.000000e+00
         3.7000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.294736e-21   3.653473e-21   6.284680e-21   2.021943e-21   5.225125e-23   2.209399e-21   2.543749e-22   4.767633e-21   2.702574e-20   1.321094e-19   2.858049e-19   3.437353e-19   0.000000e+00
         3.7500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.167201e-21   3.450209e-21   5.934415e-21   1.909085e-21   4.931492e-23   2.085957e-21   2.403712e-22   4.501191e-21   2.551518e-20   1.247317e-19   2.698184e-19   3.238770e-19   0.000000e+00
         3.8000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.046846e-21   3.258379e-21   5.603819e-21   3.222841e-21   4.864363e-23   1.969429e-21   2.269560e-22   4.249668e-21   2.408920e-20   1.177674e-19   2.547262e-19   3.058709e-19   0.000000e+00
         3.8500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.933274e-21   3.077347e-21   5.291797e-21   3.042978e-21   4.590834e-23   1.859430e-21   2.142931e-22   4.012232e-21   2.274306e-20   1.111934e-19   2.404787e-19   2.888101e-19   0.000000e+00
         3.9000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.826108e-21   2.906513e-21   4.997313e-21   2.873202e-21   4.332523e-23   1.755595e-21   2.063594e-22   6.131312e-21   2.147231e-20   1.049880e-19   2.270280e-19   2.722278e-19   0.000000e+00
         3.9500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.724991e-21   2.745309e-21   4.719392e-21   2.712949e-21   6.406446e-23   1.657578e-21   1.948534e-22   5.788751e-21   2.027272e-20   9.913054e-20   2.143301e-19   2.575194e-19   0.000000e+00
         4.0000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.629589e-21   2.593202e-21   4.457113e-21   2.561688e-21   6.047332e-23   1.565054e-21   1.839932e-22   5.465377e-21   1.914034e-20   9.360168e-20   2.023468e-19   2.431207e-19   0.000000e+00
         4.0500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.539584e-21   2.449685e-21   4.209605e-21   2.418917e-21   5.708263e-23   1.477816e-21   2.180688e-22   5.160118e-21   1.807139e-20   8.838305e-20   1.910293e-19   2.302769e-19   0.000000e+00
         4.1000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.454677e-21   2.314284e-21   3.976048e-21   2.284164e-21   2.010205e-22   1.395372e-21   2.059230e-22   4.871962e-21   1.706235e-20   8.345737e-20   1.803501e-19   2.172683e-19   0.000000e+00
         4.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.374586e-21   2.186547e-21   3.755667e-21   2.156980e-21   1.898235e-22   1.317553e-21   1.944598e-22   4.599954e-21   1.610986e-20   7.880829e-20   1.702639e-19   2.044006e-19   0.000000e+00
         4.2000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.299045e-21   2.066051e-21   3.547732e-21   3.423898e-21   1.792555e-22   1.246106e-21   4.650513e-22   8.819851e-21   1.521076e-20   7.442041e-20   1.607680e-19   1.930806e-19   0.000000e+00
         4.2500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.227802e-21   1.952394e-21   3.351552e-21   3.233171e-21   1.692814e-22   1.176667e-21   4.391493e-22   8.327265e-21   1.436208e-20   7.027918e-20   1.850134e-19   1.824215e-19   0.000000e+00
         4.3000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.160620e-21   1.845199e-21   3.166476e-21   3.053160e-21   6.857063e-22   1.134532e-21   4.147026e-22   7.862279e-21   1.356101e-20   6.637087e-20   1.746704e-19   1.719749e-19   0.000000e+00
         4.3500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.097274e-21   1.744110e-21   2.991891e-21   2.883267e-21   6.476059e-22   1.071382e-21   3.916300e-22   7.423352e-21   1.280488e-20   6.268252e-20   1.649022e-19   1.623682e-19   0.000000e+00
         4.4000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.037553e-21   1.648788e-21   2.827216e-21   2.722930e-21   6.116512e-22   1.011783e-21   1.375585e-21   7.009028e-21   1.209119e-20   5.920189e-20   1.557759e-19   1.534700e-19   0.000000e+00
         4.4500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.812569e-22   1.558915e-21   2.671904e-21   2.571615e-21   5.777228e-22   9.555363e-22   1.298951e-21   6.617934e-21   1.141758e-20   5.591744e-20   1.471974e-19   1.449008e-19   0.000000e+00
         4.5000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.281968e-22   1.474192e-21   2.525440e-21   2.428822e-21   5.457081e-22   1.042795e-21   1.226621e-21   6.248773e-21   1.078181e-20   5.281828e-20   1.389743e-19   1.366349e-19   0.000000e+00
