# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         3.0000   2.195500e-24   1.421357e-22   4.761674e-22   1.780167e-21   5.617371e-21   1.040593e-20   0.000000e+00
         3.0500   2.124594e-24   1.342676e-22   4.497513e-22   1.681290e-21   5.303210e-21   9.829033e-21   0.000000e+00
         3.1000   2.013362e-24   1.268443e-22   4.248255e-22   1.587984e-21   5.006626e-21   9.266798e-21   0.000000e+00
         3.1500   1.908693e-24   1.198413e-22   4.013073e-22   1.499940e-21   5.840488e-21   8.741742e-21   0.000000e+00
         3.2000   2.094162e-24   1.132353e-22   3.791186e-22   1.416866e-21   5.513861e-21   8.253491e-21   0.000000e+00
         3.2500   1.986903e-24   1.070044e-22   3.581858e-22   1.338487e-21   5.205510e-21   7.792601e-21   0.000000e+00
         3.3000   1.886211e-24   1.011279e-22   3.384393e-22   1.264541e-21   4.914419e-21   7.353790e-21   0.000000e+00
         3.3500   1.791761e-24   9.558617e-23   3.198136e-22   1.194784e-21   4.639612e-21   6.943334e-21   0.000000e+00
         3.4000   2.717192e-24   9.036091e-23   3.022467e-22   1.128984e-21   4.380187e-21   6.555896e-21   0.000000e+00
         3.4500   2.581785e-24   8.543469e-23   2.856801e-22   1.066922e-21   4.135344e-21   6.190192e-21   0.000000e+00
         3.5000   2.455389e-24   8.079109e-23   2.700588e-22   1.008392e-21   3.904140e-21   5.845008e-21   0.000000e+00
         3.5500   2.337666e-24   7.641465e-23   2.553307e-22   9.531982e-22   3.685918e-21   5.519198e-21   0.000000e+00
         3.6000   2.228312e-24   7.229075e-23   2.414466e-22   9.011577e-22   3.479905e-21   5.211681e-21   0.000000e+00
         3.6500   2.127057e-24   6.840560e-23   2.283601e-22   8.520965e-22   3.285796e-21   4.921437e-21   0.000000e+00
         3.7000   3.975147e-24   6.474618e-23   2.160275e-22   8.058510e-22   3.102632e-21   4.647500e-21   0.000000e+00
         3.7500   3.789773e-24   6.130022e-23   2.044073e-22   7.622663e-22   2.929083e-21   4.388955e-21   0.000000e+00
         3.8000   3.618936e-24   5.805611e-23   1.934605e-22   7.211964e-22   2.765663e-21   4.144945e-21   0.000000e+00
         3.8500   3.462323e-24   5.500288e-23   1.831501e-22   6.825033e-22   2.612647e-21   3.914660e-21   0.000000e+00
         3.9000   3.319678e-24   5.213019e-23   1.734413e-22   6.460566e-22   2.467107e-21   3.697336e-21   0.000000e+00
         3.9500   3.190797e-24   4.942826e-23   1.643010e-22   6.117332e-22   2.330110e-21   3.492250e-21   0.000000e+00
         4.0000   3.075522e-24   4.688781e-23   1.556980e-22   5.794164e-22   2.200952e-21   3.298720e-21   0.000000e+00
         4.0500   2.973737e-24   4.450009e-23   1.476028e-22   5.489963e-22   2.078410e-21   3.116098e-21   0.000000e+00
         4.1000   4.782388e-24   4.225678e-23   1.399874e-22   5.203686e-22   1.966449e-21   2.943780e-21   0.000000e+00
         4.1500   4.610180e-24   4.015002e-23   1.328251e-22   4.934345e-22   1.856487e-21   2.781198e-21   0.000000e+00
         4.2000   4.458085e-24   3.817234e-23   1.260909e-22   4.681005e-22   1.756374e-21   2.627822e-21   0.000000e+00
         4.2500   4.325821e-24   3.631662e-23   1.197607e-22   4.442780e-22   1.657885e-21   2.483157e-21   0.000000e+00
         4.3000   4.213097e-24   3.457610e-23   1.138119e-22   4.218829e-22   1.567678e-21   2.346723e-21   0.000000e+00
         4.3500   4.119590e-24   3.294429e-23   1.082229e-22   4.008353e-22   1.481653e-21   2.218046e-21   0.000000e+00
         4.4000   4.044920e-24   3.141500e-23   1.029730e-22   3.810592e-22   1.399595e-21   2.096679e-21   0.000000e+00
         4.4500   3.988628e-24   2.998231e-23   9.804277e-23   3.624826e-22   1.322577e-21   1.982207e-21   0.000000e+00
         4.5000   3.950149e-24   2.864053e-23   9.341348e-23   3.450367e-22   1.253080e-21   1.874248e-21   0.000000e+00
         4.5500   3.928771e-24   2.738415e-23   8.906740e-23   3.286562e-22   1.184748e-21   1.772441e-21   0.000000e+00
         4.6000   3.923612e-24   2.620784e-23   8.498754e-23   3.132786e-22   1.122075e-21   1.676448e-21   0.000000e+00
         4.6500   3.933646e-24   2.510643e-23   8.115759e-23   2.988444e-22   1.062130e-21   1.585963e-21   0.000000e+00
         4.7000   3.957688e-24   2.407487e-23   7.756204e-23   2.852966e-22   1.004540e-21   1.500693e-21   0.000000e+00
         4.7500   3.994313e-24   2.310827e-23   7.418623e-23   2.725812e-22   9.509699e-22   1.420350e-21   0.000000e+00
