# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         3.0000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.331517e-20   1.929946e-20   1.834750e-20   4.334741e-27   5.680759e-22   0.000000e+00   0.000000e+00   1.561817e-20   9.879106e-20   4.721218e-19   4.090404e-19   3.425802e-19   0.000000e+00
         3.0500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.257095e-20   1.822066e-20   1.732148e-20   2.075891e-25   5.363113e-22   0.000000e+00   0.000000e+00   1.474463e-20   9.326548e-20   4.457187e-19   4.558179e-19   5.376904e-19   0.000000e+00
         3.1000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.186841e-20   1.720224e-20   1.635287e-20   1.959965e-25   5.063243e-22   0.000000e+00   0.000000e+00   1.391997e-20   8.804905e-20   4.207931e-19   4.303201e-19   5.076125e-19   0.000000e+00
         3.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.120520e-20   1.624085e-20   1.543847e-20   1.850536e-25   4.780156e-22   0.000000e+00   0.000000e+00   1.314144e-20   8.312446e-20   3.972621e-19   4.062486e-19   4.795923e-19   0.000000e+00
         3.2000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.057913e-20   1.533329e-20   1.457524e-20   4.334741e-24   4.512914e-22   0.000000e+00   0.000000e+00   1.240647e-20   7.847539e-20   3.750480e-19   3.835237e-19   4.528865e-19   0.000000e+00
         3.2500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.988131e-21   1.447655e-20   1.376032e-20   4.092694e-24   4.260630e-22   0.000000e+00   0.000000e+00   1.171263e-20   7.408644e-20   3.540769e-19   3.620701e-19   4.275366e-19   0.000000e+00
         3.3000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.430235e-21   1.366779e-20   1.299101e-20   3.864212e-24   4.022468e-22   0.000000e+00   0.000000e+00   1.105761e-20   6.994306e-20   3.342795e-19   3.418165e-19   4.036211e-19   0.000000e+00
         3.3500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   8.903596e-21   1.290434e-20   1.226476e-20   4.952983e-23   3.797639e-22   0.000000e+00   0.000000e+00   1.043925e-20   6.603151e-20   3.155901e-19   4.557744e-19   3.816790e-19   0.000000e+00
         3.4000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   8.406469e-21   1.218366e-20   1.157916e-20   4.676424e-23   3.585398e-22   0.000000e+00   0.000000e+00   9.855478e-21   6.233883e-20   2.979468e-19   4.302795e-19   3.610997e-19   0.000000e+00
         3.4500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   7.937205e-21   1.164169e-20   1.093195e-20   4.415366e-23   3.385041e-22   0.000000e+00   4.375776e-35   9.304969e-21   5.885277e-20   2.812910e-19   4.062108e-19   5.500850e-19   0.000000e+00
