# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         3.0000   0.000000e+00   0.000000e+00   0.000000e+00   3.557627e-22   5.740245e-22   2.490468e-21   4.727033e-21   8.427441e-21   1.203519e-20   1.619582e-20   2.067321e-20   3.073243e-20   4.065814e-20   5.300484e-20   9.472369e-20   1.207194e-19   1.363561e-19   2.768998e-20   1.874938e-19   3.569911e-20   1.484580e-19   1.823440e-19   6.906237e-19   1.347927e-18   1.171176e-18   7.418047e-19   0.000000e+00
         3.0500   0.000000e+00   0.000000e+00   0.000000e+00   3.359655e-22   5.419697e-22   2.351429e-21   4.463005e-21   7.956692e-21   1.136252e-20   1.529638e-20   1.951748e-20   2.901416e-20   3.838477e-20   5.004096e-20   8.942669e-20   1.139686e-19   1.287303e-19   3.438734e-20   1.770059e-19   3.370232e-20   1.401546e-19   1.721452e-19   6.519954e-19   1.285147e-18   1.105662e-18   7.003091e-19   0.000000e+00
         3.1000   0.000000e+00   0.000000e+00   0.000000e+00   3.172814e-22   5.117112e-22   2.220184e-21   4.213770e-21   7.512316e-21   1.072752e-20   1.444136e-20   1.842644e-20   2.739205e-20   3.623863e-20   4.724294e-20   8.442611e-20   1.075954e-19   1.215313e-19   3.246399e-20   1.671048e-19   3.181724e-20   1.323157e-19   1.625170e-19   6.155282e-19   1.213270e-18   1.044248e-18   6.611373e-19   0.000000e+00
         3.1500   0.000000e+00   0.000000e+00   0.000000e+00   2.996487e-22   4.831488e-22   2.096299e-21   3.978501e-21   8.987108e-21   1.032778e-20   1.363422e-20   1.739648e-20   2.586074e-20   3.421261e-20   4.460152e-20   7.970537e-20   1.015789e-19   1.147351e-19   3.064824e-20   1.577575e-19   3.003763e-20   1.249154e-19   1.534274e-19   5.811012e-19   1.145414e-18   9.858335e-19   8.280856e-19   0.000000e+00
         3.2000   0.000000e+00   0.000000e+00   0.000000e+00   2.830088e-22   4.561879e-22   1.979361e-21   3.756459e-21   8.485357e-21   9.750741e-21   1.287226e-20   1.642418e-20   2.441515e-20   3.229998e-20   4.210803e-20   7.524882e-20   9.589915e-20   1.083192e-19   2.893408e-20   1.489331e-19   2.835758e-20   1.179292e-19   1.448464e-19   5.486003e-19   1.081355e-18   9.306868e-19   7.817640e-19   0.000000e+00
         3.2500   0.000000e+00   0.000000e+00   0.000000e+00   2.673065e-22   4.307389e-22   1.868984e-21   3.546825e-21   8.011731e-21   9.206019e-21   1.218851e-20   1.550633e-20   2.305048e-20   3.049442e-20   3.975401e-20   7.104169e-20   9.053722e-20   1.022624e-19   2.731583e-20   1.406024e-19   2.677152e-20   1.113338e-19   1.367455e-19   5.179178e-19   1.020880e-18   8.834317e-19   7.380619e-19   0.000000e+00
         3.3000   0.000000e+00   0.000000e+00   0.000000e+00   2.524895e-22   4.067176e-22   1.764801e-21   3.348947e-21   7.564660e-21   8.691811e-21   1.150753e-20   1.463987e-20   2.176221e-20   2.878994e-20   3.753399e-20   6.707004e-20   8.547539e-20   9.654448e-20   2.578812e-20   1.327377e-19   2.527419e-20   1.051075e-19   1.290979e-19   4.889520e-19   9.637885e-19   8.340133e-19   6.967762e-19   0.000000e+00
         3.3500   0.000000e+00   0.000000e+00   0.000000e+00   2.385089e-22   3.840444e-22   1.666469e-21   3.162988e-21   7.142663e-21   8.206412e-21   1.086470e-20   1.382193e-20   2.054608e-20   2.718088e-20   3.543601e-20   6.332069e-20   8.069687e-20   9.114658e-20   4.009960e-20   1.253130e-19   2.386065e-20   9.922951e-20   1.218782e-19   4.616069e-19   9.339831e-19   7.873594e-19   6.579198e-19   0.000000e+00
         3.4000   0.000000e+00   0.000000e+00   0.000000e+00   2.253180e-22   3.626440e-22   1.573659e-21   2.986647e-21   6.744339e-21   7.748215e-21   1.025788e-20   1.304983e-20   1.939805e-20   2.566192e-20   3.345549e-20   5.978123e-20   7.708559e-20   8.605080e-20   3.785693e-20   1.183037e-19   2.252619e-20   9.368046e-20   1.150624e-19   4.357918e-19   8.817552e-19   7.738334e-19   1.033941e-18   0.000000e+00
         3.4500   0.000000e+00   0.000000e+00   0.000000e+00   2.128731e-22   3.424456e-22   1.486064e-21   2.820205e-21   6.368369e-21   7.315699e-21   9.812051e-21   1.232096e-20   1.831431e-20   2.422801e-20   3.161055e-20   5.643992e-20   7.277675e-20   8.124025e-20   3.573974e-20   1.116865e-19   2.126639e-20   8.844194e-20   1.086280e-19   4.114213e-19   8.324500e-19   7.305460e-19   9.761046e-19   0.000000e+00
