# CIE bound-bound cooling efficiency for H (Z=1)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_H0           L_H1         
         3.0000   8.135304e-24   0.000000e+00
         3.0500   7.694894e-24   0.000000e+00
         3.1000   7.279775e-24   0.000000e+00
         3.1500   6.888590e-24   0.000000e+00
         3.2000   6.520016e-24   0.000000e+00
         3.2500   6.172801e-24   0.000000e+00
         3.3000   5.845762e-24   0.000000e+00
         3.3500   5.537770e-24   0.000000e+00
         3.4000   5.247724e-24   0.000000e+00
         3.4500   4.974532e-24   0.000000e+00
         3.5000   4.717195e-24   0.000000e+00
         3.5500   4.474785e-24   0.000000e+00
         3.6000   4.246428e-24   0.000000e+00
         3.6500   4.031320e-24   0.000000e+00
         3.7000   3.828722e-24   0.000000e+00
         3.7500   3.637966e-24   0.000000e+00
         3.8000   3.458419e-24   0.000000e+00
         3.8500   3.289456e-24   0.000000e+00
         3.9000   3.130456e-24   0.000000e+00
         3.9500   2.980819e-24   0.000000e+00
         4.0000   2.839971e-24   0.000000e+00
         4.0500   2.707362e-24   0.000000e+00
         4.1000   2.582476e-24   0.000000e+00
         4.1500   2.464813e-24   0.000000e+00
         4.2000   2.353892e-24   0.000000e+00
         4.2500   2.249277e-24   0.000000e+00
         4.3000   2.150556e-24   0.000000e+00
         4.3500   2.057338e-24   0.000000e+00
         4.4000   1.969250e-24   0.000000e+00
         4.4500   1.885946e-24   0.000000e+00
         4.5000   1.807109e-24   0.000000e+00
         4.5500   1.732427e-24   0.000000e+00
         4.6000   1.661599e-24   0.000000e+00
         4.6500   1.594348e-24   0.000000e+00
         4.7000   1.530392e-24   0.000000e+00
         4.7500   1.469430e-24   0.000000e+00
         4.8000   1.411197e-24   0.000000e+00
         4.8500   1.355508e-24   0.000000e+00
         4.9000   1.302163e-24   0.000000e+00
         4.9500   1.250883e-24   0.000000e+00
         5.0000   1.201439e-24   0.000000e+00
         5.0500   1.153730e-24   0.000000e+00
         5.1000   1.107728e-24   0.000000e+00
         5.1500   1.063371e-24   0.000000e+00
         5.2000   1.020413e-24   0.000000e+00
         5.2500   9.785838e-25   0.000000e+00
         5.3000   9.378438e-25   0.000000e+00
         5.3500   8.982525e-25   0.000000e+00
         5.4000   8.597795e-25   0.000000e+00
         5.4500   8.223128e-25   0.000000e+00
         5.5000   7.858248e-25   0.000000e+00
         5.5500   7.503371e-25   0.000000e+00
         5.6000   7.157208e-25   0.000000e+00
         5.6500   6.818435e-25   0.000000e+00
         5.7000   6.487843e-25   0.000000e+00
         5.7500   6.166744e-25   0.000000e+00
         5.8000   5.855393e-25   0.000000e+00
         5.8500   5.553311e-25   0.000000e+00
         5.9000   5.260158e-25   0.000000e+00
         5.9500   4.976060e-25   0.000000e+00
         6.0000   4.701250e-25   0.000000e+00
         6.0500   4.435913e-25   0.000000e+00
         6.1000   4.180118e-25   0.000000e+00
         6.1500   3.933865e-25   0.000000e+00
         6.2000   3.697242e-25   0.000000e+00
         6.2500   3.470503e-25   0.000000e+00
         6.3000   3.253532e-25   0.000000e+00
         6.3500   3.045797e-25   0.000000e+00
         6.4000   2.847155e-25   0.000000e+00
         6.4500   2.657919e-25   0.000000e+00
         6.5000   2.478216e-25   0.000000e+00
         6.5500   2.307762e-25   0.000000e+00
         6.6000   2.146206e-25   0.000000e+00
         6.6500   1.993279e-25   0.000000e+00
         6.7000   1.848801e-25   0.000000e+00
         6.7500   1.712568e-25   0.000000e+00
         6.8000   1.584342e-25   0.000000e+00
         6.8500   1.463854e-25   0.000000e+00
         6.9000   1.350820e-25   0.000000e+00
         6.9500   1.244953e-25   0.000000e+00
         7.0000   1.145963e-25   0.000000e+00
         7.0500   1.053562e-25   0.000000e+00
         7.1000   9.674599e-26   0.000000e+00
         7.1500   8.873584e-26   0.000000e+00
         7.2000   8.129605e-26   0.000000e+00
         7.2500   7.439693e-26   0.000000e+00
         7.3000   6.800894e-26   0.000000e+00
         7.3500   6.210316e-26   0.000000e+00
         7.4000   5.665128e-26   0.000000e+00
         7.4500   5.162575e-26   0.000000e+00
         7.5000   4.699981e-26   0.000000e+00
         7.5500   4.274759e-26   0.000000e+00
         7.6000   3.884421e-26   0.000000e+00
         7.6500   3.526579e-26   0.000000e+00
         7.7000   3.198952e-26   0.000000e+00
         7.7500   2.899367e-26   0.000000e+00
         7.8000   2.625756e-26   0.000000e+00
         7.8500   2.376152e-26   0.000000e+00
         7.9000   2.148694e-26   0.000000e+00
         7.9500   1.941635e-26   0.000000e+00
         8.0000   1.753336e-26   0.000000e+00
         8.0500   1.582266e-26   0.000000e+00
         8.1000   1.426997e-26   0.000000e+00
         8.1500   1.286198e-26   0.000000e+00
         8.2000   1.158631e-26   0.000000e+00
         8.2500   1.043148e-26   0.000000e+00
         8.3000   9.386873e-27   0.000000e+00
         8.3500   8.442696e-27   0.000000e+00
         8.4000   7.589925e-27   0.000000e+00
         8.4500   6.820258e-27   0.000000e+00
         8.5000   6.126064e-27   0.000000e+00
         8.5500   5.500316e-27   0.000000e+00
         8.6000   4.936586e-27   0.000000e+00
         8.6500   4.429002e-27   0.000000e+00
         8.7000   3.972213e-27   0.000000e+00
         8.7500   3.561341e-27   0.000000e+00
         8.8000   3.191947e-27   0.000000e+00
         8.8500   2.859997e-27   0.000000e+00
         8.9000   2.561827e-27   0.000000e+00
         8.9500   2.294115e-27   0.000000e+00
         9.0000   2.053847e-27   0.000000e+00
