# CIE bound-bound cooling efficiency for He (Z=2)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_He0          L_He1          L_He2        
         3.0000   2.410506e-23   1.286873e-22   0.000000e+00
         3.0500   2.277894e-23   1.215564e-22   0.000000e+00
         3.1000   2.153016e-23   1.148274e-22   0.000000e+00
         3.1500   2.034290e-23   1.084782e-22   0.000000e+00
         3.2000   1.922972e-23   1.024878e-22   0.000000e+00
         3.2500   1.818035e-23   9.683661e-23   0.000000e+00
         3.3000   1.718284e-23   9.150650e-23   0.000000e+00
         3.3500   1.626311e-23   8.647963e-23   0.000000e+00
         3.4000   1.540645e-23   8.173854e-23   0.000000e+00
         3.4500   1.457627e-23   7.726675e-23   0.000000e+00
         3.5000   1.380614e-23   7.304906e-23   0.000000e+00
         3.5500   1.307927e-23   6.907137e-23   0.000000e+00
         3.6000   1.238949e-23   6.532038e-23   0.000000e+00
         3.6500   1.174457e-23   6.178365e-23   0.000000e+00
         3.7000   1.113260e-23   5.844998e-23   0.000000e+00
         3.7500   1.057492e-23   5.530849e-23   0.000000e+00
         3.8000   1.005885e-23   5.234854e-23   0.000000e+00
         3.8500   9.555059e-24   4.956012e-23   0.000000e+00
         3.9000   9.092674e-24   4.693370e-23   0.000000e+00
         3.9500   8.656497e-24   4.446023e-23   0.000000e+00
         4.0000   8.238303e-24   4.213088e-23   0.000000e+00
         4.0500   7.853211e-24   3.993691e-23   0.000000e+00
         4.1000   7.487275e-24   3.787026e-23   0.000000e+00
         4.1500   7.144979e-24   3.592350e-23   0.000000e+00
         4.2000   6.825580e-24   3.408960e-23   0.000000e+00
         4.2500   6.527374e-24   3.236208e-23   0.000000e+00
         4.3000   6.244855e-24   3.073501e-23   0.000000e+00
         4.3500   5.984409e-24   2.920303e-23   0.000000e+00
         4.4000   5.734533e-24   2.776104e-23   0.000000e+00
         4.4500   5.510677e-24   2.640405e-23   0.000000e+00
         4.5000   5.302529e-24   2.512707e-23   0.000000e+00
         4.5500   5.103820e-24   2.392529e-23   0.000000e+00
