# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         3.0000   4.317602e-24   3.820655e-23   2.891024e-22   3.941307e-22   1.450749e-23   4.413496e-21   6.297081e-22   3.709909e-21   6.621002e-21   4.538452e-20   5.550048e-20   4.996268e-20   0.000000e+00
         3.0500   4.083943e-24   3.609552e-23   2.730147e-22   3.721976e-22   1.369803e-23   4.166819e-21   5.945062e-22   3.502566e-21   6.250780e-21   4.284791e-20   5.239593e-20   4.693298e-20   0.000000e+00
         3.1000   3.863717e-24   3.410403e-23   2.578320e-22   3.514981e-22   1.293398e-23   3.933954e-21   5.612747e-22   3.306831e-21   6.049724e-21   4.045332e-20   4.946504e-20   4.464503e-20   0.000000e+00
         3.1500   3.656180e-24   3.222544e-23   2.435039e-22   3.319636e-22   1.221279e-23   3.714129e-21   5.299037e-22   3.905732e-21   5.711497e-21   3.819281e-20   4.669812e-20   5.125017e-20   0.000000e+00
         3.2000   3.460629e-24   3.045352e-23   2.299829e-22   3.135294e-22   1.153238e-23   3.506614e-21   5.002890e-22   3.687497e-21   5.392200e-21   3.605890e-20   6.307907e-20   4.845942e-20   0.000000e+00
         3.2500   3.276398e-24   2.878236e-23   2.172242e-22   2.961344e-22   1.088988e-23   3.310722e-21   4.723336e-22   3.481485e-21   5.090777e-21   3.404451e-20   5.955072e-20   4.575120e-20   0.000000e+00
         3.3000   3.102861e-24   2.720640e-23   2.051854e-22   2.797209e-22   1.029691e-23   3.125803e-21   4.459427e-22   3.287012e-21   4.806228e-21   3.214297e-20   5.621974e-20   4.319468e-20   0.000000e+00
         3.3500   2.939422e-24   2.572038e-23   1.938268e-22   2.642344e-22   9.723861e-24   2.951246e-21   4.210699e-22   3.103435e-21   4.537609e-21   3.034796e-20   5.307512e-20   4.103308e-20   0.000000e+00
         3.4000   2.785518e-24   2.431934e-23   1.831106e-22   4.630940e-22   9.183043e-24   2.786470e-21   3.975505e-22   4.515984e-21   4.567650e-21   2.865354e-20   5.010642e-20   3.841428e-20   0.000000e+00
         3.4500   2.640619e-24   2.299860e-23   1.730013e-22   4.374229e-22   8.947514e-24   2.630930e-21   3.753488e-22   4.263749e-21   4.312445e-21   2.705410e-20   4.730361e-20   5.363576e-20   0.000000e+00
         3.5000   2.504220e-24   2.175373e-23   1.634655e-22   4.132014e-22   8.451077e-24   2.484110e-21   3.552077e-22   4.025646e-21   4.071535e-21   2.554433e-20   4.465780e-20   5.069920e-20   0.000000e+00
         3.5500   2.375844e-24   2.058055e-23   1.544714e-22   3.903494e-22   7.982647e-24   2.345524e-21   3.353795e-22   3.800886e-21   3.844120e-21   2.411922e-20   4.216001e-20   4.792641e-20   0.000000e+00
         3.6000   2.255039e-24   1.947511e-23   1.459893e-22   3.687910e-22   1.057230e-23   2.214712e-21   3.166630e-22   3.588725e-21   3.629446e-21   2.277406e-20   5.834684e-20   4.516811e-20   0.000000e+00
         3.6500   2.141378e-24   1.843369e-23   1.379910e-22   3.484547e-22   9.992102e-24   2.091240e-21   3.080016e-22   3.388458e-21   3.426803e-21   2.150438e-20   5.508354e-20   4.275721e-20   0.000000e+00
         3.7000   2.034454e-24   1.745276e-23   1.304501e-22   3.292732e-22   9.444993e-24   1.974699e-21   2.908270e-22   3.199423e-21   3.235518e-21   2.030598e-20   5.200272e-20   4.037064e-20   0.000000e+00
         3.7500   1.933882e-24   1.652897e-23   1.233415e-22   3.111826e-22   2.815960e-23   1.864719e-21   2.746163e-22   3.020991e-21   3.054957e-21   1.917487e-20   4.908049e-20   3.803313e-20   0.000000e+00
         3.8000   1.839298e-24   1.565919e-23   1.166417e-22   2.941231e-22   2.663607e-23   1.760902e-21   3.164797e-22   4.401178e-21   3.161485e-21   1.810732e-20   4.633643e-20   3.586315e-20   0.000000e+00
         3.8500   1.750353e-24   1.484041e-23   1.103284e-22   2.780381e-22   2.520065e-23   1.662921e-21   2.988718e-22   4.155640e-21   2.985157e-21   1.709978e-20   4.374501e-20   5.088548e-20   0.000000e+00
         3.9000   1.666716e-24   1.406981e-23   1.043807e-22   2.628739e-22   2.384853e-23   1.570774e-21   2.822543e-22   3.923876e-21   2.818723e-21   1.614892e-20   4.130074e-20   4.812268e-20   0.000000e+00
         3.9500   1.588071e-24   1.334471e-23   9.877890e-23   2.485804e-22   2.257521e-23   1.483491e-21   2.665721e-22   3.705116e-21   2.661631e-21   1.525157e-20   3.899108e-20   4.543785e-20   0.000000e+00
         4.0000   1.514119e-24   1.266256e-23   9.350434e-23   2.351101e-22   8.636965e-23   1.401123e-21   4.560561e-22   3.498637e-21   2.513362e-21   1.440476e-20   3.676973e-20   4.290368e-20   0.000000e+00
         4.0500   1.444574e-24   1.202096e-23   8.853954e-23   2.224180e-22   8.174763e-23   1.326966e-21   4.307718e-22   3.303752e-21   2.373422e-21   1.360569e-20   3.472055e-20   4.061766e-20   0.000000e+00
         4.1000   1.379166e-24   1.141760e-23   8.386798e-23   2.104619e-22   7.739559e-23   1.253434e-21   4.069146e-22   3.119816e-21   2.241349e-21   1.285170e-20   3.278558e-20   3.836044e-20   0.000000e+00
         4.1500   1.317634e-24   1.085031e-23   7.947413e-23   2.622960e-22   7.329895e-23   1.184054e-21   3.844053e-22   2.946219e-21   2.116703e-21   1.214030e-20   3.095582e-20   3.615141e-20   0.000000e+00
         4.2000   1.259733e-24   1.031701e-23   7.534336e-23   2.481822e-22   6.944392e-23   1.118597e-21   3.631690e-22   2.782384e-21   1.999073e-21   1.146911e-20   2.924654e-20   3.413888e-20   0.000000e+00
         4.2500   1.205229e-24   9.815725e-24   7.146188e-23   2.348890e-22   1.972128e-22   1.078258e-21   3.431352e-22   2.627770e-21   1.888068e-21   1.083591e-20   2.754580e-20   3.225793e-20   0.000000e+00
         4.3000   1.153900e-24   9.344574e-24   6.781671e-23   2.223721e-22   1.867255e-22   1.018860e-21   7.146216e-22   2.481861e-21   1.783320e-21   1.023861e-20   3.183214e-20   3.041169e-20   0.000000e+00
         4.3500   1.105538e-24   8.901764e-24   6.439563e-23   2.105894e-22   1.768540e-22   9.628351e-22   6.751779e-22   2.344175e-21   1.684481e-21   9.675204e-21   3.006508e-20   2.872192e-20   0.000000e+00
         4.4000   1.059947e-24   8.485587e-24   6.118709e-23   1.995016e-22   1.675650e-22   9.099955e-22   6.379693e-22   2.214253e-21   1.591223e-21   9.143832e-21   2.838608e-20   2.712725e-20   0.000000e+00
         4.4500   1.016941e-24   8.094413e-24   5.818026e-23   1.890711e-22   1.588269e-22   9.366601e-22   6.028720e-22   2.091665e-21   1.503238e-21   8.642722e-21   2.685776e-20   2.562238e-20   0.000000e+00
         4.5000   9.763517e-25   7.726683e-24   5.536488e-23   1.792627e-22   1.506100e-22   8.855851e-22   5.697689e-22   2.460760e-21   1.506925e-21   8.170207e-21   2.534891e-20   2.417727e-20   0.000000e+00
         4.5500   9.380223e-25   7.380916e-24   5.273128e-23   1.700432e-22   1.428863e-22   8.374347e-22   5.385497e-22   2.324538e-21   1.423785e-21   7.724710e-21   2.403087e-20   2.811797e-20   0.000000e+00
         4.6000   9.018097e-25   7.055707e-24   5.027034e-23   1.613810e-22   1.356289e-22   7.920477e-22   5.091101e-22   2.196012e-21   1.345361e-21   7.304745e-21   2.269368e-20   2.655965e-20   0.000000e+00
         4.6500   8.675775e-25   6.749723e-24   4.797338e-23   1.532462e-22   2.571592e-22   7.492716e-22   4.813514e-22   2.074752e-21   1.271392e-21   6.908907e-21   2.135873e-20   2.508916e-20   0.000000e+00
         4.7000   8.352011e-25   6.461700e-24   4.583216e-23   1.456106e-22   2.438513e-22   8.635881e-22   8.364269e-22   1.960355e-21   1.201632e-21   6.535870e-21   2.017600e-20   2.370164e-20   0.000000e+00
         4.7500   8.045783e-25   6.190436e-24   4.383884e-23   1.384475e-22   2.313392e-22   8.173278e-22   7.906467e-22   1.852440e-21   1.135848e-21   6.184382e-21   1.904453e-20   2.239250e-20   0.000000e+00
         4.8000   7.756302e-25   5.934828e-24   4.198594e-23   1.317312e-22   2.195794e-22   7.737513e-22   7.474761e-22   1.750645e-21   1.073822e-21   5.853258e-21   1.798930e-20   2.115748e-20   0.000000e+00
         4.8500   7.482898e-25   5.693838e-24   4.026639e-23   1.254376e-22   2.085304e-22   7.327105e-22   7.067700e-22   1.654631e-21   1.015347e-21   5.541380e-21   1.704221e-20   1.999258e-20   0.000000e+00
         4.9000   7.224932e-25   5.466468e-24   3.867330e-23   1.195434e-22   1.981530e-22   6.940647e-22   6.683914e-22   1.564075e-21   9.602267e-22   5.247690e-21   1.610303e-20   1.889396e-20   0.000000e+00
         4.9500   6.981879e-25   5.251780e-24   3.719997e-23   1.140266e-22   1.884097e-22   6.576808e-22   6.322106e-22   1.478673e-21   9.082779e-22   4.971187e-21   1.531607e-20   1.785781e-20   0.000000e+00
         5.0000   6.753554e-25   5.048929e-24   3.583981e-23   1.088658e-22   1.792645e-22   6.234327e-22   5.981049e-22   1.398137e-21   8.593261e-22   4.710924e-21   1.444598e-20   1.688052e-20   0.000000e+00
         5.0500   6.540087e-25   4.857204e-24   3.458634e-23   1.040405e-22   1.706833e-22   5.912004e-22   5.659579e-22   1.322194e-21   8.132069e-22   4.466003e-21   1.367402e-20   1.595876e-20   0.000000e+00
         5.1000   6.341724e-25   4.675980e-24   3.343329e-23   9.953100e-23   1.626332e-22   7.119140e-22   5.356595e-22   1.250587e-21   7.697648e-22   4.235575e-21   1.295382e-20   1.508942e-20   0.000000e+00
         5.1500   6.158725e-25   4.504647e-24   3.237442e-23   9.531811e-23   1.550825e-22   6.752916e-22   5.071052e-22   1.183073e-21   7.288530e-22   4.018833e-21   1.222421e-20   1.426962e-20   0.000000e+00
         5.2000   5.991526e-25   4.342616e-24   3.140347e-23   9.138316e-23   1.480007e-22   6.408292e-22   4.801956e-22   1.119419e-21   6.903327e-22   3.815014e-21   1.156895e-20   1.349662e-20   0.000000e+00
         5.2500   5.840815e-25   4.189407e-24   3.051406e-23   8.770800e-23   1.413583e-22   6.084023e-22   4.548365e-22   1.059407e-21   6.540726e-22   3.623391e-21   1.094558e-20   1.276796e-20   0.000000e+00
         5.3000   5.707492e-25   4.044729e-24   2.969990e-23   8.427488e-23   1.351268e-22   5.778917e-22   4.309381e-22   1.002829e-21   6.199484e-22   3.443275e-21   1.034952e-20   1.208129e-20   0.000000e+00
         5.3500   5.592627e-25   3.908381e-24   2.895462e-23   8.106632e-23   1.694166e-22   5.491836e-22   4.084148e-22   9.494884e-22   5.878425e-22   3.274007e-21   9.772885e-21   1.143428e-20   0.000000e+00
