# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         3.0000   2.053798e-24   1.507328e-23   4.515784e-22   1.415966e-21   4.334594e-21   1.108309e-20   1.045814e-20   0.000000e+00
         3.0500   1.952508e-24   1.426745e-23   4.264552e-22   1.337135e-21   4.093233e-21   1.046313e-20   1.482660e-20   0.000000e+00
         3.1000   1.851106e-24   1.347992e-23   4.027454e-22   1.262736e-21   3.865438e-21   9.877862e-21   1.398464e-20   0.000000e+00
         3.1500   1.739354e-24   1.273704e-23   3.803702e-22   1.192522e-21   3.650454e-21   9.325332e-21   1.320545e-20   0.000000e+00
         3.2000   1.641143e-24   1.233955e-23   4.452336e-22   1.126260e-21   3.447568e-21   8.803711e-21   1.243744e-20   0.000000e+00
         3.2500   1.557846e-24   1.166344e-23   4.205027e-22   1.063730e-21   3.256107e-21   8.311272e-21   1.174278e-20   0.000000e+00
         3.3000   1.479575e-24   1.102592e-23   3.971652e-22   1.004724e-21   3.075436e-21   7.846382e-21   1.109341e-20   0.000000e+00
         3.3500   1.406101e-24   1.042489e-23   3.751437e-22   9.490486e-22   2.904956e-21   7.407502e-21   1.045590e-20   0.000000e+00
         3.4000   1.336932e-24   1.168167e-23   3.543652e-22   8.965171e-22   2.744101e-21   6.993185e-21   9.872304e-21   0.000000e+00
         3.4500   1.274173e-24   1.105666e-23   3.347606e-22   8.469557e-22   2.592337e-21   6.602038e-21   9.311741e-21   0.000000e+00
         3.5000   1.213036e-24   1.046821e-23   3.162649e-22   8.001999e-22   2.449160e-21   7.697400e-21   8.792318e-21   0.000000e+00
         3.5500   1.155621e-24   9.914358e-24   2.988167e-22   7.560943e-22   2.314096e-21   7.266992e-21   8.296830e-21   0.000000e+00
         3.6000   1.132531e-24   1.590193e-23   2.823580e-22   7.144923e-22   2.186695e-21   6.860558e-21   7.834371e-21   0.000000e+00
         3.6500   1.081030e-24   1.508592e-23   2.668340e-22   6.752558e-22   2.066535e-21   6.477141e-21   7.397883e-21   0.000000e+00
         3.7000   1.032951e-24   1.431982e-23   2.521931e-22   6.382540e-22   1.953214e-21   6.114958e-21   6.985915e-21   0.000000e+00
         3.7500   9.899443e-25   1.360109e-23   2.383866e-22   6.033639e-22   1.846356e-21   5.773731e-21   8.130284e-21   0.000000e+00
         3.8000   1.099431e-24   1.292730e-23   2.253685e-22   5.704691e-22   1.745605e-21   5.452725e-21   7.677572e-21   0.000000e+00
         3.8500   1.052048e-24   2.543330e-23   2.130952e-22   5.394597e-22   1.650625e-21   5.147805e-21   7.250297e-21   0.000000e+00
         3.9000   1.013638e-24   2.418106e-23   2.015258e-22   5.102322e-22   1.561098e-21   4.860453e-21   6.847032e-21   0.000000e+00
