# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         3.0000   7.724989e-24   7.564077e-23   1.513526e-23   3.862512e-22   3.052150e-22   3.640298e-21   6.423555e-21   1.852711e-20   2.512252e-20   7.279035e-20   0.000000e+00
         3.0500   7.302327e-24   7.145580e-23   1.429119e-23   3.647497e-22   2.881899e-22   3.437017e-21   6.064681e-21   1.749209e-20   2.371726e-20   6.877002e-20   0.000000e+00
         3.1000   6.904037e-24   6.750777e-23   1.349442e-23   3.444570e-22   2.721204e-22   3.245127e-21   5.725908e-21   1.651505e-20   2.238872e-20   6.469357e-20   0.000000e+00
         3.1500   6.527865e-24   6.374709e-23   1.274534e-23   3.253058e-22   2.569525e-22   3.063994e-21   5.406114e-21   1.559275e-20   3.046524e-20   6.107548e-20   0.000000e+00
         3.2000   6.180371e-24   6.023590e-23   1.203537e-23   3.072327e-22   2.426363e-22   4.063781e-21   5.104239e-21   1.472213e-20   2.876120e-20   5.774089e-20   0.000000e+00
         3.2500   5.846641e-24   5.692459e-23   1.136530e-23   2.901775e-22   2.291397e-22   3.836928e-21   4.819282e-21   1.390031e-20   2.715249e-20   5.439352e-20   0.000000e+00
         3.3000   5.532327e-24   5.380217e-23   1.079371e-23   2.740838e-22   2.163863e-22   3.622792e-21   4.550299e-21   1.312456e-20   2.562246e-20   5.140900e-20   0.000000e+00
         3.3500   5.249027e-24   5.085835e-23   1.019388e-23   2.588980e-22   2.046855e-22   3.420664e-21   4.296399e-21   1.239231e-20   2.418933e-20   4.853426e-20   0.000000e+00
         3.4000   4.969582e-24   4.801007e-23   9.627825e-24   2.445699e-22   1.933082e-22   3.229874e-21   4.176703e-21   1.170114e-20   2.283639e-20   4.576081e-20   0.000000e+00
         3.4500   4.703230e-24   4.539774e-23   9.764585e-24   2.310518e-22   1.825715e-22   3.049789e-21   3.943780e-21   1.104875e-20   2.155913e-20   4.320218e-20   0.000000e+00
         3.5000   4.456743e-24   5.565647e-23   9.227563e-24   2.182988e-22   1.761395e-22   2.879812e-21   3.723928e-21   1.043298e-20   2.031289e-20   4.075472e-20   0.000000e+00
         3.5500   4.224977e-24   5.262844e-23   8.721104e-24   2.062686e-22   1.663765e-22   2.719379e-21   3.516420e-21   9.851788e-21   2.828655e-20   3.847635e-20   0.000000e+00
         3.6000   4.005328e-24   4.977550e-23   1.249054e-23   1.949209e-22   1.571649e-22   2.567959e-21   3.320566e-21   9.303249e-21   2.670452e-20   3.637671e-20   0.000000e+00
         3.6500   3.795658e-24   4.708835e-23   1.182996e-23   1.842234e-22   1.484742e-22   2.425050e-21   3.135717e-21   8.785545e-21   2.521105e-20   3.434353e-20   0.000000e+00
         3.7000   3.603764e-24   4.455822e-23   1.120849e-23   1.741295e-22   1.624639e-22   2.290177e-21   2.961261e-21   8.296957e-21   2.380104e-20   3.245490e-20   0.000000e+00
         3.7500   3.423916e-24   4.217690e-23   1.062406e-23   1.646113e-22   1.535142e-22   2.162893e-21   2.796619e-21   7.835865e-21   2.247041e-20   3.068286e-20   0.000000e+00
         3.8000   3.255570e-24   3.986485e-23   1.007472e-23   1.557445e-22   1.450730e-22   2.042776e-21   2.641246e-21   7.400742e-21   2.113751e-20   2.892194e-20   0.000000e+00
         3.8500   3.090974e-24   3.776123e-23   2.396487e-23   1.472786e-22   1.371124e-22   1.929428e-21   2.494625e-21   6.990143e-21   1.995542e-20   2.730651e-20   0.000000e+00
         3.9000   2.944278e-24   3.578461e-23   2.277505e-23   1.392986e-22   2.088894e-22   2.188956e-21   2.356271e-21   6.602706e-21   1.884259e-20   2.578164e-20   0.000000e+00
         3.9500   2.807786e-24   3.392866e-23   2.166026e-23   1.329652e-22   1.974658e-22   2.067544e-21   2.225724e-21   6.237146e-21   1.779246e-20   2.435448e-20   0.000000e+00
         4.0000   2.683494e-24   3.218759e-23   2.061671e-23   1.258194e-22   1.866958e-22   1.952982e-21   2.102552e-21   5.892250e-21   1.680118e-20   2.296013e-20   0.000000e+00
         4.0500   2.563349e-24   3.055599e-23   1.964084e-23   1.190872e-22   1.765435e-22   1.844888e-21   1.986345e-21   5.566873e-21   1.586341e-20   2.167892e-20   0.000000e+00
         4.1000   2.455315e-24   2.902888e-23   4.779228e-23   1.202639e-22   1.669750e-22   1.742903e-21   1.876718e-21   5.259934e-21   1.498730e-20   2.046955e-20   0.000000e+00
         4.1500   2.356300e-24   2.760160e-23   4.550961e-23   1.139178e-22   3.183193e-22   1.646688e-21   1.773307e-21   4.970413e-21   1.407214e-20   1.931038e-20   0.000000e+00
         4.2000   2.266316e-24   2.626990e-23   4.337623e-23   1.079439e-22   3.010251e-22   1.555924e-21   1.675768e-21   4.697348e-21   1.330784e-20   1.822378e-20   0.000000e+00
         4.2500   2.181795e-24   2.502985e-23   4.138472e-23   1.023217e-22   2.847258e-22   1.470309e-21   1.583777e-21   4.439830e-21   1.256637e-20   1.720817e-20   0.000000e+00
         4.3000   2.109645e-24   2.387787e-23   3.952812e-23   9.703198e-23   2.693668e-22   1.389556e-21   1.497026e-21   4.197003e-21   1.456226e-20   1.624955e-20   0.000000e+00
         4.3500   2.046488e-24   2.281066e-23   3.779979e-23   1.175529e-22   2.548965e-22   1.313396e-21   1.415229e-21   3.968056e-21   1.375661e-20   1.534476e-20   0.000000e+00
