# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         3.0000   1.099117e-28   2.245643e-23   7.023160e-23   1.296991e-21   3.280514e-21   5.941724e-21   2.463132e-20   3.283029e-20   0.000000e+00
         3.0500   1.032947e-28   2.122274e-23   6.632943e-23   1.224664e-21   3.097586e-21   5.610121e-21   2.325349e-20   3.099487e-20   0.000000e+00
         3.1000   2.437798e-27   2.005929e-23   6.264284e-23   1.156396e-21   2.924926e-21   5.297113e-21   2.195274e-20   2.924088e-20   0.000000e+00
         3.1500   2.290431e-27   1.896219e-23   5.916384e-23   1.091960e-21   2.761960e-21   5.001662e-21   2.072476e-20   2.765296e-20   0.000000e+00
         3.2000   2.153287e-27   1.792779e-23   5.596324e-23   1.031144e-21   2.608148e-21   4.722789e-21   1.956546e-20   2.614140e-20   0.000000e+00
         3.2500   2.783598e-26   1.695264e-23   5.286114e-23   9.737455e-22   2.462980e-21   4.459569e-21   1.847102e-20   2.472530e-20   0.000000e+00
         3.3000   2.615727e-26   1.603348e-23   4.993418e-23   9.195738e-22   2.325976e-21   4.211130e-21   1.743781e-20   2.336903e-20   0.000000e+00
         3.3500   2.459675e-26   1.516726e-23   4.808093e-23   8.684496e-22   2.196679e-21   3.976649e-21   1.646239e-20   2.205611e-20   0.000000e+00
         3.4000   1.874047e-25   1.435102e-23   4.542789e-23   8.202034e-22   2.074663e-21   3.755347e-21   1.554155e-20   2.082674e-20   0.000000e+00
         3.4500   1.761163e-25   1.358204e-23   4.292531e-23   7.746751e-22   1.959521e-21   3.546491e-21   1.467223e-20   1.962469e-20   0.000000e+00
         3.5000   1.656187e-25   1.285849e-23   4.632312e-23   8.854538e-22   1.850873e-21   3.349388e-21   1.385153e-20   1.852881e-20   0.000000e+00
         3.5500   1.559131e-25   1.217639e-23   4.379321e-23   8.363211e-22   1.748358e-21   3.163385e-21   1.307679e-20   1.750248e-20   0.000000e+00
         3.6000   7.346703e-25   1.155004e-23   4.140816e-23   7.899593e-22   1.651635e-21   2.987865e-21   1.234556e-20   1.650231e-20   0.000000e+00
         3.6500   6.908951e-25   1.094510e-23   3.916003e-23   7.462145e-22   1.560384e-21   2.822246e-21   1.165504e-20   1.558148e-20   0.000000e+00
         3.7000   6.503316e-25   1.037587e-23   5.760801e-23   7.049413e-22   1.474301e-21   2.665977e-21   1.100363e-20   1.469989e-20   0.000000e+00
         3.7500   6.130015e-25   1.001523e-23   5.452527e-23   6.660028e-22   1.393101e-21   2.518541e-21   1.038819e-20   1.388018e-20   0.000000e+00
         3.8000   5.789604e-25   9.506242e-24   5.162242e-23   6.292694e-22   1.316514e-21   2.379448e-21   9.808583e-21   1.309980e-20   0.000000e+00
         3.8500   5.483011e-25   9.027934e-24   4.888969e-23   5.946191e-22   1.244284e-21   2.248237e-21   9.261562e-21   1.236990e-20   0.000000e+00
         3.9000   1.640683e-24   8.578621e-24   4.631785e-23   5.619365e-22   1.176173e-21   2.124470e-21   8.745161e-21   1.168100e-20   0.000000e+00
         3.9500   1.549418e-24   9.219551e-24   4.389817e-23   5.311128e-22   1.111952e-21   2.007738e-21   8.256891e-21   1.103081e-20   0.000000e+00
         4.0000   1.466697e-24   8.791924e-24   8.098295e-23   5.020452e-22   1.051407e-21   1.897650e-21   7.799900e-21   1.041716e-20   0.000000e+00
         4.0500   1.392776e-24   8.391952e-24   7.677177e-23   4.746365e-22   9.943372e-22   1.793842e-21   7.370196e-21   9.837996e-21   0.000000e+00
         4.1000   1.328003e-24   8.018114e-24   7.281225e-23   4.487952e-22   9.405505e-22   1.695967e-21   6.963148e-21   9.291413e-21   0.000000e+00
         4.1500   1.272822e-24   1.144721e-23   6.909080e-23   4.244346e-22   8.898671e-22   1.603698e-21   6.576883e-21   8.775592e-21   0.000000e+00
         4.2000   1.227777e-24   1.100738e-23   6.559453e-23   4.014730e-22   8.421165e-22   1.516727e-21   6.209967e-21   8.288820e-21   0.000000e+00
         4.2500   1.193507e-24   1.060101e-23   6.231120e-23   3.798330e-22   7.971378e-22   1.434764e-21   5.875595e-21   7.829475e-21   0.000000e+00
         4.3000   2.263221e-24   1.022629e-23   5.922922e-23   3.594415e-22   7.547789e-22   1.357532e-21   5.546173e-21   7.396020e-21   0.000000e+00
         4.3500   2.186669e-24   9.881450e-24   5.633752e-23   3.402292e-22   7.148960e-22   1.284772e-21   5.258520e-21   6.987022e-21   0.000000e+00
         4.4000   2.127886e-24   1.712331e-23   9.207939e-23   3.221309e-22   6.773529e-22   1.216238e-21   4.966356e-21   6.601132e-21   0.000000e+00
         4.4500   2.087805e-24   1.659772e-23   8.751523e-23   3.050846e-22   6.420209e-22   1.151699e-21   4.695320e-21   6.237092e-21   0.000000e+00
         4.5000   2.067428e-24   1.611994e-23   8.323124e-23   2.890315e-22   6.087778e-22   1.090934e-21   4.436477e-21   5.893727e-21   0.000000e+00
         4.5500   2.067795e-24   1.568727e-23   7.921175e-23   2.739159e-22   5.775080e-22   1.033737e-21   4.189026e-21   5.569898e-21   0.000000e+00
         4.6000   2.089949e-24   1.529699e-23   7.544179e-23   2.596853e-22   5.481018e-22   9.799093e-22   3.958101e-21   5.264482e-21   0.000000e+00
         4.6500   2.134881e-24   1.494634e-23   7.190703e-23   2.462894e-22   5.204550e-22   9.292654e-22   3.750365e-21   4.976414e-21   0.000000e+00
         4.7000   2.203484e-24   1.463243e-23   6.859368e-23   2.336807e-22   4.944684e-22   8.816285e-22   3.544584e-21   4.704714e-21   0.000000e+00
         4.7500   2.296487e-24   1.435230e-23   6.548847e-23   2.218139e-22   4.700478e-22   8.368308e-22   3.372455e-21   4.448470e-21   0.000000e+00
         4.8000   2.414391e-24   2.150929e-23   6.257862e-23   2.106459e-22   4.471039e-22   7.947136e-22   3.184764e-21   4.206829e-21   0.000000e+00
         4.8500   2.557399e-24   2.105904e-23   5.985181e-23   2.001357e-22   4.255515e-22   7.551255e-22   3.014597e-21   3.978986e-21   0.000000e+00
         4.9000   2.725347e-24   2.065568e-23   5.729610e-23   1.902441e-22   4.053093e-22   7.179230e-22   2.852215e-21   3.764217e-21   0.000000e+00
         4.9500   2.917645e-24   2.029483e-23   5.489985e-23   1.809340e-22   3.862997e-22   6.829689e-22   2.699101e-21   3.561825e-21   0.000000e+00
         5.0000   3.476004e-24   1.997198e-23   5.265172e-23   1.721696e-22   3.684485e-22   6.501333e-22   2.554940e-21   3.371127e-21   0.000000e+00
         5.0500   3.692432e-24   1.968237e-23   5.054060e-23   1.639167e-22   3.516851e-22   6.192924e-22   2.420007e-21   3.191477e-21   0.000000e+00
         5.1000   3.929745e-24   1.942107e-23   6.057477e-23   1.561427e-22   3.359426e-22   5.903282e-22   2.289838e-21   3.022261e-21   0.000000e+00
         5.1500   4.185196e-24   1.918312e-23   5.807185e-23   1.488160e-22   3.211570e-22   5.631282e-22   2.170524e-21   2.862898e-21   0.000000e+00
         5.2000   4.455492e-24   1.896371e-23   5.571206e-23   1.419068e-22   3.072669e-22   5.375849e-22   2.053047e-21   2.712822e-21   0.000000e+00
         5.2500   4.736834e-24   1.875776e-23   5.348315e-23   1.353865e-22   2.942130e-22   5.135952e-22   1.945368e-21   2.571471e-21   0.000000e+00
         5.3000   5.024969e-24   1.855982e-23   5.137374e-23   1.292280e-22   2.819388e-22   4.910600e-22   1.845092e-21   2.438323e-21   0.000000e+00
         5.3500   5.315280e-24   1.836457e-23   4.937346e-23   1.234044e-22   2.703894e-22   4.698847e-22   1.750691e-21   2.312899e-21   0.000000e+00
         5.4000   5.602878e-24   1.816743e-23   4.747188e-23   1.178901e-22   2.595132e-22   4.499786e-22   1.664405e-21   2.194746e-21   0.000000e+00
         5.4500   5.882725e-24   1.796439e-23   4.565801e-23   1.126620e-22   2.492627e-22   4.312555e-22   1.583619e-21   2.083447e-21   0.000000e+00
         5.5000   6.149755e-24   1.775125e-23   4.392130e-23   1.076997e-22   2.395907e-22   4.136344e-22   1.505952e-21   1.978617e-21   0.000000e+00
         5.5500   6.399007e-24   1.974236e-23   4.225371e-23   1.029808e-22   2.304469e-22   3.970377e-22   1.432832e-21   1.879908e-21   0.000000e+00
         5.6000   6.625759e-24   1.942883e-23   4.064921e-23   9.848222e-23   2.217875e-22   3.813845e-22   1.362800e-21   1.786996e-21   0.000000e+00
         5.6500   6.825651e-24   1.909912e-23   3.910189e-23   9.418231e-23   2.135798e-22   3.665977e-22   1.299550e-21   1.699560e-21   0.000000e+00
         5.7000   6.994806e-24   1.875076e-23   3.760329e-23   9.006789e-23   2.057923e-22   3.526137e-22   1.235099e-21   1.617279e-21   0.000000e+00
         5.7500   7.129930e-24   1.838169e-23   3.614457e-23   8.612966e-23   1.983787e-22   3.393810e-22   1.177238e-21   1.539844e-21   0.000000e+00
         5.8000   7.228403e-24   1.798999e-23   3.471932e-23   8.235569e-23   1.912859e-22   3.268345e-22   1.122391e-21   1.466960e-21   0.000000e+00
         5.8500   7.288349e-24   1.757442e-23   3.332490e-23   7.872548e-23   1.844812e-22   3.148934e-22   1.070739e-21   1.398342e-21   0.000000e+00
         5.9000   7.308683e-24   1.713418e-23   3.195972e-23   7.521801e-23   1.779621e-22   3.034805e-22   1.022683e-21   1.333722e-21   0.000000e+00
         5.9500   7.289140e-24   1.666869e-23   3.062185e-23   7.182127e-23   1.717311e-22   2.925690e-22   9.755883e-22   1.272844e-21   0.000000e+00
         6.0000   7.230276e-24   1.617802e-23   2.930940e-23   6.853239e-23   1.657534e-22   2.821549e-22   9.326945e-22   1.215458e-21   0.000000e+00
         6.0500   7.133444e-24   1.566363e-23   2.802062e-23   6.535069e-23   1.599641e-22   2.722157e-22   8.922926e-22   1.161338e-21   0.000000e+00
         6.1000   7.000744e-24   1.512795e-23   2.675267e-23   6.227293e-23   1.543103e-22   2.626634e-22   8.541744e-22   1.110272e-21   0.000000e+00
         6.1500   6.834943e-24   1.457360e-23   2.550333e-23   5.929428e-23   1.487921e-22   2.533984e-22   8.181742e-22   1.062056e-21   0.000000e+00
         6.2000   6.639379e-24   1.400301e-23   2.427293e-23   5.640690e-23   1.434253e-22   2.443765e-22   7.836489e-22   1.016499e-21   0.000000e+00
         6.2500   6.417829e-24   1.341885e-23   2.306442e-23   5.360026e-23   1.382169e-22   2.356095e-22   7.515112e-22   9.734197e-22   0.000000e+00
         6.3000   6.174379e-24   1.282417e-23   2.188079e-23   5.086616e-23   1.331572e-22   2.271157e-22   7.211119e-22   9.326551e-22   0.000000e+00
         6.3500   5.913271e-24   1.222238e-23   2.072346e-23   4.820561e-23   1.282341e-22   2.188901e-22   6.923320e-22   8.940452e-22   0.000000e+00
         6.4000   5.638761e-24   1.161701e-23   1.959304e-23   4.562509e-23   1.234152e-22   2.109121e-22   6.650542e-22   8.574334e-22   0.000000e+00
         6.4500   5.354976e-24   1.101155e-23   1.849031e-23   4.313016e-23   1.186643e-22   2.031442e-22   6.391489e-22   8.226767e-22   0.000000e+00
         6.5000   5.065797e-24   1.040936e-23   1.741675e-23   4.072011e-23   1.139646e-22   1.955261e-22   6.144780e-22   7.896316e-22   0.000000e+00
         6.5500   4.774758e-24   9.813698e-24   1.637424e-23   3.839196e-23   1.093425e-22   1.880082e-22   5.909335e-22   7.581441e-22   0.000000e+00
         6.6000   4.484979e-24   9.227617e-24   1.536457e-23   3.614309e-23   1.048281e-22   1.805992e-22   5.684452e-22   7.280733e-22   0.000000e+00
         6.6500   4.199122e-24   8.653722e-24   1.438933e-23   3.397357e-23   1.004302e-22   1.733416e-22   5.469129e-22   6.993201e-22   0.000000e+00
         6.7000   3.919381e-24   8.094220e-24   1.345004e-23   3.188492e-23   9.613295e-23   1.662693e-22   5.261927e-22   6.717874e-22   0.000000e+00
         6.7500   3.647499e-24   7.551153e-24   1.254797e-23   2.987854e-23   9.192058e-23   1.593716e-22   5.061946e-22   6.453343e-22   0.000000e+00
         6.8000   3.384798e-24   7.026488e-24   1.168369e-23   2.795574e-23   8.778669e-23   1.526215e-22   4.868979e-22   6.198355e-22   0.000000e+00
         6.8500   3.132237e-24   6.521879e-24   1.085706e-23   2.611754e-23   8.373710e-23   1.459979e-22   4.683165e-22   5.952319e-22   0.000000e+00
         6.9000   2.890465e-24   6.038504e-24   1.006797e-23   2.436422e-23   7.977892e-23   1.394994e-22   4.504088e-22   5.715058e-22   0.000000e+00
         6.9500   2.659884e-24   5.577140e-24   9.316989e-24   2.269376e-23   7.591786e-23   1.331358e-22   4.330197e-22   5.486328e-22   0.000000e+00
         7.0000   2.440711e-24   5.138299e-24   8.604688e-24   2.110312e-23   7.215963e-23   1.269163e-22   4.160256e-22   5.264998e-22   0.000000e+00
         7.0500   2.233023e-24   4.722311e-24   7.931141e-24   1.959039e-23   6.851024e-23   1.208500e-22   3.994564e-22   5.049598e-22   0.000000e+00
         7.1000   2.036804e-24   4.329320e-24   7.295697e-24   1.815608e-23   6.497109e-23   1.149458e-22   3.833593e-22   4.839758e-22   0.000000e+00
         7.1500   1.851972e-24   3.959267e-24   6.697471e-24   1.680088e-23   6.153477e-23   1.092105e-22   3.676997e-22   4.635785e-22   0.000000e+00
         7.2000   1.678404e-24   3.611916e-24   6.135533e-24   1.552393e-23   5.819382e-23   1.036378e-22   3.524142e-22   4.437619e-22   0.000000e+00
         7.2500   1.515946e-24   3.286870e-24   5.609039e-24   1.432259e-23   5.495326e-23   9.821557e-23   3.375028e-22   4.244684e-22   0.000000e+00
         7.3000   1.364415e-24   2.983612e-24   5.117054e-24   1.319377e-23   5.182445e-23   9.294055e-23   3.229691e-22   4.056761e-22   0.000000e+00
         7.3500   1.223604e-24   2.701526e-24   4.658528e-24   1.213465e-23   4.881662e-23   8.782756e-23   3.087204e-22   3.873989e-22   0.000000e+00
         7.4000   1.093273e-24   2.439916e-24   4.232274e-24   1.114300e-23   4.592886e-23   8.289347e-23   2.947057e-22   3.695813e-22   0.000000e+00
         7.4500   9.731498e-25   2.198023e-24   3.837009e-24   1.021658e-23   4.315684e-23   7.814599e-23   2.810016e-22   3.521471e-22   0.000000e+00
         7.5000   8.629226e-25   1.975035e-24   3.471396e-24   9.352991e-24   4.049686e-23   7.358063e-23   2.676833e-22   3.351232e-22   0.000000e+00
         7.5500   7.622392e-25   1.770098e-24   3.134059e-24   8.549562e-24   3.794873e-23   6.919147e-23   2.547420e-22   3.185791e-22   0.000000e+00
         7.6000   6.707067e-25   1.582323e-24   2.823602e-24   7.803480e-24   3.551341e-23   6.497536e-23   2.421417e-22   3.025377e-22   0.000000e+00
         7.6500   5.878931e-25   1.410804e-24   2.538617e-24   7.111950e-24   3.319111e-23   6.093385e-23   2.298657e-22   2.869753e-22   0.000000e+00
         7.7000   5.133322e-25   1.254617e-24   2.277683e-24   6.472189e-24   3.098085e-23   5.706842e-23   2.179289e-22   2.718723e-22   0.000000e+00
         7.7500   4.465292e-25   1.112839e-24   2.039379e-24   5.881479e-24   2.888050e-23   5.337924e-23   2.063485e-22   2.572322e-22   0.000000e+00
         7.8000   3.869685e-25   9.845453e-25   1.822293e-24   5.337163e-24   2.688771e-23   4.986435e-23   1.951363e-22   2.430675e-22   0.000000e+00
         7.8500   3.341211e-25   8.688223e-25   1.625035e-24   4.836602e-24   2.500002e-23   4.652069e-23   1.842949e-22   2.293878e-22   0.000000e+00
         7.9000   2.874536e-25   7.647701e-25   1.446240e-24   4.377170e-24   2.321493e-23   4.334497e-23   1.738247e-22   2.161977e-22   0.000000e+00
         7.9500   2.464360e-25   6.715099e-25   1.284584e-24   3.956289e-24   2.152999e-23   4.033370e-23   1.637357e-22   2.034973e-22   0.000000e+00
         8.0000   2.105489e-25   5.881885e-25   1.138785e-24   3.571437e-24   1.994254e-23   3.748339e-23   1.540445e-22   1.912896e-22   0.000000e+00
         8.0500   1.792904e-25   5.139832e-25   1.007608e-24   3.220160e-24   1.844959e-23   3.479046e-23   1.447378e-22   1.795877e-22   0.000000e+00
         8.1000   1.521812e-25   4.481053e-25   8.898746e-25   2.900094e-24   1.704791e-23   3.225089e-23   1.357871e-22   1.683898e-22   0.000000e+00
         8.1500   1.287688e-25   3.898025e-25   7.844594e-25   2.608966e-24   1.573410e-23   2.986011e-23   1.271998e-22   1.576694e-22   0.000000e+00
         8.2000   1.086308e-25   3.383623e-25   6.902992e-25   2.344597e-24   1.450461e-23   2.761323e-23   1.190019e-22   1.474142e-22   0.000000e+00
         8.2500   9.137677e-26   2.931132e-25   6.063921e-25   2.104909e-24   1.335581e-23   2.550505e-23   1.112000e-22   1.376396e-22   0.000000e+00
         8.3000   7.664903e-26   2.534263e-25   5.317968e-25   1.887932e-24   1.228407e-23   2.353016e-23   1.037782e-22   1.283547e-22   0.000000e+00
         8.3500   6.412289e-26   2.187167e-25   4.656334e-25   1.691810e-24   1.128571e-23   2.168302e-23   9.672048e-23   1.195467e-22   0.000000e+00
         8.4000   5.350599e-26   1.884434e-25   4.070818e-25   1.514805e-24   1.035707e-23   1.995806e-23   9.001911e-23   1.111976e-22   0.000000e+00
         8.4500   4.453701e-26   1.621089e-25   3.553809e-25   1.355285e-24   9.494505e-24   1.834961e-23   8.366998e-23   1.032927e-22   0.000000e+00
         8.5000   3.698409e-26   1.392586e-25   3.098264e-25   1.211721e-24   8.694457e-24   1.685200e-23   7.766727e-23   9.582258e-23   0.000000e+00
         8.5500   3.064281e-26   1.194789e-25   2.697709e-25   1.082689e-24   7.953484e-24   1.545961e-23   7.200242e-23   8.877695e-23   0.000000e+00
         8.6000   2.533413e-26   1.023959e-25   2.346209e-25   9.668575e-25   7.268231e-24   1.416694e-23   6.666493e-23   8.214395e-23   0.000000e+00
         8.6500   2.090208e-26   8.767293e-26   2.038351e-25   8.629884e-25   6.635423e-24   1.296864e-23   6.164403e-23   7.590981e-23   0.000000e+00
         8.7000   1.721156e-26   7.500887e-26   1.769212e-25   7.699399e-25   6.051875e-24   1.185945e-23   5.692867e-23   7.006013e-23   0.000000e+00
         8.7500   1.414615e-26   6.413538e-26   1.534335e-25   6.866621e-25   5.514491e-24   1.083424e-23   5.250794e-23   6.458011e-23   0.000000e+00
         8.8000   1.160599e-26   5.481455e-26   1.329693e-25   6.121929e-25   5.020252e-24   9.888012e-24   4.837081e-23   5.945491e-23   0.000000e+00
         8.8500   9.505812e-27   4.683639e-26   1.151669e-25   5.456517e-25   4.566258e-24   9.015865e-24   4.450584e-23   5.466981e-23   0.000000e+00
         8.9000   7.773114e-27   4.001629e-26   9.970192e-26   4.862355e-25   4.149740e-24   8.213038e-24   4.090120e-23   5.020985e-23   0.000000e+00
         8.9500   6.346497e-27   3.419254e-26   8.628508e-26   4.332129e-25   3.768061e-24   7.474952e-24   3.754492e-23   4.605982e-23   0.000000e+00
         9.0000   5.174154e-27   2.922407e-26   7.465884e-26   3.859198e-25   3.418715e-24   6.797227e-24   3.442489e-23   4.220446e-23   0.000000e+00
