# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         3.0000   1.388221e-25   3.219715e-23   5.083062e-23   4.519524e-22   1.460449e-21   2.680586e-21   4.189863e-21   9.371204e-21   1.555384e-21   2.507480e-21   3.545816e-21   5.060546e-21   7.258248e-20   1.578393e-19   1.879494e-19   4.759817e-19   0.000000e+00
         3.0500   1.299446e-25   3.041529e-23   4.799589e-23   4.267722e-22   1.378944e-21   2.530910e-21   3.955669e-21   8.847185e-21   1.468413e-21   2.367261e-21   3.347525e-21   4.777536e-21   6.852377e-20   1.490140e-19   1.774359e-19   4.494934e-19   0.000000e+00
         3.1000   1.215062e-25   2.873414e-23   4.532023e-23   4.030066e-22   1.302010e-21   2.389622e-21   3.734587e-21   8.352490e-21   1.386309e-21   2.234889e-21   3.160329e-21   4.510674e-21   6.469219e-20   1.406826e-19   1.675104e-19   4.243625e-19   0.000000e+00
         3.1500   1.134805e-25   2.714811e-23   4.283280e-23   3.967740e-22   1.229391e-21   2.256255e-21   3.525884e-21   7.885480e-21   1.308801e-21   2.109924e-21   2.983609e-21   4.258432e-21   6.107504e-20   1.328175e-19   1.581402e-19   4.007702e-19   0.000000e+00
         3.2000   8.748995e-25   2.565193e-23   4.044736e-23   3.747195e-22   1.160847e-21   2.130366e-21   3.328867e-21   7.444608e-21   1.235630e-21   1.991953e-21   2.816778e-21   4.020304e-21   5.766033e-20   1.288042e-19   1.492942e-19   3.784847e-19   0.000000e+00
         3.2500   8.182384e-25   2.424068e-23   3.819598e-23   3.539069e-22   1.106005e-21   2.011539e-21   3.142884e-21   7.028411e-21   1.166555e-21   1.880585e-21   2.659283e-21   3.801916e-21   5.443674e-20   1.216042e-19   2.002871e-19   3.570673e-19   0.000000e+00
         3.3000   7.643548e-25   2.290952e-23   3.631168e-23   3.342673e-22   1.044393e-21   1.899378e-21   2.967318e-21   6.635511e-21   1.101347e-21   1.775450e-21   2.510603e-21   3.589336e-21   5.139359e-20   1.148073e-19   1.890836e-19   3.375743e-19   0.000000e+00
         3.3500   7.130817e-25   2.165561e-23   3.429483e-23   3.157355e-22   9.862417e-22   1.793513e-21   2.801588e-21   6.264605e-21   1.039791e-21   1.676200e-21   2.370245e-21   3.388653e-21   4.852078e-20   1.083910e-19   1.785069e-19   3.190607e-19   0.000000e+00
         3.4000   3.417550e-24   2.047159e-23   3.239168e-23   2.982502e-22   9.313593e-22   1.693592e-21   2.645144e-21   5.914464e-21   9.816794e-22   1.582505e-21   2.237743e-21   3.269944e-21   4.580880e-20   1.023339e-19   1.685219e-19   3.016727e-19   0.000000e+00
         3.4500   3.194770e-24   1.935516e-23   3.059592e-23   2.817534e-22   8.795635e-22   1.599284e-21   2.497468e-21   5.583926e-21   9.268219e-22   1.494057e-21   2.112658e-21   3.087144e-21   4.324866e-20   9.661606e-20   1.590954e-19   2.852423e-19   0.000000e+00
         3.5000   2.982873e-24   1.831928e-23   2.890159e-23   2.661903e-22   8.306826e-22   1.510277e-21   2.358070e-21   5.271897e-21   8.751016e-22   1.410560e-21   1.994579e-21   2.914576e-21   4.083187e-20   9.121843e-20   1.501963e-19   2.693250e-19   0.000000e+00
         3.5500   2.781209e-24   1.732564e-23   2.811968e-23   2.673290e-22   7.845544e-22   1.426275e-21   2.226487e-21   4.977342e-21   8.262129e-22   1.331739e-21   1.883108e-21   3.200812e-21   3.855042e-20   8.612314e-20   1.417950e-19   2.537633e-19   0.000000e+00
         3.6000   2.589172e-24   1.638905e-23   2.657299e-23   2.526164e-22   7.410258e-22   1.346999e-21   2.102284e-21   4.699284e-21   7.814724e-22   1.257331e-21   1.777878e-21   3.021921e-21   3.639675e-20   8.464473e-20   1.338638e-19   2.395800e-19   0.000000e+00
