# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         3.0000   7.687660e-25   3.097983e-23   2.196206e-22   5.564662e-22   1.409852e-21   2.776619e-21   5.491900e-22   1.070055e-21   1.629620e-21   2.498464e-21   1.823452e-20   8.766238e-20   9.059084e-20   2.787553e-19   0.000000e+00
         3.0500   1.031486e-24   2.925191e-23   2.074026e-22   5.254542e-22   1.331138e-21   2.621447e-21   5.184890e-22   1.010227e-21   1.538500e-21   2.414529e-21   1.721480e-20   8.276168e-20   8.552330e-20   2.633447e-19   0.000000e+00
         3.1000   9.727155e-25   2.762094e-23   1.958718e-22   4.961837e-22   1.256836e-21   2.474964e-21   4.895066e-22   9.537482e-22   1.452478e-21   2.279517e-21   1.625215e-20   7.813531e-20   8.073925e-20   2.488591e-19   0.000000e+00
         3.1500   9.171507e-25   2.608153e-23   1.849902e-22   4.685577e-22   1.186700e-21   2.336685e-21   4.621467e-22   9.004302e-22   1.371272e-21   2.152060e-21   1.534336e-20   7.376792e-20   7.622281e-20   2.349638e-19   0.000000e+00
         3.2000   8.646050e-25   2.462856e-23   1.747215e-22   4.424846e-22   1.120498e-21   2.206150e-21   4.363187e-22   8.500968e-22   1.294610e-21   2.385869e-21   1.448544e-20   7.251611e-20   8.536108e-20   2.225194e-19   0.000000e+00
         3.2500   1.907295e-24   2.325724e-23   1.650318e-22   4.178779e-22   1.058009e-21   2.082928e-21   4.119369e-22   8.025811e-22   1.222239e-21   2.252483e-21   1.367552e-20   6.846353e-20   8.058621e-20   2.101015e-19   0.000000e+00
         3.3000   1.794098e-24   2.196300e-23   1.558888e-22   3.946561e-22   9.990270e-22   1.966610e-21   3.889212e-22   7.577257e-22   1.153920e-21   2.126563e-21   1.291094e-20   6.463787e-20   7.607845e-20   1.979608e-19   0.000000e+00
         3.3500   1.686799e-24   2.074156e-23   1.472623e-22   3.727420e-22   9.433563e-22   1.856811e-21   3.671938e-22   7.153818e-22   1.089426e-21   2.007692e-21   1.218915e-20   6.102647e-20   7.182286e-20   1.868957e-19   0.000000e+00
         3.4000   1.585039e-24   1.958889e-23   1.391235e-22   3.520631e-22   8.908124e-22   1.753166e-21   3.466836e-22   6.754090e-22   1.028544e-21   3.161141e-21   1.150776e-20   5.761734e-20   6.780534e-20   1.764916e-19   0.000000e+00
         3.4500   1.488477e-24   1.953678e-23   1.314455e-22   3.325507e-22   8.412211e-22   1.655332e-21   3.273538e-22   6.376750e-22   9.710692e-22   2.984450e-21   1.086451e-20   5.439918e-20   6.401256e-20   1.667209e-19   0.000000e+00
         3.5000   3.611894e-24   1.845197e-23   1.242027e-22   3.141400e-22   7.944179e-22   1.562984e-21   3.090759e-22   6.020546e-22   9.168883e-22   2.817652e-21   1.025728e-20   5.136134e-20   8.603578e-20   1.573967e-19   0.000000e+00
