# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         3.0000   0.000000e+00   4.700216e-26   1.880087e-25   4.230195e-25   7.520346e-25   1.175054e-24   1.692078e-24
         3.0500   0.000000e+00   4.978722e-26   1.991489e-25   4.480849e-25   7.965955e-25   1.244680e-24   1.792340e-24
         3.1000   0.000000e+00   5.273729e-26   2.109492e-25   4.746356e-25   8.437967e-25   1.318432e-24   1.898543e-24
         3.1500   0.000000e+00   5.586217e-26   2.234487e-25   5.027596e-25   8.937948e-25   1.396554e-24   2.011038e-24
         3.2000   0.000000e+00   5.917222e-26   2.366889e-25   5.325500e-25   9.467555e-25   1.479305e-24   2.130200e-24
         3.2500   0.000000e+00   6.267839e-26   2.507136e-25   5.641055e-25   1.002854e-24   1.566960e-24   2.256422e-24
         3.3000   0.000000e+00   6.639232e-26   2.655693e-25   5.975309e-25   1.062277e-24   1.659808e-24   2.390123e-24
         3.3500   0.000000e+00   7.032631e-26   2.813052e-25   6.329368e-25   1.125221e-24   1.758158e-24   2.531747e-24
         3.4000   0.000000e+00   7.459819e-26   2.979736e-25   6.704407e-25   1.191895e-24   1.862335e-24   2.681763e-24
         3.4500   0.000000e+00   7.929849e-26   3.156297e-25   7.101668e-25   1.262519e-24   1.972685e-24   2.840667e-24
         3.5000   0.000000e+00   8.431874e-26   3.343319e-25   7.522468e-25   1.337328e-24   2.089574e-24   3.008987e-24
         3.5500   0.000000e+00   8.968334e-26   3.541423e-25   7.968202e-25   1.416569e-24   2.213390e-24   3.187281e-24
         3.6000   0.000000e+00   9.541883e-26   3.751266e-25   8.440348e-25   1.500506e-24   2.344541e-24   3.376139e-24
         3.6500   0.000000e+00   1.015542e-25   3.973542e-25   8.940470e-25   1.589417e-24   2.483464e-24   3.576188e-24
         3.7000   0.000000e+00   1.081212e-25   4.208989e-25   9.470226e-25   1.683596e-24   2.630618e-24   3.788090e-24
         3.7500   0.000000e+00   1.151543e-25   4.469103e-25   1.003137e-24   1.783355e-24   2.786492e-24   4.012549e-24
         3.8000   0.000000e+00   1.226914e-25   4.751074e-25   1.062577e-24   1.889026e-24   2.951602e-24   4.250307e-24
         3.8500   0.000000e+00   1.307736e-25   5.052281e-25   1.125538e-24   2.000957e-24   3.126496e-24   4.502154e-24
         3.9000   0.000000e+00   1.394461e-25   5.374195e-25   1.192231e-24   2.119521e-24   3.311752e-24   4.768923e-24
         3.9500   0.000000e+00   1.487580e-25   5.718419e-25   1.262875e-24   2.245111e-24   3.507986e-24   5.051500e-24
         4.0000   0.000000e+00   1.587630e-25   6.086703e-25   1.337705e-24   2.378142e-24   3.715847e-24   5.350820e-24
         4.0500   0.000000e+00   1.695195e-25   6.480961e-25   1.421057e-24   2.519056e-24   3.936025e-24   5.667876e-24
         4.1000   0.000000e+00   1.810916e-25   6.903283e-25   1.510775e-24   2.668319e-24   4.169249e-24   6.003719e-24
         4.1500   0.000000e+00   1.935487e-25   7.355947e-25   1.606619e-24   2.828878e-24   4.416293e-24   6.359461e-24
         4.2000   0.000000e+00   2.069665e-25   7.841440e-25   1.709060e-24   3.006990e-24   4.677974e-24   6.736283e-24
         4.2500   0.000000e+00   2.214269e-25   8.362487e-25   1.818608e-24   3.197210e-24   4.955162e-24   7.135433e-24
         4.3000   0.000000e+00   2.370191e-25   8.922060e-25   1.935823e-24   3.400462e-24   5.248774e-24   7.558234e-24
         4.3500   0.000000e+00   2.538386e-25   9.523392e-25   2.061314e-24   3.617749e-24   5.559783e-24   8.006088e-24
         4.4000   0.000000e+00   2.719887e-25   1.017002e-24   2.195750e-24   3.850164e-24   5.889221e-24   8.480478e-24
         4.4500   0.000000e+00   2.915794e-25   1.086579e-24   2.339857e-24   4.098904e-24   6.238179e-24   8.982978e-24
         4.5000   0.000000e+00   3.127272e-25   1.161491e-24   2.494429e-24   4.365277e-24   6.607815e-24   9.515253e-24
         4.5500   0.000000e+00   3.355540e-25   1.242194e-24   2.660336e-24   4.650707e-24   6.999352e-24   1.007907e-23
         4.6000   0.000000e+00   3.601849e-25   1.329181e-24   2.838525e-24   4.956751e-24   7.414090e-24   1.067629e-23
         4.6500   0.000000e+00   3.867462e-25   1.422987e-24   3.030029e-24   5.285109e-24   7.853402e-24   1.130890e-23
         4.7000   0.000000e+00   4.153580e-25   1.524190e-24   3.235976e-24   5.637642e-24   8.318746e-24   1.197899e-23
         4.7500   0.000000e+00   4.461284e-25   1.633407e-24   3.457597e-24   6.016375e-24   8.811662e-24   1.268879e-23
         4.8000   0.000000e+00   4.791431e-25   1.751300e-24   3.696228e-24   6.423516e-24   9.333786e-24   1.344065e-23
         4.8500   0.000000e+00   5.144494e-25   1.878561e-24   3.953323e-24   6.861479e-24   9.886848e-24   1.423706e-23
         4.9000   0.000000e+00   5.520490e-25   2.015918e-24   4.230460e-24   7.332895e-24   1.047268e-23   1.508066e-23
         4.9500   0.000000e+00   5.918755e-25   2.164109e-24   4.529342e-24   7.840617e-24   1.111504e-23   1.597424e-23
         5.0000   0.000000e+00   6.337976e-25   2.323871e-24   4.851805e-24   8.387748e-24   1.181592e-23   1.692078e-23
         5.0500   0.000000e+00   6.776069e-25   2.495900e-24   5.199817e-24   8.977652e-24   1.256456e-23   1.796261e-23
         5.1000   0.000000e+00   7.230389e-25   2.680791e-24   5.575479e-24   9.613953e-24   1.336461e-23   1.909560e-23
         5.1500   0.000000e+00   7.697798e-25   2.879007e-24   5.980993e-24   1.030055e-23   1.422006e-23   2.030585e-23
         5.2000   0.000000e+00   8.175132e-25   3.090740e-24   6.418655e-24   1.104163e-23   1.513523e-23   2.159926e-23
