# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         3.0000   0.000000e+00   4.700216e-26   1.880087e-25   4.230195e-25   7.520346e-25   1.175054e-24   1.692078e-24   2.303106e-24   3.008138e-24   3.807175e-24   4.700216e-24   5.687262e-24   6.768311e-24   7.943365e-24   9.212424e-24   1.057549e-23   1.203255e-23   1.358362e-23   1.522870e-23   1.696778e-23   1.880087e-23
         3.0500   0.000000e+00   4.978722e-26   1.991489e-25   4.480849e-25   7.965955e-25   1.244680e-24   1.792340e-24   2.439574e-24   3.186382e-24   4.032764e-24   4.978722e-24   6.024253e-24   7.169359e-24   8.414039e-24   9.758294e-24   1.120212e-23   1.274553e-23   1.438851e-23   1.613106e-23   1.797318e-23   1.991489e-23
         3.1000   0.000000e+00   5.273729e-26   2.109492e-25   4.746356e-25   8.437967e-25   1.318432e-24   1.898543e-24   2.584127e-24   3.375187e-24   4.271721e-24   5.273729e-24   6.381213e-24   7.594170e-24   8.912603e-24   1.033651e-23   1.186589e-23   1.350075e-23   1.524108e-23   1.708688e-23   1.903816e-23   2.109492e-23
         3.1500   0.000000e+00   5.599966e-26   2.234487e-25   5.027596e-25   8.937948e-25   1.396554e-24   2.011038e-24   2.737247e-24   3.575179e-24   4.524836e-24   5.586217e-24   6.759323e-24   8.044153e-24   9.440708e-24   1.094899e-23   1.256899e-23   1.430072e-23   1.614417e-23   1.809934e-23   2.016625e-23   2.234487e-23
         3.2000   0.000000e+00   5.953315e-26   2.366889e-25   5.325500e-25   9.467555e-25   1.479305e-24   2.130200e-24   2.899439e-24   3.787022e-24   4.792950e-24   5.917222e-24   7.159838e-24   8.520799e-24   1.000010e-23   1.159775e-23   1.331375e-23   1.514809e-23   1.710077e-23   1.917180e-23   2.136117e-23   2.366889e-23
         3.2500   0.000000e+00   6.330772e-26   2.507136e-25   5.641055e-25   1.002854e-24   1.566960e-24   2.256422e-24   3.071241e-24   4.011417e-24   5.076950e-24   6.267839e-24   7.584085e-24   9.025688e-24   1.059265e-23   1.228496e-23   1.410264e-23   1.604567e-23   1.811406e-23   2.030780e-23   2.262690e-23   2.507136e-23
         3.3000   0.000000e+00   6.734181e-26   2.655693e-25   5.975309e-25   1.062277e-24   1.659808e-24   2.390123e-24   3.253224e-24   4.249108e-24   5.377778e-24   6.639232e-24   8.033471e-24   9.560494e-24   1.122030e-23   1.301289e-23   1.493827e-23   1.699643e-23   1.918738e-23   2.151111e-23   2.396763e-23   2.655693e-23
         3.3500   0.000000e+00   7.165551e-26   2.813052e-25   6.329368e-25   1.125221e-24   1.758158e-24   2.531747e-24   3.445989e-24   4.500884e-24   5.696431e-24   7.032631e-24   8.509484e-24   1.012699e-23   1.188515e-23   1.378396e-23   1.582342e-23   1.800354e-23   2.032430e-23   2.278572e-23   2.538780e-23   2.813052e-23
         3.4000   0.000000e+00   7.627078e-26   2.979736e-25   6.704407e-25   1.191895e-24   1.862335e-24   2.681763e-24   3.650177e-24   4.767578e-24   6.033966e-24   7.449341e-24   9.013702e-24   1.072705e-23   1.258939e-23   1.460071e-23   1.676102e-23   1.907031e-23   2.152859e-23   2.413586e-23   2.689212e-23   2.979736e-23
         3.4500   0.000000e+00   8.121160e-26   3.166681e-25   7.101668e-25   1.262519e-24   1.972685e-24   2.840667e-24   3.866464e-24   5.050075e-24   6.391501e-24   7.890742e-24   9.547798e-24   1.136267e-23   1.333535e-23   1.546585e-23   1.775417e-23   2.020030e-23   2.280424e-23   2.556600e-23   2.848558e-23   3.156297e-23
         3.5000   0.000000e+00   8.650416e-26   3.366716e-25   7.522468e-25   1.337328e-24   2.089574e-24   3.008987e-24   4.095566e-24   5.349311e-24   6.770221e-24   8.358298e-24   1.011354e-23   1.203595e-23   1.412552e-23   1.638226e-23   1.880617e-23   2.139724e-23   2.415548e-23   2.708088e-23   3.017346e-23   3.343319e-23
         3.5500   0.000000e+00   9.217704e-26   3.580423e-25   7.968202e-25   1.416569e-24   2.213390e-24   3.187281e-24   4.338243e-24   5.666277e-24   7.171382e-24   8.853558e-24   1.071281e-23   1.274912e-23   1.496251e-23   1.735297e-23   1.992051e-23   2.266511e-23   2.558678e-23   2.868553e-23   3.196134e-23   3.541423e-23
         3.6000   0.000000e+00   9.826140e-26   3.808852e-25   8.440348e-25   1.500506e-24   2.344541e-24   3.376139e-24   4.595301e-24   6.002025e-24   7.596313e-24   9.378164e-24   1.134758e-23   1.350456e-23   1.584910e-23   1.838120e-23   2.110087e-23   2.400810e-23   2.710290e-23   3.038525e-23   3.385517e-23   3.751266e-23
         3.6500   0.000000e+00   1.047914e-25   4.053144e-25   8.940470e-25   1.589417e-24   2.483464e-24   3.576188e-24   4.867589e-24   6.357668e-24   8.046423e-24   9.933856e-24   1.201997e-23   1.430475e-23   1.678822e-23   1.947036e-23   2.235117e-23   2.543067e-23   2.870884e-23   3.218569e-23   3.586122e-23   3.973542e-23
         3.7000   0.000000e+00   1.118043e-25   4.314549e-25   9.470226e-25   1.683596e-24   2.630618e-24   3.788090e-24   5.156012e-24   6.734383e-24   8.523204e-24   1.052247e-23   1.273219e-23   1.515236e-23   1.778298e-23   2.062405e-23   2.367557e-23   2.693753e-23   3.040995e-23   3.409281e-23   3.798613e-23   4.208989e-23
         3.7500   0.000000e+00   1.193406e-25   4.594434e-25   1.003137e-24   1.783355e-24   2.786492e-24   4.012549e-24   5.461525e-24   7.133420e-24   9.028235e-24   1.114597e-23   1.348662e-23   1.605020e-23   1.883669e-23   2.184610e-23   2.507843e-23   2.853368e-23   3.221185e-23   3.611294e-23   4.023695e-23   4.458388e-23
         3.8000   0.000000e+00   1.274447e-25   4.894288e-25   1.062577e-24   1.889026e-24   2.951602e-24   4.250307e-24   5.785141e-24   7.556102e-24   9.563192e-24   1.180641e-23   1.428576e-23   1.700123e-23   1.995283e-23   2.314056e-23   2.656442e-23   3.022441e-23   3.412052e-23   3.825277e-23   4.262114e-23   4.722564e-23
         3.8500   0.000000e+00   1.361649e-25   5.215735e-25   1.125538e-24   2.000957e-24   3.126496e-24   4.502154e-24   6.127932e-24   8.003829e-24   1.012985e-23   1.250598e-23   1.513224e-23   1.800862e-23   2.113511e-23   2.451173e-23   2.813846e-23   3.201532e-23   3.614229e-23   4.051939e-23   4.514660e-23   5.002393e-23
         3.9000   0.000000e+00   1.455537e-25   5.560552e-25   1.192231e-24   2.119521e-24   3.311752e-24   4.768923e-24   6.491035e-24   8.478086e-24   1.073008e-23   1.324701e-23   1.602888e-23   1.907569e-23   2.238745e-23   2.596414e-23   2.980577e-23   3.391234e-23   3.828386e-23   4.292031e-23   4.782170e-23   5.298804e-23
         3.9500   0.000000e+00   1.556683e-25   5.930683e-25   1.262875e-24   2.245111e-24   3.507986e-24   5.051500e-24   6.875653e-24   8.980444e-24   1.136587e-23   1.403194e-23   1.697865e-23   2.020600e-23   2.371399e-23   2.750261e-23   3.157187e-23   3.592178e-23   4.055232e-23   4.546350e-23   5.065532e-23   5.612778e-23
         4.0000   0.000000e+00   1.665707e-25   6.328244e-25   1.337705e-24   2.378142e-24   3.715847e-24   5.350820e-24   7.283061e-24   9.512569e-24   1.203934e-23   1.486339e-23   1.798470e-23   2.140328e-23   2.511913e-23   2.913224e-23   3.344262e-23   3.805028e-23   4.295519e-23   4.815738e-23   5.365683e-23   5.945356e-23
         4.0500   0.000000e+00   1.783279e-25   6.755544e-25   1.418454e-24   2.519056e-24   3.936025e-24   5.667876e-24   7.714609e-24   1.007622e-23   1.275272e-23   1.574410e-23   1.905036e-23   2.267150e-23   2.660753e-23   3.085844e-23   3.542423e-23   4.030490e-23   4.550045e-23   5.101088e-23   5.683620e-23   6.297640e-23
         4.1000   0.000000e+00   1.910122e-25   7.215103e-25   1.507785e-24   2.668319e-24   4.169249e-24   6.003719e-24   8.171728e-24   1.067328e-23   1.350837e-23   1.667700e-23   2.017917e-23   2.401488e-23   2.818412e-23   3.268691e-23   3.752324e-23   4.269311e-23   4.819652e-23   5.403347e-23   6.020396e-23   6.670799e-23
         4.1500   0.000000e+00   2.047010e-25   7.709673e-25   1.603192e-24   2.826427e-24   4.416293e-24   6.359461e-24   8.655934e-24   1.130571e-23   1.430879e-23   1.766517e-23   2.137486e-23   2.543785e-23   2.985414e-23   3.462373e-23   3.974663e-23   4.522284e-23   5.105234e-23   5.723515e-23   6.377127e-23   7.066068e-23
