# CIE bound-bound cooling efficiency for H (Z=1)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_H0           L_H1         
         3.0000   0.000000e+00   4.700216e-26
         3.0500   0.000000e+00   4.978722e-26
         3.1000   0.000000e+00   5.273729e-26
         3.1500   0.000000e+00   5.586217e-26
         3.2000   0.000000e+00   5.917222e-26
         3.2500   0.000000e+00   6.267839e-26
         3.3000   0.000000e+00   6.639232e-26
         3.3500   0.000000e+00   7.032631e-26
         3.4000   0.000000e+00   7.449341e-26
         3.4500   0.000000e+00   7.890742e-26
         3.5000   0.000000e+00   8.380494e-26
         3.5500   0.000000e+00   8.909428e-26
         3.6000   0.000000e+00   9.474465e-26
         3.6500   0.000000e+00   1.007837e-25
         3.7000   0.000000e+00   1.072415e-25
         3.7500   0.000000e+00   1.141510e-25
         3.8000   0.000000e+00   1.215481e-25
         3.8500   0.000000e+00   1.294721e-25
         3.9000   0.000000e+00   1.379658e-25
         3.9500   0.000000e+00   1.470759e-25
         4.0000   0.000000e+00   1.568536e-25
         4.0500   0.000000e+00   1.673548e-25
         4.1000   0.000000e+00   1.786402e-25
         4.1500   0.000000e+00   1.907762e-25
         4.2000   0.000000e+00   2.038352e-25
         4.2500   0.000000e+00   2.178961e-25
         4.3000   0.000000e+00   2.330444e-25
         4.3500   0.000000e+00   2.493730e-25
         4.4000   0.000000e+00   2.669823e-25
         4.4500   0.000000e+00   2.859805e-25
         4.5000   0.000000e+00   3.064835e-25
         4.5500   0.000000e+00   3.286154e-25
         4.6000   0.000000e+00   3.525061e-25
         4.6500   0.000000e+00   3.782912e-25
         4.7000   0.000000e+00   4.061094e-25
         4.7500   0.000000e+00   4.360972e-25
         4.8000   0.000000e+00   4.683843e-25
         4.8500   0.000000e+00   5.030799e-25
         4.9000   0.000000e+00   5.402675e-25
         4.9500   0.000000e+00   5.799798e-25
         5.0000   0.000000e+00   6.221954e-25
         5.0500   0.000000e+00   6.668147e-25
         5.1000   0.000000e+00   7.136637e-25
         5.1500   0.000000e+00   7.624871e-25
         5.2000   0.000000e+00   8.129755e-25
         5.2500   0.000000e+00   8.647733e-25
         5.3000   0.000000e+00   9.175359e-25
         5.3500   0.000000e+00   9.709424e-25
         5.4000   0.000000e+00   1.024755e-24
         5.4500   0.000000e+00   1.078837e-24
         5.5000   0.000000e+00   1.133168e-24
         5.5500   0.000000e+00   1.187865e-24
         5.6000   0.000000e+00   1.243162e-24
         5.6500   0.000000e+00   1.299407e-24
         5.7000   0.000000e+00   1.357030e-24
         5.7500   0.000000e+00   1.416534e-24
         5.8000   0.000000e+00   1.478447e-24
         5.8500   0.000000e+00   1.543329e-24
         5.9000   0.000000e+00   1.611742e-24
         5.9500   0.000000e+00   1.684251e-24
         6.0000   0.000000e+00   1.761341e-24
         6.0500   0.000000e+00   1.843511e-24
         6.1000   0.000000e+00   1.931288e-24
         6.1500   0.000000e+00   2.025146e-24
         6.2000   0.000000e+00   2.125520e-24
         6.2500   0.000000e+00   2.232851e-24
         6.3000   0.000000e+00   2.347587e-24
         6.3500   0.000000e+00   2.470169e-24
         6.4000   0.000000e+00   2.601048e-24
         6.4500   0.000000e+00   2.740687e-24
         6.5000   0.000000e+00   2.889569e-24
         6.5500   0.000000e+00   3.048195e-24
         6.6000   0.000000e+00   3.217096e-24
         6.6500   0.000000e+00   3.396830e-24
         6.7000   0.000000e+00   3.587991e-24
         6.7500   0.000000e+00   3.791207e-24
         6.8000   0.000000e+00   4.007138e-24
         6.8500   0.000000e+00   4.236498e-24
         6.9000   0.000000e+00   4.480041e-24
         6.9500   0.000000e+00   4.740501e-24
         7.0000   0.000000e+00   5.021394e-24
         7.0500   0.000000e+00   5.318930e-24
         7.1000   0.000000e+00   5.634097e-24
         7.1500   0.000000e+00   5.967938e-24
         7.2000   0.000000e+00   6.321560e-24
         7.2500   0.000000e+00   6.696136e-24
         7.3000   0.000000e+00   7.092907e-24
         7.3500   0.000000e+00   7.513188e-24
         7.4000   0.000000e+00   7.958373e-24
         7.4500   0.000000e+00   8.429936e-24
         7.5000   0.000000e+00   8.929441e-24
         7.5500   0.000000e+00   9.458544e-24
         7.6000   0.000000e+00   1.001900e-23
         7.6500   0.000000e+00   1.061266e-23
         7.7000   0.000000e+00   1.124150e-23
         7.7500   0.000000e+00   1.190760e-23
         7.8000   0.000000e+00   1.261317e-23
         7.8500   0.000000e+00   1.336055e-23
         7.9000   0.000000e+00   1.415221e-23
         7.9500   0.000000e+00   1.499078e-23
         8.0000   0.000000e+00   1.587904e-23
         8.0500   0.000000e+00   1.681993e-23
         8.1000   0.000000e+00   1.781658e-23
         8.1500   0.000000e+00   1.887228e-23
         8.2000   0.000000e+00   1.999053e-23
         8.2500   0.000000e+00   2.117504e-23
         8.3000   0.000000e+00   2.242974e-23
         8.3500   0.000000e+00   2.375879e-23
         8.4000   0.000000e+00   2.516658e-23
         8.4500   0.000000e+00   2.665780e-23
         8.5000   0.000000e+00   2.823737e-23
         8.5500   0.000000e+00   2.991054e-23
         8.6000   0.000000e+00   3.168285e-23
         8.6500   0.000000e+00   3.356018e-23
         8.7000   0.000000e+00   3.554875e-23
         8.7500   0.000000e+00   3.765514e-23
         8.8000   0.000000e+00   3.988635e-23
         8.8500   0.000000e+00   4.224976e-23
         8.9000   0.000000e+00   4.475322e-23
         8.9500   0.000000e+00   4.740501e-23
         9.0000   0.000000e+00   5.021394e-23
