# CIE bound-bound cooling efficiency for He (Z=2)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_He0          L_He1          L_He2        
         3.0000   0.000000e+00   4.700216e-26   1.880087e-25
         3.0500   0.000000e+00   4.978722e-26   1.991489e-25
         3.1000   0.000000e+00   5.273729e-26   2.109492e-25
         3.1500   0.000000e+00   5.586217e-26   2.234487e-25
         3.2000   0.000000e+00   5.917222e-26   2.366889e-25
         3.2500   0.000000e+00   6.267839e-26   2.507136e-25
         3.3000   0.000000e+00   6.639232e-26   2.655693e-25
         3.3500   0.000000e+00   7.032631e-26   2.813052e-25
         3.4000   0.000000e+00   7.449341e-26   2.979736e-25
         3.4500   0.000000e+00   7.890742e-26   3.156297e-25
         3.5000   0.000000e+00   8.358298e-26   3.343319e-25
         3.5500   0.000000e+00   8.853558e-26   3.541423e-25
         3.6000   0.000000e+00   9.378164e-26   3.751266e-25
         3.6500   0.000000e+00   9.933856e-26   3.973542e-25
         3.7000   0.000000e+00   1.052247e-25   4.208989e-25
         3.7500   0.000000e+00   1.116995e-25   4.458388e-25
         3.8000   0.000000e+00   1.187446e-25   4.722564e-25
         3.8500   0.000000e+00   1.262701e-25   5.002393e-25
         3.9000   0.000000e+00   1.343126e-25   5.298804e-25
         3.9500   0.000000e+00   1.429121e-25   5.612778e-25
         4.0000   0.000000e+00   1.521124e-25   5.945356e-25
         4.0500   0.000000e+00   1.619611e-25   6.297640e-25
         4.1000   0.000000e+00   1.725104e-25   6.687461e-25
         4.1500   0.000000e+00   1.838171e-25   7.109450e-25
         4.2000   0.000000e+00   1.959432e-25   7.560232e-25
         4.2500   0.000000e+00   2.089567e-25   8.042012e-25
         4.3000   0.000000e+00   2.229318e-25   8.557186e-25
         4.3500   0.000000e+00   2.379491e-25   9.108379e-25
         4.4000   0.000000e+00   2.540968e-25   9.698456e-25
         4.4500   0.000000e+00   2.714711e-25   1.033055e-24
         4.5000   0.000000e+00   2.901766e-25   1.100806e-24
         4.5500   0.000000e+00   3.103272e-25   1.173472e-24
         4.6000   0.000000e+00   3.320461e-25   1.251462e-24
         4.6500   0.000000e+00   3.554671e-25   1.335219e-24
         4.7000   0.000000e+00   3.807339e-25   1.425228e-24
         4.7500   0.000000e+00   4.080011e-25   1.522019e-24
         4.8000   0.000000e+00   4.374339e-25   1.626168e-24
         4.8500   0.000000e+00   4.692058e-25   1.738305e-24
         4.9000   0.000000e+00   5.034986e-25   1.859111e-24
         4.9500   0.000000e+00   5.404980e-25   1.989326e-24
         5.0000   0.000000e+00   5.803889e-25   2.129752e-24
         5.0500   0.000000e+00   6.233473e-25   2.281251e-24
         5.1000   0.000000e+00   6.695252e-25   2.444748e-24
         5.1500   0.000000e+00   7.190412e-25   2.621234e-24
         5.2000   0.000000e+00   7.719496e-25   2.811744e-24
         5.2500   0.000000e+00   8.282351e-25   3.017365e-24
         5.3000   0.000000e+00   8.877775e-25   3.239203e-24
         5.3500   0.000000e+00   9.503592e-25   3.478354e-24
         5.4000   0.000000e+00   1.015651e-24   3.735858e-24
         5.4500   0.000000e+00   1.083246e-24   4.012600e-24
         5.5000   0.000000e+00   1.152670e-24   4.309259e-24
         5.5500   0.000000e+00   1.223460e-24   4.626117e-24
         5.6000   0.000000e+00   1.295169e-24   4.963028e-24
         5.6500   0.000000e+00   1.367467e-24   5.319220e-24
         5.7000   0.000000e+00   1.440141e-24   5.693330e-24
         5.7500   0.000000e+00   1.513144e-24   6.083343e-24
         5.8000   0.000000e+00   1.586605e-24   6.486800e-24
         5.8500   0.000000e+00   1.660819e-24   6.900861e-24
         5.9000   0.000000e+00   1.736231e-24   7.322768e-24
         5.9500   0.000000e+00   1.813408e-24   7.749925e-24
         6.0000   0.000000e+00   1.893011e-24   8.180412e-24
         6.0500   0.000000e+00   1.975750e-24   8.613073e-24
         6.1000   0.000000e+00   2.062370e-24   9.047713e-24
         6.1500   0.000000e+00   2.153627e-24   9.485222e-24
         6.2000   0.000000e+00   2.250291e-24   9.927427e-24
         6.2500   0.000000e+00   2.353019e-24   1.037707e-23
         6.3000   0.000000e+00   2.462480e-24   1.083758e-23
         6.3500   0.000000e+00   2.579378e-24   1.131295e-23
         6.4000   0.000000e+00   2.704368e-24   1.180740e-23
         6.4500   0.000000e+00   2.838034e-24   1.232540e-23
         6.5000   0.000000e+00   2.980969e-24   1.287145e-23
         6.5500   0.000000e+00   3.133775e-24   1.345010e-23
         6.6000   0.000000e+00   3.297044e-24   1.406521e-23
         6.6500   0.000000e+00   3.471381e-24   1.472080e-23
         6.7000   0.000000e+00   3.657407e-24   1.542106e-23
         6.7500   0.000000e+00   3.855766e-24   1.616983e-23
         6.8000   0.000000e+00   4.067127e-24   1.697057e-23
         6.8500   0.000000e+00   4.292200e-24   1.782683e-23
         6.9000   0.000000e+00   4.531727e-24   1.874218e-23
         6.9500   0.000000e+00   4.786504e-24   1.972014e-23
         7.0000   0.000000e+00   5.057363e-24   2.076434e-23
         7.0500   0.000000e+00   5.345189e-24   2.187846e-23
         7.1000   0.000000e+00   5.650929e-24   2.306636e-23
         7.1500   0.000000e+00   5.975592e-24   2.433205e-23
         7.2000   0.000000e+00   6.321560e-24   2.567975e-23
         7.2500   0.000000e+00   6.696136e-24   2.711394e-23
         7.3000   0.000000e+00   7.092907e-24   2.863935e-23
         7.3500   0.000000e+00   7.513188e-24   3.026097e-23
         7.4000   0.000000e+00   7.958373e-24   3.198410e-23
         7.4500   0.000000e+00   8.429936e-24   3.381442e-23
         7.5000   0.000000e+00   8.929441e-24   3.575795e-23
         7.5500   0.000000e+00   9.458544e-24   3.783418e-23
         7.6000   0.000000e+00   1.001900e-23   4.007599e-23
         7.6500   0.000000e+00   1.061266e-23   4.245064e-23
