# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         3.0000   0.000000e+00   4.700216e-26   1.880087e-25   4.230195e-25   7.520346e-25   1.175054e-24   1.692078e-24   2.303106e-24   3.008138e-24   3.807175e-24   4.700216e-24
         3.0500   0.000000e+00   4.978722e-26   1.991489e-25   4.480849e-25   7.965955e-25   1.244680e-24   1.792340e-24   2.439574e-24   3.186382e-24   4.032764e-24   4.978722e-24
         3.1000   0.000000e+00   5.273729e-26   2.109492e-25   4.746356e-25   8.437967e-25   1.318432e-24   1.898543e-24   2.584127e-24   3.375187e-24   4.271721e-24   5.273729e-24
         3.1500   0.000000e+00   5.586217e-26   2.234487e-25   5.027596e-25   8.937948e-25   1.396554e-24   2.011038e-24   2.737247e-24   3.575179e-24   4.524836e-24   5.586217e-24
         3.2000   0.000000e+00   5.917222e-26   2.366889e-25   5.325500e-25   9.467555e-25   1.479305e-24   2.130200e-24   2.899439e-24   3.787022e-24   4.792950e-24   5.917222e-24
         3.2500   0.000000e+00   6.267839e-26   2.507136e-25   5.641055e-25   1.002854e-24   1.566960e-24   2.256422e-24   3.071241e-24   4.011417e-24   5.076950e-24   6.267839e-24
         3.3000   0.000000e+00   6.639232e-26   2.655693e-25   5.975309e-25   1.062277e-24   1.659808e-24   2.390123e-24   3.253224e-24   4.249108e-24   5.377778e-24   6.639232e-24
         3.3500   0.000000e+00   7.032631e-26   2.813052e-25   6.329368e-25   1.125221e-24   1.758158e-24   2.531747e-24   3.445989e-24   4.500884e-24   5.696431e-24   7.032631e-24
         3.4000   0.000000e+00   7.449341e-26   2.979736e-25   6.704407e-25   1.191895e-24   1.862335e-24   2.681763e-24   3.650177e-24   4.767578e-24   6.033966e-24   7.449341e-24
         3.4500   0.000000e+00   7.890742e-26   3.156297e-25   7.101668e-25   1.262519e-24   1.972685e-24   2.840667e-24   3.866464e-24   5.050075e-24   6.391501e-24   7.890742e-24
         3.5000   0.000000e+00   8.358298e-26   3.343319e-25   7.522468e-25   1.337328e-24   2.089574e-24   3.008987e-24   4.095566e-24   5.349311e-24   6.770221e-24   8.358298e-24
         3.5500   0.000000e+00   8.853558e-26   3.541423e-25   7.968202e-25   1.416569e-24   2.213390e-24   3.187281e-24   4.338243e-24   5.666277e-24   7.171382e-24   8.853558e-24
         3.6000   0.000000e+00   9.378164e-26   3.751266e-25   8.440348e-25   1.500506e-24   2.344541e-24   3.376139e-24   4.595301e-24   6.002025e-24   7.596313e-24   9.378164e-24
         3.6500   0.000000e+00   9.933856e-26   3.973542e-25   8.940470e-25   1.589417e-24   2.483464e-24   3.576188e-24   4.867589e-24   6.357668e-24   8.046423e-24   9.933856e-24
         3.7000   0.000000e+00   1.055023e-25   4.208989e-25   9.470226e-25   1.683596e-24   2.630618e-24   3.788090e-24   5.156012e-24   6.734383e-24   8.523204e-24   1.052247e-23
         3.7500   0.000000e+00   1.121609e-25   4.458388e-25   1.003137e-24   1.783355e-24   2.786492e-24   4.012549e-24   5.461525e-24   7.133420e-24   9.028235e-24   1.114597e-23
         3.8000   0.000000e+00   1.192740e-25   4.722564e-25   1.062577e-24   1.889026e-24   2.951602e-24   4.250307e-24   5.785141e-24   7.556102e-24   9.563192e-24   1.180641e-23
         3.8500   0.000000e+00   1.268764e-25   5.002393e-25   1.125538e-24   2.000957e-24   3.126496e-24   4.502154e-24   6.127932e-24   8.003829e-24   1.012985e-23   1.250598e-23
         3.9000   0.000000e+00   1.350059e-25   5.298804e-25   1.192231e-24   2.119521e-24   3.311752e-24   4.768923e-24   6.491035e-24   8.478086e-24   1.073008e-23   1.324701e-23
         3.9500   0.000000e+00   1.437039e-25   5.616561e-25   1.262875e-24   2.245111e-24   3.507986e-24   5.051500e-24   6.875653e-24   8.980444e-24   1.136587e-23   1.403194e-23
         4.0000   0.000000e+00   1.530158e-25   5.970098e-25   1.337705e-24   2.378142e-24   3.715847e-24   5.350820e-24   7.283061e-24   9.512569e-24   1.203934e-23   1.486339e-23
         4.0500   0.000000e+00   1.629910e-25   6.347658e-25   1.416969e-24   2.519056e-24   3.936025e-24   5.667876e-24   7.714609e-24   1.007622e-23   1.275272e-23   1.574410e-23
         4.1000   0.000000e+00   1.736832e-25   6.751073e-25   1.500930e-24   2.668319e-24   4.169249e-24   6.003719e-24   8.171728e-24   1.067328e-23   1.350837e-23   1.667700e-23
         4.1500   0.000000e+00   1.851515e-25   7.182330e-25   1.592002e-24   2.826427e-24   4.416293e-24   6.359461e-24   8.655934e-24   1.130571e-23   1.430879e-23   1.766517e-23
         4.2000   0.000000e+00   1.974601e-25   7.643599e-25   1.692303e-24   2.993904e-24   4.677974e-24   6.736283e-24   9.168830e-24   1.197561e-23   1.515664e-23   1.871190e-23
         4.2500   0.000000e+00   2.106794e-25   8.137252e-25   1.799430e-24   3.171304e-24   4.955162e-24   7.135433e-24   9.712117e-24   1.268521e-23   1.605472e-23   1.982065e-23
         4.3000   0.000000e+00   2.248857e-25   8.665879e-25   1.913905e-24   3.359215e-24   5.248774e-24   7.558234e-24   1.028760e-23   1.343686e-23   1.700603e-23   2.099509e-23
         4.3500   0.000000e+00   2.401628e-25   9.232307e-25   2.036292e-24   3.566763e-24   5.559783e-24   8.006088e-24   1.089717e-23   1.423304e-23   1.801370e-23   2.223913e-23
         4.4000   0.000000e+00   2.566019e-25   9.839619e-25   2.167211e-24   3.791798e-24   5.889221e-24   8.480478e-24   1.154287e-23   1.507641e-23   1.908108e-23   2.355688e-23
         4.4500   0.000000e+00   2.743020e-25   1.049119e-24   2.307338e-24   4.032185e-24   6.247139e-24   8.982978e-24   1.222683e-23   1.596974e-23   2.021170e-23   2.495272e-23
         4.5000   0.000000e+00   2.933709e-25   1.119070e-24   2.457411e-24   4.289096e-24   6.640777e-24   9.515253e-24   1.295132e-23   1.691601e-23   2.140932e-23   2.643126e-23
         4.5500   0.000000e+00   3.139255e-25   1.194217e-24   2.618236e-24   4.563812e-24   7.061210e-24   1.009537e-23   1.371873e-23   1.791834e-23   2.267790e-23   2.799741e-23
         4.6000   0.000000e+00   3.360923e-25   1.274998e-24   2.790689e-24   4.857729e-24   7.510484e-24   1.073164e-23   1.453162e-23   1.898007e-23   2.402165e-23   2.965636e-23
         4.6500   0.000000e+00   3.600074e-25   1.361891e-24   2.975735e-24   5.172375e-24   7.990822e-24   1.141124e-23   1.539878e-23   2.010471e-23   2.544502e-23   3.141361e-23
         4.7000   0.000000e+00   3.858168e-25   1.455418e-24   3.174422e-24   5.509416e-24   8.504653e-24   1.213749e-23   1.636769e-23   2.129599e-23   2.695274e-23   3.327498e-23
         4.7500   0.000000e+00   4.136765e-25   1.556145e-24   3.387895e-24   5.870672e-24   9.054630e-24   1.291397e-23   1.740240e-23   2.262557e-23   2.854979e-23   3.524665e-23
         4.8000   0.000000e+00   4.437502e-25   1.664686e-24   3.617401e-24   6.258126e-24   9.643654e-24   1.374461e-23   1.850793e-23   2.405424e-23   3.024147e-23   3.733514e-23
         4.8500   0.000000e+00   4.762088e-25   1.781710e-24   3.864305e-24   6.673954e-24   1.027489e-23   1.463372e-23   1.968969e-23   2.558050e-23   3.203339e-23   3.954739e-23
         4.9000   0.000000e+00   5.112267e-25   1.907934e-24   4.130090e-24   7.120527e-24   1.095178e-23   1.558598e-23   2.095365e-23   2.721183e-23   3.393148e-23   4.189072e-23
         4.9500   0.000000e+00   5.489759e-25   2.044135e-24   4.416367e-24   7.600424e-24   1.167810e-23   1.660651e-23   2.230627e-23   2.895638e-23   3.594205e-23   4.437290e-23
         5.0000   0.000000e+00   5.896198e-25   2.191139e-24   4.724888e-24   8.116466e-24   1.245799e-23   1.770090e-23   2.375465e-23   3.082305e-23   3.807175e-23   4.700216e-23
         5.0500   0.000000e+00   6.332960e-25   2.349827e-24   5.057552e-24   8.671733e-24   1.329593e-23   1.887525e-23   2.530652e-23   3.282158e-23   4.032764e-23   4.978722e-23
         5.1000   0.000000e+00   6.801100e-25   2.521120e-24   5.416400e-24   9.269571e-24   1.419681e-23   2.013625e-23   2.697032e-23   3.496259e-23   4.271721e-23   5.273729e-23
         5.1500   0.000000e+00   7.301033e-25   2.705968e-24   5.803632e-24   9.913614e-24   1.516601e-23   2.149115e-23   2.875526e-23   3.725766e-23   4.524836e-23   5.586217e-23
         5.2000   0.000000e+00   7.832493e-25   2.905337e-24   6.221599e-24   1.060781e-23   1.620933e-23   2.294790e-23   3.067144e-23   3.971946e-23   4.792950e-23   5.917222e-23
         5.2500   0.000000e+00   8.394233e-25   3.120155e-24   6.672786e-24   1.135643e-23   1.733312e-23   2.451514e-23   3.272984e-23   4.236184e-23   5.076950e-23   6.267839e-23
