# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         3.0000   0.000000e+00   4.700216e-26   1.880087e-25   4.230195e-25   7.520346e-25   1.175054e-24   1.692078e-24   2.303106e-24   3.008138e-24
         3.0500   0.000000e+00   4.978722e-26   1.991489e-25   4.480849e-25   7.965955e-25   1.244680e-24   1.792340e-24   2.439574e-24   3.186382e-24
         3.1000   0.000000e+00   5.273729e-26   2.109492e-25   4.746356e-25   8.437967e-25   1.318432e-24   1.898543e-24   2.584127e-24   3.375187e-24
         3.1500   0.000000e+00   5.586217e-26   2.234487e-25   5.027596e-25   8.937948e-25   1.396554e-24   2.011038e-24   2.737247e-24   3.575179e-24
         3.2000   0.000000e+00   5.917222e-26   2.366889e-25   5.325500e-25   9.467555e-25   1.479305e-24   2.130200e-24   2.899439e-24   3.787022e-24
         3.2500   0.000000e+00   6.267839e-26   2.507136e-25   5.641055e-25   1.002854e-24   1.566960e-24   2.256422e-24   3.071241e-24   4.011417e-24
         3.3000   0.000000e+00   6.639232e-26   2.655693e-25   5.975309e-25   1.062277e-24   1.659808e-24   2.390123e-24   3.253224e-24   4.249108e-24
         3.3500   0.000000e+00   7.032631e-26   2.813052e-25   6.329368e-25   1.125221e-24   1.758158e-24   2.531747e-24   3.445989e-24   4.500884e-24
         3.4000   0.000000e+00   7.449341e-26   2.979736e-25   6.704407e-25   1.191895e-24   1.862335e-24   2.681763e-24   3.650177e-24   4.767578e-24
         3.4500   0.000000e+00   7.890742e-26   3.156297e-25   7.101668e-25   1.262519e-24   1.972685e-24   2.840667e-24   3.866464e-24   5.050075e-24
         3.5000   0.000000e+00   8.380127e-26   3.343319e-25   7.522468e-25   1.337328e-24   2.089574e-24   3.008987e-24   4.095566e-24   5.349311e-24
         3.5500   0.000000e+00   8.909006e-26   3.541423e-25   7.968202e-25   1.416569e-24   2.213390e-24   3.187281e-24   4.338243e-24   5.666277e-24
         3.6000   0.000000e+00   9.473982e-26   3.751266e-25   8.440348e-25   1.500506e-24   2.344541e-24   3.376139e-24   4.595301e-24   6.002025e-24
         3.6500   0.000000e+00   1.007782e-25   3.973542e-25   8.940470e-25   1.589417e-24   2.483464e-24   3.576188e-24   4.867589e-24   6.357668e-24
         3.7000   0.000000e+00   1.072352e-25   4.208989e-25   9.470226e-25   1.683596e-24   2.630618e-24   3.788090e-24   5.156012e-24   6.734383e-24
         3.7500   0.000000e+00   1.141438e-25   4.458388e-25   1.003137e-24   1.783355e-24   2.786492e-24   4.012549e-24   5.461525e-24   7.133420e-24
         3.8000   0.000000e+00   1.215399e-25   4.722564e-25   1.062577e-24   1.889026e-24   2.951602e-24   4.250307e-24   5.785141e-24   7.556102e-24
         3.8500   0.000000e+00   1.294627e-25   5.002393e-25   1.125538e-24   2.000957e-24   3.126496e-24   4.502154e-24   6.127932e-24   8.003829e-24
         3.9000   0.000000e+00   1.379551e-25   5.308444e-25   1.192231e-24   2.119521e-24   3.311752e-24   4.768923e-24   6.491035e-24   8.478086e-24
         3.9500   0.000000e+00   1.470638e-25   5.643108e-25   1.262875e-24   2.245111e-24   3.507986e-24   5.051500e-24   6.875653e-24   8.980444e-24
         4.0000   0.000000e+00   1.568399e-25   6.000573e-25   1.337705e-24   2.378142e-24   3.715847e-24   5.350820e-24   7.283061e-24   9.512569e-24
         4.0500   0.000000e+00   1.673392e-25   6.382580e-25   1.416969e-24   2.519056e-24   3.936025e-24   5.667876e-24   7.714609e-24   1.007622e-23
         4.1000   0.000000e+00   1.786225e-25   6.791024e-25   1.504248e-24   2.668319e-24   4.169249e-24   6.003719e-24   8.171728e-24   1.067328e-23
         4.1500   0.000000e+00   1.907561e-25   7.227976e-25   1.599132e-24   2.826427e-24   4.416293e-24   6.359461e-24   8.655934e-24   1.130571e-23
         4.2000   0.000000e+00   2.038125e-25   7.695697e-25   1.700486e-24   2.993904e-24   4.677974e-24   6.736283e-24   9.168830e-24   1.197561e-23
         4.2500   0.000000e+00   2.178705e-25   8.196660e-25   1.808804e-24   3.178544e-24   4.955162e-24   7.135433e-24   9.712117e-24   1.268521e-23
         4.3000   0.000000e+00   2.330155e-25   8.733558e-25   1.924626e-24   3.379057e-24   5.248774e-24   7.558234e-24   1.028760e-23   1.343686e-23
         4.3500   0.000000e+00   2.493405e-25   9.309332e-25   2.048540e-24   3.593245e-24   5.559783e-24   8.006088e-24   1.089717e-23   1.423304e-23
         4.4000   0.000000e+00   2.669458e-25   9.927202e-25   2.181188e-24   3.822154e-24   5.895518e-24   8.480478e-24   1.154287e-23   1.507641e-23
