# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         3.0000   0.000000e+00   4.700216e-26   1.880087e-25   4.230195e-25   7.520346e-25   1.175054e-24   1.692078e-24   2.303106e-24   3.008138e-24   3.807175e-24   4.700216e-24   5.687262e-24   6.768311e-24   7.943365e-24   9.212424e-24
         3.0500   0.000000e+00   4.978722e-26   1.991489e-25   4.480849e-25   7.965955e-25   1.244680e-24   1.792340e-24   2.439574e-24   3.186382e-24   4.032764e-24   4.978722e-24   6.024253e-24   7.169359e-24   8.414039e-24   9.758294e-24
         3.1000   0.000000e+00   5.273729e-26   2.109492e-25   4.746356e-25   8.437967e-25   1.318432e-24   1.898543e-24   2.584127e-24   3.375187e-24   4.271721e-24   5.273729e-24   6.381213e-24   7.594170e-24   8.912603e-24   1.033651e-23
         3.1500   0.000000e+00   5.586217e-26   2.234487e-25   5.027596e-25   8.937948e-25   1.396554e-24   2.011038e-24   2.737247e-24   3.575179e-24   4.524836e-24   5.586217e-24   6.759323e-24   8.044153e-24   9.440708e-24   1.094899e-23
         3.2000   0.000000e+00   5.917222e-26   2.366889e-25   5.325500e-25   9.467555e-25   1.479305e-24   2.130200e-24   2.899439e-24   3.787022e-24   4.792950e-24   5.917222e-24   7.159838e-24   8.520799e-24   1.000010e-23   1.159775e-23
         3.2500   0.000000e+00   6.272546e-26   2.507136e-25   5.641055e-25   1.002854e-24   1.566960e-24   2.256422e-24   3.071241e-24   4.011417e-24   5.076950e-24   6.267839e-24   7.584085e-24   9.025688e-24   1.059265e-23   1.228496e-23
         3.3000   0.000000e+00   6.667416e-26   2.655693e-25   5.975309e-25   1.062277e-24   1.659808e-24   2.390123e-24   3.253224e-24   4.249108e-24   5.377778e-24   6.639232e-24   8.033471e-24   9.560494e-24   1.122030e-23   1.301289e-23
         3.3500   0.000000e+00   7.089122e-26   2.813052e-25   6.329368e-25   1.125221e-24   1.758158e-24   2.531747e-24   3.445989e-24   4.500884e-24   5.696431e-24   7.032631e-24   8.509484e-24   1.012699e-23   1.188515e-23   1.378396e-23
         3.4000   0.000000e+00   7.539712e-26   2.979736e-25   6.704407e-25   1.191895e-24   1.862335e-24   2.681763e-24   3.650177e-24   4.767578e-24   6.033966e-24   7.449341e-24   9.013702e-24   1.072705e-23   1.258939e-23   1.460071e-23
         3.4500   0.000000e+00   8.021404e-26   3.156297e-25   7.101668e-25   1.262519e-24   1.972685e-24   2.840667e-24   3.866464e-24   5.050075e-24   6.391501e-24   7.890742e-24   9.547798e-24   1.136267e-23   1.333535e-23   1.546585e-23
         3.5000   0.000000e+00   8.536626e-26   3.343319e-25   7.522468e-25   1.337328e-24   2.089574e-24   3.008987e-24   4.095566e-24   5.349311e-24   6.770221e-24   8.358298e-24   1.011354e-23   1.203595e-23   1.412552e-23   1.638226e-23
         3.5500   0.000000e+00   9.088026e-26   3.543571e-25   7.968202e-25   1.416569e-24   2.213390e-24   3.187281e-24   4.338243e-24   5.666277e-24   7.171382e-24   8.853558e-24   1.071281e-23   1.274912e-23   1.496251e-23   1.735297e-23
         3.6000   0.000000e+00   9.678500e-26   3.766601e-25   8.440348e-25   1.500506e-24   2.344541e-24   3.376139e-24   4.595301e-24   6.002025e-24   7.596313e-24   9.378164e-24   1.134758e-23   1.350456e-23   1.584910e-23   1.838120e-23
         3.6500   0.000000e+00   1.031121e-25   4.004785e-25   8.940470e-25   1.589417e-24   2.483464e-24   3.576188e-24   4.867589e-24   6.357668e-24   8.046423e-24   9.933856e-24   1.201997e-23   1.430475e-23   1.678822e-23   1.947036e-23
         3.7000   0.000000e+00   1.098959e-25   4.259277e-25   9.470226e-25   1.683596e-24   2.630618e-24   3.788090e-24   5.156012e-24   6.734383e-24   8.523204e-24   1.052247e-23   1.273219e-23   1.515236e-23   1.778298e-23   2.062405e-23
         3.7500   0.000000e+00   1.171742e-25   4.531330e-25   1.003137e-24   1.783355e-24   2.786492e-24   4.012549e-24   5.461525e-24   7.133420e-24   9.028235e-24   1.114597e-23   1.348662e-23   1.605020e-23   1.883669e-23   2.184610e-23
         3.8000   0.000000e+00   1.249882e-25   4.822312e-25   1.062577e-24   1.889026e-24   2.951602e-24   4.250307e-24   5.785141e-24   7.556102e-24   9.563192e-24   1.180641e-23   1.428576e-23   1.700123e-23   1.995283e-23   2.314056e-23
         3.8500   0.000000e+00   1.333827e-25   5.133719e-25   1.125538e-24   2.000957e-24   3.126496e-24   4.502154e-24   6.127932e-24   8.003829e-24   1.012985e-23   1.250598e-23   1.513224e-23   1.800862e-23   2.113511e-23   2.451173e-23
         3.9000   0.000000e+00   1.424067e-25   5.467184e-25   1.196116e-24   2.119521e-24   3.311752e-24   4.768923e-24   6.491035e-24   8.478086e-24   1.073008e-23   1.324701e-23   1.602888e-23   1.907569e-23   2.238745e-23   2.596414e-23
         3.9500   0.000000e+00   1.521137e-25   5.824491e-25   1.271670e-24   2.245111e-24   3.507986e-24   5.051500e-24   6.875653e-24   8.980444e-24   1.136587e-23   1.403194e-23   1.697865e-23   2.020600e-23   2.371399e-23   2.750261e-23
         4.0000   0.000000e+00   1.625618e-25   6.207582e-25   1.352387e-24   2.380998e-24   3.715847e-24   5.350820e-24   7.283061e-24   9.512569e-24   1.203934e-23   1.486339e-23   1.798470e-23   2.140328e-23   2.511913e-23   2.913224e-23
         4.0500   0.000000e+00   1.738144e-25   6.618585e-25   1.438665e-24   2.530978e-24   3.936025e-24   5.667876e-24   7.714609e-24   1.007622e-23   1.275272e-23   1.574410e-23   1.905036e-23   2.267150e-23   2.660753e-23   3.085844e-23
         4.1000   0.000000e+00   1.859402e-25   7.059825e-25   1.530933e-24   2.691163e-24   4.169249e-24   6.003719e-24   8.171728e-24   1.067328e-23   1.350837e-23   1.667700e-23   2.017917e-23   2.401488e-23   2.818412e-23   3.268691e-23
         4.1500   0.000000e+00   1.990137e-25   7.533833e-25   1.629665e-24   2.862330e-24   4.416293e-24   6.359461e-24   8.655934e-24   1.130571e-23   1.430879e-23   1.766517e-23   2.137486e-23   2.543785e-23   2.985414e-23   3.462373e-23
         4.2000   0.000000e+00   2.131152e-25   8.043370e-25   1.735376e-24   3.045325e-24   4.677974e-24   6.736283e-24   9.168830e-24   1.197561e-23   1.515664e-23   1.871190e-23   2.264140e-23   2.694513e-23   3.162311e-23   3.667532e-23
         4.2500   0.000000e+00   2.283314e-25   8.591455e-25   1.848628e-24   3.241072e-24   4.955162e-24   7.135433e-24   9.712117e-24   1.268521e-23   1.605472e-23   1.982065e-23   2.398298e-23   2.854173e-23   3.349689e-23   3.884847e-23
         4.3000   0.000000e+00   2.447546e-25   9.181375e-25   1.970036e-24   3.450581e-24   5.248774e-24   7.558234e-24   1.028760e-23   1.343686e-23   1.700603e-23   2.099509e-23   2.540406e-23   3.023294e-23   3.548171e-23   4.115039e-23
         4.3500   0.000000e+00   2.624831e-25   9.816699e-25   2.100269e-24   3.674955e-24   5.559783e-24   8.006088e-24   1.089717e-23   1.423304e-23   1.801370e-23   2.223913e-23   2.690935e-23   3.202435e-23   3.758413e-23   4.358870e-23
         4.4000   0.000000e+00   2.816198e-25   1.050131e-24   2.240062e-24   3.915397e-24   5.889221e-24   8.480478e-24   1.154287e-23   1.507641e-23   1.908108e-23   2.355688e-23   2.850383e-23   3.392191e-23   3.981113e-23   4.617149e-23
         4.4500   0.000000e+00   3.022706e-25   1.123941e-24   2.390215e-24   4.173219e-24   6.238179e-24   8.982978e-24   1.222683e-23   1.596974e-23   2.021170e-23   2.495272e-23   3.019279e-23   3.593191e-23   4.217009e-23   4.890733e-23
         4.5000   0.000000e+00   3.245434e-25   1.203554e-24   2.551598e-24   4.449858e-24   6.607815e-24   9.515253e-24   1.295132e-23   1.691601e-23   2.140932e-23   2.643126e-23   3.198182e-23   3.806101e-23   4.466883e-23   5.180527e-23
         4.5500   0.000000e+00   3.485413e-25   1.289458e-24   2.725164e-24   4.746884e-24   6.999555e-24   1.007907e-23   1.371873e-23   1.791834e-23   2.267790e-23   2.799741e-23   3.387686e-23   4.031627e-23   4.731562e-23   5.487492e-23
         4.6000   0.000000e+00   3.743597e-25   1.382176e-24   2.911951e-24   5.066004e-24   7.439754e-24   1.067629e-23   1.453162e-23   1.898007e-23   2.402165e-23   2.965636e-23   3.588420e-23   4.270516e-23   5.011925e-23   5.812646e-23
         4.6500   0.000000e+00   4.020750e-25   1.482263e-24   3.113089e-24   5.409082e-24   7.909820e-24   1.131658e-23   1.539267e-23   2.010471e-23   2.544502e-23   3.141361e-23   3.801047e-23   4.523560e-23   5.308900e-23   6.157067e-23
         4.7000   0.000000e+00   4.317357e-25   1.590301e-24   3.329801e-24   5.778157e-24   8.412028e-24   1.202891e-23   1.630474e-23   2.129599e-23   2.695274e-23   3.327498e-23   4.026273e-23   4.791598e-23   5.623472e-23   6.521897e-23
         4.7500   0.000000e+00   4.633509e-25   1.706888e-24   3.563420e-24   6.175446e-24   8.948842e-24   1.278965e-23   1.730674e-23   2.255786e-23   2.854979e-23   3.524665e-23   4.264845e-23   5.075518e-23   5.956684e-23   6.908343e-23
         4.8000   0.000000e+00   4.968764e-25   1.832637e-24   3.815381e-24   6.603357e-24   9.522953e-24   1.360248e-23   1.839820e-23   2.389449e-23   3.024147e-23   3.733514e-23   4.517553e-23   5.376261e-23   6.309639e-23   7.317688e-23
         4.8500   0.000000e+00   5.322115e-25   1.968132e-24   4.087232e-24   7.064506e-24   1.013730e-23   1.447141e-23   1.956406e-23   2.537981e-23   3.203339e-23   3.954739e-23   4.785234e-23   5.694824e-23   6.683509e-23   7.751289e-23
         4.9000   0.000000e+00   5.691914e-25   2.113918e-24   4.380629e-24   7.561730e-24   1.079509e-23   1.540081e-23   2.081002e-23   2.698185e-23   3.399336e-23   4.189072e-23   5.068777e-23   6.032264e-23   7.079532e-23   8.210581e-23
         4.9500   0.000000e+00   6.075984e-25   2.270432e-24   4.697340e-24   8.098083e-24   1.149984e-23   1.639546e-23   2.214226e-23   2.869326e-23   3.613644e-23   4.442928e-23   5.369121e-23   6.389698e-23   7.499021e-23   8.697089e-23
         5.0000   0.000000e+00   6.471735e-25   2.437958e-24   5.039216e-24   8.676852e-24   1.225536e-23   1.746058e-23   2.356754e-23   3.052241e-23   3.842553e-23   4.722818e-23   5.687262e-23   6.768311e-23   7.943365e-23   9.212424e-23
         5.0500   0.000000e+00   6.876441e-25   2.616558e-24   5.408182e-24   9.301555e-24   1.306583e-23   1.860187e-23   2.509326e-23   3.247843e-23   4.087179e-23   5.021753e-23   6.042610e-23   7.171111e-23   8.414039e-23   9.758294e-23
         5.1000   0.000000e+00   7.287422e-25   2.805996e-24   5.806200e-24   9.975908e-24   1.393583e-23   1.982554e-23   2.672749e-23   3.457129e-23   4.348733e-23   5.341187e-23   6.424189e-23   7.622232e-23   8.912603e-23   1.033651e-22
         5.1500   0.000000e+00   7.702536e-25   3.005715e-24   6.235181e-24   1.070381e-23   1.487034e-23   2.113837e-23   2.847902e-23   3.681189e-23   4.628544e-23   5.682697e-23   6.831835e-23   8.103978e-23   9.440708e-23   1.094899e-22
         5.2000   0.000000e+00   8.120159e-25   3.214799e-24   6.696931e-24   1.148926e-23   1.587478e-23   2.254782e-23   3.035748e-23   3.921211e-23   4.928058e-23   6.048011e-23   7.267547e-23   8.618681e-23   1.000010e-22   1.159775e-22
