# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         4.0000   0.000000e+00   9.988666e-20   2.139755e-20   4.232598e-21   1.506228e-20   2.757730e-20   3.275169e-20   1.772424e-20   4.509927e-21   4.563092e-20   2.900451e-20   7.283676e-21   3.917983e-20   6.924458e-20   1.737934e-20   3.003120e-20   3.871456e-20   4.321007e-20   3.056505e-20   5.935363e-20   1.135517e-20   4.704129e-20   5.776834e-20   2.185855e-19   4.599052e-19   6.424731e-19   8.420560e-19
         4.0500   0.000000e+00   1.164568e-19   2.699822e-20   6.810830e-21   1.761401e-20   3.155974e-20   3.672830e-20   1.715660e-20   4.261575e-21   5.397264e-20   3.288951e-20   7.633193e-21   4.493063e-20   7.896095e-20   1.641471e-20   2.836068e-20   3.655976e-20   4.080405e-20   2.886265e-20   5.604080e-20   1.073149e-20   4.442114e-20   5.454935e-20   2.063815e-19   4.342275e-19   6.065485e-19   7.952965e-19
         4.1000   0.000000e+00   1.396693e-19   3.376820e-20   1.035691e-20   2.082727e-20   3.624082e-20   4.122392e-20   1.655847e-20   4.027338e-21   6.248372e-20   3.725791e-20   8.235477e-21   5.170751e-20   8.776491e-20   1.657468e-20   2.678416e-20   3.452613e-20   3.853355e-20   2.725707e-20   5.291373e-20   1.014923e-20   4.194829e-20   5.153342e-20   1.948615e-19   4.099891e-19   5.726327e-19   7.500692e-19
         4.1500   0.000000e+00   1.713938e-19   4.180104e-20   1.496416e-20   2.467204e-20   4.149816e-20   4.618456e-20   1.633016e-20   3.806437e-21   7.088756e-20   4.158289e-20   9.334752e-21   5.959472e-20   9.511647e-20   1.565659e-20   2.529641e-20   3.260693e-20   3.639155e-20   2.574444e-20   4.996209e-20   9.612477e-21   3.961472e-20   4.866473e-20   1.839874e-19   3.871097e-19   5.406166e-19   7.092850e-19
         4.2000   0.000000e+00   2.132782e-19   5.122970e-20   2.064830e-20   2.908789e-20   4.718994e-20   5.126715e-20   1.567627e-20   3.598139e-21   7.892815e-20   4.613028e-20   1.104701e-20   6.865011e-20   1.009386e-19   1.479040e-20   2.389249e-20   3.079580e-20   3.437219e-20   2.432229e-20   4.717618e-20   9.129221e-21   3.741317e-20   4.595735e-20   1.737232e-19   3.655133e-19   5.104078e-19   6.716217e-19
         4.2500   0.000000e+00   2.665388e-19   6.225566e-20   2.733820e-20   3.399448e-20   5.313150e-20   5.635075e-20   1.501789e-20   3.980776e-21   8.638468e-20   5.090638e-20   1.347351e-20   7.871098e-20   1.046347e-19   1.397322e-20   2.256776e-20   2.908674e-20   3.247124e-20   2.299001e-20   4.454711e-20   8.712145e-21   3.533755e-20   4.364773e-20   1.640347e-19   3.451285e-19   4.818730e-19   6.341722e-19
         4.3000   0.000000e+00   3.318071e-19   7.517075e-20   3.488091e-20   3.929005e-20   5.914895e-20   6.122206e-20   1.436182e-20   3.763306e-21   9.307995e-20   5.591694e-20   1.668866e-20   8.960109e-20   1.066594e-19   1.320239e-20   2.131783e-20   2.747408e-20   3.068673e-20   2.174905e-20   4.206700e-20   8.378805e-21   3.338408e-20   4.122281e-20   1.548900e-19   3.258876e-19   6.584364e-19   6.001579e-19
         4.3500   0.000000e+00   4.090652e-19   9.034443e-20   4.305680e-20   4.487554e-20   6.497474e-20   6.568768e-20   1.371448e-20   3.558285e-21   9.888295e-20   6.116016e-20   2.096075e-20   1.009613e-19   1.074221e-19   1.247551e-20   2.013859e-20   2.595247e-20   2.901940e-20   2.060291e-20   3.972960e-20   8.150980e-21   3.154976e-20   3.893452e-20   1.462586e-19   3.077268e-19   6.216340e-19   5.667173e-19
         4.4000   0.000000e+00   4.976605e-19   1.082102e-19   5.160004e-20   5.065155e-20   7.045013e-20   6.977012e-20   1.308210e-20   3.365033e-21   1.037064e-19   6.662046e-20   2.582012e-20   1.124428e-19   1.074804e-19   1.179093e-20   1.902639e-20   2.451686e-20   2.747278e-20   1.955690e-20   3.753098e-20   8.053568e-21   2.984884e-20   3.833359e-20   1.381121e-19   2.905860e-19   5.869807e-19   5.337385e-19
         4.4500   0.000000e+00   5.963727e-19   1.292416e-19   6.022582e-20   5.653023e-20   7.542115e-20   7.306500e-20   1.247100e-20   3.182904e-21   1.075006e-19   7.225912e-20   3.147725e-20   1.232286e-19   1.074366e-19   1.114915e-20   1.797879e-20   2.316250e-20   2.605254e-20   2.343340e-20   3.547059e-20   8.110637e-21   2.826117e-20   3.620913e-20   1.304233e-19   2.817725e-19   5.541713e-19   5.041441e-19
         4.5000   0.000000e+00   7.035297e-19   1.539092e-19   6.865239e-20   6.240160e-20   7.979114e-20   7.569041e-20   1.188784e-20   3.011310e-21   1.102450e-19   7.799440e-20   3.787710e-20   1.330598e-19   1.083046e-19   1.160161e-20   1.699723e-20   2.188488e-20   2.476528e-20   2.233963e-20   3.355198e-20   8.344778e-21   2.680800e-20   3.420468e-20   1.231668e-19   2.660924e-19   5.233187e-19   6.022173e-19
         4.5500   0.000000e+00   8.171544e-19   1.826269e-19   7.662069e-20   6.819054e-20   8.360538e-20   7.762152e-20   1.172141e-20   2.849855e-21   1.119386e-19   8.371368e-20   4.495386e-20   1.416764e-19   1.094201e-19   1.102050e-20   1.609445e-20   2.067978e-20   2.361670e-20   2.138413e-20   3.178319e-20   8.780072e-21   2.563473e-20   3.231361e-20   1.163185e-19   2.512943e-19   4.941300e-19   5.688130e-19
         4.6000   0.000000e+00   9.350974e-19   2.156917e-19   8.391025e-20   7.381803e-20   8.683649e-20   7.886774e-20   1.119046e-20   2.698626e-21   1.125927e-19   8.928509e-20   5.264500e-20   1.489811e-19   1.113286e-19   1.056231e-20   1.531118e-20   1.954319e-20   2.260980e-20   2.057487e-20   3.017623e-20   9.408291e-21   2.447457e-20   3.052966e-20   1.098559e-19   2.373291e-19   4.668801e-19   5.380778e-19
         4.6500   0.000000e+00   1.055146e-18   2.532274e-19   9.034272e-20   7.920522e-20   8.976079e-20   7.946923e-20   1.070408e-20   2.559932e-21   1.122269e-19   9.456895e-20   6.090406e-20   1.553406e-19   1.136853e-19   1.033439e-20   1.474654e-20   1.847133e-20   2.174325e-20   1.991948e-20   2.874570e-20   1.023468e-20   2.347918e-20   3.410502e-20   1.037579e-19   2.241504e-19   4.408456e-19   5.080429e-19
         4.7000   0.000000e+00   1.175153e-18   2.951428e-19   9.578691e-20   8.426255e-20   9.261102e-20   7.949806e-20   1.027838e-20   2.443280e-21   1.108743e-19   9.943355e-20   6.994564e-20   1.604624e-19   1.157400e-19   1.054356e-20   1.460293e-20   1.746066e-20   2.101050e-20   1.942431e-20   2.750662e-20   1.133044e-20   2.265319e-20   3.222434e-20   9.800549e-20   2.117145e-19   4.166722e-19   4.803285e-19
         4.7500   0.000000e+00   1.293125e-18   3.411213e-19   1.001612e-19   8.890380e-20   9.568456e-20   7.907577e-20   9.960548e-21   2.378100e-21   1.086266e-19   1.038076e-19   7.930170e-20   1.650492e-19   1.168342e-19   1.155281e-20   1.523769e-20   1.650781e-20   2.039971e-20   1.909308e-20   2.647192e-20   1.249581e-20   2.280499e-20   3.045130e-20   9.258297e-20   1.999803e-19   3.935865e-19   4.532462e-19
         4.8000   0.000000e+00   1.407292e-18   3.906314e-19   1.034322e-19   9.298041e-20   9.937008e-20   7.858324e-20   9.868429e-21   2.441093e-21   1.057735e-19   1.078508e-19   8.937236e-20   1.695881e-19   1.174584e-19   1.394476e-20   1.720415e-20   1.560960e-20   1.989440e-20   1.892543e-20   2.565004e-20   1.378886e-20   2.226423e-20   2.878121e-20   8.748027e-20   1.889087e-19   3.715647e-19   4.264667e-19
         4.8500   0.000000e+00   1.516144e-18   4.429542e-19   1.056154e-19   9.640040e-20   1.041806e-19   7.806106e-20   1.025557e-20   2.806221e-21   1.028312e-19   1.120728e-19   1.005019e-19   1.747813e-19   1.191283e-19   1.857389e-20   2.125953e-20   1.476306e-20   1.947477e-20   1.891578e-20   2.504317e-20   1.571436e-20   2.187573e-20   2.721101e-20   8.269699e-20   1.784631e-19   3.517625e-19   4.029051e-19
         4.9000   0.000000e+00   1.618448e-18   4.972291e-19   1.067660e-19   9.906248e-20   1.107355e-19   7.825643e-20   1.160387e-20   3.822483e-21   1.006128e-19   1.171012e-19   1.132860e-19   1.815979e-19   1.222178e-19   2.658231e-20   2.832186e-20   1.396537e-20   1.911923e-20   1.905259e-20   2.464626e-20   1.712200e-20   2.162410e-20   3.638035e-20   7.824797e-20   1.686088e-19   3.322739e-19   3.807229e-19
         4.9500   0.000000e+00   1.713249e-18   5.525108e-19   1.069659e-19   1.008816e-19   1.196877e-19   8.003880e-20   1.472377e-20   6.115158e-21   1.003208e-19   1.242230e-19   1.286292e-19   1.912723e-19   1.290276e-19   3.935767e-20   3.937294e-20   1.321386e-20   1.880613e-20   1.931838e-20   2.444735e-20   1.855201e-20   2.438587e-20   3.441830e-20   7.416952e-20   1.593131e-19   3.145245e-19   3.589905e-19
         5.0000   0.000000e+00   1.799854e-18   6.078251e-19   1.063165e-19   1.018014e-19   1.313922e-19   8.463008e-20   2.084602e-20   1.069812e-20   1.036155e-19   1.351357e-19   1.477841e-19   2.052717e-19   1.414944e-19   5.842804e-20   5.532334e-20   1.250603e-20   1.851513e-20   1.969041e-20   2.442948e-20   1.998015e-20   2.420424e-20   3.260540e-20   7.052459e-20   1.505451e-19   3.609242e-19   3.393789e-19
         5.0500   0.000000e+00   1.877808e-18   6.622072e-19   1.049227e-19   1.018022e-19   1.461553e-19   9.362406e-20   3.167847e-20   1.906958e-20   1.125670e-19   1.519872e-19   1.723427e-19   2.254993e-19   1.612878e-19   8.531532e-20   7.687038e-20   1.183980e-20   1.822855e-20   2.014235e-20   2.457520e-20   2.139670e-20   2.413998e-20   3.096704e-20   6.740445e-20   1.422758e-19   3.408307e-19   3.204962e-19
         5.1000   0.000000e+00   1.946866e-18   7.147642e-19   1.028679e-19   1.009215e-19   1.639234e-19   1.089323e-19   4.940079e-20   3.325152e-20   1.294124e-19   1.770640e-19   2.041136e-19   2.531058e-19   1.899044e-19   1.213664e-19   1.043836e-19   1.121286e-20   1.793240e-20   2.064687e-20   2.487391e-20   2.464122e-20   2.420929e-20   2.955374e-20   6.492434e-20   1.344776e-19   3.216777e-19   3.026750e-19
         5.1500   0.000000e+00   2.006961e-18   7.647243e-19   1.002323e-19   9.917813e-20   1.843061e-19   1.326602e-19   7.657783e-20   5.574001e-20   1.565184e-19   2.126906e-19   2.449695e-19   2.899750e-19   2.285597e-19   1.675085e-19   1.378445e-19   1.062300e-20   1.761764e-20   2.117967e-20   2.533207e-20   2.599690e-20   2.445657e-20   2.845365e-20   6.321229e-20   1.271246e-19   3.041904e-19   2.854893e-19
         5.2000   0.000000e+00   2.058171e-18   8.114623e-19   9.710442e-20   9.667573e-20   2.066076e-19   1.669089e-19   1.159649e-19   8.934977e-20   1.962133e-19   2.610249e-19   2.966463e-19   3.374093e-19   2.780252e-19   2.240852e-19   1.768286e-19   1.006824e-20   1.728200e-20   2.172489e-20   2.598406e-20   2.747449e-20   3.081651e-20   2.780367e-20   6.239183e-20   1.201924e-19   2.875053e-19   2.694284e-19
         5.2500   0.000000e+00   2.100693e-18   8.545106e-19   9.357932e-20   9.352477e-20   2.299162e-19   2.135317e-19   1.703626e-19   1.369642e-19   2.505483e-19   3.237790e-19   3.605048e-19   3.962441e-19   3.385917e-19   2.910680e-19   2.205462e-19   9.546723e-21   1.693254e-20   2.228115e-20   2.690046e-20   2.918626e-20   3.138746e-20   2.779360e-20   6.256170e-20   1.136578e-19   2.728556e-19   2.544813e-19
         5.3000   0.000000e+00   2.134816e-18   8.935084e-19   8.975378e-20   8.985046e-20   2.532224e-19   2.738891e-19   2.418362e-19   2.012242e-19   3.210805e-19   4.019588e-19   4.373047e-19   4.667151e-19   4.099962e-19   3.667644e-19   2.679218e-19   9.056700e-21   1.658887e-20   2.286963e-20   2.818966e-20   3.127352e-20   3.253829e-20   3.904803e-20   6.377673e-20   1.074991e-19   2.568488e-19   2.410311e-19
         5.3500   0.000000e+00   2.160895e-18   9.280118e-19   8.572136e-20   8.578381e-20   2.755518e-19   3.486488e-19   3.321601e-19   2.842219e-19   4.087091e-19   4.957102e-19   5.270382e-19   5.484088e-19   4.913245e-19   4.497525e-19   3.176862e-19   8.596522e-21   1.628598e-20   2.355479e-20   2.998992e-20   3.758298e-20   3.447386e-20   4.046073e-20   6.603409e-20   1.016957e-19   2.435753e-19   2.276875e-19
         5.4000   0.000000e+00   2.179340e-18   9.577284e-19   8.156831e-20   8.145183e-20   2.960988e-19   4.376682e-19   4.420796e-19   3.872578e-19   5.135231e-19   6.044152e-19   6.289246e-19   6.403369e-19   5.810765e-19   5.377458e-19   3.684645e-19   8.164633e-21   1.607538e-20   2.443885e-20   3.245198e-20   4.065075e-20   3.740959e-20   4.327417e-20   6.926772e-20   9.622826e-20   2.299465e-19   2.150961e-19
         5.4500   0.000000e+00   2.190590e-18   9.825851e-19   7.737052e-20   7.697055e-20   3.142484e-19   5.399711e-19   5.712835e-19   5.106930e-19   6.347255e-19   7.267284e-19   7.415673e-19   7.409909e-19   6.772706e-19   6.283638e-19   4.188615e-19   7.759573e-21   1.602332e-20   2.564797e-20   3.571513e-20   4.453430e-20   4.154116e-20   4.766452e-20   7.335196e-20   9.107841e-20   2.169987e-19   2.034044e-19
         5.5000   0.000000e+00   2.195110e-18   1.002682e-18   7.319208e-20   7.244100e-20   3.295886e-19   6.538000e-19   7.183582e-19   6.539077e-19   7.706856e-19   8.606885e-19   8.628129e-19   8.484762e-19   7.776354e-19   7.193065e-19   4.676286e-19   7.379963e-21   1.620446e-20   2.731741e-20   3.988219e-20   4.934243e-20   4.701285e-20   5.371476e-20   7.811302e-20   8.622887e-20   2.050626e-19   1.918105e-19
         5.5500   0.000000e+00   2.193372e-18   1.018243e-18   6.908551e-20   6.794727e-20   3.419064e-19   7.768222e-19   8.808641e-19   8.153534e-19   9.190640e-19   1.003849e-18   9.903588e-19   9.606441e-19   8.798390e-19   8.084925e-19   5.137389e-19   7.024507e-21   1.669230e-20   2.957138e-20   4.499955e-20   5.513252e-20   5.389200e-20   6.139797e-20   8.334452e-20   8.166331e-20   1.943260e-19   1.812511e-19
         5.6000   0.000000e+00   2.185854e-18   1.029576e-18   6.509210e-20   6.355627e-20   3.511621e-19   9.061524e-19   1.055569e-18   9.926704e-19   1.076983e-18   1.153311e-18   1.121606e-18   1.075090e-18   9.818426e-19   8.941905e-19   5.564158e-19   6.691987e-21   1.754950e-20   3.250405e-20   5.104298e-20   6.190982e-20   6.787121e-20   7.057161e-20   8.882576e-20   7.736630e-20   1.839014e-19   1.714402e-19
         5.6500   0.000000e+00   2.173031e-18   1.037029e-18   6.124279e-20   5.931883e-20   3.574667e-19   1.038871e-18   1.238688e-18   1.182846e-18   1.241214e-18   1.305968e-18   1.253936e-18   1.189371e-18   1.081480e-18   9.750683e-19   5.951619e-19   6.381269e-21   1.881764e-20   3.614855e-20   5.791920e-20   6.964592e-20   7.708728e-20   8.099320e-20   9.434104e-20   7.332372e-20   1.735305e-19   1.620401e-19
         5.7000   0.000000e+00   2.155369e-18   1.040950e-18   5.755932e-20   5.527131e-20   3.611133e-19   1.172042e-18   1.426150e-18   1.382406e-18   1.408365e-18   1.458709e-18   1.384853e-18   1.301170e-18   1.177488e-18   1.050164e-18   6.297655e-19   6.091371e-21   2.051025e-20   4.047742e-20   6.547438e-20   7.827364e-20   8.739045e-20   9.235149e-20   9.969266e-20   6.952305e-20   1.639685e-19   1.529469e-19
         5.7500   0.000000e+00   2.133322e-18   1.041609e-18   5.405557e-20   5.143763e-20   3.624100e-19   1.302938e-18   1.613866e-18   1.587623e-18   1.575051e-18   1.608556e-18   1.512051e-18   1.408444e-18   1.268926e-18   1.118873e-18   6.602725e-19   5.821791e-21   2.261013e-20   4.541205e-20   7.351101e-20   9.121179e-20   9.850875e-20   1.043115e-19   1.047129e-19   6.595000e-20   1.552387e-19   1.445999e-19
         5.8000   0.000000e+00   2.107328e-18   1.039278e-18   5.073895e-20   4.783141e-20   3.617224e-19   1.429149e-18   1.797974e-18   1.794708e-18   1.738046e-18   1.752818e-18   1.633414e-18   1.509714e-18   1.355265e-18   1.180931e-18   6.868739e-19   5.573788e-21   2.507158e-20   5.083289e-20   8.180778e-20   1.007857e-19   1.101210e-19   1.165219e-19   1.092717e-19   6.259230e-20   1.463863e-19   1.367299e-19
         5.8500   0.000000e+00   2.077810e-18   1.034246e-18   4.761167e-20   4.446329e-20   3.593241e-19   1.548680e-18   1.975026e-18   1.999972e-18   1.894448e-18   1.889179e-18   1.747150e-18   1.603647e-18   1.436267e-18   1.236332e-18   7.098623e-19   5.354301e-21   2.782782e-20   5.659470e-20   9.013680e-20   1.105495e-19   1.218798e-19   1.286225e-19   1.132753e-19   5.943839e-20   1.382484e-19   1.291960e-19
