# CIE bound-bound cooling efficiency for H (Z=1)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_H0           L_H1         
         3.0000   5.152045e-70   8.182306e-24
         3.0500   1.901889e-64   7.744681e-24
         3.1000   1.732959e-59   7.332513e-24
         3.1500   4.538570e-55   6.944452e-24
         3.2000   3.913082e-51   6.579188e-24
         3.2500   1.253500e-47   6.235480e-24
         3.3000   1.661737e-44   5.912154e-24
         3.3500   1.003630e-41   5.608097e-24
         3.4000   3.008619e-39   5.322217e-24
         3.4500   4.831901e-37   5.053439e-24
         3.5000   4.450515e-35   4.801000e-24
         3.5500   2.498246e-33   4.563879e-24
         3.6000   9.022853e-32   4.341173e-24
         3.6500   2.200698e-30   4.132104e-24
         3.7000   3.784915e-29   3.935963e-24
         3.7500   4.770778e-28   3.752117e-24
         3.8000   4.561544e-27   3.579967e-24
         3.8500   3.411548e-26   3.418928e-24
         3.9000   2.051017e-25   3.268422e-24
         3.9500   1.015555e-24   3.127895e-24
         4.0000   4.231565e-24   2.996825e-24
         4.0500   1.512308e-23   2.874717e-24
         4.1000   4.714646e-23   2.761116e-24
         4.1500   1.301409e-22   2.655589e-24
         4.2000   3.223158e-22   2.557727e-24
         4.2500   7.246927e-22   2.467173e-24
         4.3000   1.494745e-21   2.383601e-24
         4.3500   2.854721e-21   2.306711e-24
         4.4000   5.090413e-21   2.236232e-24
         4.4500   8.538082e-21   2.171926e-24
         4.5000   1.356028e-20   2.113592e-24
         4.5500   2.051411e-20   2.061042e-24
         4.6000   2.971713e-20   2.014105e-24
         4.6500   4.141644e-20   1.972639e-24
         4.7000   5.576474e-20   1.936501e-24
         4.7500   7.280534e-20   1.905527e-24
         4.8000   9.246836e-20   1.879581e-24
         4.8500   1.145772e-19   1.858588e-24
         4.9000   1.388619e-19   1.842430e-24
         4.9500   1.649775e-19   1.830863e-24
         5.0000   1.925254e-19   1.823635e-24
         5.0500   2.210750e-19   1.820545e-24
         5.1000   2.501853e-19   1.821392e-24
         5.1500   2.794244e-19   1.825858e-24
         5.2000   3.083987e-19   1.833389e-24
