# CIE bound-bound cooling efficiency for He (Z=2)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_He0          L_He1          L_He2        
         3.0000   2.410506e-23   1.287343e-22   1.880087e-25
         3.0500   2.277894e-23   1.216062e-22   1.991489e-25
         3.1000   2.153016e-23   1.148802e-22   2.109492e-25
         3.1500   2.034290e-23   1.085341e-22   2.234487e-25
         3.2000   1.922972e-23   1.025469e-22   2.366889e-25
         3.2500   1.818035e-23   9.689929e-23   2.507136e-25
         3.3000   1.718284e-23   9.157289e-23   2.655693e-25
         3.3500   1.626311e-23   8.654995e-23   2.813052e-25
         3.4000   1.540645e-23   8.181303e-23   2.979736e-25
         3.4500   1.457627e-23   7.734566e-23   3.156297e-25
         3.5000   1.380614e-23   7.313265e-23   3.343319e-25
         3.5500   1.307927e-23   6.915990e-23   3.541423e-25
         3.6000   1.238949e-23   6.541416e-23   3.751266e-25
         3.6500   1.174457e-23   6.188299e-23   3.973542e-25
         3.7000   1.113260e-23   5.855521e-23   4.208989e-25
         3.7500   1.057492e-23   5.542018e-23   4.458388e-25
         3.8000   1.005885e-23   5.246729e-23   4.722564e-25
         3.8500   9.555059e-24   4.968639e-23   5.002393e-25
         3.9000   9.092674e-24   4.706801e-23   5.298804e-25
         3.9500   8.656498e-24   4.460314e-23   5.612778e-25
         4.0000   8.238330e-24   4.228299e-23   5.945356e-25
         4.0500   7.853535e-24   4.009887e-23   6.297640e-25
         4.1000   7.490286e-24   3.804277e-23   6.687461e-25
         4.1500   7.166919e-24   3.610732e-23   7.109450e-25
         4.2000   6.954696e-24   3.428554e-23   7.560232e-25
         4.2500   7.155322e-24   3.257104e-23   8.042012e-25
         4.3000   8.821371e-24   3.095800e-23   8.557186e-25
         4.3500   1.506877e-23   2.944161e-23   9.108379e-25
         4.4000   3.371333e-23   2.802119e-23   9.698456e-25
         4.4500   8.189237e-23   2.672054e-23   1.033055e-24
         4.5000   1.925599e-22   2.568544e-23   1.100806e-24
         4.5500   4.222332e-22   2.554821e-23   1.173472e-24
         4.6000   8.581742e-22   2.851938e-23   1.251462e-24
         4.6500   1.622670e-21   4.104910e-23   1.335219e-24
         4.7000   2.872341e-21   7.915633e-23   1.425228e-24
         4.7500   4.791118e-21   1.772213e-22   1.522019e-24
         4.8000   7.577120e-21   3.998542e-22   1.626168e-24
         4.8500   1.143048e-20   8.545681e-22   1.738305e-24
         4.9000   1.654204e-20   1.701248e-21   1.859111e-24
         4.9500   2.307718e-20   3.153927e-21   1.989326e-24
         5.0000   3.116101e-20   5.471634e-21   2.129752e-24
         5.0500   4.086476e-20   8.937370e-21   2.281251e-24
         5.1000   5.219521e-20   1.382832e-20   2.444748e-24
         5.1500   6.508881e-20   2.038277e-20   2.621234e-24
         5.2000   7.941216e-20   2.877031e-20   2.811744e-24
         5.2500   9.496904e-20   3.907079e-20   3.017365e-24
         5.3000   1.115131e-19   5.126540e-20   3.239203e-24
         5.3500   1.287645e-19   6.523651e-20   3.478354e-24
         5.4000   1.464281e-19   8.077898e-20   3.735858e-24
         5.4500   1.642106e-19   9.761978e-20   4.012600e-24
         5.5000   1.818356e-19   1.154393e-19   4.309259e-24
         5.5500   1.990546e-19   1.338942e-19   4.626117e-24
         5.6000   2.156542e-19   1.526410e-19   4.963028e-24
         5.6500   2.314589e-19   1.713529e-19   5.319220e-24
         5.7000   2.463315e-19   1.897348e-19   5.693330e-24
         5.7500   2.601702e-19   2.075379e-19   6.083343e-24
         5.8000   2.729049e-19   2.245602e-19   6.486800e-24
         5.8500   2.844926e-19   2.406606e-19   6.900861e-24
         5.9000   2.949125e-19   2.557550e-19   7.322768e-24
         5.9500   3.041615e-19   2.697950e-19   7.749925e-24
         6.0000   3.122503e-19   2.827539e-19   8.180412e-24
         6.0500   3.192004e-19   2.946238e-19   8.613073e-24
         6.1000   3.250410e-19   3.054023e-19   9.047713e-24
         6.1500   3.298078e-19   3.150894e-19   9.485222e-24
