# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         3.0000   4.317602e-24   3.825356e-23   2.892904e-22   7.257261e-22   8.974810e-22   4.414671e-21   5.316638e-21   5.596502e-21   6.624011e-21   4.538833e-20   5.550518e-20   4.996837e-20   6.768311e-24
         3.0500   4.083943e-24   3.614531e-23   2.732139e-22   8.161582e-22   1.146430e-21   4.168064e-21   6.206602e-21   6.483089e-21   6.253967e-21   4.285194e-20   5.240091e-20   4.693901e-20   7.169359e-24
         3.1000   3.863717e-24   3.415676e-23   2.580429e-22   9.239166e-22   1.424462e-21   3.935273e-21   7.191922e-21   7.758275e-21   6.053099e-21   4.045759e-20   4.947032e-20   4.465141e-20   7.594170e-24
         3.1500   3.656180e-24   3.228130e-23   2.437273e-22   1.045640e-21   1.726252e-21   3.715525e-21   8.259831e-21   1.022860e-20   5.715072e-21   3.819734e-20   4.670370e-20   5.125693e-20   8.044153e-24
         3.2000   3.460629e-24   3.051269e-23   2.302196e-22   1.177113e-21   2.045556e-21   3.508093e-21   9.390279e-21   1.227503e-20   5.395988e-21   3.606370e-20   6.308499e-20   4.846658e-20   8.520799e-24
         3.2500   3.276398e-24   2.884520e-23   2.174749e-22   1.313671e-21   2.375696e-21   3.312289e-21   1.055708e-20   1.468743e-20   5.094789e-21   3.404959e-20   5.955699e-20   4.575878e-20   9.025688e-24
         3.3000   3.102861e-24   2.727328e-23   2.054510e-22   1.450605e-21   2.709999e-21   3.127463e-21   1.172998e-20   1.739653e-20   4.810477e-21   3.214834e-20   5.622638e-20   4.320272e-20   9.560494e-24
         3.3500   2.939422e-24   2.579255e-23   1.941081e-22   1.583512e-21   3.042088e-21   2.953004e-21   1.287733e-20   2.031069e-20   4.542110e-21   3.035366e-20   5.308216e-20   4.104159e-20   1.012699e-23
         3.4000   2.785518e-24   2.440783e-23   1.834086e-22   1.922028e-21   3.366193e-21   2.788332e-21   1.396856e-20   2.491061e-20   4.572417e-21   2.865958e-20   5.011387e-20   3.842330e-20   1.072705e-23
         3.4500   2.640619e-24   2.319237e-23   1.733170e-22   2.024223e-21   3.677511e-21   2.632903e-21   1.497679e-20   2.782661e-20   4.317495e-21   2.706049e-20   4.731150e-20   5.364531e-20   1.136267e-23
         3.5000   2.504220e-24   2.262078e-23   1.637998e-22   2.113830e-21   3.971147e-21   2.486200e-21   1.588127e-20   3.063312e-20   4.076884e-21   2.555110e-20   4.466616e-20   5.070931e-20   1.203595e-23
         3.5500   2.375844e-24   2.501597e-23   1.548266e-22   2.189317e-21   4.243812e-21   2.347737e-21   1.666523e-20   3.323592e-20   3.849786e-21   2.412639e-20   4.216887e-20   4.793712e-20   1.274912e-23
