# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         3.0000   2.053798e-24   1.529026e-21   3.952271e-21   1.416389e-21   4.335346e-21   1.108426e-20   1.045983e-20   2.303106e-24
         3.0500   1.952508e-24   1.459636e-21   3.844054e-21   1.337584e-21   4.094030e-21   1.046438e-20   1.482840e-20   2.439574e-24
         3.1000   1.851111e-24   1.392518e-21   3.731517e-21   1.263211e-21   3.866282e-21   9.879181e-21   1.398654e-20   2.584127e-24
         3.1500   1.739413e-24   1.328194e-21   3.616383e-21   1.193025e-21   3.651348e-21   9.326728e-21   1.320746e-20   2.737247e-24
         3.2000   1.641677e-24   1.267441e-21   3.586143e-21   1.126792e-21   3.448515e-21   8.805190e-21   1.243957e-20   2.899439e-24
         3.2500   1.561667e-24   1.210244e-21   3.465345e-21   1.064294e-21   3.257110e-21   8.312839e-21   1.174504e-20   3.071241e-24
         3.3000   1.501809e-24   1.158041e-21   3.346177e-21   1.005322e-21   3.076498e-21   7.848042e-21   1.109580e-20   3.253224e-24
         3.3500   1.513551e-24   1.113253e-21   3.229603e-21   9.496815e-22   2.906081e-21   7.409260e-21   1.045843e-20   3.445989e-24
         3.4000   1.776866e-24   1.082738e-21   3.116459e-21   8.971876e-22   2.745292e-21   6.995047e-21   9.874986e-21   3.650177e-24
         3.4500   2.827781e-24   1.072187e-21   3.007481e-21   8.476659e-22   2.593599e-21   6.604010e-21   9.314582e-21   3.866464e-24
         3.5000   6.021059e-24   1.099166e-21   2.903343e-21   8.009521e-22   2.450498e-21   7.699490e-21   8.795327e-21   4.095566e-24
         3.5500   1.438157e-23   1.186684e-21   2.804691e-21   7.568911e-22   2.315513e-21   7.269206e-21   8.300017e-21   4.338243e-24
         3.6000   3.388346e-23   1.371315e-21   2.712187e-21   7.153365e-22   2.188196e-21   6.862902e-21   7.837748e-21   4.595301e-24
         3.6500   7.490716e-23   1.674551e-21   2.626559e-21   6.761515e-22   2.068124e-21   6.479625e-21   7.401459e-21   4.867589e-24
         3.7000   1.540237e-22   2.138675e-21   2.548498e-21   6.392166e-22   1.954898e-21   6.117588e-21   6.989703e-21   5.156012e-24
         3.7500   2.950660e-22   2.794423e-21   2.477916e-21   6.044800e-22   1.848146e-21   5.776517e-21   8.134296e-21   5.461525e-24
         3.8000   5.298950e-22   3.662686e-21   2.414377e-21   5.721784e-22   1.747552e-21   5.455677e-21   7.681823e-21   5.785141e-24
         3.8500   8.970404e-22   4.765042e-21   2.357740e-21   5.435781e-22   1.653029e-21   5.150932e-21   7.254799e-21   6.127932e-24
         3.9000   1.440241e-21   6.071139e-21   2.309303e-21   5.229111e-22   1.565485e-21   4.863765e-21   6.851801e-21   6.491035e-24
         3.9500   2.203633e-21   7.582071e-21   2.274151e-21   5.215345e-22   1.489460e-21   4.594946e-21   6.471494e-21   6.875653e-24
         4.0000   3.227279e-21   9.280358e-21   2.265448e-21   5.653704e-22   1.440439e-21   4.341737e-21   6.112615e-21   7.283061e-24
         4.0500   4.541704e-21   1.114925e-20   2.312541e-21   7.064056e-22   1.461161e-21   4.102965e-21   5.773972e-21   7.714609e-24
         4.1000   6.174356e-21   1.317923e-20   2.466473e-21   1.038482e-21   1.651199e-21   3.875807e-21   5.454440e-21   8.171728e-24
         4.1500   8.147628e-21   1.537628e-20   2.807473e-21   1.714844e-21   2.210192e-21   3.660243e-21   5.152952e-21   8.655934e-24
         4.2000   1.048417e-20   1.777079e-20   3.456641e-21   2.955291e-21   3.487090e-21   3.463709e-21   4.868504e-21   9.168830e-24
         4.2500   1.321201e-20   2.044562e-20   4.593973e-21   5.020672e-21   6.018746e-21   3.270302e-21   4.600155e-21   9.712117e-24
