# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         3.0000  1.556974e-103   9.230347e-22   2.546623e-21   1.555828e-23   3.311951e-20   1.312329e-20   3.641990e-21   6.425859e-21   1.853012e-20   2.512633e-20   7.279505e-20
         3.0500   2.080809e-94   9.932939e-22   2.681351e-21   1.473928e-23   3.489426e-20   1.514074e-20   3.438809e-21   6.067120e-21   1.749528e-20   2.372129e-20   6.877500e-20
         3.1000   2.838540e-86   1.056345e-21   2.792703e-21   1.396905e-23   3.641064e-20   1.710325e-20   3.247026e-21   5.728492e-21   1.651842e-20   2.239299e-20   6.469885e-20
         3.1500   5.059044e-79   1.111583e-21   2.880356e-21   1.324810e-23   3.764488e-20   1.895515e-20   3.066005e-21   5.408851e-21   1.559632e-20   3.046977e-20   6.108107e-20
         3.2000   1.467462e-72   1.158510e-21   2.944855e-21   1.256792e-23   3.858315e-20   2.064989e-20   4.065911e-21   5.107138e-21   1.472591e-20   2.876599e-20   5.774681e-20
         3.2500   8.423037e-67   1.196566e-21   2.987224e-21   1.192941e-23   3.922077e-20   2.215143e-20   3.839184e-21   4.822354e-21   1.390432e-20   2.715757e-20   5.439979e-20
         3.3000   1.138163e-61   1.225036e-21   3.008956e-21   1.139124e-23   3.956109e-20   2.343452e-20   3.625182e-21   4.553553e-21   1.312881e-20   2.562784e-20   5.141564e-20
         3.3500   4.225521e-57   1.243149e-21   3.011834e-21   1.082681e-23   3.961384e-20   2.448449e-20   3.423196e-21   4.299845e-21   1.239681e-20   2.419503e-20   4.854129e-20
         3.4000   4.953048e-53   1.251013e-21   2.997739e-21   1.029830e-23   3.939359e-20   2.529470e-20   3.232556e-21   4.180353e-21   1.170590e-20   2.284242e-20   4.576826e-20
         3.4500   2.076420e-49   1.249329e-21   2.968900e-21   1.047513e-23   3.891818e-20   2.586702e-20   3.052630e-21   3.947646e-21   1.105380e-20   2.156552e-20   4.321007e-20
         3.5000   3.481189e-46   1.239141e-21   2.940235e-21   9.983292e-24   3.820738e-20   2.621252e-20   2.882821e-21   3.728024e-21   1.043833e-20   2.031966e-20   4.076307e-20
         3.5500   2.580994e-43   1.221841e-21   2.888360e-21   9.543121e-24   3.728188e-20   2.633519e-20   2.722567e-21   3.520758e-21   9.857454e-21   2.829372e-20   3.848520e-20
         3.6000   9.269953e-41   1.199177e-21   2.830621e-21   1.348052e-23   3.616282e-20   2.625325e-20   2.571336e-21   3.325161e-21   9.309251e-21   2.671211e-20   3.638609e-20
         3.6500   1.751598e-38   1.172990e-21   2.772980e-21   1.341736e-23   3.487200e-20   2.598252e-20   2.428626e-21   3.140585e-21   8.791902e-21   2.521909e-20   3.435347e-20
         3.7000   1.870286e-36   1.144213e-21   2.724648e-21   1.491648e-23   3.343291e-20   2.556153e-20   2.293965e-21   2.966417e-21   8.303691e-21   2.380956e-20   3.246542e-20
         3.7500   1.201595e-34   1.113386e-21   2.699072e-21   2.102202e-23   3.187268e-20   2.496080e-20   2.166905e-21   2.802081e-21   7.842999e-21   2.247944e-20   3.069401e-20
         3.8000   4.910643e-33   1.080948e-21   2.714165e-21   3.893148e-23   3.022467e-20   2.421933e-20   2.047026e-21   2.647031e-21   7.408298e-21   2.114708e-20   2.893374e-20
         3.8500   1.340797e-31   1.047241e-21   2.791778e-21   9.769918e-23   2.853059e-20   2.335185e-20   1.933930e-21   2.500753e-21   6.998147e-21   1.996555e-20   2.731902e-20
         3.9000   2.554969e-30   1.012545e-21   2.955243e-21   1.937997e-22   2.684330e-20   2.245178e-20   2.193725e-21   2.362762e-21   6.611184e-21   1.885332e-20   2.579488e-20
         3.9500   3.536647e-29   9.771123e-22   3.226709e-21   3.830344e-22   2.522866e-20   2.137016e-20   2.072601e-21   2.232603e-21   6.246127e-21   1.780383e-20   2.436851e-20
         4.0000   3.686348e-28   9.413966e-22   3.623833e-21   7.218638e-22   2.376082e-20   2.020558e-20   1.958366e-21   2.109865e-21   5.901763e-21   1.681321e-20   2.297499e-20
         4.0500   2.987190e-27   9.058372e-22   4.156971e-21   1.280293e-21   2.252861e-20   1.897486e-20   1.850744e-21   1.994274e-21   5.576949e-21   1.587616e-20   2.169467e-20
         4.1000   1.935071e-26   8.707385e-22   4.827411e-21   2.164799e-21   2.163643e-20   1.769923e-20   1.749783e-21   1.886116e-21   5.270607e-21   1.500081e-20   2.048623e-20
         4.1500   1.026938e-25   8.363158e-22   5.626927e-21   3.391401e-21   2.115757e-20   1.656839e-20   1.656504e-21   1.787729e-21   4.981719e-21   1.408645e-20   1.932804e-20
         4.2000   4.562484e-25   8.027353e-22   6.538647e-21   5.053799e-21   2.113353e-20   1.529565e-20   1.574427e-21   1.707712e-21   4.709324e-21   1.332300e-20   1.824249e-20
         4.2500   1.729667e-24   7.701189e-22   7.539023e-21   7.192985e-21   2.156702e-20   1.411471e-20   1.512605e-21   1.670492e-21   4.452516e-21   1.258242e-20   1.722799e-20
         4.3000   5.690589e-24   7.386034e-22   8.600665e-21   9.821721e-21   2.243791e-20   1.311217e-20   1.490709e-21   1.733979e-21   4.210440e-21   1.457926e-20   1.627055e-20
         4.3500   1.649488e-23   7.085074e-22   9.696316e-21   1.292452e-20   2.373080e-20   1.236194e-20   1.546220e-21   2.015808e-21   3.982289e-21   1.377463e-20   1.536700e-20
         4.4000   4.272366e-23   6.809609e-22   1.080840e-20   1.646532e-20   2.534086e-20   1.194521e-20   1.742874e-21   2.723862e-21   3.767301e-21   1.302337e-20   1.451433e-20
         4.4500   1.001356e-22   6.594751e-22   1.193856e-20   2.040382e-20   2.726205e-20   1.196969e-20   2.179545e-21   4.180959e-21   3.564759e-21   1.234784e-20   1.370972e-20
