# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         3.0000   7.251558e-24   2.250343e-23   5.225860e-21   1.169940e-20   3.281266e-21   5.942899e-21   2.463301e-20   3.283259e-20   3.008138e-24
         3.0500   7.435257e-24   2.127253e-23   5.095993e-21   1.175669e-20   3.098383e-21   5.611366e-21   2.325529e-20   3.099731e-20   3.186382e-24
         3.1000   7.617110e-24   2.011202e-23   4.955495e-21   1.176348e-20   2.925770e-21   5.298431e-21   2.195464e-20   2.924347e-20   3.375187e-24
         3.1500   7.790515e-24   1.901805e-23   4.806533e-21   1.172771e-20   2.762854e-21   5.003058e-21   2.072677e-20   2.765570e-20   3.575179e-24
         3.2000   7.955716e-24   1.798697e-23   4.649856e-21   1.165748e-20   2.609095e-21   4.724268e-21   1.956759e-20   2.614430e-20   3.787022e-24
         3.2500   8.139237e-24   1.701546e-23   4.485657e-21   1.156071e-20   2.463983e-21   4.461136e-21   1.847328e-20   2.472837e-20   4.011417e-24
         3.3000   8.301477e-24   1.610125e-23   4.316741e-21   1.144493e-20   2.327038e-21   4.212790e-21   1.744020e-20   2.337228e-20   4.249108e-24
         3.3500   8.521706e-24   1.524819e-23   4.147448e-21   1.131713e-20   2.197804e-21   3.978407e-21   1.646492e-20   2.205956e-20   4.500884e-24
         3.4000   9.109807e-24   1.449083e-23   3.978724e-21   1.118353e-20   2.075855e-21   3.757209e-21   1.554423e-20   2.083039e-20   4.767578e-24
         3.4500   1.007115e-23   1.398921e-23   3.814847e-21   1.104948e-20   1.960784e-21   3.548463e-21   1.467507e-20   1.962856e-20   5.050075e-24
         3.5000   1.229010e-23   1.431833e-23   3.666892e-21   1.107298e-20   1.852211e-21   3.351478e-21   1.385454e-20   1.853290e-20   5.349311e-24
         3.5500   1.707121e-23   1.717363e-23   3.531106e-21   1.094094e-20   1.749775e-21   3.165599e-21   1.307998e-20   1.750682e-20   5.666277e-24
         3.6000   2.716693e-23   2.680690e-23   3.424479e-21   1.081754e-20   1.653136e-21   2.990210e-21   1.234893e-20   1.650691e-20   6.002025e-24
         3.6500   4.464828e-23   5.225819e-23   3.365508e-21   1.070215e-20   1.561973e-21   2.824729e-21   1.165862e-20   1.558635e-20   6.357668e-24
         3.7000   7.473734e-23   1.104614e-22   3.404587e-21   1.059161e-20   1.475985e-21   2.668608e-21   1.100742e-20   1.470505e-20   6.734383e-24
         3.7500   1.234195e-22   2.293893e-22   3.534438e-21   1.047947e-20   1.394886e-21   2.521328e-21   1.039221e-20   1.388564e-20   7.133420e-24
         3.8000   1.979874e-22   4.493550e-22   3.813054e-21   1.035511e-20   1.318413e-21   2.382401e-21   9.812833e-21   1.310558e-20   7.556102e-24
         3.8500   3.067883e-22   8.238401e-22   4.280035e-21   1.020241e-20   1.246362e-21   2.251378e-21   9.266064e-21   1.237603e-20   8.003829e-24
         3.9000   4.598974e-22   1.415347e-21   4.971358e-21   9.998317e-21   1.178725e-21   2.127896e-21   8.749929e-21   1.168750e-20   8.478086e-24
         3.9500   6.639874e-22   2.290125e-21   5.912320e-21   9.716686e-21   1.116200e-21   2.011971e-21   8.261943e-21   1.103769e-20   8.980444e-24
         4.0000   9.287349e-22   3.506027e-21   7.156066e-21   9.353579e-21   1.061520e-21   1.905109e-21   7.805251e-21   1.042444e-20   9.512569e-24
