# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         3.0000   6.790586e-23   1.865997e-25   3.530245e-20   5.620229e-20   4.527044e-22   1.461624e-21   2.682278e-21   4.192177e-21   9.374463e-21   1.559191e-21   2.538285e-21   3.551503e-21   5.067315e-21   7.259042e-20   1.578486e-19   1.879600e-19   4.759937e-19
         3.0500   8.105454e-23   1.872119e-25   3.603271e-20   6.160425e-20   4.275688e-22   1.380189e-21   2.532702e-21   3.958160e-21   8.851199e-21   1.472446e-21   2.427881e-21   3.353550e-21   4.784705e-21   6.853219e-20   1.490238e-19   1.774471e-19   4.495062e-19
         3.1000   9.550925e-23   2.302276e-25   3.650334e-20   6.644616e-20   4.038504e-22   1.303328e-21   2.391521e-21   3.737367e-21   8.358254e-21   1.390581e-21   2.348729e-21   3.166718e-21   4.518268e-21   6.470111e-20   1.406930e-19   1.675223e-19   4.243760e-19
         3.1500   1.111687e-22   5.034983e-25   3.672867e-20   7.064691e-20   3.976678e-22   1.230787e-21   2.258266e-21   3.529270e-21   7.895172e-21   1.313325e-21   2.311378e-21   2.990405e-21   4.266476e-21   6.108448e-20   1.328285e-19   1.581528e-19   4.007845e-19
         3.2000   1.279487e-22   2.564025e-24   3.673427e-20   7.415813e-20   3.756662e-22   1.162326e-21   2.132497e-21   3.333643e-21   7.462462e-21   1.240423e-21   2.327620e-21   2.824087e-21   4.028825e-21   5.767033e-20   1.288158e-19   1.493075e-19   3.784998e-19
         3.2500   1.458828e-22   7.521581e-24   3.655809e-20   7.696112e-20   3.549097e-22   1.107572e-21   2.013795e-21   3.150760e-21   7.061838e-21   1.171632e-21   2.409344e-21   2.667391e-21   3.810942e-21   5.444733e-20   1.216165e-19   2.003012e-19   3.570833e-19
         3.3000   1.652582e-22   2.387237e-23   3.624907e-20   7.906246e-20   3.353295e-22   1.046052e-21   1.901768e-21   2.981612e-21   6.696267e-21   1.106725e-21   2.567569e-21   2.520226e-21   3.598897e-21   5.140481e-20   1.148204e-19   1.890985e-19   3.375913e-19
         3.3500   1.867155e-22   7.006919e-23   3.587022e-20   8.048799e-20   3.168607e-22   9.879998e-22   1.796045e-21   2.828075e-21   6.369751e-21   1.045487e-21   2.812033e-21   2.383017e-21   3.398780e-21   4.853267e-20   1.084048e-19   1.785227e-19   3.190787e-19
         3.4000   2.111628e-22   1.868874e-22   3.550020e-20   8.127923e-20   2.994421e-22   9.332216e-22   1.696274e-21   2.692929e-21   6.086809e-21   9.877134e-22   3.151410e-21   2.256992e-21   3.280672e-21   4.582139e-20   1.023485e-19   1.685386e-19   3.016918e-19
         3.4500   2.409313e-22   4.366286e-22   3.522907e-20   8.148768e-20   2.830159e-22   8.815362e-22   1.602125e-21   2.579662e-21   5.851717e-21   9.332134e-22   3.593842e-21   2.144486e-21   3.098507e-21   4.326200e-20   9.663152e-20   1.591132e-19   2.852625e-19
         3.5000   2.865238e-22   9.288471e-22   3.514254e-20   8.117094e-20   2.675276e-22   8.327722e-22   1.513286e-21   2.492044e-21   5.667671e-21   8.818718e-22   4.147242e-21   2.049146e-21   2.926612e-21   4.084600e-20   9.123481e-20   1.502151e-19   2.693464e-19
         3.5500   3.635646e-22   1.811488e-21   3.531659e-20   8.039008e-20   2.687455e-22   7.867677e-22   1.429462e-21   2.433545e-21   5.536033e-21   8.333843e-22   4.818870e-21   1.975921e-21   3.213561e-21   3.856538e-20   8.614050e-20   1.418150e-19   2.537860e-19
         3.6000   4.727664e-22   3.267435e-21   3.580895e-20   7.920366e-20   2.541169e-22   7.433703e-22   1.350375e-21   2.406710e-21   5.455823e-21   7.890687e-22   5.614013e-21   1.930826e-21   3.035426e-21   3.641260e-20   8.466311e-20   1.338849e-19   2.396040e-19
         3.6500   6.041822e-22   5.504507e-21   3.665673e-20   7.767067e-20   2.403303e-22   7.024360e-22   1.275764e-21   2.412645e-21   5.423548e-21   7.458761e-22   6.534021e-21   1.920554e-21   2.867352e-21   3.438051e-20   7.993765e-20   1.843490e-19   2.262692e-19
         3.7000   7.651619e-22   8.711257e-21   3.789158e-20   7.584571e-20   2.273402e-22   6.638288e-22   1.205379e-21   2.450708e-21   5.433383e-21   7.051557e-22   7.574286e-21   1.951339e-21   2.708782e-21   3.246237e-20   7.547716e-20   1.740401e-19   2.137465e-19
         3.7500   9.748241e-22   1.306967e-20   3.952656e-20   7.377893e-20   2.151044e-22   6.274206e-22   1.138989e-21   2.518462e-21   5.477636e-21   6.823203e-22   8.722813e-21   2.031711e-21   4.164423e-21   3.065184e-20   7.126684e-20   1.643082e-19   2.017963e-19
         3.8000   1.241800e-21   1.871459e-20   4.155616e-20   7.151728e-20   2.035915e-22   5.930909e-22   1.076372e-21   2.611885e-21   5.547419e-21   6.452856e-22   9.959882e-21   2.160704e-21   3.933590e-21   2.894290e-20   6.729273e-20   1.551211e-19   1.905153e-19
         3.8500   1.566601e-21   2.573066e-20   4.396273e-20   6.909800e-20   1.928242e-22   5.607293e-22   1.017321e-21   2.725757e-21   5.633425e-21   6.103945e-22   1.125899e-20   2.344041e-21   3.715796e-21   2.732989e-20   6.354166e-20   1.464479e-19   1.804542e-19
         3.9000   1.942777e-21   3.413383e-20   4.671905e-20   6.656000e-20   1.830868e-22   5.302622e-22   9.616400e-22   2.854154e-21   5.726787e-21   5.775526e-22   1.258894e-20   2.612269e-21   3.510318e-21   2.580747e-20   6.000120e-20   1.382603e-19   1.702615e-19
         3.9500   2.362597e-21   4.380433e-20   4.978917e-20   6.394064e-20   1.756946e-22   5.049090e-22   9.091435e-22   2.990960e-21   5.819972e-21   6.399578e-22   1.391689e-20   2.905105e-21   3.316475e-21   2.437058e-20   5.665962e-20   1.305337e-19   1.602643e-19
         4.0000   2.846717e-21   5.447510e-20   5.313637e-20   6.128539e-20   1.752942e-22   4.795119e-22   8.596573e-22   3.130313e-21   5.907731e-21   6.062093e-22   1.521149e-20   3.252274e-21   3.133624e-21   2.301447e-20   5.350582e-20   1.232368e-19   1.513099e-19
         4.0500   3.425385e-21   6.578378e-20   5.673157e-20   5.866290e-20   1.955750e-22   4.627799e-22   8.130168e-22   3.266962e-21   5.988002e-21   5.757573e-22   1.644674e-20   3.651858e-21   6.027919e-21   2.173465e-20   5.052937e-20   1.163502e-19   1.430572e-19
         4.1000   4.094629e-21   7.745501e-20   6.057245e-20   5.618918e-20   2.714628e-22   4.741547e-22   7.690667e-22   3.396498e-21   6.062610e-21   5.506017e-22   1.760611e-20   4.277086e-21   5.693864e-21   2.052686e-20   4.772038e-20   1.098486e-19   1.347747e-19
         4.1500   4.832941e-21   8.940339e-20   6.470992e-20   5.406114e-20   4.827092e-22   5.708558e-22   7.276606e-22   3.515474e-21   6.137531e-21   8.681694e-22   1.867978e-20   4.765430e-21   5.378680e-21   1.938710e-20   4.506955e-20   1.037269e-19   1.273898e-19
         4.2000   5.610807e-21   1.017620e-19   6.928080e-20   5.259853e-20   9.951469e-22   8.949787e-22   6.886605e-22   3.621418e-21   6.222537e-21   8.516651e-22   1.967331e-20   5.300980e-21   5.081325e-21   1.831160e-20   4.256809e-20   9.792479e-20   1.202778e-19
         4.2500   6.393369e-21   1.146565e-19   7.456146e-20   5.228054e-20   2.131551e-21   1.749166e-21   6.519360e-22   3.712772e-21   6.330170e-21   8.665825e-22   2.061546e-20   5.882673e-21   4.800820e-21   1.729679e-20   4.020770e-20   9.247075e-20   1.135647e-19
         4.3000   7.143779e-21   1.281460e-19   8.103041e-20   5.379849e-20   4.444496e-21   3.693588e-21   6.173786e-22   3.788780e-21   6.474243e-21   9.313982e-22   2.150165e-20   7.136821e-21   4.536268e-21   1.633938e-20   3.902337e-20   8.731496e-20   1.070891e-19
