# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         4.0000   0.000000e+00   1.689797e-20   2.603515e-21   3.937938e-22   1.811210e-22   3.161255e-21   5.494365e-21   2.397720e-22   4.419897e-20   3.323666e-20   3.313360e-21   5.791845e-21   2.976294e-20   7.067772e-20   8.856643e-20
         4.0500   0.000000e+00   1.876089e-20   5.489187e-21   9.984020e-22   1.716134e-22   3.271612e-21   5.653664e-21   2.499843e-22   4.366117e-20   3.488028e-20   3.130127e-21   5.470896e-21   2.811022e-20   6.673959e-20   8.351256e-20
         4.1000   0.000000e+00   2.271751e-20   1.064908e-20   2.447059e-21   1.626730e-22   3.370698e-21   5.856779e-21   4.504385e-22   4.289570e-20   3.618193e-20   5.318508e-21   5.168081e-21   2.655066e-20   6.300886e-20   7.878875e-20
         4.1500   0.000000e+00   2.986948e-20   1.921614e-20   5.538914e-21   1.542701e-22   3.458525e-21   6.124980e-21   5.355081e-22   4.194916e-20   3.752605e-20   5.023456e-21   4.882398e-21   2.507909e-20   5.951400e-20   7.439173e-20
         4.2000   0.000000e+00   4.163137e-20   3.257650e-20   1.149808e-20   1.463765e-22   3.535239e-21   6.477994e-21   7.123646e-22   4.084657e-20   3.813622e-20   4.745073e-21   4.612927e-21   2.369062e-20   5.619059e-20   7.034004e-20
         4.2500   0.000000e+00   5.970398e-20   5.233569e-20   2.198892e-20   1.389657e-22   3.601025e-21   6.930712e-21   1.029124e-21   3.963671e-20   3.843766e-20   4.482512e-21   4.358921e-21   2.238066e-20   5.302755e-20   6.641712e-20
         4.3000   0.000000e+00   8.599685e-20   8.026204e-20   3.902721e-20   1.320127e-22   3.656031e-21   7.490061e-21   1.541468e-21   3.840716e-20   3.845529e-20   4.235187e-21   4.120222e-21   2.114485e-20   5.006366e-20   6.277351e-20
         4.3500   0.000000e+00   1.225037e-19   1.182453e-19   6.478461e-20   1.254940e-22   3.700311e-21   8.152395e-21   2.631513e-21   3.709418e-20   3.821780e-20   4.003160e-21   3.898601e-21   1.997909e-20   4.731782e-20   5.935541e-20
         4.4000   0.000000e+00   1.711424e-19   1.682252e-19   1.013203e-19   1.193877e-22   3.733787e-21   8.901613e-21   3.679417e-21   3.578382e-20   3.775661e-20   3.787997e-21   3.701278e-21   1.887951e-20   4.472077e-20   5.593821e-20
         4.4500   0.000000e+00   2.335784e-19   2.320732e-19   1.502996e-19   1.136730e-22   3.756225e-21   9.713169e-21   5.063120e-21   3.451059e-20   3.783819e-20   3.594316e-21   3.548374e-21   1.784247e-20   4.224626e-20   5.284393e-20
