# CIE ionization fractions for C (Z=6)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_C0           x_C1           x_C2           x_C3           x_C4           x_C5           x_C6         
         4.0000   9.680487e-01   3.195131e-02   8.906710e-12   4.260599e-34   8.404951e-65  3.594896e-262   0.000000e+00
         4.0500   8.688106e-01   1.311894e-01   9.078035e-10   2.116825e-29   1.641095e-56  2.472227e-232   0.000000e+00
         4.1000   6.315148e-01   3.684852e-01   4.519769e-08   2.605972e-25   3.277290e-49  8.006283e-206   0.000000e+00
         4.1500   3.451929e-01   6.548060e-01   1.049760e-06   8.046049e-22   7.459827e-43  2.442872e-182   0.000000e+00
         4.2000   1.629869e-01   8.369999e-01   1.322794e-05   7.641344e-19   2.586234e-37  1.580845e-161   0.000000e+00
         4.2500   7.969432e-02   9.201961e-01   1.095370e-04   2.855944e-16   1.886013e-32  4.769537e-143  5.056418e-282
         4.3000   4.351187e-02   9.558284e-01   6.597577e-04   4.933203e-14   3.637040e-28  1.276335e-126  1.949094e-250
         4.3500   2.644438e-02   9.705286e-01   3.027041e-03   4.381909e-12   2.192790e-24  5.181092e-112  2.597481e-222
         4.4000   1.733548e-02   9.717164e-01   1.094815e-02   2.191409e-10   4.777010e-21   5.124150e-99  2.899841e-197
         4.4500   1.183336e-02   9.558735e-01   3.229312e-02   6.702048e-09   4.286086e-18   1.886991e-87  5.979674e-175
         4.5000   8.131628e-03   9.120583e-01   7.980993e-02   1.340811e-07   1.768566e-15   3.752257e-77  4.578827e-155
         4.5500   5.441443e-03   8.270733e-01   1.674834e-01   1.838062e-06   3.652761e-13   5.535359e-68  2.393300e-137
         4.6000   3.441776e-03   6.971988e-01   2.993417e-01   1.779747e-05   4.027634e-11   7.952212e-60  1.452952e-121
         4.6500   2.023227e-03   5.396803e-01   4.581713e-01   1.252194e-04   2.514322e-09   1.419696e-52  1.647498e-107
         4.7000   1.109366e-03   3.861200e-01   6.121052e-01   6.652689e-04   9.488468e-08   3.966006e-46   5.399000e-95
         4.7500   5.785110e-04   2.608453e-01   7.357764e-01   2.797423e-03   2.324250e-06   2.156271e-40   7.642454e-84
         4.8000   2.931742e-04   1.702407e-01   8.196969e-01   9.729732e-03   3.946115e-05   2.777320e-35   6.699821e-74
         4.8500   1.460972e-04   1.087184e-01   8.617829e-01   2.886450e-02   4.881113e-04   1.001124e-30   4.972085e-65
         4.9000   7.115654e-05   6.757155e-02   8.540674e-01   7.377052e-02   4.519416e-03   1.151414e-26   4.055802e-57
         4.9500   3.260308e-05   3.936354e-02   7.710563e-01   1.585113e-01   3.103629e-02   4.593498e-23   4.439124e-50
