# CIE ionization fractions for Fe (Z=26)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Fe0          x_Fe1          x_Fe2          x_Fe3          x_Fe4          x_Fe5          x_Fe6          x_Fe7          x_Fe8          x_Fe9          x_Fe10         x_Fe11         x_Fe12         x_Fe13         x_Fe14         x_Fe15         x_Fe16         x_Fe17         x_Fe18         x_Fe19         x_Fe20         x_Fe21         x_Fe22         x_Fe23         x_Fe24         x_Fe25         x_Fe26       
         4.0000   1.302539e-01   8.696484e-01   9.770534e-05   1.141012e-16   1.408254e-41   3.482696e-76  1.550141e-124  1.968607e-186  8.610558e-263   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   7.053892e-02   9.285300e-01   9.311289e-04   5.975256e-14   8.959027e-36   2.661646e-66  3.768353e-109  3.506100e-164  3.323930e-232   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   3.976105e-02   9.534123e-01   6.826678e-03   1.579997e-11   1.380602e-30   1.789828e-57   2.093701e-95  2.587332e-144  6.700818e-205  1.381693e-298   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   2.270462e-02   9.380314e-01   3.926399e-02   2.251786e-09   5.959671e-26   1.368575e-49   3.988066e-83  1.432487e-126  1.599721e-180  5.459082e-264   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   1.202469e-02   8.205704e-01   1.674047e-01   1.702449e-07   7.598147e-22   1.385303e-42   3.458825e-72  9.339987e-111  8.677050e-159  3.838496e-233   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   4.971871e-03   5.416040e-01   4.534181e-01   6.067901e-06   2.698478e-18   1.912543e-36   1.580345e-62   9.621175e-97  1.715835e-139  1.016150e-205  1.430733e-280   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   1.522562e-03   2.572340e-01   7.411434e-01   1.000365e-04   2.760080e-15   4.028499e-31   4.711627e-54   2.210606e-84  2.048761e-122  2.145714e-181  4.139176e-248   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   4.269781e-04   1.090996e-01   8.895185e-01   9.548664e-04   1.066482e-12   1.821625e-26   1.410773e-46   1.957769e-73  2.943371e-107  8.967066e-160  3.147354e-219  2.737743e-285   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   1.343951e-04   5.078509e-02   9.425819e-01   6.498571e-03   2.000050e-10   2.418392e-22   6.280751e-40   1.096535e-63   9.478001e-94  1.679487e-140  1.774025e-193  2.246486e-252   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   5.011841e-05   2.744768e-02   9.383712e-01   3.413100e-02   2.047533e-08   1.120839e-18   5.304559e-34   5.431548e-55   1.071082e-81  2.626782e-123  1.678543e-170  5.208993e-223  5.310671e-283   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
