# CIE ionization fractions for H (Z=1)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_H0           x_H1         
         3.0000   1.000000e+00   2.430719e-66
         3.0500   1.000000e+00   7.877046e-59
         3.1000   1.000000e+00   3.950650e-52
         3.1500   1.000000e+00   3.756612e-46
         3.2000   1.000000e+00   8.115371e-41
         3.2500   1.000000e+00   4.679766e-36
         3.3000   1.000000e+00   8.316686e-32
         3.3500   1.000000e+00   5.177363e-28
         3.4000   1.000000e+00   1.265533e-24
         3.4500   1.000000e+00   1.344714e-21
         3.5000   1.000000e+00   6.800799e-19
         3.5500   1.000000e+00   1.774859e-16
         3.6000   1.000000e+00   2.568779e-14
         3.6500   1.000000e+00   2.198534e-12
         3.7000   1.000000e+00   1.178247e-10
         3.7500   1.000000e+00   4.160908e-09
         3.8000   9.999999e-01   1.013286e-07
         3.8500   9.999982e-01   1.772004e-06
         3.9000   9.999769e-01   2.307074e-05
         3.9500   9.997691e-01   2.309021e-04
         4.0000   9.981740e-01   1.825990e-03
         4.0500   9.883752e-01   1.162481e-02
         4.1000   9.409140e-01   5.908601e-02
         4.1500   7.787373e-01   2.212627e-01
         4.2000   4.740833e-01   5.259167e-01
         4.2500   2.084174e-01   7.915826e-01
         4.3000   7.956958e-02   9.204304e-01
         4.3500   3.054065e-02   9.694594e-01
         4.4000   1.244068e-02   9.875593e-01
         4.4500   5.442414e-03   9.945576e-01
         4.5000   2.552553e-03   9.974474e-01
         4.5500   1.276503e-03   9.987235e-01
         4.6000   6.764793e-04   9.993235e-01
         4.6500   3.776515e-04   9.996223e-01
         4.7000   2.208827e-04   9.997791e-01
         4.7500   1.346882e-04   9.998653e-01
         4.8000   8.524792e-05   9.999148e-01
         4.8500   5.578547e-05   9.999442e-01
         4.9000   3.761186e-05   9.999624e-01
         4.9500   2.604629e-05   9.999740e-01
         5.0000   1.847496e-05   9.999815e-01
         5.0500   1.338967e-05   9.999866e-01
         5.1000   9.893565e-06   9.999901e-01
         5.1500   7.438497e-06   9.999926e-01
         5.2000   5.680816e-06   9.999943e-01
         5.2500   4.400026e-06   9.999956e-01
         5.3000   3.451577e-06   9.999965e-01
         5.3500   2.738791e-06   9.999973e-01
         5.4000   2.195839e-06   9.999978e-01
         5.4500   1.777124e-06   9.999982e-01
         5.5000   1.450521e-06   9.999985e-01
         5.5500   1.193099e-06   9.999988e-01
         5.6000   9.882808e-07   9.999990e-01
         5.6500   8.238854e-07   9.999992e-01
         5.7000   6.908512e-07   9.999993e-01
         5.7500   5.823815e-07   9.999994e-01
         5.8000   4.933532e-07   9.999995e-01
         5.8500   4.198288e-07   9.999996e-01
         5.9000   3.587487e-07   9.999996e-01
         5.9500   3.077205e-07   9.999997e-01
         6.0000   2.648635e-07   9.999997e-01
         6.0500   2.287038e-07   9.999998e-01
         6.1000   1.980711e-07   9.999998e-01
         6.1500   1.720181e-07   9.999998e-01
         6.2000   1.497745e-07   9.999999e-01
         6.2500   1.307111e-07   9.999999e-01
         6.3000   1.143141e-07   9.999999e-01
         6.3500   1.001629e-07   9.999999e-01
         6.4000   8.791113e-08   9.999999e-01
         6.4500   7.727577e-08   9.999999e-01
         6.5000   6.802269e-08   9.999999e-01
         6.5500   5.995523e-08   9.999999e-01
         6.6000   5.290751e-08   9.999999e-01
         6.6500   4.673906e-08   1.000000e+00
         6.7000   4.132963e-08   1.000000e+00
         6.7500   3.657671e-08   1.000000e+00
         6.8000   3.239353e-08   1.000000e+00
         6.8500   2.870626e-08   1.000000e+00
         6.9000   2.545183e-08   1.000000e+00
         6.9500   2.257612e-08   1.000000e+00
         7.0000   2.003247e-08   1.000000e+00
         7.0500   1.778052e-08   1.000000e+00
         7.1000   1.578490e-08   1.000000e+00
         7.1500   1.401502e-08   1.000000e+00
         7.2000   1.244470e-08   1.000000e+00
         7.2500   1.105104e-08   1.000000e+00
         7.3000   9.813901e-09   1.000000e+00
         7.3500   8.715546e-09   1.000000e+00
         7.4000   7.740297e-09   1.000000e+00
         7.4500   6.874280e-09   1.000000e+00
         7.5000   6.105206e-09   1.000000e+00
         7.5500   5.422183e-09   1.000000e+00
         7.6000   4.815549e-09   1.000000e+00
         7.6500   4.276737e-09   1.000000e+00
         7.7000   3.798143e-09   1.000000e+00
         7.7500   3.373025e-09   1.000000e+00
         7.8000   2.995376e-09   1.000000e+00
         7.8500   2.659850e-09   1.000000e+00
         7.9000   2.361720e-09   1.000000e+00
         7.9500   2.096806e-09   1.000000e+00
         8.0000   1.861406e-09   1.000000e+00
         8.0500   1.652239e-09   1.000000e+00
         8.1000   1.466394e-09   1.000000e+00
         8.1500   1.301286e-09   1.000000e+00
         8.2000   1.154615e-09   1.000000e+00
         8.2500   1.024340e-09   1.000000e+00
         8.3000   9.086441e-10   1.000000e+00
         8.3500   8.059098e-10   1.000000e+00
         8.4000   7.146991e-10   1.000000e+00
         8.4500   6.337319e-10   1.000000e+00
         8.5000   5.618692e-10   1.000000e+00
         8.5500   4.980971e-10   1.000000e+00
         8.6000   4.415136e-10   1.000000e+00
         8.6500   3.913159e-10   1.000000e+00
         8.7000   3.467900e-10   1.000000e+00
         8.7500   3.073007e-10   1.000000e+00
         8.8000   2.722833e-10   1.000000e+00
         8.8500   2.412354e-10   1.000000e+00
         8.9000   2.137106e-10   1.000000e+00
         8.9500   1.893121e-10   1.000000e+00
         9.0000   1.676873e-10   1.000000e+00
