# CIE ionization fractions for N (Z=7)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_N0           x_N1           x_N2           x_N3           x_N4           x_N5           x_N6           x_N7         
         4.0000   9.995303e-01   4.697414e-04   1.209720e-15   1.636193e-37   3.039093e-75  2.371778e-123   0.000000e+00   0.000000e+00
         4.0500   9.965610e-01   3.439039e-03   4.191890e-13   2.541159e-32   9.126149e-66  1.891030e-108   0.000000e+00   0.000000e+00
         4.1000   9.797137e-01   2.028629e-02   7.780028e-11   1.105585e-27   2.650240e-57   3.805952e-95   0.000000e+00   0.000000e+00
         4.1500   9.067226e-01   9.327743e-02   7.769341e-09   1.452353e-23   8.955272e-50   2.692473e-83  2.484900e-280   0.000000e+00
         4.2000   7.016433e-01   2.983563e-01   3.828578e-07   5.620028e-20   3.782024e-43   8.191420e-73  2.273826e-248   0.000000e+00
         4.2500   4.067080e-01   5.932836e-01   8.466462e-06   6.146139e-17   2.084915e-37   1.257023e-63  4.915874e-220   0.000000e+00
         4.3000   1.944894e-01   8.054171e-01   9.349125e-05   2.211961e-14   1.886264e-32   1.356575e-55  6.273429e-195   0.000000e+00
         4.3500   9.251064e-02   9.068509e-01   6.384318e-04   3.368669e-12   3.869435e-28   1.559784e-48  1.204063e-172   0.000000e+00
         4.4000   4.790895e-02   9.489705e-01   3.120505e-03   2.591326e-10   2.301284e-24   2.652288e-42  7.667825e-153  4.939378e-287
         4.4500   2.720318e-02   9.609433e-01   1.185354e-02   1.122600e-08   4.723836e-21   8.543272e-37  3.136357e-135  8.252040e-255
         4.5000   1.648222e-02   9.468289e-01   3.668856e-02   2.947003e-07   3.826721e-18   6.362237e-32  1.453049e-119  4.081698e-226
         4.5500   1.024068e-02   8.952683e-01   9.448609e-02   4.927046e-06   1.357779e-15   1.288506e-27  1.245086e-105  1.450769e-200
         4.6000   6.238275e-03   7.912061e-01   2.025014e-01   5.419992e-05   2.286281e-13   8.098053e-24   3.016279e-93  8.063568e-178
         4.6500   3.584973e-03   6.369530e-01   3.590586e-01   4.034348e-04   1.957406e-11   1.772127e-20   3.007834e-82  1.398002e-157
         4.7000   1.914776e-03   4.643244e-01   5.316433e-01   2.117532e-03   9.197088e-10   1.518673e-17   1.751581e-72  1.419965e-139
         4.7500   9.627041e-04   3.124341e-01   6.782884e-01   8.314730e-03   2.593000e-08   5.780637e-15   8.309385e-64  1.513585e-123
         4.8000   4.660663e-04   1.994411e-01   7.741478e-01   2.594451e-02   4.782272e-07   1.100817e-12   4.349729e-56  2.866022e-109
