# CIE ionization fractions for S (Z=16)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_S0           x_S1           x_S2           x_S3           x_S4           x_S5           x_S6           x_S7           x_S8           x_S9           x_S10          x_S11          x_S12          x_S13          x_S14          x_S15          x_S16        
         3.0000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   1.000000e+00   9.431315e-39  -3.349137e-130  -6.711352e-268  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00
         3.1500   1.000000e+00   3.555972e-34  -2.077961e-115  -6.663049e-238  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00
         3.2000   1.000000e+00   4.330917e-30  -3.252575e-102  -3.750104e-211  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00
         3.2500   1.000000e+00   1.923916e-26  -1.912053e-90  -2.687170e-187  -4.580483e-320  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00
         3.3000   1.000000e+00   3.474263e-23  -6.016774e-80  -5.043334e-166  -3.333477e-284  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00
         3.3500   1.000000e+00   2.810002e-20  -1.389652e-70  -4.717811e-147  -3.153672e-252  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00
         3.4000   1.000000e+00   1.110197e-17  -3.120518e-62  -3.904987e-130  -1.024899e-223  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00
         3.4500   1.000000e+00   2.315717e-15  -8.750712e-55  -4.771155e-115  -2.720393e-198  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00  -0.000000e+00
