# CIE ionization fractions for He (Z=2)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_He0          x_He1          x_He2        
         3.0000   1.000000e+00   0.000000e+00   0.000000e+00
         3.0500   1.000000e+00   0.000000e+00   0.000000e+00
         3.1000   1.000000e+00   0.000000e+00   0.000000e+00
         3.1500   1.000000e+00   0.000000e+00   0.000000e+00
         3.2000   1.000000e+00   0.000000e+00   0.000000e+00
         3.2500   1.000000e+00   0.000000e+00   0.000000e+00
         3.3000   1.000000e+00   0.000000e+00   0.000000e+00
         3.3500   1.000000e+00   0.000000e+00   0.000000e+00
         3.4000   1.000000e+00   0.000000e+00   0.000000e+00
         3.4500   1.000000e+00   0.000000e+00   0.000000e+00
         3.5000   1.000000e+00   0.000000e+00   0.000000e+00
         3.5500   1.000000e+00   0.000000e+00   0.000000e+00
         3.6000   1.000000e+00   0.000000e+00   0.000000e+00
         3.6500   1.000000e+00   0.000000e+00   0.000000e+00
         3.7000   1.000000e+00   0.000000e+00   0.000000e+00
         3.7500   1.000000e+00   0.000000e+00   0.000000e+00
         3.8000   1.000000e+00   0.000000e+00   0.000000e+00
         3.8500   1.000000e+00   1.175577e-18   1.703024e-58
         3.9000   1.000000e+00   1.161611e-15   3.767638e-50
         3.9500   1.000000e+00   5.349265e-13   9.972971e-43
         4.0000   1.000000e+00   1.181750e-10   3.089516e-36
         4.0500   1.000000e+00   1.152920e-08   8.158489e-31
         4.1000   9.999996e-01   4.461159e-07   2.151530e-26
         4.1500   9.999918e-01   8.159020e-06   1.120506e-22
         4.2000   9.999057e-01   9.425576e-05   1.943899e-19
         4.2500   9.991943e-01   8.057137e-04   1.455557e-16
         4.3000   9.945586e-01   5.441435e-03   5.362548e-14
         4.3500   9.703683e-01   2.963169e-02   1.046270e-11
         4.4000   8.743281e-01   1.256719e-01   1.093550e-09
         4.4500   6.321246e-01   3.678753e-01   5.652560e-08
         4.5000   3.267338e-01   6.732648e-01   1.357327e-06
         4.5500   1.339229e-01   8.660595e-01   1.758171e-05
         4.6000   5.219454e-02   9.476524e-01   1.530228e-04
         4.6500   2.138971e-02   9.775927e-01   1.017636e-03
         4.7000   9.630100e-03   9.848894e-01   5.480543e-03
         4.7500   4.865216e-03   9.706974e-01   2.443736e-02
         4.8000   2.726466e-03   9.081318e-01   8.914170e-02
         4.8500   1.566111e-03   7.477561e-01   2.506778e-01
         4.9000   8.158024e-04   4.952717e-01   5.039125e-01
         4.9500   3.695029e-04   2.644787e-01   7.351517e-01
         5.0000   1.555861e-04   1.263314e-01   8.735130e-01
         5.0500   6.549864e-05   5.944173e-02   9.404928e-01
         5.1000   2.853619e-05   2.889330e-02   9.710782e-01
         5.1500   1.299285e-05   1.474629e-02   9.852407e-01
         5.2000   6.181848e-06   7.923786e-03   9.920700e-01
         5.2500   3.063823e-06   4.472489e-03   9.955244e-01
         5.3000   1.575745e-06   2.641336e-03   9.973571e-01
         5.3500   8.378860e-07   1.625154e-03   9.983740e-01
         5.4000   4.591144e-07   1.037439e-03   9.989621e-01
         5.4500   2.584843e-07   6.844837e-04   9.993153e-01
         5.5000   1.491439e-07   4.651396e-04   9.995347e-01
         5.5500   8.799446e-08   3.245460e-04   9.996754e-01
         5.6000   5.298207e-08   2.318700e-04   9.997681e-01
         5.6500   3.249980e-08   1.692040e-04   9.998308e-01
         5.7000   2.027941e-08   1.258426e-04   9.998741e-01
         5.7500   1.285562e-08   9.521094e-05   9.999048e-01
         5.8000   8.269407e-09   7.315702e-05   9.999268e-01
         5.8500   5.391517e-09   5.699864e-05   9.999430e-01
         5.9000   3.559484e-09   4.496999e-05   9.999550e-01
         5.9500   2.377890e-09   3.588901e-05   9.999641e-01
         6.0000   1.606298e-09   2.894345e-05   9.999711e-01
         6.0500   1.096433e-09   2.356562e-05   9.999764e-01
         6.1000   7.556922e-10   1.935332e-05   9.999806e-01
         6.1500   5.255484e-10   1.601828e-05   9.999840e-01
         6.2000   3.686066e-10   1.335318e-05   9.999866e-01
         6.2500   2.606183e-10   1.120553e-05   9.999888e-01
         6.3000   1.856714e-10   9.460817e-06   9.999905e-01
         6.3500   1.332248e-10   8.032422e-06   9.999920e-01
         6.4000   9.623246e-11   6.854338e-06   9.999931e-01
         6.4500   6.994407e-11   5.875783e-06   9.999941e-01
         6.5000   5.112856e-11   5.057429e-06   9.999949e-01
         6.5500   3.757162e-11   4.368801e-06   9.999956e-01
         6.6000   2.774565e-11   3.786438e-06   9.999962e-01
         6.6500   2.058466e-11   3.291776e-06   9.999967e-01
         6.7000   1.533829e-11   2.869827e-06   9.999971e-01
         6.7500   1.147501e-11   2.508375e-06   9.999975e-01
         6.8000   8.616570e-12   2.197502e-06   9.999978e-01
         6.8500   6.492286e-12   1.929131e-06   9.999981e-01
         6.9000   4.907095e-12   1.696644e-06   9.999983e-01
         6.9500   3.719628e-12   1.494592e-06   9.999985e-01
         7.0000   2.826924e-12   1.318464e-06   9.999987e-01
         7.0500   2.153609e-12   1.164511e-06   9.999988e-01
         7.1000   1.644213e-12   1.029593e-06   9.999990e-01
         7.1500   1.257720e-12   9.110607e-07   9.999991e-01
         7.2000   9.637148e-13   8.066971e-07   9.999992e-01
         7.2500   7.395457e-13   7.146372e-07   9.999993e-01
         7.3000   5.682845e-13   6.333189e-07   9.999994e-01
         7.3500   4.372249e-13   5.614259e-07   9.999994e-01
         7.4000   3.367779e-13   4.978221e-07   9.999995e-01
         7.4500   2.596857e-13   4.415208e-07   9.999996e-01
         7.5000   2.004418e-13   3.916609e-07   9.999996e-01
         7.5500   1.548598e-13   3.474888e-07   9.999997e-01
         7.6000   1.197507e-13   3.083426e-07   9.999997e-01
         7.6500   9.267958e-14   2.736403e-07   9.999997e-01
         7.7000   7.178533e-14   2.428693e-07   9.999998e-01
         7.7500   5.564308e-14   2.155775e-07   9.999998e-01
         7.8000   4.316070e-14   1.913658e-07   9.999998e-01
         7.8500   3.349983e-14   1.698806e-07   9.999998e-01
         7.9000   2.601639e-14   1.508096e-07   9.999998e-01
         7.9500   2.021519e-14   1.338778e-07   9.999999e-01
         8.0000   1.571492e-14   1.188428e-07   9.999999e-01
         8.0500   1.222164e-14   1.054904e-07   9.999999e-01
         8.1000   9.508487e-15   9.363136e-08   9.999999e-01
         8.1500   7.400151e-15   8.309830e-08   9.999999e-01
         8.2000   5.761054e-15   7.374289e-08   9.999999e-01
         8.2500   4.486233e-15   6.543367e-08   9.999999e-01
         8.3000   3.494364e-15   5.805404e-08   9.999999e-01
         8.3500   2.722388e-15   5.150046e-08   9.999999e-01
         8.4000   2.121379e-15   4.568104e-08   1.000000e+00
         8.4500   1.653350e-15   4.051407e-08   1.000000e+00
         8.5000   1.288790e-15   3.592697e-08   1.000000e+00
         8.5500   1.004764e-15   3.185520e-08   1.000000e+00
         8.6000   7.834401e-16   2.824136e-08   1.000000e+00
         8.6500   6.109455e-16   2.503442e-08   1.000000e+00
         8.7000   4.764863e-16   2.218898e-08   1.000000e+00
         8.7500   3.716604e-16   1.966467e-08   1.000000e+00
         8.8000   2.899263e-16   1.742558e-08   1.000000e+00
         8.8500   2.261893e-16   1.543978e-08   1.000000e+00
         8.9000   1.764810e-16   1.367887e-08   1.000000e+00
         8.9500   1.377095e-16   1.211760e-08   1.000000e+00
         9.0000   1.074654e-16   1.073354e-08   1.000000e+00
