# CIE ionization fractions for N (Z=7)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_N0           x_N1           x_N2           x_N3           x_N4           x_N5           x_N6           x_N7         
         3.0000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.7500   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.8000   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   9.999983e-01   1.721629e-06   2.414705e-32   7.759052e-72  2.526469e-133  2.019468e-210  8.579414e-228  3.644839e-245
         3.9000   9.999735e-01   2.648365e-05   9.778214e-28   1.836234e-62  7.556276e-117  3.152017e-185  1.339088e-202  5.688922e-220
         3.9500   9.996925e-01   3.074804e-04   1.299000e-23   4.368545e-54  3.890720e-102  9.761871e-163  4.147189e-180  1.761873e-197
         4.0000   9.972293e-01   2.770659e-03   6.376141e-20   1.338812e-46   5.356107e-89  1.178458e-142   0.000000e+00   0.000000e+00
         4.0500   9.804157e-01   1.958433e-02   1.267322e-16   6.498429e-40   2.876690e-77  9.977636e-125   0.000000e+00   0.000000e+00
         4.1000   8.968520e-01   1.031480e-01   1.041012e-13   5.648571e-34   7.938144e-67  9.403490e-109   0.000000e+00   0.000000e+00
         4.1500   6.616621e-01   3.383379e-01   3.147070e-11   8.574929e-29   1.256498e-57   1.300546e-94  6.068833e-295   0.000000e+00
         4.2000   3.832557e-01   6.167443e-01   3.301193e-09   2.322058e-24   1.311728e-49   3.518533e-82  1.785202e-260   0.000000e+00
         4.2500   2.185126e-01   7.814873e-01   1.572667e-07   1.573260e-20   1.400407e-42   3.291362e-71  7.436531e-230   0.000000e+00
         4.3000   1.289796e-01   8.710160e-01   4.439097e-06   3.685945e-17   2.284050e-36   1.784415e-61  1.331540e-202   0.000000e+00
         4.3500   7.454488e-02   9.253744e-01   8.070385e-05   3.395196e-14   6.797462e-31   7.399957e-53  2.286465e-178   0.000000e+00
         4.4000   4.318362e-02   9.558891e-01   9.272972e-04   1.244478e-11   3.832343e-26   2.652781e-45  6.754429e-157  4.925598e-292
         4.4500   2.595905e-02   9.675879e-01   6.453073e-03   1.771926e-09   4.141131e-22   8.928822e-39  5.596237e-138  3.157299e-258
         4.5000   1.619185e-02   9.558012e-01   2.800684e-02   1.024068e-07   9.751973e-19   3.408809e-33  2.254184e-121  2.225750e-228
         4.5500   1.020703e-02   9.053731e-01   8.441707e-02   2.749487e-06   6.439596e-16   2.009787e-28  8.356176e-107  4.886640e-202
         4.6000   6.258021e-03   8.002035e-01   1.934989e-01   3.952432e-05   1.527143e-13   2.485724e-24   5.266815e-94  8.989378e-179
         4.6500   3.603352e-03   6.432966e-01   3.527600e-01   3.400247e-04   1.569911e-11   8.289616e-21   9.655125e-83  3.347532e-158
         4.7000   1.924114e-03   4.679684e-01   5.281811e-01   1.926395e-03   8.123148e-10   9.218009e-18   8.247114e-73  5.504213e-140
         4.7500   9.665003e-04   3.142798e-01   6.768779e-01   7.875778e-03   2.410831e-08   4.126712e-15   4.981967e-64  7.952699e-124
         4.8000   4.675837e-04   2.003590e-01   7.740527e-01   2.512027e-02   4.573562e-07   8.710563e-13   3.044361e-56  1.829716e-109
         4.8500   2.206203e-04   1.231987e-01   8.107414e-01   6.583335e-02   5.987021e-06   9.752503e-11   2.520750e-49   1.104639e-96
         4.9000   1.009755e-04   7.285887e-02   7.818016e-01   1.451820e-01   5.654323e-05   6.265944e-09   3.565097e-43   2.646868e-85
         4.9500   4.405826e-05   4.080715e-02   6.879554e-01   2.707990e-01   3.941667e-04   2.431869e-07   1.037133e-37   3.560619e-75
         5.0000   1.805697e-05   2.135785e-02   5.480699e-01   4.284826e-01   2.065640e-03   5.948064e-06   7.291799e-33   3.643558e-66
         5.0500   6.950278e-06   1.045520e-02   3.974837e-01   5.835893e-01   8.368577e-03   9.624747e-05   1.445086e-28   3.754106e-58
         5.1000   2.542575e-06   4.847917e-03   2.667740e-01   7.001510e-01   2.713849e-02   1.086024e-03   9.342261e-25   5.043722e-51
         5.1500   8.872062e-07   2.138001e-03   1.669149e-01   7.499204e-01   7.213818e-02   8.887677e-03   2.226582e-21   1.103665e-44
         5.2000   2.850700e-07   8.660185e-04   9.427321e-02   6.979556e-01   1.543801e-01   5.252474e-02   2.097305e-18   4.609428e-39
         5.2500   7.550070e-08   2.884635e-04   4.313115e-02   5.087601e-01   2.416805e-01   2.061397e-01   7.667753e-16   3.906291e-34
         5.3000   1.447577e-08   6.939984e-05   1.406625e-02   2.565633e-01   2.462285e-01   4.830725e-01   1.037316e-13   6.872510e-30
         5.3500   2.118502e-09   1.271589e-05   3.453443e-03   9.484391e-02   1.740903e-01   7.275996e-01   5.888567e-12   3.031386e-26
         5.4000   2.851186e-10   2.137765e-06   7.700172e-04   3.109579e-02   1.039320e-01   8.642001e-01   1.802794e-10   4.556890e-23
         5.4500   3.989739e-11   3.728091e-07   1.764727e-04   1.025922e-02   5.974375e-02   9.298202e-01   3.563803e-09   2.938197e-20
         5.5000   6.073502e-12   7.055900e-08   4.352933e-05   3.574332e-03   3.485822e-02   9.615238e-01   5.007709e-08   9.352607e-18
         5.5500   1.016449e-12   1.464537e-08   1.168648e-05   1.332461e-03   2.100157e-02   9.776537e-01   5.287776e-07   1.616585e-15
         5.6000   1.867783e-13   3.329150e-09   3.412527e-06   5.320272e-04   1.312602e-02   9.863342e-01   4.359665e-06   1.633294e-13
         5.6500   3.752870e-14   8.253238e-10   1.079819e-06   2.270206e-04   8.518589e-03   9.912244e-01   2.891433e-05   1.025517e-11
         5.7000   8.217864e-15   2.223869e-10   3.691384e-07   1.033421e-04   5.746723e-03   9.939915e-01   1.580742e-04   4.217276e-10
         5.7500   1.959448e-15   6.506812e-11   1.362428e-07   5.020881e-05   4.042010e-03   9.951809e-01   7.267672e-04   1.188213e-08
         5.8000   5.096380e-16   2.070845e-11   5.440177e-08   2.611515e-05   2.979687e-03   9.941402e-01   2.853672e-03   2.381773e-07
         5.8500   1.448657e-16   7.182262e-12   2.355280e-08   1.458661e-05   2.313656e-03   9.880068e-01   9.661405e-03   3.498097e-06
         5.9000   4.484540e-17   2.705087e-12   1.102046e-08   8.727556e-06   1.890509e-03   9.698070e-01   2.825535e-02   3.838620e-05
         5.9500   1.487791e-17   1.088694e-12   5.484552e-09   5.508200e-06   1.602858e-03   9.272014e-01   7.087276e-02   3.174511e-04
         6.0000   5.130572e-18   4.540930e-13   2.815960e-09   3.558572e-06   1.369875e-03   8.462468e-01   1.504005e-01   1.979322e-03
         6.0500   1.773584e-18   1.893071e-13   1.438767e-09   2.271026e-06   1.139890e-03   7.226349e-01   2.669100e-01   9.312986e-03
         6.1000   5.958088e-19   7.647166e-14   7.093214e-10   1.388816e-06   8.965708e-04   5.699513e-01   3.957443e-01   3.340641e-02
         6.1500   1.902310e-19   2.927713e-14   3.301092e-10   7.964917e-07   6.527163e-04   4.122761e-01   4.940771e-01   9.299337e-02
         6.2000   5.670626e-20   1.043570e-14   1.424940e-10   4.210664e-07   4.325341e-04   2.714520e-01   5.237455e-01   2.043695e-01
         6.2500   1.559270e-20   3.421692e-15   5.637856e-11   2.028497e-07   2.581764e-04   1.620152e-01   4.764824e-01   3.612441e-01
         6.3000   3.971052e-21   1.036229e-15   2.053337e-11   8.946848e-08   1.396465e-04   8.869796e-02   3.812064e-01   5.299559e-01
         6.3500   9.646299e-22   2.985224e-16   7.090682e-12   3.722579e-08   7.054598e-05   4.586277e-02   2.788896e-01   6.751770e-01
         6.4000   2.306494e-22   8.443356e-17   2.396349e-12   1.508673e-08   3.440203e-05   2.315867e-02   1.943467e-01   7.824602e-01
         6.4500   5.562230e-23   2.402650e-17   8.122906e-13   6.105469e-09   1.662202e-05   1.171848e-02   1.330854e-01   8.551794e-01
         6.5000   1.365359e-23   6.943141e-18   2.787849e-13   2.491437e-09   8.054244e-06   6.034545e-03   9.130590e-02   9.026515e-01
         6.5500   3.452514e-24   2.062324e-18   9.806660e-14   1.038075e-09   3.961425e-06   3.186393e-03   6.341554e-02   9.333941e-01
         6.6000   9.016760e-25   6.313415e-19   3.545656e-14   4.430256e-10   1.985724e-06   1.729852e-03   4.480430e-02   9.534639e-01
         6.6500   2.431849e-25   1.991794e-19   1.317727e-14   1.937407e-10   1.015644e-06   9.657563e-04   3.225612e-02   9.667771e-01
         6.7000   6.764604e-26   6.468104e-20   5.028686e-15   8.675329e-11   5.300273e-07   5.539228e-04   2.366428e-02   9.757813e-01
         6.7500   1.929697e-26   2.149917e-20   1.959799e-15   3.957103e-11   2.813067e-07   3.258874e-04   1.767748e-02   9.819963e-01
         6.8000   5.638094e-27   7.305940e-21   7.792252e-16   1.837244e-11   1.517000e-07   1.963049e-04   1.343015e-02   9.863734e-01
         6.8500   1.688919e-27   2.541098e-21   3.164856e-16   8.695237e-12   8.322569e-08   1.208434e-04   1.036326e-02   9.895158e-01
         6.9000   5.177302e-28   9.029997e-22   1.310909e-16   4.188778e-12   4.639738e-08   7.588396e-05   8.111093e-03   9.918130e-01
         6.9500   1.621339e-28   3.273226e-22   5.529395e-17   2.051247e-12   2.625642e-08   4.852877e-05   6.430711e-03   9.935207e-01
         7.0000   5.178989e-29   1.208523e-22   2.371882e-17   1.019922e-12   1.506813e-08   3.155861e-05   5.158176e-03   9.948103e-01
         7.0500   1.685121e-29   4.539198e-23   1.033513e-17   5.143855e-13   8.761588e-09   2.084054e-05   4.181080e-03   9.957981e-01
         7.1000   5.578124e-30   1.732382e-23   4.569547e-18   2.628819e-13   5.157427e-09   1.395783e-05   3.421149e-03   9.965649e-01
         7.1500   1.869278e-30   6.685634e-24   2.040279e-18   1.355042e-13   3.063306e-09   9.469436e-06   2.823057e-03   9.971675e-01
         7.2000   6.348371e-31   2.612067e-24   9.210896e-19   7.054114e-14   1.836663e-09   6.500432e-06   2.347144e-03   9.976464e-01
