# CIE ionization fractions for Ca (Z=20)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ca0          x_Ca1          x_Ca2          x_Ca3          x_Ca4          x_Ca5          x_Ca6          x_Ca7          x_Ca8          x_Ca9          x_Ca10         x_Ca11         x_Ca12         x_Ca13         x_Ca14         x_Ca15         x_Ca16         x_Ca17         x_Ca18         x_Ca19         x_Ca20       
         3.0000   1.000000e+00   5.688737e-27   4.059444e-84  1.724596e-101  7.326693e-119  3.112639e-136  1.322359e-153  5.617851e-171  2.386662e-188  1.013939e-205  4.307570e-223  1.830008e-240  7.774524e-258  3.302893e-275  1.403186e-292  5.961231e-310   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   1.000000e+00   1.481347e-23   3.875194e-74  9.251231e-301  3.930253e-318   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   1.000000e+00   1.668289e-20   3.136542e-65  6.360840e-267  2.702310e-284  1.148037e-301  4.877268e-319   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   1.000000e+00   8.901910e-18   2.815159e-57  9.575750e-237   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   1.000000e+00   2.441216e-15   3.559034e-50  7.891664e-210   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   1.000000e+00   3.699171e-13   7.843552e-44  8.057536e-186   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   1.000000e+00   3.303433e-11   3.643301e-38  2.110295e-164   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   1.000000e+00   1.840177e-09   4.221687e-33  2.710258e-145  4.599149e-295   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   9.999999e-01   6.709104e-08   1.414552e-28  3.033240e-128  1.757623e-261   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   9.999983e-01   1.657375e-06   1.550540e-24  4.897879e-113  1.567800e-231   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   9.999720e-01   2.804352e-05   6.083253e-21   1.752960e-99  7.852392e-205   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   9.996818e-01   3.181868e-04   8.973765e-18   1.976813e-87  4.681841e-181  2.127028e-300   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
