# CIE ionization fractions for He (Z=2)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_He0          x_He1          x_He2        
         3.0000   1.000000e+00  2.641108e-122  1.122036e-139
         3.0500   1.000000e+00  9.027404e-109   0.000000e+00
         3.1000   1.000000e+00   1.056962e-96  3.376425e-313
         3.1500   1.000000e+00   6.118594e-86  1.092692e-278
         3.2000   1.000000e+00   2.428769e-76  6.432957e-248
         3.2500   1.000000e+00   8.848399e-68  1.757820e-220
         3.3000   1.000000e+00   3.836400e-60  5.137293e-196
         3.3500   1.000000e+00   2.495357e-53  3.379188e-174
         3.4000   1.000000e+00   2.993138e-47  9.709461e-155
         3.4500   1.000000e+00   7.957876e-42  2.200670e-137
         3.5000   1.000000e+00   5.525238e-37  6.662776e-122
         3.5500   1.000000e+00   1.159459e-32  4.309099e-108
         3.6000   1.000000e+00   8.376836e-29   9.046288e-96
         3.6500   1.000000e+00   2.340165e-25   8.951004e-85
         3.7000   1.000000e+00   2.803483e-22   5.820314e-75
         3.7500   1.000000e+00   1.579407e-19   3.344696e-66
         3.8000   1.000000e+00   4.542999e-17   2.211962e-58
         3.8500   1.000000e+00   7.179138e-15   2.130190e-51
         3.9000   1.000000e+00   6.653564e-13   3.684485e-45
         3.9500   1.000000e+00   3.833345e-11   1.379902e-39
         4.0000   1.000000e+00   1.446056e-09   1.321908e-34
         4.0500   1.000000e+00   3.740831e-08   3.757820e-30
         4.1000   9.999993e-01   6.915682e-07   3.618597e-26
         4.1500   9.999905e-01   9.478572e-06   1.328147e-22
         4.2000   9.999005e-01   9.951354e-05   2.063875e-19
         4.2500   9.991765e-01   8.235360e-04   1.490398e-16
         4.3000   9.945048e-01   5.495177e-03   5.418932e-14
         4.3500   9.702257e-01   2.977430e-02   1.051568e-11
         4.4000   8.740289e-01   1.259711e-01   1.096272e-09
         4.4500   6.317467e-01   3.682532e-01   5.658654e-08
         4.5000   3.265041e-01   6.734945e-01   1.357825e-06
         4.5500   1.338399e-01   8.661425e-01   1.758364e-05
         4.6000   5.216896e-02   9.476780e-01   1.530282e-04
         4.6500   2.138158e-02   9.776008e-01   1.017649e-03
         4.7000   9.627283e-03   9.848921e-01   5.480575e-03
         4.7500   4.864149e-03   9.706984e-01   2.443744e-02
         4.8000   2.726042e-03   9.081321e-01   8.914185e-02
         4.8500   1.565948e-03   7.477560e-01   2.506780e-01
         4.9000   8.157474e-04   4.952715e-01   5.039128e-01
         4.9500   3.694868e-04   2.644786e-01   7.351519e-01
         5.0000   1.555816e-04   1.263313e-01   8.735131e-01
         5.0500   6.549759e-05   5.944171e-02   9.404928e-01
         5.1000   2.853592e-05   2.889329e-02   9.710782e-01
         5.1500   1.299277e-05   1.474629e-02   9.852407e-01
         5.2000   6.181825e-06   7.923784e-03   9.920700e-01
         5.2500   3.063815e-06   4.472488e-03   9.955244e-01
         5.3000   1.575743e-06   2.641336e-03   9.973571e-01
         5.3500   8.378848e-07   1.625154e-03   9.983740e-01
         5.4000   4.591139e-07   1.037438e-03   9.989621e-01
         5.4500   2.584841e-07   6.844836e-04   9.993153e-01
         5.5000   1.491438e-07   4.651395e-04   9.995347e-01
         5.5500   8.799441e-08   3.245460e-04   9.996754e-01
         5.6000   5.298204e-08   2.318700e-04   9.997681e-01
         5.6500   3.249978e-08   1.692040e-04   9.998308e-01
         5.7000   2.027940e-08   1.258425e-04   9.998741e-01
         5.7500   1.285562e-08   9.521093e-05   9.999048e-01
         5.8000   8.269404e-09   7.315701e-05   9.999268e-01
         5.8500   5.391516e-09   5.699864e-05   9.999430e-01
         5.9000   3.559483e-09   4.496999e-05   9.999550e-01
         5.9500   2.377889e-09   3.588900e-05   9.999641e-01
         6.0000   1.606298e-09   2.894345e-05   9.999711e-01
         6.0500   1.096432e-09   2.356562e-05   9.999764e-01
         6.1000   7.556920e-10   1.935332e-05   9.999806e-01
         6.1500   5.255483e-10   1.601828e-05   9.999840e-01
         6.2000   3.686065e-10   1.335318e-05   9.999866e-01
         6.2500   2.606182e-10   1.120553e-05   9.999888e-01
         6.3000   1.856713e-10   9.460817e-06   9.999905e-01
         6.3500   1.332248e-10   8.032422e-06   9.999920e-01
         6.4000   9.623243e-11   6.854338e-06   9.999931e-01
         6.4500   6.994405e-11   5.875782e-06   9.999941e-01
         6.5000   5.112854e-11   5.057429e-06   9.999949e-01
         6.5500   3.757161e-11   4.368800e-06   9.999956e-01
         6.6000   2.774565e-11   3.786438e-06   9.999962e-01
         6.6500   2.058465e-11   3.291776e-06   9.999967e-01
         6.7000   1.533828e-11   2.869827e-06   9.999971e-01
         6.7500   1.147500e-11   2.508375e-06   9.999975e-01
         6.8000   8.616567e-12   2.197502e-06   9.999978e-01
         6.8500   6.492284e-12   1.929131e-06   9.999981e-01
         6.9000   4.907093e-12   1.696644e-06   9.999983e-01
         6.9500   3.719627e-12   1.494592e-06   9.999985e-01
         7.0000   2.826922e-12   1.318464e-06   9.999987e-01
         7.0500   2.153608e-12   1.164511e-06   9.999988e-01
         7.1000   1.644212e-12   1.029593e-06   9.999990e-01
         7.1500   1.257720e-12   9.110607e-07   9.999991e-01
         7.2000   9.637144e-13   8.066970e-07   9.999992e-01
         7.2500   7.395454e-13   7.146372e-07   9.999993e-01
         7.3000   5.682842e-13   6.333189e-07   9.999994e-01
         7.3500   4.372247e-13   5.614259e-07   9.999994e-01
         7.4000   3.367777e-13   4.978221e-07   9.999995e-01
         7.4500   2.596856e-13   4.415208e-07   9.999996e-01
         7.5000   2.004416e-13   3.916609e-07   9.999996e-01
         7.5500   1.548597e-13   3.474887e-07   9.999997e-01
         7.6000   1.197506e-13   3.083426e-07   9.999997e-01
         7.6500   9.267952e-14   2.736403e-07   9.999997e-01
         7.7000   7.178527e-14   2.428693e-07   9.999998e-01
         7.7500   5.564303e-14   2.155775e-07   9.999998e-01
         7.8000   4.316067e-14   1.913658e-07   9.999998e-01
         7.8500   3.349980e-14   1.698806e-07   9.999998e-01
         7.9000   2.601637e-14   1.508096e-07   9.999998e-01
         7.9500   2.021517e-14   1.338778e-07   9.999999e-01
         8.0000   1.571490e-14   1.188428e-07   9.999999e-01
         8.0500   1.222163e-14   1.054904e-07   9.999999e-01
         8.1000   9.508476e-15   9.363135e-08   9.999999e-01
         8.1500   7.400143e-15   8.309830e-08   9.999999e-01
         8.2000   5.761047e-15   7.374289e-08   9.999999e-01
         8.2500   4.486227e-15   6.543367e-08   9.999999e-01
         8.3000   3.494359e-15   5.805403e-08   9.999999e-01
         8.3500   2.722384e-15   5.150046e-08   9.999999e-01
         8.4000   2.121376e-15   4.568103e-08   1.000000e+00
         8.4500   1.653347e-15   4.051406e-08   1.000000e+00
         8.5000   1.288788e-15   3.592697e-08   1.000000e+00
         8.5500   1.004762e-15   3.185520e-08   1.000000e+00
         8.6000   7.834387e-16   2.824136e-08   1.000000e+00
         8.6500   6.109444e-16   2.503442e-08   1.000000e+00
         8.7000   4.764853e-16   2.218898e-08   1.000000e+00
         8.7500   3.716596e-16   1.966467e-08   1.000000e+00
         8.8000   2.899256e-16   1.742558e-08   1.000000e+00
         8.8500   2.261888e-16   1.543978e-08   1.000000e+00
         8.9000   1.764806e-16   1.367886e-08   1.000000e+00
         8.9500   1.377091e-16   1.211760e-08   1.000000e+00
         9.0000   1.074651e-16   1.073354e-08   1.000000e+00
