# CIE ionization fractions for O (Z=8)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_O0           x_O1           x_O2           x_O3           x_O4           x_O5           x_O6           x_O7           x_O8         
         3.0000   1.000000e+00   2.843411e-66  1.389215e-241  5.901878e-259  2.507327e-276  1.065201e-293  4.525352e-311   0.000000e+00   0.000000e+00
         3.0500   1.000000e+00   9.451029e-59  9.565253e-215   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   1.000000e+00   4.840707e-52  8.165800e-191   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   1.000000e+00   4.681207e-46  1.788809e-169   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   1.000000e+00   1.024499e-40  1.923436e-150  1.976263e-323   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   1.000000e+00   5.964182e-36  1.810232e-133  1.953921e-287   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   1.000000e+00   1.066751e-31  2.497572e-118  2.670520e-255   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   1.000000e+00   6.665687e-28  8.000415e-105  1.215455e-226   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   1.000000e+00   1.631593e-24   8.963692e-93  4.390286e-201   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   1.000000e+00   1.732368e-21   5.060695e-82  2.727278e-178  7.173392e-316   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   1.000000e+00   8.736747e-19   1.993097e-72  5.804130e-158  2.034527e-280   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   1.000000e+00   2.269052e-16   7.315368e-64  7.825407e-140  8.407365e-249   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   1.000000e+00   3.261402e-14   3.238648e-56  1.157521e-123  1.317932e-220   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   1.000000e+00   2.766522e-12   2.176182e-49  3.069239e-109  1.841556e-195  5.928788e-323   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   1.000000e+00   1.466755e-10   2.723543e-43   2.262922e-96  4.920172e-173  1.693255e-286   0.000000e+00   0.000000e+00   0.000000e+00
         3.7500   1.000000e+00   5.116335e-09   7.619502e-38   6.867522e-85  4.970937e-153  5.389623e-254   0.000000e+00   0.000000e+00   0.000000e+00
         3.8000   9.999999e-01   1.229346e-07   5.607278e-33   1.217476e-74  3.492637e-135  5.212275e-225   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   9.999979e-01   2.119995e-06   1.255142e-28   1.722630e-65  2.940434e-119  3.703276e-199  6.917475e-297  2.938788e-314   0.000000e+00
         3.9000   9.999728e-01   2.721889e-05   9.729181e-25   2.568774e-57  4.820054e-105  4.254847e-176  4.477735e-263  1.902300e-280  8.081646e-298
         3.9500   9.997312e-01   2.687944e-04   2.931892e-21   5.169899e-50   2.371119e-92  1.599194e-155  6.519577e-233  2.769747e-250  1.176687e-267
         4.0000   9.979009e-01   2.099116e-03   3.804113e-18   1.747988e-43   5.138872e-81  3.681878e-137  5.349509e-206  2.272661e-223  9.655069e-241
         4.0500   9.868026e-01   1.319738e-02   2.312297e-15   1.198287e-37   6.857292e-71  9.016062e-121  5.567611e-182  2.365318e-199  1.004871e-216
         4.1000   9.340348e-01   6.596519e-02   6.900153e-13   1.913511e-32   7.371764e-62  3.725606e-106  1.469533e-160   0.000000e+00   0.000000e+00
         4.1500   7.604715e-01   2.395285e-01   9.738395e-11   7.439653e-28   7.487886e-54   3.611364e-93  1.680448e-141   0.000000e+00   0.000000e+00
         4.2000   4.552850e-01   5.447150e-01   5.870132e-09   6.835060e-24   7.724258e-47   1.024342e-81  1.247934e-124   0.000000e+00   0.000000e+00
         4.2500   2.059577e-01   7.940421e-01   1.609151e-07   1.682850e-20   1.004694e-40   1.201827e-71  1.002092e-109  1.319056e-319   0.000000e+00
         4.3000   8.797485e-02   9.120226e-01   2.544133e-06   1.486263e-17   2.390413e-35   9.477887e-63   1.636032e-96  1.503952e-283   0.000000e+00
         4.3500   4.184711e-02   9.581254e-01   2.751039e-05   5.835938e-15   1.385004e-30   7.399331e-55   9.108764e-85  1.945667e-251   0.000000e+00
         4.4000   2.331310e-02   9.764686e-01   2.182638e-04   1.130899e-12   2.310998e-26   7.419946e-48   2.519766e-74  7.739286e-223   0.000000e+00
         4.4500   1.490045e-02   9.837957e-01   1.303818e-03   1.138774e-10   1.236144e-22   1.161124e-41   4.665455e-65  2.216683e-197   0.000000e+00
         4.5000   1.042784e-02   9.836032e-01   5.968984e-03   6.205647e-09   2.317017e-19   3.366858e-36   7.527270e-57  9.743325e-175  3.182241e-314
         4.5500   7.630449e-03   9.709129e-01   2.145647e-02   1.927985e-07   1.672450e-16   2.146344e-31   1.362946e-49  1.313333e-154  6.194873e-279
         4.6000   5.602328e-03   9.322258e-01   6.216825e-02   3.638007e-06   5.142451e-14   3.565192e-27   3.531427e-43  1.023924e-136  1.589268e-247
         4.6500   3.962024e-03   8.485094e-01   1.474844e-01   4.420753e-05   7.396491e-12   1.800267e-23   1.630461e-37  8.150457e-121  1.430981e-219
         4.7000   2.595043e-03   7.097629e-01   2.872805e-01   3.615879e-04   5.381328e-10   3.149453e-20   1.620130e-32  1.091857e-106  1.075420e-194
         4.7500   1.536141e-03   5.348009e-01   4.615917e-01   2.071251e-03   2.130456e-08   2.148712e-17   4.107176e-28   3.850021e-94  1.462680e-172
         4.8000   8.240464e-04   3.648261e-01   6.256160e-01   8.733373e-03   4.981315e-07   6.452981e-15   3.139867e-24   5.407230e-83  7.289446e-153
         4.8500   4.092026e-04   2.304287e-01   7.404964e-01   2.865820e-02   7.491706e-06   9.612036e-13   8.498362e-21   4.425828e-73  2.524656e-135
         4.9000   1.913681e-04   1.371657e-01   7.861673e-01   7.639798e-02   7.767537e-05   7.840161e-11   9.326127e-18   2.941866e-64  1.067118e-119
         4.9500   8.425485e-05   7.693431e-02   7.536843e-01   1.687179e-01   5.791702e-04   3.749217e-09   4.590229e-15   2.092336e-56  8.912782e-106
         5.0000   3.445932e-05   4.011321e-02   6.472418e-01   3.094365e-01   3.173935e-03   1.098963e-07   1.090651e-12   2.002899e-49   2.223435e-93
         5.0500   1.295995e-05   1.924070e-02   4.949823e-01   4.727304e-01   1.303158e-02   2.053366e-06   1.335134e-10   3.164470e-43   2.393018e-82
         5.1000   4.499088e-06   8.519523e-03   3.395575e-01   6.106424e-01   4.125046e-02   2.561498e-05   9.025797e-09   1.001054e-37   1.559730e-72
         5.1500   1.457021e-06   3.517871e-03   2.117695e-01   6.805694e-01   1.039177e-01   2.237095e-04   3.606823e-07   7.578838e-33   8.380864e-64
         5.2000   4.422770e-07   1.360398e-03   1.209239e-01   6.630990e-01   2.131882e-01   1.419086e-03   9.002844e-06   1.600962e-28   4.860106e-56
         5.2500   1.256330e-07   4.916811e-04   6.324536e-02   5.681162e-01   3.612869e-01   6.713217e-03   1.464911e-04   1.075021e-24   3.842436e-49
         5.3000   3.339156e-08   1.660054e-04   3.034718e-02   4.307926e-01   5.128043e-01   2.427389e-02   1.615969e-03   2.580165e-21   5.106136e-43
         5.3500   8.284113e-09   5.221269e-05   1.334680e-02   2.901022e-01   6.156062e-01   6.840844e-02   1.248408e-02   2.451429e-18   1.371148e-37
         5.4000   1.854656e-09   1.478387e-05   5.207799e-03   1.685803e-01   6.107236e-01   1.481187e-01   6.735477e-02   9.782884e-16   8.493292e-33
         5.4500   3.395125e-10   3.413371e-06   1.635237e-03   7.693705e-02   4.579337e-01   2.271307e-01   2.363598e-01   1.614041e-13   1.274962e-28
         5.5000   4.649854e-11   5.878720e-07   3.784495e-04   2.533195e-02   2.394329e-01   2.291240e-01   5.057322e-01   1.084223e-11   4.840953e-25
         5.5500   5.165262e-12   8.186460e-08   7.005488e-05   6.546833e-03   9.533923e-02   1.670841e-01   7.309597e-01   3.432778e-10   5.667960e-22
         5.6000   5.493908e-13   1.088030e-08   1.225502e-05   1.572666e-03   3.435151e-02   1.052317e-01   8.588319e-01   6.410915e-09   2.681930e-19
         5.6500   6.191408e-14   1.526936e-09   2.243350e-06   3.895489e-04   1.246207e-02   6.400805e-02   9.231380e-01   8.230003e-08   6.227454e-17
         5.7000   7.670073e-15   2.347170e-10   4.460752e-07   1.034517e-04   4.745569e-03   3.937363e-02   9.557761e-01   7.888011e-07   7.994933e-15
         5.7500   1.053012e-15   3.983718e-11   9.719431e-08   2.975622e-05   1.920671e-03   2.489928e-02   9.731443e-01   5.923889e-06   6.153626e-13
         5.8000   1.599863e-16   7.454784e-12   2.318774e-08   9.274297e-06   8.282696e-04   1.628599e-02   9.828404e-01   3.602842e-05   3.021550e-11
         5.8500   2.682429e-17   1.533837e-12   6.043489e-09   3.128206e-06   3.807873e-04   1.105889e-02   9.883753e-01   1.819414e-04   9.959304e-10
         5.9000   4.959608e-18   3.467499e-13   1.720311e-09   1.142513e-06   1.870118e-04   7.833145e-03   9.912007e-01   7.779274e-04   2.299565e-08
         5.9500   1.012753e-18   8.626297e-14   5.358536e-10   4.530384e-07   9.849970e-05   5.823491e-03   9.912195e-01   2.857634e-03   3.852737e-07
         6.0000   2.286063e-19   2.363851e-14   1.828912e-10   1.954336e-07   5.581475e-05   4.566996e-03   9.862698e-01   9.102390e-03   4.815029e-06
         6.0500   5.676066e-20   7.100042e-15   6.808865e-11   9.135845e-08   3.392611e-05   3.772612e-03   9.709262e-01   2.522138e-02   4.577485e-05
         6.1000   1.524943e-20   2.299533e-15   2.720893e-11   4.556265e-08   2.179266e-05   3.237640e-03   9.357945e-01   6.061113e-02   3.348840e-04
         6.1500   4.312363e-21   7.812557e-16   1.135670e-11   2.359824e-08   1.440749e-05   2.813673e-03   8.698330e-01   1.254423e-01   1.896636e-03
         6.2000   1.241712e-21   2.693560e-16   4.790746e-12   1.228604e-08   9.493711e-06   2.399683e-03   7.670521e-01   2.221791e-01   8.359583e-03
         6.2500   3.526757e-22   9.130063e-17   1.979117e-12   6.232433e-09   6.046838e-06   1.949114e-03   6.328079e-01   3.363049e-01   2.893206e-02
         6.3000   9.642916e-23   2.969675e-17   7.815625e-13   3.007920e-09   3.637004e-06   1.474094e-03   4.827901e-01   4.361741e-01   7.955808e-02
         6.3500   2.485495e-23   9.077839e-18   2.889836e-13   1.353196e-09   2.024858e-06   1.018410e-03   3.369177e-01   4.862557e-01   1.758062e-01
         6.4000   5.951553e-24   2.570398e-18   9.862519e-14   5.595653e-10   1.029174e-06   6.346164e-04   2.137452e-01   4.690522e-01   3.165669e-01
         6.4500   1.328511e-24   6.766065e-19   3.118780e-14   2.135669e-10   4.796776e-07   3.587287e-04   1.242899e-01   3.989447e-01   4.764062e-01
         6.5000   2.826760e-25   1.693296e-19   9.347608e-15   7.697250e-11   2.098298e-07   1.885308e-04   6.788316e-02   3.091631e-01   6.227650e-01
         6.5500   5.896315e-26   4.144155e-20   2.731656e-15   2.695367e-11   8.867463e-08   9.495948e-05   3.590422e-02   2.265020e-01   7.374987e-01
         6.6000   1.232523e-26   1.014031e-20   7.957973e-16   9.377512e-12   3.703993e-08   4.696206e-05   1.886843e-02   1.617220e-01   8.193626e-01
         6.6500   2.619307e-27   2.517012e-21   2.345233e-16   3.289698e-12   1.552790e-08   2.318336e-05   1.001904e-02   1.148443e-01   8.751134e-01
         6.7000   5.720712e-28   6.407526e-22   7.069442e-17   1.176773e-12   6.610173e-09   1.157144e-05   5.424790e-03   8.207719e-02   9.124864e-01
         6.7500   1.288254e-28   1.678548e-22   2.187400e-17   4.308170e-13   2.868976e-09   5.868730e-06   3.007399e-03   5.939642e-02   9.375903e-01
         6.8000   2.993489e-29   4.528970e-23   6.954418e-18   1.616118e-13   1.271340e-09   3.031051e-06   1.709301e-03   4.364108e-02   9.546466e-01
         6.8500   7.172705e-30   1.257880e-23   2.270883e-18   6.210386e-14   5.751785e-10   1.595108e-06   9.957608e-04   3.258136e-02   9.664213e-01
         6.9000   1.760608e-30   3.573092e-24   7.567829e-19   2.429658e-14   2.641026e-10   8.506812e-07   5.939280e-04   2.471013e-02   9.746951e-01
         6.9500   4.442192e-31   1.041690e-24   2.583032e-19   9.713299e-15   1.235646e-10   4.617500e-07   3.621731e-04   1.902291e-02   9.806145e-01
