# CIE ionization fractions for C (Z=6)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_C0           x_C1           x_C2           x_C3           x_C4           x_C5           x_C6         
         4.0000   9.650058e-01   3.499419e-02   1.160882e-13   7.676242e-41   1.098781e-76  1.520545e-279   0.000000e+00
         4.0500   8.663655e-01   1.336345e-01   6.767784e-11   1.256800e-34   4.123054e-66  1.197953e-246   0.000000e+00
         4.1000   6.302239e-01   3.697761e-01   1.361619e-08   3.053838e-29   7.845974e-57  1.829493e-217   0.000000e+00
         4.1500   3.447870e-01   6.552124e-01   6.905069e-07   8.810872e-25   6.803401e-49  8.914123e-192   0.000000e+00
         4.2000   1.628835e-01   8.371049e-01   1.157948e-05   4.287019e-21   4.230961e-42  3.739319e-169   0.000000e+00
         4.2500   7.966468e-02   9.202307e-01   1.046168e-04   6.115808e-18   3.589643e-36  4.149654e-149  2.732959e-290
         4.3000   4.350156e-02   9.558504e-01   6.480716e-04   3.397734e-15   5.961168e-31  2.674941e-131  7.098670e-257
         4.3500   2.644031e-02   9.705556e-01   3.004121e-03   8.091520e-13   2.273711e-26  1.711633e-115  3.700736e-227
         4.4000   1.733383e-02   9.717555e-01   1.091066e-02   8.490263e-11   2.155827e-22  1.636894e-101  8.775914e-201
         4.4500   1.183275e-02   9.559264e-01   3.224083e-02   4.136917e-09   5.591141e-19   3.436979e-89  1.990601e-177
         4.5000   8.131475e-03   9.121219e-01   7.974654e-02   1.059270e-07   4.682342e-16   2.414326e-78  9.056560e-157
         4.5500   5.441466e-03   8.271403e-01   1.674166e-01   1.635240e-06   1.525200e-13   8.618115e-69  1.683948e-138
         4.6000   3.441838e-03   6.972599e-01   2.992816e-01   1.674788e-05   2.248215e-11   2.260927e-60  2.440874e-122
         4.6500   2.023276e-03   5.397289e-01   4.581267e-01   1.210933e-04   1.688560e-09   6.028456e-53  4.938191e-108
         4.7000   1.109398e-03   3.861559e-01   6.120823e-01   6.523506e-04   7.174661e-08   2.192182e-46   2.363207e-95
         4.7500   5.785235e-04   2.608679e-01   7.357880e-01   2.763689e-03   1.898465e-06   1.417121e-40   4.282407e-84
         4.8000   2.931885e-04   1.702606e-01   8.197589e-01   9.653377e-03   3.392552e-05   2.047085e-35   4.416790e-74
         4.8500   1.461208e-04   1.087438e-01   8.619625e-01   2.871306e-02   4.345011e-04   7.971650e-31   3.654366e-65
         4.9000   7.120097e-05   6.761916e-02   8.546550e-01   7.353176e-02   4.122907e-03   9.671003e-27   3.211585e-57
         4.9500   3.268946e-05   3.947138e-02   7.731599e-01   1.584774e-01   2.885855e-02   4.011879e-23   3.708639e-50
         5.0000   1.278248e-05   1.955944e-02   5.788536e-01   2.630617e-01   1.385125e-01   5.763190e-20   6.333464e-44
         5.0500   3.617673e-06   6.994062e-03   3.057080e-01   2.889148e-01   3.983795e-01   2.702053e-17   1.655329e-38
         5.1000   7.224494e-07   1.759830e-03   1.113119e-01   2.065960e-01   6.803316e-01   4.380427e-15   7.621716e-34
         5.1500   1.229287e-07   3.763140e-04   3.381120e-02   1.170969e-01   8.487155e-01   3.205547e-13   8.688325e-30
         5.2000   2.102027e-08   8.066464e-05   1.012371e-02   6.249678e-02   9.272988e-01   1.338255e-11   3.309012e-26
         5.2500   3.862943e-09   1.853747e-05   3.201441e-03   3.381422e-02   9.629658e-01   3.624903e-10   5.076349e-23
         5.3000   7.765616e-10   4.648861e-06   1.090037e-03   1.898763e-02   9.799177e-01   6.847589e-09   3.551573e-20
         5.3500   1.708561e-10   1.272893e-06   4.002506e-04   1.112516e-02   9.884732e-01   9.470920e-08   1.246031e-17
         5.4000   4.094503e-11   3.787048e-07   1.578764e-04   6.797406e-03   9.930433e-01   9.959610e-07   2.372228e-15
         5.4500   1.062452e-11   1.216982e-07   6.655531e-05   4.321571e-03   9.956035e-01   8.217508e-06   2.623614e-13
         5.5000   2.968824e-12   4.201072e-08   2.985572e-05   2.853877e-03   9.970616e-01   5.465159e-05   1.789302e-11
         5.5500   8.905393e-13   1.552896e-08   1.421776e-05   1.957528e-03   9.977284e-01   2.998467e-04   7.929298e-10
         5.6000   2.867539e-13   6.146295e-09   7.191761e-06   1.398210e-03   9.972111e-01   1.383500e-03   2.388817e-08
         5.6500   9.936607e-14   2.611248e-09   3.875739e-06   1.044933e-03   9.935063e-01   5.444404e-03   5.077944e-07
         5.7000   3.709660e-14   1.192160e-09   2.229038e-06   8.196588e-04   9.807833e-01   1.838699e-02   7.823568e-06
         5.7500   1.480138e-14   5.801930e-10   1.357848e-06   6.706025e-04   9.462417e-01   5.299781e-02   8.849407e-05
         5.8000   6.153145e-15   2.934369e-10   8.543515e-07   5.586397e-04   8.707774e-01   1.279301e-01   7.330087e-04
         5.8500   2.562456e-15   1.482865e-10   5.338751e-07   4.560055e-04   7.426435e-01   2.524951e-01   4.404802e-03
         5.9000   1.033082e-15   7.235936e-11   3.203079e-07   3.528128e-04   5.768939e-01   4.034890e-01   1.926396e-02
         5.9500   3.957426e-16   3.346437e-11   1.811798e-07   2.542560e-04   4.083053e-01   5.286286e-01   6.281161e-02
         6.0000   1.421680e-16   1.447730e-11   9.540656e-08   1.686102e-04   2.639657e-01   5.786496e-01   1.572160e-01
         6.0500   4.716712e-17   5.769817e-12   4.607898e-08   1.014162e-04   1.550910e-01   5.360192e-01   3.087883e-01
         6.1000   1.437467e-17   2.107162e-12   2.031146e-08   5.510115e-05   8.298396e-02   4.280992e-01   4.888618e-01
         6.1500   4.091645e-18   7.170314e-13   8.311992e-09   2.754103e-05   4.141380e-02   3.060813e-01   6.524773e-01
         6.2000   1.128838e-18   2.359383e-13   3.278386e-09   1.315014e-05   1.999725e-02   2.053678e-01   7.746218e-01
         6.2500   3.112367e-19   7.740953e-14   1.285247e-09   6.191003e-06   9.645119e-03   1.345107e-01   8.558380e-01
         6.3000   8.741416e-20   2.581416e-14   5.105869e-10   2.932792e-06   4.739829e-03   8.819552e-02   9.070617e-01
         6.3500   2.512864e-20   8.791899e-15   2.065638e-10   1.407711e-06   2.396200e-03   5.867120e-02   9.389312e-01
         6.4000   7.449112e-21   3.081424e-15   8.575727e-11   6.896699e-07   1.250397e-03   3.984021e-02   9.589087e-01
         6.4500   2.278900e-21   1.112330e-15   3.656954e-11   3.454537e-07   6.735455e-04   2.767007e-02   9.716560e-01
         6.5000   7.186817e-22   4.131104e-16   1.600189e-11   1.768583e-07   3.740085e-04   1.965468e-02   9.799711e-01
         6.5500   2.332361e-22   1.575941e-16   7.174199e-12   9.245975e-08   2.136752e-04   1.426363e-02   9.855226e-01
         6.6000   7.748220e-23   6.143100e-17   3.279234e-12   4.919494e-08   1.253294e-04   1.055976e-02   9.893149e-01
         6.6500   2.629614e-23   2.442168e-17   1.525650e-12   2.659537e-08   7.530764e-05   7.962058e-03   9.919626e-01
         6.7000   9.126296e-24   9.911971e-18   7.233817e-13   1.462465e-08   4.626001e-05   6.104228e-03   9.938495e-01
         6.7500   3.233420e-24   4.100361e-18   3.490299e-13   8.170119e-09   2.899373e-05   4.751024e-03   9.952200e-01
         6.8000   1.167690e-24   1.726329e-18   1.711479e-13   4.631951e-09   1.850910e-05   3.748484e-03   9.962330e-01
         6.8500   4.292324e-25   7.387474e-19   8.519065e-14   2.662358e-09   1.201639e-05   2.993959e-03   9.969940e-01
         6.9000   1.604104e-25   3.209543e-19   4.300145e-14   1.550082e-09   7.922448e-06   2.417778e-03   9.975743e-01
         6.9500   6.088129e-26   1.414246e-19   2.199020e-14   9.134013e-10   5.297592e-06   1.971843e-03   9.980229e-01
         7.0000   2.336758e-26   6.294058e-20   1.134576e-14   5.431358e-10   3.588443e-06   1.622416e-03   9.983740e-01
         7.0500   9.076158e-27   2.831151e-20   5.910307e-15   3.259109e-10   2.459541e-06   1.345470e-03   9.986521e-01
         7.1000   3.569339e-27   1.287905e-20   3.110386e-15   1.974338e-10   1.704028e-06   1.123651e-03   9.988746e-01
         7.1500   1.420210e-27   5.921045e-21   1.652504e-15   1.206648e-10   1.192243e-06   9.442586e-04   9.990545e-01
         7.2000   5.713554e-28   2.749404e-21   8.857799e-16   7.435555e-11   8.416959e-07   7.978802e-04   9.992013e-01
         7.2500   2.322608e-28   1.288707e-21   4.787617e-16   4.617166e-11   5.991148e-07   6.774586e-04   9.993219e-01
         7.3000   9.534255e-29   6.093841e-22   2.607903e-16   2.887575e-11   4.296424e-07   5.776440e-04   9.994219e-01
         7.3500   3.949660e-29   2.905263e-22   1.430894e-16   1.817826e-11   3.101984e-07   4.943389e-04   9.995054e-01
         7.4000   1.650165e-29   1.395676e-22   7.903923e-17   1.151349e-11   2.253282e-07   4.243743e-04   9.995754e-01
         7.4500   6.949121e-30   6.752175e-23   4.393179e-17   7.332996e-12   1.645742e-07   3.652765e-04   9.996346e-01
         7.5000   2.947851e-30   3.287892e-23   2.455810e-17   4.694184e-12   1.207868e-07   3.150979e-04   9.996848e-01
         7.5500   1.258895e-30   1.610487e-23   1.379951e-17   3.018728e-12   8.903051e-08   2.722927e-04   9.997276e-01
         7.6000   5.409045e-31   7.930813e-24   7.790414e-18   1.949205e-12   6.586879e-08   2.356241e-04   9.997643e-01
         7.6500   2.336911e-31   3.924267e-24   4.416353e-18   1.263133e-12   4.888932e-08   2.040955e-04   9.997959e-01
         7.7000   1.014195e-31   1.949229e-24   2.511732e-18   8.209097e-13   3.638504e-08   1.768985e-04   9.998231e-01
         7.7500   4.414995e-32   9.705488e-25   1.431170e-18   5.344080e-13   2.713920e-08   1.533722e-04   9.998466e-01
         7.8000   1.928955e-32   4.847200e-25   8.175169e-19   3.486224e-13   2.027868e-08   1.329736e-04   9.998670e-01
         7.8500   8.454513e-33   2.427108e-25   4.679496e-19   2.278030e-13   1.517281e-08   1.152531e-04   9.998847e-01
         7.9000   3.715652e-33   1.217955e-25   2.683009e-19   1.490450e-13   1.136337e-08   9.983630e-05   9.999002e-01
         7.9500   1.636754e-33   6.122824e-26   1.540305e-19   9.760591e-14   8.515493e-09   8.640963e-05   9.999136e-01
         8.0000   7.223919e-34   3.082496e-26   8.851395e-20   6.395856e-14   6.383086e-09   7.470849e-05   9.999253e-01
         8.0500   3.193400e-34   1.553616e-26   5.089847e-20   4.192352e-14   4.784518e-09   6.450843e-05   9.999355e-01
         8.1000   1.413469e-34   7.836919e-27   2.927952e-20   2.748120e-14   3.585179e-09   5.561780e-05   9.999444e-01
         8.1500   6.262456e-35   3.955391e-27   1.684533e-20   1.801053e-14   2.684956e-09   4.787201e-05   9.999521e-01
         8.2000   2.776581e-35   1.996943e-27   9.690568e-21   1.179866e-14   2.009173e-09   4.112890e-05   9.999589e-01
         8.2500   1.231605e-35   1.008255e-27   5.572855e-21   7.724393e-15   1.501970e-09   3.526505e-05   9.999647e-01
         8.3000   5.464154e-36   5.089872e-28   3.203140e-21   5.052861e-15   1.121468e-09   3.017276e-05   9.999698e-01
         8.3500   2.424192e-36   2.568529e-28   1.839759e-21   3.301981e-15   8.362168e-10   2.575772e-05   9.999742e-01
         8.4000   1.075257e-36   1.295445e-28   1.055738e-21   2.155285e-15   6.225732e-10   2.193697e-05   9.999781e-01
         8.4500   4.767325e-37   6.528803e-29   6.051893e-22   1.404957e-15   4.627449e-10   1.863740e-05   9.999814e-01
         8.5000   2.112410e-37   3.287444e-29   3.465000e-22   9.145177e-16   3.433369e-10   1.579439e-05   9.999842e-01
         8.5500   9.353101e-38   1.653608e-29   1.981243e-22   5.943503e-16   2.542633e-10   1.335073e-05   9.999866e-01
         8.6000   4.137597e-38   8.308128e-30   1.131222e-22   3.856312e-16   1.879295e-10   1.125578e-05   9.999887e-01
         8.6500   1.828544e-38   4.168938e-30   6.449025e-23   2.497736e-16   1.386201e-10   9.464645e-06   9.999905e-01
         8.7000   8.072083e-39   2.089116e-30   3.670670e-23   1.614873e-16   1.020365e-10   7.937581e-06   9.999921e-01
