# CIE ionization fractions for Mg (Z=12)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Mg0          x_Mg1          x_Mg2          x_Mg3          x_Mg4          x_Mg5          x_Mg6          x_Mg7          x_Mg8          x_Mg9          x_Mg10         x_Mg11         x_Mg12       
         4.0000   5.412284e-02   9.455983e-01   2.788889e-04   2.875813e-48  6.462806e-107  1.125311e-182  3.060331e-281   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   5.759812e-02   9.403038e-01   2.098122e-03   3.431584e-42   4.846630e-94  3.223993e-161  1.028887e-248   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   5.643819e-02   9.316078e-01   1.195404e-02   8.570673e-37   1.404223e-82  4.269029e-142  1.023106e-219  5.460779e-313   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   4.950263e-02   8.977404e-01   5.275697e-02   5.272074e-32   2.224612e-72  4.657196e-125  7.227555e-194  1.156163e-276   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   3.606458e-02   7.770533e-01   1.868822e-01   9.375592e-28   2.664968e-63  7.101960e-110  8.014381e-171  2.838671e-244   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   1.894189e-02   5.171996e-01   4.638586e-01   4.701533e-24   2.721928e-55   2.041992e-96  2.371416e-150  1.806933e-215  2.222461e-292   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   6.851535e-03   2.482669e-01   7.448816e-01   6.773663e-21   2.742981e-48   1.493225e-84  3.080416e-132  6.193056e-190  3.752288e-258   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   2.017898e-03   9.982464e-02   8.981575e-01   3.550560e-18   3.858237e-42   4.454437e-74  3.325857e-116  2.625162e-167  8.635300e-228  1.405299e-302   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   5.750280e-04   3.939476e-02   9.600302e-01   8.633045e-16   1.062635e-36   8.402998e-65  5.316462e-102  2.894614e-147  6.919886e-201  2.668767e-267   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   1.714553e-04   1.634114e-02   9.834874e-01   1.126307e-13   7.200299e-32   1.375076e-56   1.963483e-89  1.529678e-129  4.238543e-177  4.246161e-236  1.791577e-302  7.611081e-320   0.000000e+00
         4.5000   5.481691e-05   7.256629e-03   9.926886e-01   8.830883e-12   1.480519e-27   2.656932e-49   2.617137e-78  7.262645e-114  4.492461e-156  1.615734e-208  1.721202e-267   0.000000e+00   0.000000e+00
         4.5500   1.887475e-05   3.452706e-03   9.965284e-01   4.431498e-10   1.047802e-23   7.730258e-43   1.860065e-68  5.500775e-100  1.797591e-137  4.075963e-184  1.594172e-236   0.000000e+00   0.000000e+00
         4.6000   6.982092e-06   1.752666e-03   9.982403e-01   1.443686e-08   2.678967e-20   4.003617e-37   9.588541e-60   1.063604e-87  5.283815e-121  1.658355e-162  4.332574e-209   0.000000e+00   0.000000e+00
         4.6500   2.762409e-06   9.442682e-04   9.990527e-01   3.174281e-07   2.742995e-17   4.530359e-32   4.963854e-52   8.307907e-77  2.130464e-106  2.461226e-143  9.608969e-185   0.000000e+00   0.000000e+00
         4.7000   1.164083e-06   5.376823e-04   9.994563e-01   4.869612e-06   1.233368e-14   1.329946e-27   3.382146e-45   3.829446e-67   1.970725e-93  2.617223e-126  4.097558e-163   0.000000e+00   0.000000e+00
         4.7500   5.214806e-07   3.231019e-04   9.996228e-01   5.355882e-05   2.629105e-12   1.162621e-23   3.772791e-39   1.417206e-58   6.364727e-82  3.479124e-111  6.855112e-144  9.903588e-303   0.000000e+00
         4.8000   2.489292e-07   2.055415e-04   9.993633e-01   4.309514e-04   2.823066e-10   3.378790e-20   8.220037e-34   5.421233e-51   1.015971e-71   9.212284e-98  8.201908e-127  2.058669e-268   0.000000e+00
         4.8500   1.276232e-07   1.396740e-04   9.972847e-01   2.575475e-03   1.609065e-08   3.591513e-17   4.070984e-29   2.667094e-44   1.082650e-62   7.280418e-86  1.181549e-111  6.932286e-238   0.000000e+00
         4.9000   7.096549e-08   1.025345e-04   9.882806e-01   1.161626e-02   5.146230e-07   1.537276e-14   5.300367e-25   2.073697e-38   1.017235e-54   2.485650e-75   3.284095e-98  9.705667e-211   0.000000e+00
         4.9500   4.275929e-08   8.139167e-05   9.595613e-01   4.034740e-02   9.833019e-06   2.934610e-12   2.101861e-21   3.122579e-33   1.101144e-47   5.194922e-66   2.729051e-86  1.330798e-186  8.545922e-299
         5.0000   2.716057e-08   6.812669e-05   8.898914e-01   1.099213e-01   1.191817e-04   2.754760e-10   2.919997e-18   1.103519e-28   1.762765e-41   9.165561e-58   1.011890e-75  3.871398e-165  3.338634e-265
         5.0500   1.839403e-08   5.704508e-05   7.617745e-01   2.372086e-01   9.598346e-04   1.378679e-08   1.603691e-15   1.083384e-24   5.202953e-36   1.813463e-50   2.385080e-66  4.743575e-146  2.672157e-235
         5.1000   1.182387e-08   4.516465e-05   5.855847e-01   4.090319e-01   5.337818e-03   3.940226e-07   3.870593e-13   3.428690e-21   3.442662e-31   5.174508e-44   4.890368e-58  4.501744e-129  1.119701e-208
         5.1500   6.988130e-09   3.274434e-05   4.023729e-01   5.761383e-01   2.144913e-02   6.903674e-06   4.557474e-11   4.033039e-18   6.138882e-27   2.689882e-38   1.164451e-50  5.747668e-114  5.720196e-185
         5.2000   3.770608e-09   2.158359e-05   2.503325e-01   6.841138e-01   6.545250e-02   7.961321e-05   2.894363e-09   2.014681e-15   3.498938e-23   3.156731e-33   4.190913e-44  1.624676e-100  7.613229e-164
         5.2500   1.850929e-09   1.288964e-05   1.422287e-01   6.998621e-01   1.572586e-01   6.376215e-04   1.072756e-07   4.758545e-13   7.335273e-20   1.000446e-28   2.849048e-38   1.565910e-88  5.131368e-145
         5.3000   8.178610e-10   6.900789e-06   7.349249e-02   6.202222e-01   3.026158e-01   3.660209e-03   2.445929e-06   5.741210e-11   6.291072e-17   9.855507e-25   4.377982e-33   7.419112e-78  3.107110e-128
